Februar,Info,Demo,Sonst,Standort,Veranstalter/Teilnehmerzahl,Uhrzeit
18.0,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,,,,,
19.0,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00
,,x,,Marktplatz,DIDF + Mannheim gegen Rechts - 300 Personen,17:00-20:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,x,,Alter Messplatz,Privatperson,15:00-17:00
,,,,,,
20.0,,x,,Bellenkrappen,Konferenz der Bäume ,14:00-16:00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
21.0,,x,,Paradeplatz Seite Richtung N 1,Montagsdemo ,17:45-19:00
,,x,,Marktplatz - Innenstadt - Marktplatz (genaue Route siehe Vorgang),Offene Gesellschaft Kurpfalz,18:00-22:00 
,,,,,,
,,,,,,
,,,,,,
22.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
23.0,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
24.0,,x,,"R1, 4 (verschoben auf 26.2)",Health for Future,18:00-20:00
,,x,,Paradeplatz,Privatperson,17:00-18:30
,,v,,Marktplatz,AEGEE-Mannheim - Thema Ukraine,17:00-19:00
,,,,,,
,,,,,,
25.0,x,,,Neckarwiese Höhe Lidl,Body of Christ ,18:00-20:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,x,,Toulonplatz,Privatperson,18:00-19:00
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
26.0,x,,,P 2 / Planken,Privatperson,10:00-15:00
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00
,,x,,"R1, 4",Health for Future,15:00-17:00
,x,,,Bahnhofsvorplatz,Body of Christ ,11:00-14:00
,x,,,Bahnhofsvorplatz,Privatperson,10:00-17:00
,,x,,Alter Messplatz,Privatperson,15:00-17:00
,,x,,O 6-O 7,Anonymous for the Voiceless,14:00-17:00
,,x,,Kapuzinerplanken,Friedensbündnis,14:30-17:00
,,x,,Paradeplatz zwischen Planken und Grünflächen,Tamilen,13:00-16:00
,,x,,Paradeplatz - Kunststraße - Planken - Paradeplatz ,Seebrücke,16:30-19:00
,,x,,Paradeplatz auf Seite N 1 ,Privatperson,11:00-16:00
,,,,,,
,,,,,,
27.0,,,,,,
,,,,,,
28.0,,,,,,
,,x,,Marktplatz - Innenstadt - Ehrenhof (genaue Route siehe Vorgang),Offene Gesellschaft Kurpfalz (abgesagt),18:00-22:00 
