Juni,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
17.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Privatperson,14:00-17:00,,
,,,,,,,,
,,,,,,,,
18.0,,x,,Kaiserring ,ADFC,10:00-16:00,Pop up Bikelane,30
,x,,,O 2 / Planken abgesagt,Hanfverband,10:30-17:00,,
,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,,x,,Neuer Messplatz,Privatperson (findet nicht statt),ganztags,gegen Faschismus,500
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,,x,,Planken O6/O7,Privatperson,16:00-19:30,Earthlings Experience,20
,x,,,Neumarkt im Bereich des Kiosks,Quartiermanagement Neckarstadt West,11:00-14:00,,
,,x,,Paradeplatz zwischen Planken und Grünflächen,Kurdisches Gemeinschaftszentrum ,14:00-17:00,Unterdrückung des kurdischen Volkes,20-30
,,,,,,,,
,,,,,,,,
19.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,x,,Am Rhein Bellenkrabben,Konferenz der Bäume,14:00-16:30,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
21.0,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,Paradeplatz zwischen Grünflächen und Planken,Mission für Süd-Ost-Europa e.V.,09:00-19:00,,
