Juli,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,,x,,O 7 vor Burger King,Privatperson,16:00-19:30,Earthlings Experience,20
,,x,,Paradeplatz zwischen Planken und Grünflächen (angemeldet / nicht möglich),Kurdisches Gemeinschaftszentrum ,15:00-18:30,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17.0,x,,,Lindenhofplatz,Ahmadiyaa,08:00-18:00,,
,,x,,Am Rhein Bellenkrappen,Konferenz der Bäume ,14:00-16:30,Erhalt der Bäume ,75
,,x,,Paradeplatz,Privatperson,14:00-16:00,Solidarität mit den politischen Gefangenen in der Türkei,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
18.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
19.0,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,17:30-19:30,Frieden schaffen ohne Waffen,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
21.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22.0,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,,x,,Alter Messplatz,MLPD,17:30-20:00,Ukrainekrieg,20
,,x,,Hafenbahnstraße /Ecke Drosselstraße,MLPD,13:30-15:00,Kampf gegen Arbeitsplatzabbau,10
,,,,,,,,
,,,,,,,,
23.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,P4 / Planken,Gideon Gruppe,10:00-13:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,x,,, Ecke Am Kiefernbühl/Donarstraße ,SPD MA-Gartenstadt,10:00-11:00,,
,,x,,Paradeplatz,Die Linke,11:30-13:30,Mieten runter,50
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:30-19:30,,
,,x,,O 7 vor Burger King,Privatperson,16:00-19:30,Earthlings Experience,20
,,x,,Q1-R1 (Breite Straße),Falun Gong,10:00-16:00,Verfolgung von Falun Gong in China,2-10
24.0,,,,,,,,
,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
26.0,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,17:30-19:30,Frieden schaffen ohne Waffen,50
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
27.0,,x,,Ehrenhof - Innenstadt/Jungbusch- Alter Messplatz,Privatperson,18:00-21:00,(Frei)Flächen für die kulturelle Entfaltung - jetzt!,400
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
28.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
29.0,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,,x,,O 6-O 7 (Planken),Albert Schweitzer Stiftung ,16:00-20:00,Tierschutz,2-10
,,x,,Paradeplatz,Privatperson,18:30-20:30,Solidarität Ukraine,150
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
30.0,x,,,P 2 / Planken,Peter Steinhaus (Bibel),10:00-15:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:30-19:30,,
,,x,,O 6 - O 7,Privatperson,16:00-19:30,Earthlings Experience,20
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
31.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
