August,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
16.0,,x,,Ab Mannheim Landesgebiet Baden-Württemberg bis 03.09.2022,ausgestrahlt e.v.,16.08. 03.09.22,Fahrraddemo Atomausstieg,50-100
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis ,17:30-20:00,Frieden schaffen ohne Waffen,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18.0,,x,,Wilhelm-Varnholt-Allee 5 vor dem SWR,Privatperson,18:00-19:00,Für Ehrlichkeit und Unabhängigkeit der öffentlich-rechtlichen Medien,20
,,,,,,,,
,,,,,,,,
,,,,,,,,
19.0,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,,x,,Friedrich-Ebert-Straße 80-86,IG Metall,12:00-12:30,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:30-19:30,,
,x,,,O 7 Freifläche Eingang Planken ,Nahostgruppe,10:45 -15:30 ,,
,,x,,O6/O7,Anonymous for the Voiceless,16:00-19:00,Veganismus,20
,x,,,Paradeplatz Seite N1,Privatperson,10:00-17:00,,
,,x,,Paaradeplatz zwischen Grünflächen und Planken,Privatperson,15:00-18:00,Freiheit - Religion,3
,,,,,,,,
,,,,,,,,
21.0,,x,,Am Rhein Bellenkrappen,Konferenz der Bäume ,14:00-16:30,Erhalt der Bäume ,75
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,,,,,,
23.0,,,,,,,,
,,x,,Paradeplatz zwischen Grünflächen und Planken,Friedensbündnis,17:30-20:00,Frieden schaffen ohne Waffen,50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
25.0,,,,,,,,
,,x,,Freifläche O7,Privatperson,18:00-20:00,Freiheit für Julian Assange,30
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
26.0,,,,,,,,
,x,,,P 3 / Planken,Body of Christ,18:00-20:00,,
,x,,,Hauptstr. 50 Ecke Pfalzstr.,SPD,09:00-10:00,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
27.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,P 3 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz ,Adventgemeinde,14:30-19:30,,
,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,x,,,Paradeplatz Seite N1,Privatperson,10:00-17:00,,
,,x,,Freifläche O7 Plankenkopf,Kurden,16:00-17:00,Stoppt die Angriffe der Türkei auf Nord-Syrien,150-300
,,x,,Planken O6 O7  ,Privatperson,16:00-19:30,Tierschützer,20
,,x,,Ecke Q1 R1,Privatperson,14:00-18:00,Freiheit Religion,10
,,x,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,15:00-17:30,Freiheit Religion,3
28.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
29.0,,,,,,,,
,,,,,,,,
