September,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,x,,,Paradeplatz zwischen Grünfläche und Planken,Verein Deutsche Sprache,09:30-17:00,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,,x,,Marktplatz G1,Die freien Heidelberger,18:00-23:00,Cororna kritische Filmvorführung ,100
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,,,x,Paradeplatz zwischen Grünfläche und Planken,Arbeitsgemeinchaft f. Barrierefreiheit,09:00-17:00,SoNuE 4x4m Pavillon,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,,x,,Paradeplatz auf der Seite zu N 1,DIE LINKE,16:00-18:00,Wir frieren nicht für eure Kriege,80
,,x,, O6/O7  (Planken),Privatperson,16:00-19:30,Tierschützer,20
,,x,,O 7 Freifläche vor Burger King,Privatperson,15:30-19:00,Freiheit Religion,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
18.0,,,,Werksgelände John Deere (Lindenhof),Mitarbeiterfest 20.000 Personen,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Am Rhein Bellenkrappen,Konferenz der Bäume,14:00-16:30,Erhalt der Bäume,75
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
19.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
21.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,x,Paradeplatz zwischen Grünflächen und Planken,UMM,15:00-19:00,Pavillon 3x3m,
,,,,,,,,
,,,,,,,,
22.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz zw. Grünflächen und Planken,Privatperson,18:30-22:00,Solidarität mit der Ukraine,200
,,x,,Boveristraße 32,IG Metall,11:30-12:45,Aktive Mittagspause,30
,,,,,,,,
23.0,x,,,Schwabenheimer Str. 1,SPD,10:30-11:30,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body ofChrist,18:00-20:00,,
,,x,,Schloss-verl. Breite Str.-Kunststr.-Ring-Fressgasse-Breite Straße- Marktplatz G1,FFF,17:00-19:00,Klimagerechtigkeit,800
,,,,,,,,
24.0,x,,,Auf dem Sand / Rollbühlstr.,Zeugen Jehovas,09:00-18:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Die Grünen,11:00-16:00,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Seckenheim,Privatperson,14:00-15:00,Seckenheimer Radparade,100
,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Freifläche O7 Eingang Planken,Nahost-Gruppe,10:45-15:30,,
,,x,,Paradeplatz-Kunststraße-Ring gegen FR-Planken-Paradeplatz,Privatperson,16:00-19:00,Solidarität mit der Ukraine,250
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-15:30,,
,,,,,,,,
,,,,,,,,
25.0,,x,,Innenstadt-Käfertal,ADFC,15:30-17:00,Kidical Mass,100-200
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Turfweg ab Schlittweg,Mannheim Animal Save,11:30-17:30,"Mahnwache ""Tiere im Sport""",15-20
,,,,,,,,
,,,,,,,,
,,,,,,,,
26.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
27.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Rhenaniastr. 12-30 vor Südkabel dortige Wendespur,IG Metall,13:00-14:30,Warnstreik,100
,,,,,,,,
28.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken O6,Planken O6,17:00-20:00,,
,,,,,,,,
29.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Justus-von-Liebig Schule zum Basketballplatz am Neckarufer und zurück,Justus-von-Liebig Schule ,10:00-14:00,"Schule ohne Rassismus, Schule mit Courage",200-500
,,,,,,,,
,,,,,,,,
,,,,,,,,
30.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,body of Christ,18:00-20:00,,
,,x,,Paradeplatz,Privatperson,16:00-18:00,Frauen im Iran,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
