Mai,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,x,,Marktplatz - Breite Straße - Planken - Friedrichsring - Gewerkschafthaus (abgesagt),ver.di,09:00-12_00,Tarifrunde,800
,,,,,,,,
,,,,,,,,
,,,,,,,,
21,,x,,"Schloss-Bismarckstr-Kaiserring-Planken-PP-Breite Str-Abendakademie-
Friedrichsring-NTM",Animal Rights Watch,12:00-16:00,Schließung aller Schlachthäuser,150-200 
,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Adventgemeinde Mannheim,14:00-19:00,,
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,,x,,E 2 verl. Planken,Grüne Jugend,13:00-16:00,IDAHOBIT,7
,x,,,Neckarufer Höhe Alter,Seebrücke,14:30-17:00,,
,,x,,O 7 Plankenkopf , Die Grünen ,14:30-19:30,Mehrwegtage,20
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,,x,,Planken O6/O7,Privatperson,15:00-18:00,Earthlings Experience,20
,x,,,O 5 Planken,Privatperson,14:00-18:00,,
,,,,,,,,
,,,,,,,,
22,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,,,,,
23,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,x,,Marktplatz G 1 Richtung Außengastronomie,Privatperson,18:30-20:00,Hilfe für Ukraine,
,,x,,Ehrenhof - Bismarckstraße - Konrad-Adenauer-Brücke (abgesagt),ver.di,07:00-10:00,Tarifverhandlungen,1000
,,,,,,,,
25,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,,,,,,,
26,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,,,,,,,
27,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,,,,,,,
28,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,x,,,P 2 / Planken (widerrufen),Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen (widerrufen),Privatperson,11:00-16:00,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,x,,U 1 Freifläche,Tabernacle Church Mannheim ,10:00-14:00,Religion,10:00-15:00
,,,,,,,,
29,,,x,Alter Messplatz  Q 6 Q7,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
30,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
31,,,x,Alter Messplatz u. Paradeplatz Uhr,Hirsch- Mannheimer Sommer- NT Mannheim,GT,,
,,,x,"Planken, Paradeplatz, Kapuzinerplanken, Wasserturm",Stadtfest,,,
