Oktober,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
,,x,,Asamplatz,Privatperson,12:15-12:45,Prozess im Amtsgericht gegen einen Klimaaktivisten,10 bis 20
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
6.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
7.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,Marktplatz G1,CPI,17:00-20:00,Kundgebung Iraner,50-150
,,x,,Paradeplatz,Privatperson,17:00-18:00,Gewalt an Frauen,30-50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
8.0,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Roland Degner,11:00-16:00,,
,,x,,Steubenstr. Höhe Hnr. 102,Lokale Agenda21 Neckarau,10:00-14:00,Erderwärmung,10
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:00-19:00,,
,,x,,Alter Messplatz - Breite Straße - Ehrenhof ,Gesamtelternbeirat,14:00-17:00,Bildung,250
,,x,,O6/O7 ,Anonymous for the Voiceless,14:00-17:00,Veganismus,20
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,,Turleyplatz ,Mieter Syndikat ,13:00-14:00,Gegen Zwangsversteigerung,100
,x,,,Freifläche O7 Eingang Planken,Nahost-Gruppe ,10:45-15:30,,
,,x,,,ggf. Kundgebung Afghanistan,,Kundgebung für den Iran,50-300
,,x,,O 7 vor Burger King,Privatperson,15:00-17:30,Freiheit-Religion,3
,,,,,,,,
,,,,,,,,
,,,,,,,,
9.0,,,,,,,,
,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
10.0,,,,,,,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Stadtgebiet,NaturFreunde Mannheim,11:00-16:15,Stolpersteinverlegung,25-50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
11.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Stadtgebiet,NaturFreunde Mannheim,11:00-16:15,Stolpersteinverlegung,25-50
,,x,,Marktplatz G1,Aktionsbündnis gegen Teuerung,18:00-20:00,gegen Teuerung,100
,,,,,,,,
,,,,,,,,
12.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
13.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
14.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,x,Neumarkt,Arbeitsgemeinschaft Barrierefreiheit,14:00-19:00,SoNuE 20qm,
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,Marktplatz G 1,Privatperson,16:00-18:00,Ukraine ,250
,,,,,,,,
,,,,,,,,
15.0,,,,Paradeplatz freihalten!,,,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:00-19:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,,Paradeplatz-Planken-Fressgasse-Paradeplatz-Kunststraße-Planken-Paradeplatz,Privatperson,14:00-18:00,Steigende Preise etc.,250
,,x,,Ehrenhof,Privatperson,16:00-18:00,Menschenrechtsverletzungen im Iran,100
,x,,,Paradeplatz zwischen Grünfläche und Planken,verdi.Jugend,11:00-19:00,,
,,x,, O6/O7  (Planken),Privatperson,15:00-18:30,Tierschützer,20
,,,,,,,,
16.0,,x,,Innenstadt-Neckarstadt,ADFC,15:30-17:00,Kidical Mass,100-200
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Am Rhein Bellenkrappen,Konferenz der Bäume ,14:00-16:30,Mahnwache Erhalt der Bäume ,75
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
17.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Paradeplatz zwischen Grünfläche und Planken,Grüne Jugend ,16:00-18:30,,
,,,,,,,,
,,,,,,,,
18.0,x,,,Paradeplatz zwischen Grünfläche und Planken,Privatperson,10:00-19:00,,
,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,Paradeplatz zwischen Grünfläche und Planken,Kurdisches Gemeinschaftszentrum,17:00-18:00,Chemiewaffenangriff des türkischen Staates,30
,,,,,,,,
,,,,,,,,
,,,,,,,,
19.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,x,,Bahnhofsvorplatz (abgesagt),Bürgerinitiative Plankstadt u. angrenzende Gemeinden,10:00-16:00,Nein zum Linienkorridor 1007 (R6) zw. Plankstadt u. Eppelheim,k.A.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
20.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
21.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,,Planken P3,Body of Christ,18:00-20:00,,
,,x,,PP-Kunststr-Ring-Planken-PP-Marktplatz,Privatperson,15:00-18:00,Solidarität mit der Ukraine,250
,,,,,,,,
,,,,,,,,
22.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,x,,, P4/P5 (Planken),Gideon Gruppe,10:00-13:00,,
,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,"Planken O2,1",Jehovas Zeugen,09:00-19:00,,
,x,,,Planken P3,Body of Christ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,Paradeplatz zwischen Grünfläche und Planken,Adventgemeinde,14:00-19:00,,
,x,,,Planken O 3 (abgesagt),Amnesty International Hochschulgruppe Mannheim,14:00-17:00,,
,x,,,Käfertal Ecke Auf dem Sand/Rollbühlstraße ,Zeugen Jehovas,09:00-18:00,,
,,x,,Paradeplatz zwischen Grünfläche und Planken,Seebrücke,14:00-17:00,Solidarität für alle,200
,,x,,Glaskubus P 2 (Planken),Ges. dt.-jüd. Zusammenarbeit,19:30-19:55,Gedenkfeier Deportation d. Juden nach Gurs,30-40
,,x,,O6/O7,Anonymous for the Voiceless,14:00-17:00,Veganismus,20
,,x,,Freifläche O7 vor Burger King,Privatperson,14:00-16:00,Sorge um Gesundheitszustand von A. Öcalan,30-40
,x,,,Freifläche O7 vor Burger King,Privatperson,11:00-16:00,Sorge um Gesundheitszustand von A. Öcalan,
,,x,,Freifläche U1 vor Abendakademie,Privatperson,15:00-17:00,Freiheit-Religion,3
,,,,,,,,
23.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
24.0,,,x,"Begrünungsobjekt MoBiGa , Platz Abendakademie",FB 67-Klimaschutz,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
