April,Info,Demo,Sonst,Standort,Veranstalter,Uhrzeit,Thema,TN-Zahl
24.0,,x,,Bellenkrappen bis Speyererstraße,Konferenz der Bäume ,14:00-17:30,„Mahnwache für den Erhalt der Bäume am Waldparkdamm und für die stabile selbsttragende Spundwand im alten Damm“,250
,,x,,Rheindamm,Initiative Waldpark,16:15-17:00,Erhalt der Bäume am Waldparkdamm,200
,,x,,Ehrenhof,Mannheim sagt Ja,16:00-21:00,Ukraine,2000
,,,,,,,,
,,,,,,,,
,,,,,,,,
25.0,,x,,Paradeplatz zwischen Grünfläche und Planken,Montagsdemo ,17:45-19:00,Widerstand gegen Hartz IV und Agenda 2010,15-20
,,,,,,,,
,,,,,,,,
26.0,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
27.0,,x,,Paradeplatz zw. Grünflächen und Planken,PETA,15:00-16:00,Aktion gegen Tierversuche,ca. 12
,,x,,Paradeplatz  ,Privatperson (abgesagt),17:00-18:30,Frieden in der Ukraine - Solidarität jetzt,100
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
28.0,,,,,,,,
,,,,,,,,
29.0,x,,,P 2 / Planken,Body of Christ,18:00-20:00,,
,,x,,Paradeplatz  ,Privatperson,17:00-18:30,Frieden in der Ukraine - Solidarität jetzt,100
,,,,,,,,
,,,,,,,,
30.0,x,,,P 2 / Planken,Privatperson,10:00-15:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,11:00-16:00,,
,x,,,P 2 / Planken,Body of Christ ,11:00-14:00,,
,x,,,Paradeplatz zwischen Planken und Grünflächen,Privatperson,10:00-17:00,,
,,x,,Alter Messplatz,Privatperson,15:00-17:00,"Freue dich am Leben, aber sei dir bewusst, 
dass du dich einmal vor Gott für dein Taten verantworten musst",5
,,x,,Paradeplatz,Privatperson,13:00-15:00,"Russen gegen den Krieg, gegen Putin",30
,x,,,Planken P4,Gideon Gruppe,10:00-13:00,,
,,x,,O6/O7,Anonymous for the Voiceless,14:00-17:00,Veganismus,20
