Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 5
,,,,,
1.0,2017-01-13 00:00:00,dem. Aktion,Tierversuch,Kajo bei WMF Geschäft,
2.0,2017-01-04 00:00:00,dem. Aktion,Zirkus Circolo - Tierquälerei,Messegelände,
3.0,2017-01-09 00:00:00,dem. Aktion,Mahnwache für die vor drei Jahren ermordeten kurdischen Frauen in Paris,Rathausplatz,
4.0,2017-01-14 00:00:00,Mahnwache,Aufstehen gegen Rassismus,Bertoldsbrunnen (vor WMF),
5.0,2017-01-26 00:00:00,dem. Aktion,Menschenrechte weltweit,Bertoldsbrunnen ,
6.0,2017-01-16 00:00:00,dem. Aktion,Aktiv gegen Abschiebung,Rathausplatz,
7.0,2017-01-15 00:00:00,dem. Aktion,Europäische Idee und Einigung,Augustinerplatz,
8.0,"23.01., 06.02., 20.02, 06.03., 20.03. und 03.04.2017

30.01., 13.02., 27.02., 13.03., 27.03. und 10.04.2017",Montags-Demos,"Soziale Ungerechtigkeit, Umweltschutz, Frieden","Rathausplatz





Ecke Bertoldstraße/Niemensstraße",
9.0,2017-01-20 00:00:00,dem. Aktion,Protest gegen Donald Trumps Einführung ,nördl. Gehweg d. Eisenbahnstr. 58-62 in Höhe Carl-Schurz-Haus,
10.0,2017-01-27 00:00:00,dem. Aktion,Leder und Pelz,Bertoldsbrunnen,
11.0,2017-01-21 00:00:00,dem. Aktion mit Aufzug,Freiheit für Öcalan - Freiheit für Kurdistan,"Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße – Bertoldsbrunnen, dort Zwischenkundgebung  – Martinstor – Gerberau –  Augustinerplatz, dort Zwischenkundgebung – Salzstraße  – Kaiser-Joseph-Straße – Schiffstraße - Rathausplatz, ",
12.0,2017-01-22 00:00:00,dem. Aktion,Europäische Idee und Einigung,Augustinerplatz,
