Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
117.0,2020-05-09 00:00:00,Grundgesetz (Verteilen von Grundgesetzen und Zeitungen an Interes-sierte),Platz der Alten Synagoge,,,
118.0,2020-05-09 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz,,,
119.0,2020-05-09 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte und unserer Freiheit,Rathausplatz,,,
120.0,2020-05-09 00:00:00,Die Grundrechte unserer Demokratie verteidigen,Europaplatz,,,
121.0,2020-05-08 00:00:00,Kundgebung zum 75. Jahrestag des Endes von Krieg und NS-Herrschaft,"Mahnmal beim Rotteckhaus, Eisenbahnstraße",,,
122.0,2020-05-13 00:00:00,Welt Falun Dafa Tag + Verfolgung von Falan Dafa in China,Rathausplatz,,,
123.0,2020-05-09 00:00:00,"Türkei raus aus Kurdistan, Erdogan vors Kriegsverbrechergericht nach Den Haag...",Kartoffelmarkt,,,
124.0,2020-05-13 00:00:00,Rettet die Reisebüros,Platz der Alten Synagoge,,,
125.0,2020-05-09 00:00:00,Mehr Solidarität in Europa ,Platz der Alten Synagoge,,,
126.0,2020-05-12 00:00:00,Free Tobi and Hemp,vor Amtsgericht,,,
127.0,2020-05-10 00:00:00,Kundgebung anlässlich des 80. Jahrestags der Bombardierung Freiburgs durch eine versehentlichen deutschen Fliegerangriff,Hildaspielplatz,,,
128.0,2020-05-08 00:00:00,Zum 75 Jahrestag des Endes von Krieg und NS-Herrschaft,"Konrad-Adenauer-Platz – Wilhelmstraße – Rotteckring – Platz der Alten Synagoge – Rotteckring –
Merianstraße bis Hermann-Herder-Straße – Habsburgerstraße - Europaplatz – Kaiser-Joseph-Straße –
Dreisamstraße – Goethestraße – Lorettostraße – Baslerstraße – Kronenbrücke – Rehlingstraße –
Heinrich-von-Stephan-Straße – Schnewlinstraße – Bismarckalle –Wiwili-Brücke – Stühlinger Kirchplatz",,,
129.0,2020-05-16 00:00:00,Tanzmeditation für Menschlichkeit,Platz der Alten Synagoge,,,
130.0,2020-05-16 00:00:00,Grundgesetz (Verteilen von Grundgesetzen und Zeitungen an Interessierte),Platz der Alten Synagoge,,,
131.0,2020-05-15 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge (Auftaktkundgebung) - Rotteckring - Friedrichring - Leopoldring - Schlossbergring - Greiffeneggring - Dreisamstraße - Schreiberstraße - Werthmannstraße - Kronenstraße - Basler Straße - Feldbergstraße - Staufener Straße - Markgrafenstraße - Haslacher Straße - Eschholzstraße - Engelbergerstraße - Wentzingerstraße - Wiwilibrücke – Konrad-Adenauer-Platz - Wilhelmstraße - Sedanstraße – Platz der Alten Synagoge (Abschlusskundgebung).,,,
132.0,2020-05-17 00:00:00,Zusammen alleine tanzen,Platz der Alten Synagoge,,,
133.0,2020-05-16 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz,,,
134.0,2020-05-16 00:00:00,Meditation für das Grundgesetz,Rathausplatz,,,
135.0,2020-05-16 00:00:00,Friedliche Versammlung zum Erhalt der Grundrechte und unserer Freiheit,Augustinerplatz,,,
136.0,2020-05-29 00:00:00,"Altersarmut, Misstände bei der Rente, Wirtschaftskrise und Grundrechte",Platz der Alten Synagoge,,,
137.0,2020-05-22 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
138.0,2020-05-23 00:00:00,Grundgesetz (Verteilen von Grundgesetzen und Zeitungen an Interessierte),Platz der Alten Synagoge,,,
139.0,2020-05-23 00:00:00,Tag des Grundgesetzes,Platz der Alten Synagoge,,,
140.0,2020-05-22 00:00:00,Protest gegen Atomwaffeneinsatz,Platz der Alten Synagoge,,,
141.0,2020-05-23 00:00:00,"Freiheit für alle politischen Gefangenen, etc.",Rathausplatz,,,
142.0,2020-05-23 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz,,,
143.0,2020-05-23 00:00:00,Pop-Up Bikelane,Schlossbergring,,,
144.0,2020-05-26 00:00:00,We want To-bi free,"vor dem Amtsgericht Freiburg, Holzmarkt 2 (Gehwegbereich in der Kaiser-Joseph-Straße und entlang des Holzmarkts)",,,
145.0,2020-05-23 00:00:00,"Deutschland sollte in Europa wie Schweden Vorbild im Management der Krise sein!
Bevor aus eine Gesundheitskrise eine unrettbare Wirtschaftskrise bzw -Depression erwächst das im Kollaps der Europäische Sozialdemokratie und Europäische Union enden kann.
",Ecke Rempartstraße auf der Grünfläche beim Mensa-Brunnen  ,,,
146.0,2020-05-23 00:00:00,menschenunwürdige Situation in den Lagern in Griechenland und die Seenotrettung,Europaplatz,,,
147.0,2020-05-23 00:00:00,menschenunwürdige Situation in den Lagern in Griechenland und die Seenotrettung,Rathausplatz,,,
148.0,2020-05-23 00:00:00,Aufhebung der Beschränkungen der Corona-Verordnung des Landes Baden-Würrtemberg für Laufgruppen,Maierbuckallee 4 (Start) – Maierbuckallee  – Tunibergstraße – Tuniberg (entlang den Weinreben) – Tunibergstraße - Maierbuckallee.,,,
149.0,2020-05-15 00:00:00,Inhaftierung zweier Bürgermeister in der Türkei,Europaplatz,,,
150.0,2020-05-23 00:00:00,Für linke Intervebtione gegen die Krise - Gegen Populismus und Verschwörungstheorien,Bertoldsbrunnen,,,
151.0,2020-06-01 00:00:00,Schutz der Kindheit,Platz der Alten Synagoge,,,
152.0,2020-05-30 00:00:00,Solidarität mit den Arbeiter*innen der Tierindustrie,Platz der Alten Synagoge,,,
153.0,2020-05-28 00:00:00,We want To-bi free,"vor dem Amtsgericht Freiburg, Holzmarkt 2 (Gehwegbereich in der Kaiser-Joseph-Straße und entlang des Holzmarkts)",,,
154.0,"27.05.2020
30.05.2020
03.06.2020
06.06.2020",Aufhebung der Beschränkungen der Corona-Verordnung des Landes Baden-Württemberg für Laufgruppen,Maierbuckallee – Tunibergstraße – Tuniberg (entlang den Weinreben) – Tunibergstraße - Maierbuckallee ,,,
155.0,2020-05-28 00:00:00,Forderung der Freilassung von aus politischen Gründen inhaftierten Journalisten in der Türkei (Gründungstag von Amnesty International),Platz der Alten Synagoge,,,
156.0,2020-06-01 00:00:00,Mahnwache Tierrechte,Münsterplatz,,,
157.0,2020-06-01 00:00:00,Kirche und Tierschutz,Münsterplatz,,,
158.0,2020-05-31 00:00:00,Zusammen alleine tanzen,Platz der Alten Synagoge,,,
159.0,2020-05-29 00:00:00,"Tanzen ist Systemrelevant für das Immunsystem. Tanzschulen bitte nicht zerstören! Die neuen Auflagen von Baden-Württemberg für Tanzschulen bedeuten das aus für viele kleine Tanzschulen, besonderes in Verbindung mit der Tatsache das keine weitere Hilfsmaßnahmen angekündigt sind.",Ecke Rempartstraße auf der Grünfläche beim Mensa-Brunnen  ,,,
160.0,2020-05-30 00:00:00,Nach Corona nicht weiter so,Rathausplatz,,,
161.0,2020-05-30 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz,,,
162.0,2020-05-28 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
163.0,2020-05-30 00:00:00,Grundgesetz (Verteilen von Grundgesetzen und Zeitungen an Interessierte),Platz der Alten Synagoge,,,
164.0,2020-05-29 00:00:00,Verkehrswende statt #Abfckprämie,Platz der Alten Synagoge,,,
165.0,2020-06-02 00:00:00,Klimagerechtigkeit,Platz der Alten Synagoge,,,
166.0,2020-05-30 00:00:00,Flüchtlinge im Lager Moria (Griechenland),Rathausplatz,,,
167.0,2020-05-30 00:00:00,Immunkräfte stärken - Strahlenbelastung mindern,Vorplatz des Stadttheaters ,,,
168.0,2020-06-06 00:00:00,Kritik an der Lagerunterbringung von Geflüchteten,"auf dem Gehweg vor der Landeserstaufnahme Freiburg, Lörracher Straße",,,
169.0,2020-06-03 00:00:00,Weltkulturerbe Tango Argentino retten,Rathausplatz,,,
170.0,2020-06-06 00:00:00,Schutz der Grundrechte,Platz der Alten Synagoge,,,
171.0,2020-06-06 00:00:00,Mahnwache in Gedenken an George Floyd,Platz der Alten Synagoge,,,
172.0,2020-06-06 00:00:00,Friedensdemo für junge Menschen - Impulse für die Zukunft,Platz der Alten Synagoge,,,
173.0,2020-06-06 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz (Nordseite),,,
174.0,2020-06-10 00:00:00,Zusammen gegen Rassismus,Platz der Alten Synagoge,,,
175.0,2020-06-30 00:00:00,Fessenheim Abschaltung - Eine Zukunft ohne Atomstrom,Platz der Alten Synagoge,,,
176.0,2020-06-06 00:00:00,"Gewalt gegen Frauen in Kurdistan sichtbar machen - Täter zur
Verantwortung ziehen
Gewalt gegen Frauen bekämpfen
Die türkische Regierung vor das Kriegsverbrechertribunal in Den Haag
Gegen Faschismus, Nationalismus und Patriarchat
",Rathausplatz,,,
177.0,2020-06-27 00:00:00,Wasser und Klima,Platz der Alten Synagoge,,,
178.0,2020-06-12 00:00:00,Gerechtigkeit für George Floyd - Gegen rassistische Polizeigewalt,Einkaufszentrum Weingarten in der Krozinger Straße,,,
179.0,2020-06-27 00:00:00,Frauen für den Frieden,Rathausplatz,,,
180.0,2020-06-06 00:00:00,Freiburg All Black,Platz der Alten Synagoge,,,
181.0,2020-06-06 00:00:00,Black divers Matter,Platz der Alten Synagoge,,,
182.0,2020-06-05 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
183.0,2020-06-06 00:00:00,Nein zu Rassismus - gemeinsam sind wir startk,Platz der Alten Synagoge,,,
184.0,2020-06-09 00:00:00,Stand up for love -> Hochzeitsdienstleister brauchen Perspektive,Platz der Alten Synagoge,,,
185.0,2020-06-11 00:00:00,Wie es nach Corona weitergeht,Platz der Alten Synagoge,,,
186.0,2020-06-12 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
187.0,2020-06-13 00:00:00,Schutz der Grundrechte,Platz der Alten Synagoge,,,
188.0,2020-06-14 00:00:00,"#sogehtsolidarisch - Menschenkette für eine solidarische Gesellschaft, die auch trotz Corona alle Menschen berücksichtigt.",Werthmannstraße-PdAS-Rotteckring-Fahnenbergplatz.,,,
189.0,2020-06-16 00:00:00,Zusammen alleine tanzen,Platz der Alten Synagoge,,,
190.0,2020-06-13 00:00:00,Verfolgung von Falun Dafa in China,Rathausplatz,,,
191.0,2020-06-13 00:00:00,"Frieden und Freiheit in Kurdistan
Die türkische Regierung vor das Kriegsverbrechertribunal in Den Haag 
Gegen Faschismus, Nationalismus und Patriarchat",Kartoffelmarkt,,,
192.0,2020-06-13 00:00:00,Erhalt des Naturgutes Tanz,Rempartstraße Mensa-Brunnen,,,
193.0,2020-06-13 00:00:00,Mahnwache für den Erhalt der deutschen Grundrechte und unserer Freiheit,Münsterplatz,,,
194.0,2020-06-15 00:00:00,"Strafrechtliche Verfolgung der Täter, Anstifter, Beihelfer und Unterstützer des Genozids/Femizids, national und international, insbesondere der Türkei und des IS!
Die Einrichtung einer flugfreien Zone über Sinjar und Maxmur und ganz Kurdistan!
Sofortige Beendigung des Femizids und Genozids in Sinjar und weltweit!
Sofortiger Stopp aller Waffenlieferungen an die Türkei und andere kriegsführende Kräfte!
",Platz der Alten Synagoge,,,
195.0,2020-06-13 00:00:00,Fahrradrennen mit feministischem Anspruch,,,,
196.0,2020-06-17 00:00:00,Aufstehen statt Klatschen: Gemeinsam für ein solidarisches Gesundheitswesen,Menschenkette: Platz der Alten Synagoge- Bertoldstraße-Kaiser-Joseph-Straße- Rathausgasse-Rathausplatz,,,
197.0,2020-06-13 00:00:00,Meditation ,Rathausplatz,,,
198.0,2020-06-26 00:00:00,Grenzenlose Liebe,Rathausplatz,,,
199.0,2020-07-26 00:00:00,Fahrverbot für Motorräder Samstag und Sonntag,Gundelfingen- Glottertal-St. Märgen-Buchenbach-Freiburg-Bötzingen-Ihringen,,,
200.0,2020-06-16 00:00:00,"Leestand ist doof. Häuser besetzen, Wohnraum gestalten.","vor dem Amtsgericht Freiburg, Holzmarkt 2 ",,,
201.0,2020-06-16 00:00:00,Fahrradddemo nach Gerichtsprozess. Unsere Solidarität gegen Repression.,"Fehrenbachallee 52 (Auftaktkundgebung) - Eschholzstr - Egonstr - Guntramstr (Zwischenkundgebung) - Wannerstr - Wentzingerstr - Stühlingerstr - Eschholstr - Markgrafenstr - Staufener Str - Haslacherstr (Zwischenkundgebung) - Eschholzstr - Basler Str - Heinrich-von-Stephan (Zwischenkundgebung) - Rehlingstr - Kronenstr (Zwischenkundgebung) - Kronenbrücke - Gartenstr - Rempartstr - Kaiser-Joseph-Straße - Friedrichring - Leopoldring - Mozartstr (Zwischenkundgebung) - Starkenstr
(Abschlusskundgebung)",,,
202.0,2020-06-19 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
203.0,2020-06-20 00:00:00,"Lager machen krank – immer
Gegen die Landeserstaufnahmeeinrichtung Freiburg und die bundesweite Lagerpolitik",Platz der Alten Synagoge (Auftaktkundgebung) – Rotteckring – Fried-richring – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium Freiburg) – Rathausgasse – Rathausplatz (Abschlusskundgebung),,,
204.0,2020-06-20 00:00:00,Erhalt und sofortige Wiederherstellung der Grundrechte,Platz der Alten Synagoge,,,
205.0,2020-06-20 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
206.0,2020-06-20 00:00:00,Tanz Demo: für den Erhalt des Naturgutes Tanz,Rempartstraße beim Mensa-Brunnen,,,
207.0,2020-06-20 00:00:00,Öffentliche Meditation,Rathausplatz,,,
208.0,2020-06-20 00:00:00,"Freie Meinungsäußerung zu unterschiedlichsten Themen, wie z. B. Corona, Politik, etc., von den teilnehmenden Menschen. Keine vorherige Einschränkung durch irgendwelche Richtlinien, wie z. B. Parteisatzungen, Medienvorgaben etc..",Münsterplatz (Nordseite),,,
209.0,2020-06-21 00:00:00,Tierindustrie und Klimawandel,Platz der Alten Synagoge,,,
210.0,2020-06-20 00:00:00,"Strafrechtliche Verfolgung der Täter, Anstifter, Beihelfer und Unterstüt-zer des Genozids/Femizids, national und international, insbesondere der Türkei und des IS!
Die Einrichtung einer flugfreien Zone über Sinjar und Maxmur und ganz Kurdistan!
Sofortige Beendigung des Femizids und Genozids in Sinjar und welt-weit!
Sofortiger Stopp aller Waffenlieferungen an die Türkei und andere kriegsführende Kräfte!
Sofortiger Stop der Kollaboration mit totalitären Regimen!
",Rathausplatz – Rathausgasse – Kaiser-Joseph-Straße – Bertoldsbrun-nen – Bertoldstraße – Universitätsstraße – Rathausplatz.,,,
211.0,2020-06-19 00:00:00,Fuß- und Radentscheid Freiburg: Stadtspaziergang für mehr Flächengerechtikgkeit in Freiburg,Schwabentorplatz - Greifeneggring - Dreisamstraße (B31) - Mariensteg - Uhlandstraße- Talstraße - Turnseestraße - Urachstraße - Lorettostraße - Lorettoschule ,,,
212.0,2020-06-20 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Eschholzpark,,,
213.0,2020-06-27 00:00:00,Annexion Palästinensischer Gebiete,Augustinerplatz,,,
214.0,2020-07-08 00:00:00,Mahnwache für Atomwaffenverbotsvertrag der Uno und Mayors for Peace (Bürgermeister für die Abschaffung der Atomwaffen). 3. Jahrestag des Atomwaffenverbotsvertrages. ,Rathausplatz,,,
215.0,2020-06-20 00:00:00,Neue Räume für Kultur- und Kleinkunstinitiativen,Stadtgarten bei Musikpavillon,,,
216.0,2020-06-20 00:00:00,Shut down Mietenwahnsinn - sicheres zuhause für alle,"Fritz-Schieler-Platz (Fahrraddemo über Haslach, Stühlingerplatz bis zum PdAS)",,,
217.0,2020-06-22 00:00:00,Solidarität mit Polizei/Blaulichtorganisationen,Platz der Alten Synagoge,,,
218.0,2020-06-24 00:00:00,Verurteilung der Morde an den drei Frauen von Hilince,Platz der Alten Synagoge,,,
219.0,2020-06-27 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
220.0,2020-06-26 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
221.0,2020-06-26 00:00:00,Klimagerechtigkeit/Fahrraddemo,Platz der Alten Synagoge – Sedanstraße – Schnewlinstraße – Wiwilibrücke – Wentzingerstraße – Engelbergerstraße – Eschholzstraße – Carl-Kistner-Straße – Opfingerstraße – Binzengrün – Berliner Allee – Bissierstraße – durch den Eschholzpark – Engelbergerstraße – Wentzingerstraße – Wiwilibrücke – Schnewlinstraße – Sedanstraße ,,,
222.0,2020-06-26 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Eschholzpark,,,
223.0,2020-06-29 00:00:00,Mahnwache für die Tiere,"Tullastr. 73, vor dem Schlachthof",,,
224.0,2020-06-27 00:00:00,"Frieden und Freiheit in Kurdistan.
Die türkische Regierung vor das Kriegsverbrechertribunal in Den Haag.
Flugverbotszone in Kurdistan.
Waffenexporte stoppen.
Gegen Faschismus, Nationalismus und Patriarchat.
",Rathausplatz – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischen-kundgebung) – Bertoldstraße – Platz der Alten Synagoge – Rempart-straße – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundge-bung) – Rathausgasse – Rathausplatz.,,,
225.0,2020-06-27 00:00:00,"Vorträge und Austausch über allerlei Themen, wie z. B. die aktuellen Corona-Umstände, politische Entscheidungen, Empfinden unserer Mitmenschen, etc., ohne Vorgabe irgendwelcher Richtlinien, wie z. B. Partei-, Gewerkschafts-, Vereinsrichtlinien, etc.",Münsterplatz (Nordseite),,,
226.0,2020-06-27 00:00:00,Verfolgung von Falun Dafa in China,Kartoffelmarkt,,,
227.0,2020-06-30 00:00:00,#StudiKampaCorona,"Platz der Alten Synagoge (Auftaktkundgebung) – Rempartstraße – Holzmarkt – Wallstraße – Schwabentorring – Schlossbergring – Leo-poldring –  Friedrichring – Friedrichstraße –  Bismarckallee – Konrad-Adenauer-Platz – Wiwilibrücke – Wentzingerstraße – Engelbergerstra-ße – Greta-Borgmann-Straße – Stühlingerstraße – Eschholzstraße – Hohenzollernstraße – Heiliggeiststraße – Mathildenstraße – Albertstra-ße – Katharinenstraße – Hermann-Herder-Straße – Habsburgerstraße – Friedrichring – Rotteckring – Platz der Alten Synagoge (dort nur Auflösung, keine Abschlusskundgebung).  ",,,
228.0,2020-07-01 00:00:00,Klimagerechtigkeit,Eisenbahnstraße 64 ,,,
229.0,2020-06-30 00:00:00,"""Keine Profite mit der Miete""""Leerstand ist doof""",Amtsgericht Freiburg,bis hierhin 2. Quartal,,
230.0,2020-07-04 00:00:00,Grundgesetze und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
231.0,2020-07-04 00:00:00,"Freie Meinungsäußerung zu Themen, die die Menschen bewegen. ak-tuelle Thematik, wie z. B. Corona, ist ebenfalls relevant. Keine politi-schen, religiösen oder sonstigen Richtlinien, die die Meinung unserer
Mitmenschen prägen sollen. Vom Mensch zum Mensch.
",Münsterplatz (Nordseite),,,
232.0,2020-07-04 00:00:00,"Türkische Regierung vors Kriegsverbrechergericht nach Den Haag,
Schluss mit der Unterstützung der türkischen Verbrechen durch die
deutsche Regierung,
Flugverbotszone in Kurdistan,
Waffenexporte stoppen,
Türkei boykottieren.
",Platz der Alten Synagoge,,,
233.0,2020-07-03 00:00:00,Forderung von Freisprüchen fü inhaftierte Menschenrechtsverteidiger in der Türkei,Rathausplatz,,,
234.0,2020-07-03 00:00:00,Die Bewegung der Lebensfreude,Platz der Alten Synagoge,,,
235.0,2020-07-04 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
236.0,2020-07-04 00:00:00,die Präsenz der afrikanischen Geschichte,Konrad-Adenauer-Platz mit Aufzug,,,
237.0,2020-07-05 00:00:00,Nein zum neuen Polizeigesetz - nein zu Polizeigewalt,Stühlinger Kirchplatz - Engelbergerstr. - Wentzingerstr. - Wiwili Brücke - Sedanstr. - Wethmannstr. - Rempartstr - Kajo - Bertoldsbrunnen - Kajo - Rathausgasse - Rathausplatz,,,
238.0,2020-07-07 00:00:00,keine Hexenjagd für Cannabis,Amtsgericht Freiburg,,,
239.0,2020-07-08 00:00:00,Fuß - und Radentscheid,Rathausplatz,,,
240.0,2020-07-10 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
241.0,2020-07-10 00:00:00,kein Klimaschutz ohne Verkehrswende,Platz der Alten Synagoge,,,
242.0,2020-07-11 00:00:00,Weltfrieden durch inneren Frieden,Stadtgarten,,,
243.0,2020-07-11 00:00:00,freie Meinungsäußerung,Münsterplatz Nordseite,,,
244.0,2020-07-11 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
245.0,2020-07-11 00:00:00,Freiheit im Ausdruck,Platz der Alten Synagoge,,,
246.0,2020-07-11 00:00:00,Verkehrswende Freiburg,"Parkplätze Eisenbahnstr., Rempartstr./Kreuzung Kajo",,,
247.0,2020-07-11 00:00:00,"Auswikungen von 5G auf Gesundheit, Klima u.s.w.",Augustinerplatz,,,
248.0,2020-07-11 00:00:00,"Freiheit für alle politischen Gefangenen, etc.",Rathausplatz,,,
249.0,2020-07-11 00:00:00,Gegendemo Freies Mikrofon,Münsterplatz,,,
250.0,2020-07-15 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,Kajo/Sparkasse,,,
251.0,2020-07-22 00:00:00,Investitionen der Sparkasse in Braunkohle und Rüstung,Kajo/Sparkasse,,,
252.0,2020-07-17 00:00:00,Mahnwache für Tiere,"Tullastr. 73, vor dem Schlachthof",,,
253.0,2020-07-18 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Eschholzpark,,,
254.0,2020-07-18 00:00:00,freie Meinungsäußerung,Nordseite Münsterplatz,,,
255.0,2020-07-18 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
256.0,2020-07-18 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der alten Synagoge,,,
257.0,2020-07-26 00:00:00,Fahrverbot für Motorräder Samstag und Sonntag,"Gundelfingen-Bötzingen-Kaiserstuhl-Kenzingen-Herbolzheim-Freiamt-Sexau-Gundelfingen-Freiburg, neue Messe",,,
258.0,2020-07-17 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
259.0,2020-07-18 00:00:00,"Frieden und Freiheit in Kurdistan.
Die türkische Regierung vor das Kriegsverbrechertribunal in Den Haag.
Flugverbotszone in Kurdistan.
Waffenexporte stoppen.
Gegen Faschismus, Nationalismus und Patriarchat.
",Rathausplatz,,,
260.0,2020-07-18 00:00:00,2.Freiburger Krisenprotest,Platz der Alten Synagoge,,,
261.0,2020-07-18 00:00:00,gegen Kriminalität der syrischen Regierung,Platz der Alten Synagoge,,,
262.0,2020-07-21 00:00:00,Tierschutz,Kreuzung Stefan-Meier-Str./Friedrichstraße,,,
263.0,2020-07-24 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
264.0,2020-07-25 00:00:00,"Auswikungen von 5G auf Gesundheit, Klima u.s.w.",Augustinerplatz,,,
265.0,2020-07-25 00:00:00,Grundgesetzt und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
266.0,2020-07-23 00:00:00,Gerichtsverhandlung gegen eine Hausbesetzerin,Holzmarkt 2,,,
267.0,2020-07-25 00:00:00,gegen Kriminalität der syrischen Regierung,Platz der Alten Synagoge,,,
268.0,2020-07-25 00:00:00,gegen Überfidchung der Meere,Platz der Alten Synagoge,,,
269.0,2020-07-25 00:00:00,freie Meinungsäußerung,Münsterplatz,,,
270.0,"27.07.2020, 
03.08.2020, 
10.08.2020, 
17.08.2020, 24.08.2020, 31.08.2020, 07.09.2020, 14.09.2020, 28.09.2020 und 05.10.2020","Soziale Ungerechtigkeit, Umweltschutz, Frieden",Ecke Bertoldstraße / Niemensstraße ,,,
271.0,2020-07-27 00:00:00,Mahnwache zum Gedenken an Marielle Franco,Platz der Alten Synagoge,,,
272.0,2020-07-25 00:00:00,"Frieden und Freiheit in Kurdistan.
Die türkische Regierung vor das Kriegsverbrechertribunal in Den Haag.
Flugverbotszone in Kurdistan.
Waffenexporte stoppen.
Gegen Faschismus, Nationalismus und Patriarchat.
",Platz der Alten Synagoge mit Aufzug,,,
273.0,2020-08-01 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
274.0,2020-07-31 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
275.0,2020-08-01 00:00:00,Grundgesetz und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
276.0,2020-08-01 00:00:00,Frieden und Freiheit mit Kurdistan.....,Platz der Alten Synagoge,,,
277.0,2020-08-01 00:00:00,"Freiheit für alle politischen Gefangenen, etc.",Augustinerplatz,,,
278.0,2020-08-03 00:00:00,Gedenken an die Opfer des Eziden Genozids 2014 im Nord Irak,Rathausplatz,,,
279.0,2020-08-03 00:00:00,Jahrestag genozidale Angriff der IS gegen ezidische Kurdinnen im nordirakischen Sengal,Platz der Alten Synagoge mit Aufzug,,,
280.0,2020-08-05 00:00:00,Gedenken an Hiroshima und Nagasaki,Platz der Alten Synagoge,,,
281.0,2020-08-06 00:00:00,Hiroshima-Gedenktag,Rathausplatz – Merianstraße – Schiffstraße – Kaiser-Joseph-Straße – Münsterstraße bis Hauptportal – zurück zur Kajo – Bertoldsbrunnen – Bertoldstraße bis Höhe Platz der Alten Synagoge – Bertoldstraße zurück – Universitätsstraße - Rathausplatz,,,
282.0,2020-08-07 00:00:00,Freiheit Religion,Münsterplatz,,,
283.0,2020-08-08 00:00:00,Notwendigkeit von Klimaschutzmaßnahmen,Eschholzpark,,,
284.0,2020-08-08 00:00:00,Weltfrieden durch inneren Frieden,Sadtgarten,,,
285.0,2020-08-08 00:00:00,Mercosur Handelsabkommen,Platz der Alten Synagoge,,,
286.0,2020-08-07 00:00:00,Bewegung für Lebensfreude,Platz der Alten Synagoge,,,
287.0,2020-08-08 00:00:00,Grundgesetzt und aktuelle Maßnahmen,Platz der Alten Synagoge,,,
288.0,2020-08-08 00:00:00,Vegane Ernährung,Platz der Alten Synagoge,,,
289.0,2020-08-08 00:00:00,"5G - Auswirkungen auf Gesundheit, Klima und Nachhaltigkeit",Augustinerplatz,,,
290.0,2020-08-08 00:00:00,"Allerlei relevante Themen für unsere Heimat, die Weltenlage. Parteienunabhängige und auf Zwischenmenschlichkeit  beruhende Diskussion bezüglich Themen, wie z.B. Corona und Impfungen, Lug und Trug in der Politik und Irreführung der Bevölkerung in unterschiedlichsten Ländern durch Seilschaften und Lobbyismus sowie weitere relevante Themen– Freies Mikrofon Freiburg",Münsterplatz Nordseite,,,
291.0,2020-08-14 00:00:00,kein Klimaschutz ohne Verkehrswende,Platz der Alten Synagoge (Auftakt – und Abschlusskundgebung) – Werthmannstraße – Rempartstraße – Holzmarkt – Wallstraße – Schlossbergring – Leopoldring – Friedrichring/-straße – Bismarckallee – Schnewlinstraße – Heinrich-von-Stephan-Straße – Basler Straße – Feldbergstraße – Carl-Kistner-Straße – Markgrafenstraße – Haslacher-straße – Eschholzstraße – Breisacher Straße – Bismarckallee – Wil-helmstraße – Belfortstraße –  Werthmannstraße – Platz der Alten Sy-nagoge (Auflösung),,,
292.0,2020-08-15 00:00:00,Lebensrecht für Alle,Münsterplatz,,,
293.0,"15.08.2020, 22.08.2020, 29.08.2020, 05.09.2020, 12.09.2020, 19.09.2020, 26.09.2020, 03.10.2020, 10.10.2020 17.10.2020",Menschen tauschen ihre Meinung aus,Stühlinger Kirchplatz  ,,,
294.0,2020-08-17 00:00:00,Mache dich auf und werde Licht,Kartoffelmarkt,,,
