Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
74.0,2022-02-19 00:00:00,Rhythmische Sportgymnastik für bezahlten Widerstand,Platz der Universität
75.0,2022-02-22 00:00:00,gegen die Impfpflicht,"Autokorso, durch Kirchzarten"
76.0,2022-02-25 00:00:00,Tarifverhandlungen zum Sozial - und Erziehungsdienst,Platz der Alten Synagoge
77.0,2022-02-25 00:00:00,Atomwaffenverbot,Rathausplatz
78.0,2022-02-19 00:00:00,Querdenken ausbremsen,Aufzugsstrecke der Querdenkerdemo
79.0,2022-02-15 00:00:00,Hanau war kein Einzelfall,Tanzbrunnen
80.0,2022-02-14 00:00:00,"Dieti bleibt, Waldrodung, nein danke, u.s.w.",Am Sender/Mundenhoferstr.
81.0,2022-02-15 00:00:00,"Essen retten, Klebeaktion","BAB A5, Anschlussstelle FR-Nord in Richtung Süden"
82.0,2022-02-21 00:00:00,evtl. Essen retten,"B31 vo dem Tuneleingang, Südröhre"
83.0,"07.03./ 14.03./ 
21.03./ 28.03./
04.04./ 11.04./ 
25.04./ 02.05./ 
09.05./ 16.05./ 
23.05./ 30.05./ 
13.06.2022 ","Soziale Ungerechtigkeit, Gesundheitsschutz, Umweltschutz, Frieden…","Platz der Alten Synagoge, Ecke Bertoldstraße/KG II"
84.0,2022-03-26 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft. Wir fordern ein Ende aller
 Corona-Maßnahmen. Wir fordern eine freie Impfentscheidung und
 ein Ende der Impferpressung. Wir fordern eine breite Diskussion",PdAS mit Aufzug
85.0,2022-03-26 00:00:00,Ich kann's nicht mehr hörn. Wirklich. Was?!,Bismarkallee Ecke Eisenbahnstraße
86.0,2022-02-24 00:00:00,Krieg in der Ukraine,Rathausplatz
87.0,2022-02-25 00:00:00,Corona und die Impfung für Kinder,Augustinerplatz
88.0,2022-02-25 00:00:00,Stoppt den Krieg,Münsterplatz Menschenkette
89.0,2022-02-25 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
90.0,2022-02-26 00:00:00,Friedensbekenntnis anlässlich der Gewalt in der Ukraine,Rathausplatz
91.0,2022-02-27 00:00:00,"Zeichen für Solidarität und die Einstellung der Kriegshandlungen
 in der Ukraine",Platz der Alten Synagoge
92.0,2022-03-05 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
93.0,2022-03-01 00:00:00,gegen die Impfpflicht,Autokorso
94.0,2022-03-04 00:00:00,Lebensmittelverschwendung,Ecke Kajo/Engelstraße
95.0,2022-03-03 00:00:00,"Solidarität mit den Menschen in der Ukraine - 
weltweiter Aktionstag von FFF Ukraine",Platz der Alten Synagoge
96.0,2022-03-05 00:00:00,Nicht auf unsere Kosten - Schluss mit Kapitalismus und autoritärer Krise,Europaplatz
97.0,2022-03-05 00:00:00,"Atomwaffenverbot, kein Krieg in der Ukraine",Rathausplatz
98.0,2022-03-05 00:00:00,"1,5 ° Grenze wird überschritten werden, was kannst du tun ?",Augustinerplatz
99.0,2022-03-06 00:00:00,Schloßbergring: Das ist erst der Anfang !,Schloßbergring/Mozartstraße
100.0,2022-03-08 00:00:00,Tarifrunde Sozial - und Erziehungsdienst,Platz der Alten Synagoge mit Aufzug
101.0,2022-03-08 00:00:00,Stärkung der Frauenrechte. Häusliche Gewalt bekämpfen,"von Lehen zum Rathausplatz, Fahhraddemo, rote Bank"
102.0,2022-03-02 00:00:00,Ukraine,PdAS
103.0,2022-03-07 00:00:00,"für Menschlichkeit, Freiheit und Vernuft",Kappel
104.0,2022-03-05 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft",PdAS - Werthmannstr - Erbprinzenstr - Wilhelmstr - Bismarckallee - Eisenbahnstr - Rotteckring - Friedrichring - Kajo - Rempartstr - PdAS
105.0,2022-03-09 00:00:00,Friedensmeditation,PdAS
106.0,2022-03-08 00:00:00,gegen die Impfpflicht,Autokorso
107.0,2022-03-10 00:00:00,Krieg in der Ukraine,Platz der Alten Synagoge
108.0,2022-03-12 00:00:00,"Against Apartheid, against Occupation !",Theatervorplatz
109.0,2022-03-08 00:00:00,Frauenkampftag,PdAS mit Aufzug
110.0,2022-03-11 00:00:00,Fukushima Jahrestag,PdAS
111.0,2022-03-11 00:00:00,Fukushima nie vergessen,PdAS
112.0,2022-03-05 00:00:00,Gegendemo zur Versammlung der Coronaleugner,PdAS
113.0,2022-03-05 00:00:00,"Kreidesprühaktion, Solidarität und Abstand von Rechts",PdAS und weitere Stellen
114.0,2022-03-05 00:00:00,,Europaplatz
115.0,2022-03-10 00:00:00,Frieden und Solidarität,Menschenkette um den Flückigersee
116.0,2022-03-12 00:00:00,Musik gegen Bomben,Augustinerplatz
117.0,2022-03-13 00:00:00,Walderhalt Dietenbach,Maria-von-Rudloff-Platz mit Aufzug
118.0,2022-03-12 00:00:00,Für Freiheit Menschlichkeit und Vernuft !,Platz der Alten Synagoge – Werthmannstraße – Erbprinzenstraße – Wilhelmstraße – Wiwilí-Brücke – Wentzingerstraße – Engelbergerstraße – Klarastraße – Ferdinand-Weiß-Straße – Fehrenbachallee – Wannerstraße – Eschholzstraße – Engelbergerstraße – Wentzingerstraße – Wiwilí-Brücke –Wilhelmstraße – Erbprinzenstraße – Werthmannstraße – Platz der Alten Synagoge 
119.0,2022-03-15 00:00:00,Stoppt den Krieg ! Für Abrüstung und gegen Nationalismus,Platz der Alten Synagoge
120.0,2022-03-12 00:00:00,gegen die Corona Demo,Stühlinger Kirchplatz 
121.0,2022-03-14 00:00:00,"für Menschlichkeit, Freiheit und Vernuft",Kappel
122.0,2022-03-16 00:00:00,gegen Tierversuche,Rathausplatz
123.0,2022-03-17 00:00:00,für Frieden und Freiheit,Platz der Alten Synagoge
124.0,2022-03-15 00:00:00,gegen die Impfpflicht,Autokorso
125.0,2022-03-18 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
126.0,2022-03-18 00:00:00,Jahrestag Syrische Revolution,Platz der Alten Synagoge
127.0,2022-03-18 00:00:00,Pariser Kommune und Tag der politischen Gefangenen,Hermann-Herder-Straße 8
128.0,2022-03-19 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft.",Platz der Alten Synagoge – Werthmannstraße – Rempartstraße – Kai-ser-Joseph-Straße – Friedrichring – Rotteckring – Eisenbahnstraße – Bismarckallee – Wilhelmstraße – Erbprinzenstraße – Werthmannstraße – Platz der Alten Synagoge
129.0,2022-03-19 00:00:00,Flucht und Seenotrettung im Mittelmeer,Rathausplatz
130.0,2022-03-20 00:00:00,Newroz,Platz der Alten Synagoge mit Aufzug
131.0,2022-03-17 00:00:00,Wir stehen zusammen für eine freie Impfentscheidung,Rathausplatz
132.0,2022-03-22 00:00:00,"Werbung für Initiative, Klimaschutz und Nachhaltigkeit","Tor Uni Klinik, Hugstetter str. 55"
133.0,2022-03-19 00:00:00,Schwurbler/-innen nerven,Colombipark - Buchhandlung Rombach
134.0,2022-03-21 00:00:00,"für Menschlichkeit und Achtung unserer Menschenwürde durch
unsere Behörden",Kappel
135.0,2022-03-25 00:00:00,Globaler Klimastreik,Friedrichstraße – Friedrichring – Europaplatz – Kaiser-Joseph-Straße – Rempartstraße – Belfortstraße – Wilhelmstraße – Bismarckallee – Friedrichstraße
136.0,2022-03-25 00:00:00,Gemeinsamer Weg zur Demonstration in der Friesdrichstraße,Habsburgerstraße
137.0,2022-03-23 00:00:00,nein zum Greenwashing und ja zum aktiven Erdgasausstieg,bei der Badenova
138.0,2022-03-24 00:00:00,ein Monat Ukraine-Krieg,PdAS
139.0,2022-03-22 00:00:00,gegen die Impfpflicht,Autokorso
140.0,2022-03-26 00:00:00,Wohnen und Mieten in Freiburg,Platz der Alten Synagoge
141.0,2022-03-26 00:00:00,freie Impfentscheidung,Ecke Rotteckring 1/Vapiano
142.0,2022-03-26 00:00:00,Europäische Verfasung jetzt !,Bürgerhaus Seepark mit Aufzug
143.0,2022-03-26 00:00:00,99 Luftballons für Frieden,Tanzbrunnen
144.0,2022-03-26 00:00:00,gegen Spaltung und für ein liebevolles Miteinander unter allen Menschen,Europaplatz
145.0,2022-03-26 00:00:00,"Geldausgabe für Verschwörungstheoretiker, Schwurbler und 
Coronaleugner",Rotteckring/Rathausgasse
146.0,2022-03-26 00:00:00,für die Einhaltung der Menschenrechte im Rechtssystem,Holzmarkt
147.0,2022-03-26 00:00:00,ein Monat russische Invasion in der Ukraine,Rathausplatz
148.0,2022-03-26 00:00:00,Verbesserung der Wirtschafts - und Arbeitsbedingungen,Engesserstr. 8
149.0,2022-03-28 00:00:00,"für Menschlickeit, Freiheit und Vernuft",Kappel
150.0,2022-03-29 00:00:00,We want To-be (Toby),Augustinerplatz
151.0,2022-03-30 00:00:00,gegen Tierversuche,Rathausplatz
152.0,2022-03-29 00:00:00,gegen die Impfpflicht,Autokorso 
153.0,2022-04-05 00:00:00,Aufmerksam machen auf Notwendigkeit  zum Neubau einer neuen Eissporthalle für Freiburg und Südbaden mit 2 Eisflächen,Vorplatz Bürgerhaus Zähringen
154.0,2022-04-02 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
155.0,2022-04-02 00:00:00,Eure Kriege zahlen wir nicht,"Rathausplatz-Kajo-Rempartstraße-Rotteckering-
Rathausgasse-Rathausplatz"
156.0,04.04.-06.04.22,Klimacamp,PdAS
157.0,2022-04-01 00:00:00,Braunkohleabbau,Volksbank Freiburg
158.0,2022-04-04 00:00:00,Kappel läuft für Freiheit und Menschlichkeit,Rathaus Kappel
159.0,2022-04-05 00:00:00,We want To-be (Toby),Augustinerplatz
160.0,2022-04-26 00:00:00,Jahrestag Tschernobyl,PdAS
161.0,2022-04-08 00:00:00,Menschenkette für den Frieden,"um den Haüserblock Volksbank, St. Ursulagymnasium"
162.0,2022-04-05 00:00:00,Gegen Impfpflicht ab 50!,Autokorso
163.0,2022-04-08 00:00:00,Badenova gibt im Greenwashing richtig (Erd-)Gas!,Rathausplatz
164.0,2022-04-06 00:00:00,Vorstellung Bücher Abdullah Öcalan,Konrad-Adenauer-Platz
165.0,2022-04-09 00:00:00,gegen Krieg,Rathausplatz
166.0,2022-04-09 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",Platz der Alten Synagoge – Belfortstraße – Wilhelmstraße – Bismarck-allee – Friedrichstraße – Friedrichring – Europaplatz – Kaiser-Josep-Straße – Rempartstraße – Platz der Alten Synagoge 
167.0,2022-04-13 00:00:00,Menschenkette für den Frieden,"um den Haüserblock Volksbank, St. Ursulagymnasium"
168.0,2022-04-11 00:00:00,Badenova gibt im Greenwashing richtig (Erd-)Gas!,Rathausplatz
169.0,2022-04-25 00:00:00,Gewinnung von Mitgliedern für die Hochschulgruppe,Tanzbrunnen
170.0,2022-04-13 00:00:00,Gerichtsurteil Lützerath,Platz der Alten Synagoge
171.0,2022-04-14 00:00:00,Ostermarsch,PdAS mit Aufzug
172.0,2022-04-18 00:00:00,Für eine AHA Kultur,Kappel mit Aufzug
173.0,2022-04-09 00:00:00,gegen geplante Angrife vom türkischen Staat,PdAS mit Aufzug
174.0,2022-04-09 00:00:00,Stoppt den Fossilen Wahnsinn,"Deutsche Bank, Ecke Eisenbahnstr./Rotteckring"
175.0,2022-04-12 00:00:00,Erfassung Impfnebenwirkungen,Autokorso
176.0,2022-04-19 00:00:00,Erfassung von Impfschäden,Autokorso
177.0,2022-04-16 00:00:00,Solidarität mit der Ukraine,Platz der Alten Synagoge
178.0,2022-04-22 00:00:00,Schutz des ungeborenen Lebens,Humboldstraße 2 mit Aufzug zum PdAS
179.0,2022-05-07 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
180.0,2022-04-24 00:00:00,Krieg in der Ukraine,Platz der Alten Synagoge
181.0,2022-04-18 00:00:00,Bombardierung der kurdischen Gebiete am 18.04.2022,Platz der Alten Synagoge
182.0,2022-04-17 00:00:00,Essen ist politisch,Stühlinger Kirchplart
183.0,2022-05-02 00:00:00,für eine AHA Kultur,Kappel Läuft
184.0,2022-04-22 00:00:00,Info zu § 218,Theatervorplatz
185.0,2022-04-22 00:00:00,Gegendemo zu Nr. 178,Aufzug hinter dem eigenltichen Aufzug
186.0,2022-04-23 00:00:00,Türkische Angriffe auf kurdische Gebiete in Südkurdistan,PdAS mit Aufzug
187.0,2022-04-23 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft ! -.......",PdAS mit Aufzug
188.0,2022-04-26 00:00:00,gegen eine Öffnung der Rempartstraße,Rempartstraße
189.0,2022-04-30 00:00:00,Radeln für Freiheit und Frieden,Konrad-Adenauer-Platz mit Aufzug
190.0,2022-04-30 00:00:00,Radeln für eine fossilfreie Zukunft !,PdAS mit Aufzug
191.0,2022-04-25 00:00:00,Türkisches Militär setzt gegen Kurden Chemiewaffen ein.,PdAS mit Aufzug
192.0,2022-04-26 00:00:00,Gegen die Impfpflicht im Gesundheits- und Pflegewesen,Autokorso 
193.0,2022-05-01 00:00:00,Tag der Arbeit 2022,Stühlinger Kirchplatz mit Aufzug
194.0,2022-04-29 00:00:00,"#EmbargoForPeace - Schluss mit Putins Kohle, Öl und Gas",Platz der Alten Synagoge
195.0,2022-05-01 00:00:00,Bollerwagen-Korso gegen die Arbeitspflicht,Konrad-Adenauer-Platz mit Aufzug
196.0,2022-05-03 00:00:00,Warnstreik Uniklinik Freiburg,ab Barbarastraße mit Aufzug
197.0,2022-05-05 00:00:00,Unabhängkeitstag Israel,Platz der Alten Synagoge
198.0,2022-05-06 00:00:00,Erhalt des Kulturgutes St. Georgener Weintage,St. Georgen
199.0,2022-05-08 00:00:00,"Damals wie heute: Kampf dem Faschismus und dem imperialistischen
 Krieg",PdAS mit Aufzug
200.0,2022-04-30 00:00:00,Take back the Night ! FLINTA-Demo-Fahrraddemo,"Innenstadt, ab Martinstor"
201.0,2022-05-07 00:00:00,GehWeg! Freie Wege für die Schwächsten,Rempartstraße mit Aufzug
202.0,2022-05-14 00:00:00,Global-Marijuana-March,PdAS mit Aufzug
203.0,2022-05-08 00:00:00,Russen gegen den Krieg in der Ukraine,PdAS mit Aufzug
204.0,2022-05-07 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik","Konrad-Adenauer-Platz – Bismarckallee – Friedrichstraße
– Kaiser-Joseph-Straße – Salzstraße – Augustinerplatz – 
Gerberau – Kaiser-Joseph-Straße - Rempartstraße – 
Belfortstraße – Wilhelmstraße – Konrad-Adenauer-Platz "
205.0,2022-05-08 00:00:00,"Gegen die Diskriminierung russischsprachiger Menschen - 
Für einen schnellen Frieden in Europa!",Autokorso
206.0,2022-05-07 00:00:00,Stoppt den Russischen Imperialismus,"Suwonallee, Parkplatz"
207.0,2022-05-07 00:00:00,"Schluss mit dem Krieg in KurdistanKeine Waffenexporte aus Deutschland an die Türkei, den Irak oder sonstige Regime",KaJo vor dem RP
208.0,2022-05-12 00:00:00,Streiktag Tarifrunde Sozial- und Erziehungsdienst,"PdAS - Bertoldstraße - Bertoldsbrunnen - Kaiser-Joseph
-Straße - Friedrichstraße - Rotteckring - PdAS"
209.0,2022-05-13 00:00:00,"Mahnwache für Atomwaffenverbotsvertrag und Abrüs-tung stopp 100 Milliarden für Aufrüstung, für Frieden in der Ukraine",PdAS
210.0,2022-05-15 00:00:00,Die andauernde Nakba,PdAS
211.0,2022-05-10 00:00:00,Gegen die Impflicht im Gesundheitswesen!,Autokorso
212.0,2022-05-14 00:00:00,Radeln für den Frieden,Konrad-Adenauer-Platz mit Aufzug
213.0,2022-05-14 00:00:00,Kinderfahhraddemo,Konrad-Adenauer-Platz mit Aufzug
214.0,2022-05-14 00:00:00,Gegen die berufsbezogene Impfpflicht!,Autokorso
215.0,2022-05-15 00:00:00,"Gegenkundgebung zu ""Palästina spricht""",PdAS
216.0,2022-05-18 00:00:00,Konzert fürs Klima,PdAS
217.0,2022-05-27 00:00:00,Mahnwache für Tiere,Tullastraße (vor dem Schlachthof)
218.0,2022-05-21 00:00:00,Kundgebung Rempartstraße,Rempartstraße
219.0,2022-05-20 00:00:00,Infoveranstaltung zu Rassismus und Antirassismus,Stühlingerplatz
220.0,2022-05-21 00:00:00,Fight for Solidarity - Stoppt die Kriminalisierung von Flucht und Seenotrettung,Stühlingerplatz
221.0,2022-05-20 00:00:00,Biokraftstoffe - kein Essen in den Tank!,Rathausplatz
222.0,2022-05-20 00:00:00,Klimagerechtigkeitsbildung für alle! ,PdAS - Rotteckring - Friedrichring - Europaplatz - Kaiser-Joseph-Straße - Bertoldsbrunnen - Martinstor - Rempartstraße - Abschlusskundgemung vor der Mensa Rempartstraße
223.0,2022-05-26 00:00:00,Marsch des Lebens,Synagoge Engelstraße - KaJo-Bertoldsbrunnen - Bertoldstraße - PdAS
224.0,2022-05-26 00:00:00,Solidarität mit der Ukraine,PdAS
225.0,2022-05-29 00:00:00,Klimatische,Schillerstraße (Günterstal- bis Hildastr.) und Uhlandstraße
226.0,2022-07-01 00:00:00,Jugend auf dem Diözesanforum,Messe
227.0,2022-05-28 00:00:00,Radeln für den Frieden,Konrad-Adenauer-Platz mit Aufzug
228.0,2022-05-28 00:00:00,vegane Ernährung,Rathauplatz
229.0,2022-05-21 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",Konrad-Adenauer-Platz mit Aufzug
230.0,2022-05-27 00:00:00,Fahrraddemo Gegen Finanzierung von Krieg und Klimakrise von BASF,PdAS mit Aufzug
231.0,2022-05-24 00:00:00,Gegen die einrichtungsbezogene Impfpflicht,Autokorso
232.0,2022-07-03 00:00:00,Pop-Up-Boulevard Lorettostraße,Lorettostraße zwischen Goethestraße und Schwimmbadstr.
233.0,2022-06-02 00:00:00,gegen die Öffnung der Rempartstraße für den Autoverkehr,gesperrter Bereich der Remparstraße
234.0,2022-06-18 00:00:00,Weltflüchtlingstag,Augustinerplatz
235.0,2022-05-31 00:00:00,Im Greenwashing gibt Badenova richtig Erdgas,"Haslach, Markgrafenstraße 11 Badenova Shop"
236.0,2022-05-03 00:00:00,"gegen Polizeigewal, Rassismus und Faschismus, viel zu viele Einzelfälle",PdAS mit Aufzug
237.0,2022-05-09 00:00:00,Stoppt den fossilen Wahnsinn,Bertoldsbrunnen
238.0,2022-05-13 00:00:00,autofreie Städte,Fahrraddemo Höhe Schlossbergring
239.0,2022-06-11 00:00:00,aktuelle Lage in Südkurdistan,PdAS mit Aufzug
240.0,2022-06-04 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",PdAS mit Aufzug
241.0,2022-06-11 00:00:00,Tag der Taube,Platz der Alten Synagoge
242.0,2022-06-11 00:00:00,Radelns für ein Leben in Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
243.0,2022-06-02 00:00:00,"Klimaschutz, Erdgas",Service Center FR-Rieselfeld
244.0,2022-06-07 00:00:00,Religion mit Thema Freiheit,PdAS
245.0,2022-06-07 00:00:00,Religion mit Thema Freiheit,Stühlinger Kirchplatz
246.0,2022-06-07 00:00:00,Gegen die bestehende Impfpflicht im Gesundheitswesen!,Autokorso ab Suwonallee
247.0,2022-06-10 00:00:00,EU - Taxonomie: Gas und Atom sind nicht nachhaltig,"Eisenbahnstr. 64, CDU Büro"
248.0,2022-06-18 00:00:00,Weltfrieden durch inneren Frieden,Stadtgarten
249.0,"11.06.2022
12.06.2022",Klimawandel,Opfinger Baggersee
250.0,2022-06-25 00:00:00,CSD 2022,PdAS mit Aufzug + Stühlingerplatz
251.0,2022-06-27 00:00:00,Folgen der Covid Impfung,Rathausplatz
252.0,2022-06-24 00:00:00,Atomwaffenverbotsvertrag,PdAS
253.0,2022-06-18 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",PdAS mit Aufzug
254.0,2022-06-19 00:00:00,Politische Gefangene in Peru,Else-Liefmann-Platz
255.0,2022-07-01 00:00:00,Ehrenamt braucht Anerkennung,Rathausplatz mit Aufzug
256.0,2022-06-17 00:00:00,Internationaler Tag der Energiesensiblen,KaJo Ecke Schiffstraße
257.0,2022-06-18 00:00:00,G7-Gipfel,Fritz-Schieler-Platz
258.0,2022-06-18 00:00:00,Religion mit Thema Freiheit,Dietenbachpark
259.0,2022-06-26 00:00:00,Stoppt den Krieg in der Ukraine! Keine Toleranz für russische Propaganda!,"Suwonallee, Parkplatz"
260.0,2022-06-21 00:00:00,Gegen die Impfpflicht im Gesundheitswesen,Autokorso
261.0,2022-06-26 00:00:00,Sundays for Peace,Augustinerplatz
262.0,2022-06-25 00:00:00,Task! - Täter*innenschaften aufarbeiten!,Platz vor dem Bürgerhaus Zähringen
263.0,2022-06-24 00:00:00,Preistreiber stoppen,Fritz-Schieler-Platz
264.0,2022-06-24 00:00:00,Debt for Climate,PdAS mit Aufzug
265.0,Juli-Oktober,"Soziale Ungerechtigkeit, Gesundheitsschutz, Umweltschutz, Frieden…",Bertoldstraße Ecke PdAS
266.0,2022-07-02 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
267.0,2022-07-02 00:00:00,Falun Dafa,Bertoldsbrunnen
268.0,2022-06-26 00:00:00,"Gegen die Diskriminierung russischsprachiger Menschen - 
Für einen schnellen Frieden mit Russland!",Autokorso ab Suwonallee
269.0,2022-06-25 00:00:00,Solidarität mit der Ukraine,
270.0,2022-06-25 00:00:00,Radeln für Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
271.0,2022-07-02 00:00:00,Wir sind keine Lastesel - Lehrkräftemangel beheben,Augustinerplatz
272.0,2022-07-03 00:00:00,Stonewall 1969,Rathausplatz
273.0,2022-07-02 00:00:00,"Für Freiheit, Menschlichkeit und Vernunft! - Wir fordern eine breite Diskussion über die Corona-Politik und ein Sonder-Gericht zur juristi-schen Aufarbeitung der Corona-Politik",PdAS mit Aufzug
274.0,2022-07-05 00:00:00,Gegen die Impflicht im Gesundheitswesen!,Autokorso ab Suwonallee
275.0,2022-07-08 00:00:00,"Klimabelastung Fleisch, Ampelaktion",Übergang südlich der Kronenbrücke
276.0,2022-07-09 00:00:00,Flashmob Energiewende,Augustinerplatz
277.0,2022-07-09 00:00:00,Radeln für Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
278.0,2022-07-08 00:00:00,Protest gegen EU-Taxonomie,Stühlinger Kirchplatz mit Aufzug
279.0,2022-07-17 00:00:00,"Für ein allgemeines Tempolimit auf Autobahnen, ein deutschlandweites Straßenbaumoratorium sowie eine sofortige Rücknahme des klimaschädlichen Tankrabatts, Ersetzung durch günstigen und attraktiven Schienen- und Nahverkehr","Platz der Alten Synagoge (PdAS) – Werthmannstraße – B31 – Padu-aallee – Granadaallee – Markwaldstraße – Bebelstraße – Zwischenkun-dgebung im Bereich Seestraße / Autobahnmeisterei – Seestraße – Rad-weg entlang der B294 – Eichelbuckstraße – Mooswaldallee – Isfaha-nallee – Habsburger Straße – Europaplatz – Kaiser-Joseph-Straße – Bertoldstraße – PdAS.
"
280.0,2022-07-14 00:00:00,für einen unabhängigen objektiven öffenltichen Rundfunk,"Kartäuserstr. 45, vor dem SWR Studio Freiburg"
281.0,2022-07-15 00:00:00,für den Erhalt des Dietenbachwaldes,RIS - PdAS - Rathausplatz - Augustinerplatz 
282.0,2022-07-05 00:00:00,"We won't go back - Demonstration gegen die Illegalisierung von 
Schwangerschaftsabbrüchen in den USA und für freien Zugang weltweit",PdAS
283.0,2022-07-16 00:00:00,"für Freiheit, Menschlichkeit und Vernuft !",ab Konrad-Adenauer-Platz
284.0,2022-07-19 00:00:00,gegen die Impfpflicht um Gesundheitswesen,Autokorso
285.0,2022-07-22 00:00:00,Atomwaffenverbotsvertrag,Platz der Alten Synagoge
286.0,2022-07-22 00:00:00,Abschied nehmen von den angelieferten Tieren,Tullastraße (vor dem Schlachthof)
287.0,2022-07-23 00:00:00,Falun Dafa,Bertoldsbrunnen
288.0,2022-07-23 00:00:00,Frieden und Freiheit Kurdistan,Stühlinger Kirchplatz
289.0,2022-07-25 00:00:00,Vernünftiger Umgang der Universität Freiburg mit der Energiekrise im WS 22/23,PdAS mit Aufzug
290.0,2022-07-23 00:00:00,Radeln für Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
291.0,2022-07-25 00:00:00,"für eine wahrheitsgemäße, multipolare Berichterstattung",Lörracherstraße vor der BZ
292.0,2022-07-27 00:00:00,Lautstark gegen Ruhestörung,Lederleplatz zum Seepark
293.0,2022-07-27 00:00:00,Ausländerrecht,Platz der Alten Synagoge
294.0,2022-07-26 00:00:00,"Gemeinderatsitzung, v.a. Bebauungsplan und Walderhalt",vor Bürgerhaus Zähringen
295.0,2022-07-28 00:00:00,für einen unabhängigen objektiven öffenltichen Rundfunk,"Kartäuserstr. 45, vor dem SWR Studio Freiburg"
296.0,2022-07-29 00:00:00,vegane Ernährung,Bertoldsbrunnen
297.0,2022-07-30 00:00:00,Schutz der Innenstadt,Augustinerplatz
298.0,2022-07-31 00:00:00,Unabhängkeitstag Israel,Platz der Alten Synagoge
299.0,2022-07-30 00:00:00,"für Freiheit, Menschlichkeit und Vernuft !",Konrad-Adenauer-Pkatz mit Aufzug
300.0,2022-08-06 00:00:00,"Frieden, Verbot von ABC Waffen",EKZ Weingarten
301.0,"06.08.2022
10.09.202",vegane Ernährung,Rathausplatz
302.0,2022-08-01 00:00:00,für eine unabhängige und objektive Berichterstattung,"Gehweg vo der BZ, Lörracherstr. 3"
303.0,2022-08-03 00:00:00,Frieden für alle Ezdinnen,Platz der Alten Synagoge
304.0,2022-08-06 00:00:00,Hiroshima Jahrestag,Rathausplatz
305.0,2022-08-06 00:00:00,Schutz der Innenstadt,Augustinerplatz
306.0,2022-08-06 00:00:00,Radeln für Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
307.0,2022-08-08 00:00:00,Femizid an Ayleen,Augustinerplatz mit Aufzug
308.0,"11.08.2022
25.08.2022",für einen unabhänigen und objektiven öffentlichen Rundfunk,SWR
309.0,2022-08-13 00:00:00,"für Freiheit, Menschlichkeit und Vernuft !",PdAS mit Aufzug
310.0,2022-08-15 00:00:00,für einen unabhängigen und objektiven öffenltichen Rundfunk,"öffentlicher Gehweg vor der BZ, Lörracherstraße 3"
311.0,2022-08-16 00:00:00,Gegen die einrichtungsbezogene Impfpflicht!,Beginn Suwonallee mit Aufzug
312.0,2022-08-13 00:00:00,Schutz der Innenstadt,Augustinerplatz
313.0,2022-08-19 00:00:00,Mahnwache für Tiere,Tullastraße (vor dem Schlachthof)
314.0,2022-08-20 00:00:00,Kostenloser Nahverkehr,Beginn Eisenbahnstraße
315.0,2022-08-18 00:00:00,Frieden und Auswirkungen der Corona-Politik,PdAS
316.0,2022-08-20 00:00:00,Aktuelle Bombadierungen der Türkei auf Rojava,PdAS
317.0,2022-08-20 00:00:00,Radeln für ein Leben in Freiheit und Frieden,Beginn Konrad-Adenauer-Platz
318.0,2022-09-17 00:00:00,Stauender Durchgangsverkehr und viele parkende Autos ,"Carl-Kistner-Straße, zwischen Dorfbrunnen und Scherrerplatz"
319.0,2022-08-20 00:00:00,Solidaritätsaktion für Lützerath im rheinischen Braunkohlerevier ,PdAS
320.0,2022-08-24 00:00:00,Tag der Unabhängigkeit Ukraine,PdAS
321.0,2022-08-27 00:00:00,Schutz des ungeborenen Lebens,"Münsterplatz, Fischbrunnen"
