Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
431.0,2022-11-05 00:00:00,"Für Freiheit, Menschlichkeit und Vernuft !",Platz der Alten Synagoge mit Aufzug
432.0,2022-10-28 00:00:00,,Fahrraddemo Höhe Schlossbergring bis PdAS
433.0,2022-11-04 00:00:00,Warnstreik im Rahmen der Tarifrunde,"vor dem Werksgelände der Firma Avnet, Munzinger Str. 3"
434.0,2022-11-05 00:00:00,"Frauen, Leben, Freiheit",Platz der Alten Synagoge
435.0,2022-11-05 00:00:00,Chemiewaffen,Augustinerplatz
436.0,2022-11-05 00:00:00,"Klimaneutralität, Lützerath",Europaplatz
437.0,2022-11-05 00:00:00,Tierschutz,Habsburgerstraße 19 vor einer Lidl-Filiale
438.0,2022-11-05 00:00:00,"Mahnwache für Frieden, Abrüstung statt Aufrüstung, kein Krieg",Bertoldsbrunnen
439.0,2022-11-05 00:00:00,Gegen Chemiewaffen,Konrad-Adenauer-Platz
440.0,2022-11-03 00:00:00,,"Bismarckallee, Höhe Wiwillibrücke mit Aufzug"
441.0,2022-11-07 00:00:00,Teuerungen,Fritz-Schieler-Platz
442.0,"07.11.2022
21.11.2022",Unabhängige und objektive Medienberichterstattung,Lörracherstraße vor der BZ
443.0,2022-11-09 00:00:00,Lederprodukte sind tote Tierbabys,Bertoldsbrunnen
444.0,2022-11-08 00:00:00,"Für Freiheit, Frieden und ein Ende der Inflationspolitik!",Autokorso
445.0,2022-11-09 00:00:00,Gedenkveranstaltung zur Reichsprogromnacht,Platz der Alten Synagoge
446.0,2022-11-17 00:00:00,Warnstreik Industriegebiet Haid,Munzinger Straße / Bötzinger Straße (mit Aufzug)
447.0,2022-11-08 00:00:00,Protestversammlung Servicebeschäftigte Uniklinik,Breisacher Straße 153 auf dem Gehweg vor dem Verwaltungsgebäude Uniklinik
448.0,2022-11-18 00:00:00,Abschied nehmen von den angelieferten Tieren,Schlachthof Tullastraße
449.0,2022-11-12 00:00:00,Radeln für Frieden und Freiheit,Konrad-Adenauer-Platz mit Aufzug
450.0,2022-11-12 00:00:00,Umweltschutz,EKZ Weingarten
451.0,2022-11-12 00:00:00,vegane Ernährung,Ecke Kajo/Engelstraße
452.0,2022-11-12 00:00:00,Menschenrechte im Iran,Platz der Alten Synagoge mit Aufzug
453.0,2022-11-15 00:00:00,gegen Öffnung der Remparstraße,Rempartstraße
454.0,2022-11-15 00:00:00,"Für Freiheit, Frieden und ein Ende der Inflationspolitik!",Autokorso
455.0,2022-11-12 00:00:00,Die Preise müssen runter! - Krisen solidarisch lösen - Für ein gutes Leben für alle!,"Stühlinger Kirchplatz – Klarastraße – Lehener Straße – Guntramstraße – Escholzstraße -
Egonstraße – Wiwilibrücke – Sedanstraße – Rotteckring -  Tanzbrunnen (Einmündung
Rempartstraße/Werderring)"
456.0,"17.11.2022
24.11.2022",Für eine unabhängige und objektive Medienberichterstattung,SWR
457.0,2022-11-19 00:00:00,Für Frieden und Abrüstung,Bertoldsbrunnen
458.0,2022-12-05 00:00:00,Jugendarbeit,Platz der Alten Synagoge
459.0,2022-11-17 00:00:00,Greenwwashing bei der Deutsche Bank Tochter DWS,Vor der Filiale der Deutschen Bank am Rotteckring
460.0,2022-11-18 00:00:00,Mahnwache zur COP 27,Platz der Alten Synagoge
461.0,2022-11-18 00:00:00,Weltklimatag,Platz der Alten Synagoge
462.0,2022-11-19 00:00:00,Menschenrechte im Iran,Augustinerplatz mit Aufzug
463.0,2022-11-19 00:00:00,"Für Freiheit, Menschlichkeit und Vernuft !",Platz der Alten Synagoge mit Aufzug
464.0,2022-11-19 00:00:00,Menschenrechtsverletzungen,Platz der Alten Synagoge
465.0,2022-11-21 00:00:00,Teuerungen,Fritz-Schieler-Platz
466.0,21.+22.11.2022,Freiheit für alle politischen Gefangenen,"vor Amtsgericht, Holzmarkt 2"
467.0,2022-11-25 00:00:00,Internationaler Tag gegen Gewalt an Frauen und Mädchen,Platz der Alten Synagoge
468.0,2022-11-21 00:00:00,,B31a/Lessingstraße in Höhe Kronenbrücke
469.0,2022-11-22 00:00:00,Stopp Versiegelung,Rathausplatz
470.0,2022-11-23 00:00:00,Flugverbotszone über Kurdistan. Alle Besatzer raus aus Kurdistan. Kriegsverbrecher Erdogan vor das Tribunal in den Haag,Platz der Alten Synagoge
471.0,2022-11-22 00:00:00,Für Frieden und Freiheit und Wahrheit. Für eine neue Welt mit starkem Herzen und klarem Verstand,Autokorso
472.0,2022-11-20 00:00:00,Aktuelle Bombadierung von kurdischen Siedlungen im Syrien und im Irak durch die Türkei,Platz der Alten Synagoge (Auftaktkundgebung) - Bertoldstraße - Bertoldsbrunnen - Salzstraße - Augustinerplatz - Gerberau - Kaiser-Joseph-Straße - Bertoldsbrunnen (Zwischenkundgebung) - Bertoldstraße - Platz der Alten Synagoge (Abschlusskundgebung)
473.0,2022-12-10 00:00:00,Wir fordern soziale Gerechtigkeit und ökologische Verantwortung,Platz der Alten Synagoge – Bertoldstraße – Kaiser-Joseph-Straße – Europaplatz – Friedrichring – Rotteckring – Platz der Alten Synagoge 
474.0,2022-11-23 00:00:00,Gedenken an die zivilen Opfer des Bombenangriffs vom 27.11.1944,Bertoldsbrunnen
475.0,2022-11-26 00:00:00,Schluss mit dem Verbot der PKK,Europaplatz - Kaiser-Joseph-Straße - Bertoldsbrunnen - Gerberau - Martinstor - Kaiser-Joseph-Straße - Bertoldsbrunnen - Kaiser-Joseph-Straße - Europaplatz
476.0,2022-11-26 00:00:00,Menschenrechte im Iran,Platz der Alten Synagoge
477.0,2022-11-26 00:00:00,Gedenktag an die Opfer des Holodomor in der Ukraine in 1932-1933,Platz der Alten Synagoge
478.0,2022-11-24 00:00:00,Black Friday,Ecke Breuninger / Kaiser-Jospeh-Straße / Münsterstraße
479.0,2022-11-25 00:00:00,Gewalt gegen Frauen,Platz der Alten Synagoge
480.0,2022-12-17 00:00:00,Vegane Ernährung,Ecke Engelstraße/Kaiser-Joseph-Straße
481.0,2022-11-26 00:00:00,Radeln für ein Leben in Freiheit und Frieden,Konrad-Adenauer-Platz mit Aufzug
482.0,2022-11-25 00:00:00,Gewalt gegen Frauen,Platz der Alten Synagoge
483.0,2022-11-30 00:00:00,Warnstreik Uniklinik Freiburg,Aufzug bis Breisacher Straße 153
484.0,2022-12-03 00:00:00,Stopt Massaker im Iran,PdAS mit Aufzug
485.0,2022-12-03 00:00:00,Freiburger Energiesparmarkt,Platz der Alten Synagoge
486.0,2022-12-03 00:00:00,Ampelaktion Schlachtung ohne Achtung,Ecke Kaiser-Joseph-Straße/Schreiberstraße und Ecke Kronenbrücke/B31a
487.0,2022-11-30 00:00:00,Solidarität mit den Student*innen im Iran,"Rempartstraße, vor KG I und KG IV der Uni Freiburg"
488.0,2022-12-03 00:00:00,vegane Ernährung,Bertoldsbrunnen
489.0,2022-11-26 00:00:00,Knäste weg,Justizvollzugsanstalt Freiburg
490.0,2022-11-26 00:00:00,KEIN*E FREUND*IN KEINE HELFER*IN,"Wiwilli-Brücke, Stühlinger Kirchplatz - Engelbergerstraße - Wiwilli-Brücke - Sedanstraße - Platz der Alten Synagoge"
491.0,2022-11-30 00:00:00,Frieden und Freiheit Kurdistan,Platz der Alten Synagoge
492.0,2022-11-29 00:00:00,Für Frieden und Freiheit und Wahrheit. Für eine neue Welt mit starkem Herzen und klarem Verstand,Autokorso
493.0,2022-12-02 00:00:00,Welt Aids Tag,Aufzug
494.0,2022-12-02 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
495.0,2022-12-03 00:00:00,den Wirtschaftsstandort Deutschland erhalten !,Konrad-Adenauer-Platz
496.0,2022-11-29 00:00:00,sofortiger Zugang und Freilassung von A. Öcalan,Platz der Alten Synagoge
497.0,2022-12-05 00:00:00,"Mehr Stellen für Einbürgerung, Antidiskriminierung und Förderung der Mehrsprachigkeit",Rathausplatz
498.0,26.11. + 03.12.2022,"Für Freiheit, Menschlichkeit und Vernuft ! (Mailverkehr mit Herrn W.)",Platz der Alten Synagoge
499.0,2022-12-03 00:00:00,AKW Laufzeitverlängerung,Ecke Rotteckring/Bertoldstraße
500.0,2022-12-03 00:00:00,für die uigurischen Opfer in der chinesischen Null-Covid-Politik,Platz der Alten Synagoge
501.0,2022-12-03 00:00:00,gegen die Abwälzung der Krise auf die Arbeiterklasse,Fritz-Schieler-Platz
502.0,2022-12-06 00:00:00,"Grundrecht auf Grundbedarf, kein Recht auf Verschwendung !",Ecke Rimsingerweg/Waltershofenerstraße
503.0,2022-12-05 00:00:00,Teuerungen,Fritz-Schieler-Platz
504.0,2022-12-03 00:00:00,Let's take back the streets,Europaplatz
505.0,2022-12-06 00:00:00,"Für Frieden, Freiheit und Vernunft",Autokorso
506.0,2022-12-08 00:00:00,A860 Verkehrswende,Konrad-Adenauer-Platz
507.0,2022-12-08 00:00:00,Bildungspolitische Aktion am Tag der Bildung - Aufmerksammachen auf Bildungsgerechtigkeit,"Unigelände der Technischen Fakultät, Eschholzpark, Stühlinger Kirchplatz, Außenbereich Unibibliothekt, Bereich zwischen KG I und KG II, Stadtgarten"
508.0,2022-12-09 00:00:00,Eine Mahnwache für die sterbenden Geflüchtenden im Mittelmeer im Rahmen unserer Winterspendenaktion,Platz der Alten Synagoge
509.0,2022-12-10 00:00:00,sofortiger Zugang und Freilassung von A. Öcalan,Platz de Alten Synagoge mit Aufzug
510.0,2022-12-10 00:00:00,Mahnwache zur nachhaltigen und fleischlosen Gestaltung des traditionellen Wintermarktes,Rathausgasse
511.0,2022-12-15 00:00:00,Rempartstraße für den KfZ-Verkehr gesperrt,Rempartstraße
512.0,2022-12-10 00:00:00,Hinrichtung eines Demonstraten im Iran,Platz der Alten Synagoge
513.0,2022-12-16 00:00:00,Abschied nehmen von den angelieferten Tieren,Schlachthof Tullastraße
514.0,2022-12-13 00:00:00,Urteilsverkündung Amtsgericht,Platz der Alten Synagoge mit Aufzug
515.0,2022-12-19 00:00:00,Teuerungen,EKZ Weingarten
516.0,2022-12-18 00:00:00,"Mahnwache zur Sicherstellung geringer TV-Einschaltquoten des WM Finales in Katar! Flunkyball statt
Fußball! Kater statt Katar!",Stühlinger Kirchplatz
517.0,2022-12-15 00:00:00,"Aktion der bundesweiten Kampagne: Mietenstopp.de vor der Freiburger FDP-Geschäftsstelle
Titel: FDP - Wir zeihen bei Dir ein!","Kaiser-Joseph-Straße 216, vor der FDP-Geschäftsstelle Freiburg"
518.0,2022-12-13 00:00:00,Für Frieden und Freiheit und Wahrheit. Für eine neue Welt mit starkem Herzen und klarem Verstand,Autokorso
