Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
,,,
1.0,"04.01.2021
11.01.2021","Soziale Gerechtigkeit, Umweltschutz, Frieden",Ecke Bertholdstraße/Niemensstraße
2.0,2021-01-09 00:00:00,Antifaschistisches 2021,Bertoldsbrunnen
3.0,2021-01-05 00:00:00,"Stoppt das Impfexperiment, Schluss mit Hausarrest",Parkplatz Möslestadion (Waldseestraße 84) – Waldseestraße – Möslestraße - Schwarzwaldstraße – Leo-Wohleb-Straße - Schwabentorring – Schlossbergring -  Habsburgerstraße – Tennenbacher Straße -  Stefan-Meier-Straße – Breisacher Straße – Berliner Allee – Elsässer Straße – Hofackerstraße – Sundgauallee – Lehener Straße – Eschholzstraße – Haslacher Straße – Markgrafenstraße – Carl-Kistner-Straße – Eschholzstraße – Lörracher Straße – Wiesentalstraße – Merzhauser Straße (bis Kreisverkehr Hexentalstraße und dann 180 Grad Wendung) – Lorettostraße – Günterstalstraße – Talstraße – Schwarzwaldstraße – Parkplatz Möslestadion (Waldseestraße 84).
4.0,"11.01.2021
18.01.2021",Trommeldemo – Rhythmus verbindet Menschen,"Dreisambrücke, Höhe SC Stadion – Richtung Sandfangweg – links der Dreisam zurück zum Ausgangspunkt"
5.0,2021-01-09 00:00:00,"Aufklärung der Morde an Sakine Cansiz, Fidan Dogan
 und leyla Saylemez, Verurteiler der Drahtziueher der Morde",PdAS
6.0,2021-01-09 00:00:00,"Sammeln von Unterstützerunterschriften für die Partei 
Klimaliste Baden-Württemberg",Urachstraße 40/ Fußgängerbereich
7.0,2021-01-12 00:00:00,"Stoppt das Impfexperiment, Schluss mit Hausarrest","Parkplatz Möslestadion (Waldseestraße 84) – Waldseestraße – Möslestraße - Schwarzwaldstraße – Hansjakobstraße - Heinrich-Heine-Straße – Schwarzwaldstraße – Talstraße – Landsknechtstraße – Zasiusstraße – Günterstalstraße – Schillerstraße – Schwabentorring – Schlossbergring – Mozartstraße –Stadtstraße – Urbanstraße – Sandstraße - Richard-Wagner-Straße -Händelstraße – Rotackerstraße – Sonnhalde – Rötebuckweg – Fillibachstraße –Reutebachstraße – Zähringer Straße – Habsburgerstraße – Friedrichring –Bismarckallee – Lessingstraße – Schillerstraße – Schwarzwaldstraße – Möslestraße - Parkplatz Möslestadion (Waldseestraße 84),"
8.0,2021-01-11 00:00:00,Für Frieden und Freiheit,Platz der Alten Synagoge
9.0,2021-01-16 00:00:00,Freiheit für Alle !,"Autokorso Start und Ende Parkplatz Möslestadion. 
Die Route führt über Schwarzwaldstr. -  Schwabentorring - Habsburgerstr.- Zähringerstr. - Komturstr. - Rennweg - Friedhofstr. – Eschholzstr. - Haslacherstr. – Markgrafenstr. - Opfingerstr. – Binzengrün – Buggingerstr. – Binzengrün – Haslacherstr. - Markgrafenstr.-Staufenerstr. - Feldbergstr.- Belchenstr.- Uffhauserstr. – Baslerlandstr. – Malteserordenstr. – Obergasse – Andreas-Hoferstr. – Wiesentalstr. - Merzhauserstr. – Baslerstr. – Kronenstr. – Lessingstr. – Schillerstr. - Schwarzwaldstr. - Möslestadion"
10.0,2021-01-18 00:00:00,Für Frieden und Aufklärung,Platz der Alten Synagoge
11.0,2021-01-23 00:00:00,Ausgangsbeschränkungen,Zähringer Park
12.0,2021-01-25 00:00:00,Trommeldemo – Rhythmus verbindet Menschen,"Dreisambrücke, Höhe SC Stadion – Richtung Sandfangweg – 
links der Dreisam zurück zum Ausgangspunkt"
13.0,"01.02., 08.02.,
15.02., 22.02., 
01.03., 08.03., 
15.03., 22.03., 
29.03., 05.04., 
12.04.2021
","Soziale Gerechtigkeit, Umweltschutz, Frieden",Ecke Bertholdstraße/Niemensstraße
14.0,2021-01-27 00:00:00,"Kranzniederlegung anlässlich des Gedenktages an die 
Opfer des Nationalsozialismus",Mahnmal Rotteckring
15.0,2021-01-19 00:00:00,Stoppt den Lockdown! The Great Reset!,Treffpunkt Breisacherstr. 51 - Autokorso
16.0,2021-01-22 00:00:00,Rathausplatz,UN-Atomwaffen-Verbots-Vertrag
17.0,2021-01-23 00:00:00,Unterstützung von Alexei Nawalny,Platz der Alten Synagoge
18.0,2021-01-23 00:00:00,Unterstützung von Igor Losik,Rathausplatz
20.0,2021-01-23 00:00:00,Freiheit für Abdullah Öcalan,Platz der Alten Synagoge
21.0,2021-01-25 00:00:00,Für Frieden und Freiheit,Platz der Alten Synagoge
22.0,2021-01-26 00:00:00,Wie soll es weiter gehen ?,Autokorso
23.0,2021-01-28 00:00:00,"Schutz der Ärzte, gegen staatliche Willkür",Holzmarkt 2
24.0,2021-01-30 00:00:00,Einwohnerantrag zu 5G in Freiburg,Kartoffelmakrt
25.0,2021-01-30 00:00:00,Aktionstag der Seebrücke am 30.01.2021,Europaplatz und Stühlinger Kirchplatz
