Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
1.0,2019-02-02 00:00:00,Stadtteil Dietenbach (Bürgerentscheid),Platz der Alten Synagoge,,,
2.0,"05.01., 19.01., 02.02., 16.02., 09.03., 23.03.19",Veganismus,"05.01.: Bertoldsbrunnen
19.01., 02.02.; 16.02.: Kajo/Engelstr
09.03., 23.03.: Platz der Alten Synagoge",,,
3.0,"05.01.,12.01.,
19.01., 26.01.19",Flucht und Migration,Platz der Alten Synagoge,,,
4.0,2019-02-14 00:00:00,"One Billion Rising - Tanzen für ein Ende der Gewalt 
gegen Frauen ",Platz der Alten Synagoge,,,
5.0,2019-01-05 00:00:00,"Solidarität mit Leyla Güven – Aufhebung der
Isolationshaft von Abdullah Öcalan","Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen
(Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-
Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten
Synagoge (Abschlusskundgebung)",,,
6.0,2019-01-12 00:00:00,Außer Kontrolle gegen neue Polizeigesetze,"Treffpunkt Platz der Alten Synagoge, Rest unbekannt",,,
7.0,2019-01-27 00:00:00,Gedenkkundgebung zur Befreiung von Auschwitz,"Treffpunkt Platz der Alten Synagoge, Rest unbekannt",,,
8.0,"16.01.2019
17.01.2019
18.01.2019","Solidarität mit Leyla Güven – Aufhebung der
Isolationshaft von Abdullah Öcalan",Rathausplatz,,,
9.0,2019-01-19 00:00:00,"Frieden in Kurdistan, Türkei raus aus Afrin","Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen
(Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-
Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten
Synagoge (Abschlusskundgebung)",,,
10.0,2019-01-25 00:00:00,Mahnwache für den Frieden,Platz der Alten Synagoge,,,
11.0,2019-02-02 00:00:00,Bau- und Fallenjagd in Deutschland,Platz der Alten Synagoge,,,
12.0,"03.02.2019
03.03.2019
05.05.2019
02.06.2019",Europäische Einigung,Platz der Alten Synagoge,,,
13.0,2019-01-18 00:00:00,Klimaschutz,Platz der Alten Synagoge – Rempartstraße – Holzmarkt – Kaiser-Joseph-Straße (Zwischenkundgebung) – Bertoldstraße - Platz der Alten Synagoge,,,
14.0,2019-01-18 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
15.0,2019-01-23 00:00:00,Klimawandel,Platz der Alten Synagoge – Sedanstraße – Moltkestraße – Belfortstraße – Platz der Alten Synagoge ,,,
16.0,2019-01-26 00:00:00,"Solidarität mit Leyla Güven – Aufhebung der
Isolationshaft von Abdullah Öcalan","Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen
(Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-
Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten
Synagoge (Abschlusskundgebung)",,,
17.0,2019-01-26 00:00:00,Mahnwache gegen das Informationsverbot von Schwangerschaftsabbrüchen,Bertoldsbrunnen,,,
18.0,2019-01-26 00:00:00,Klimawandel,Platz der Alten Synagoge (Auftaktkundgebung) – Rotteckring – Rathausgasse – Rathausplatz (Zwischenkundgebung) – Universitätsstraße – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung und Auflösung),,,
19.0,2019-05-11 00:00:00,Information zu Europa,Augustinerplatz,,,
20.0,2019-02-16 00:00:00,"Demo für den Erhalt von landwirtschaftlichen Flächen und gegen Bauwut auf Äckern, Wald und Wiesen im Dietenbach",Parkplatz am Friedhof St. Georgen – Basler Landstraße – Basler Straße – Kronenstraße (über Kronenbrücke) – Werthmannstraße – Platz der Alten Synagoge (Fußgänger kommen hinzu) – Rotteckring - Friedrichring – Europaplatz – Kaiser-Joseph-Straße – Bertoldstraße – Platz der Alten Synagoge (Schlusskundgebung) – Werthmannstraße - Kronenstraße - Basler Straße - Basler Landstraße - Parkplatz am Friedhof St. Georgen.,,,
21.0,2019-05-25 00:00:00,Aktiv gegen sexuellen Missbrauch an Kindern,Platz der Alten Synagoge - Bertoldstraße - Bertoldsbrunnen - Kaiser-Joseph-Straße - Rempartstraße - Platz der Alten Synagoge,,,
22.0,04.02./ 11.02./ 18.02./ 25.02./ 04.03./ 11.03./ 18.03./ 25.03./ 01.04./ 08.04./ 15.04./ 22.04./ 29.04.2019,"Hartz IV, soziale Ungerechtigkeit, Umweltschutz, …",Ecke Bertoldstraße/Niemensstraße,,,
