Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke,Unnamed: 4,Unnamed: 5,Unnamed: 6
23.0,2019-02-02 00:00:00,Zur aktuellen Lage in Venezuela,Platz der Alten Synagoge,,,
24.0,2019-02-21 00:00:00,Tarifrunde Länder 2019,Friedrichstraße 41-43 (Start vor Gewerkschaftshaus) – Friedrichstraße – Europaplatz – Kaiser-Joseph-Straße (Zwischenkundgebung vor dem Regierungspräsidium) – Bertoldsbrunnen – Bertoldstraße – Rotteckring – Unterlinden – Schiffstraße – Kartoffelmarkt (Kundgebung),,,
25.0,"06.04.2019
20.04.2019
04.05.2019
18.05.2019
01.06.2019
15.06.2019
29.06.2019
",Vegane Ernährung,"Platz der Alten Synagoge
Platz der Alten Synagoge
Platz der Alten Synagoge
Platz der Alten Synagoge
Platz der Alten Synagoge
Platz der Alten Synagoge
Bertoldsrbunnen
",,,
26.0,2019-01-31 00:00:00,Mit Leyla Güven die Zwangsisolation von Abdulla Öcalan aufheben – dem Frieden in Kurdistan den Weg bereiten,Platz der Alten Synagoge,,,
27.0,16.02. bis 23.02.2019,Verletzung Menschenrechte (Unschuldsvermutung) durch Unternehmen insbesondere DM-Markt und ertei-len von Hausverboten (DM-Markt) / wegen Anfrage der AGB des DM-Markt Unternehmen / wegen E-Mail-Korrespondenz in Bezug auf die Unschuldsvermutung. Verbraucherrechte.,Auf Höhe der Anwesen Kaiser-Joseph-Straße 226 – 230 (am Bertoldsbrunnen ge-genüber des DM-Marktes in der Kaiser-Joseph-Straße 209).,,,
28.0,09.03.2019 bis 10.03.2019,Fukushima nie vergessen,Augustinerplatz,,,
29.0,2019-03-26 00:00:00,10 Jahre UN Behindertenrechtskonvention / Inklusion ist ein Menschenrecht,Rathausplatz,,,
30.0,2019-02-20 00:00:00,"Ampelaktion zum Thema ""Vegan""",Kreuzungsbereich Bismarckallee/ Friedrichstraße,,,
31.0,2019-01-31 00:00:00,"""Wutbürgerhaus Zähringen - Schon wieder eine Gelegenheit für Protest vor Freiburgs beliebtesten Veranstaltungsort für HetzerInnen aller Couleur. Schaff dich endlich ab Deutschland""",Aufzug von Hornusstraße zum Bürgerhaus Zähringen,,,
32.0,2019-02-09 00:00:00,Mit Leyla Güven die Zwangsisolation von Abdulla Öcalan aufheben – dem Frieden in Kurdistan den Weg bereiten,"Platz der Alten Synagoge 
(Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen
(Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-
Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten
Synagoge (Abschlusskundgebung)",,,
33.0,2019-02-15 00:00:00,Mahnwache für den Frieden,Platz der Alten Synagoge,,,
34.0,14.02. bis 17.02.2019,Für den Erhalt von Dietenbach,Westlich der Besanconallee auf den Flurstücken 28166 und 28168,,,
35.0,2019-02-22 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
36.0,"21.02.2019
22.02.2019",Dietenbach,Platz der Alten Synagoge,,,
37.0,2019-05-01 00:00:00,1. Mai Tag der Arbeit,"Stühlingerplatz – Wiwili-Brücke – Bismarckallee – Zur Unterführung – Breisacher Straße – Kreuzstraße – Klarastraße, Zwischenkundgebung – Wannerstraße – Stühlingerplatz, dort Abschlusskundgebung",,,
38.0,2019-03-15 00:00:00,Mahnwache für den Frieden,Bertoldsbrunnen,,,
39.0,2019-03-20 00:00:00,Newroz (kurdisches Neujahr),Platz der Alten Synagoge (Auftaktkundgebung) – Bertoldstraße – Bertoldsbrunnen (Zwischenkundgebung) – Salzstraße – Augustinerplatz – Gerberau – Kaiser-Joseph-Straße – Rempartstraße – Platz der Alten Synagoge (Abschlusskundgebung) ,,,
40.0,2019-03-15 00:00:00,Klimaschutz,"Stühlingerplatz (Auftaktkundgebung) – Wiwilibrücke – Konrad-Adenauer-Platz - Wilhelmstraße –Belfortstraße – Rempartstraße – Kaiser-Joseph-Straße - Bertoldsbrunnen (Zwischenkundgebung) – Kaiser-Joseph-Straße – Europaplatz – Friedrichring – Friedrichstraße – Zur Unterführung – Breisacher Straße – Eschholzstraße - Wannerstraße – Stühlingerplatz (Abschlusskundgebung, Auftritte Bands)",,,
41.0,2019-03-09 00:00:00,Mahnwache für Tibet,Bertoldsbrunnen,,,
42.0,2019-03-08 00:00:00,Frauenkampftag,Platz der Alten Synagoge (Auftaktkundgebung) – Rotteckring – Fahnenbergplatz – Friedrichstraße (Zwischenkundgebung vor dem DGB-Haus) – Fahnenbergplatz – Unterlinden – Schiffstraße – Kaiser-Joseph-Straße (mit Zwischenkundgebungen an der Ecke Löwenstraße/ Niemensstraße und am Holzmarkt) – Günterstalstraße – Ab-schlusskundgebung vor der Johanneskirche   ,,,
43.0,2019-03-08 00:00:00,Frauenkampftag,Platz der Alten Synagoge  - DGB Haus Friedrichstraße - Bermudadreieck - Holzmarkt - Abschlusskundgebung Johanneskirche,,,
44.0,2019-03-14 00:00:00,"Ampelaktion zum Thema ""Vegan""",Kreuzung Bismarckallee/ Friedrichstraße,,,
45.0,2019-03-30 00:00:00,Aktion gegen Fischerei (zum Tag für das Ende der Fischerei),Platz der Alten Synagoge,,,
46.0,2019-03-09 00:00:00,X+2 im Zusammenhang mit der Häuser-Räumung vom 07.03.2019,Stühlingerplatz - Wannerstr - Wentzingerstr - Klarastr - Guntramstr - Wilhemstr - Belfortstr - Adlerstr - Gretherstr,,,
47.0,2019-03-16 00:00:00,Zum Gedenken der Verbrechen von Halabdscha,Kartoffelmarkt,,,
48.0,2019-03-23 00:00:00,Save the Internet/ EU-Urheberrechtsverordnung / PDF-Formulare ohne Felder,Platz der Alten Synagoge – Bertoldstraße – Bertoldsbrunnen – Kaiser-Joseph-Straße – Rathausgasse – Rathausplatz – Turmstraße – Rotteckring – Eisenbahnstraße (CDU-Geschäftsstelle) – Hans-Sachs-Gasse – Bertoldstraße – Platz der Alten Synagoge  ,,,
49.0,2019-04-27 00:00:00,Verfolgung von Falun Gong / Falun Dafa in China,Platz der Alten Synagoge,,,
50.0,2019-05-30 00:00:00,Marsch des Lebens,Israelitische Gemeinde (Nußmannstr. 14)- Kaiser-Joseph-Str. - Martins Tor - Rempartstraße - Platz der Alten Synagoge (Schlusskundgebung),,,
51.0,2019-04-12 00:00:00,Mahnwache für den Frieden,Bertoldsbrunnen,,,
52.0,2019-03-28 00:00:00,Die militärische Niederlage des IS feiern – den Kämp-fer*innen der SDF danken – den Gefallenen gedenken,Platz der Alten Synagoge,,,
53.0,2019-05-11 00:00:00,"Unicef Kampagne: Kindheit braucht Frieden.
Aktion: Theater der 10.000.
",Seepark,,,
54.0,2019-03-28 00:00:00,"Ja zur Umsetzung des Koalitionsvertrags, Nein zu Up-loadfiltern, Gegen PDF-Formulare ohne Formularfelder",Basler Straße/ Ecke Merzhauser Straße vor dem SPD Regionalzentrum,,,
55.0,2019-04-13 00:00:00,Abschiebungen,"Rathausplatz (Auftaktkundgebung) – Merianstraße – Friedrichring – Europaplatz –  Kaiser-Joseph-Straße (Zwischenkundgebung vor Regierungspräsidium Freiburg, Basler Hof) – Gerberau – Augustinerplatz – Salzstraße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung)",bis hier Erfassung für Statistik 1. Quartal,,
56.0,2019-06-15 00:00:00,Sensiblilisierung gegen weltweit bestehende Sklaverei,Platz der Alten Synagoge,,,
57.0,2019-04-06 00:00:00,Info über Naturschutz,Privatgrundstück Zwiegerackerweg 20,,,
58.0,2019-04-06 00:00:00,Menschenrechte schützen- Konzerne haftbar machen für Menschenrechtsverstöße in der Schokoladenindustrie,Gerberau 12-14,,,
59.0,2019-04-12 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
60.0,2019-04-23 00:00:00,Welttag des Buches ,Platz der Alten Synagoge,,,
61.0,2019-04-25 00:00:00,Privatsphäre,Platz der Alten Synagoge ,,,
62.0,2019-04-13 00:00:00,"Aktion zum Thema ""Eier""",Platz der Alten Synagoge ,,,
63.0,2019-04-16 00:00:00,"Tierschutz, Gedenkfeier für Chico",Europaplatz,,,
64.0,2019-04-13 00:00:00,Insektensterben (Bienen),Kartoffelmarkt,,,
65.0,2019-04-20 00:00:00,Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
66.0,2019-04-13 00:00:00,"""Nie wieder Faschismus""/ ""Nationalismus ist keine Alternative""; 
Gegenkundgebung gegen AfD-Veranstaltung in FR-Hochdorf",vor dem Hotel-Restaurant Hirschen in Freiburg-Hochdorf,,,
67.0,2019-04-26 00:00:00,Schutz des ungeborenen Lebens,Humboldtstraße (Auftaktkundgebung) – Kaiser-Joseph-Straße – Friedrichring – Rotteckring – Unterlinden – Schiffstraße – Kartoffelmarkt (Abschlusskundgebung),,,
68.0,2019-05-09 00:00:00,"""Freiburger Speakers Corner"" Jungkanitat_Innen für die Gemeinderatswahl stellen sich vor",Platz der Alten Synagoge,,,
69.0,2019-04-30 00:00:00,Clubsterben,Platz der Alten Synagoge - Rempartstraße - Kaiser-Joseph-Straße - Bertoldsbrunnen Zwischenkundgebung - Salzstraße  - Herrenstraße - Auf der Zinnen - Europaplatz Abschlusskundgebung ,,,
70.0,"25.04.2019
11.05.2019
24.05.2019",Europawahl,Platz der Alten Synagoge,,,
71.0,"10.05.2019
11.05.2019
22.05.2019",Europawahl,Rathausplatz,,,
72.0,2019-04-24 00:00:00,Armut bekämpfen- Europa retten!,Platz der Alten Synagoge,,,
73.0,2019-04-30 00:00:00,Revolutionäre Vorabendkundgebung zum 1. Mai,EKZ Weingarten,,,
74.0,2019-04-20 00:00:00,Solidarität mit den Hunderstreikenden - die Zwangsisolation von Abdullah Öcalan aufheben,Kartoffelmarkt,,,
75.0,2019-04-26 00:00:00,"Erhalt der Häuser, Quäkerstraße Ost und West",Quäkerstraße - Gerwigplatz - Prinz-Eugenstraße,,,
76.0,"04.05.2019
11.05.2019",Aufklärung über Rechtspopulismus,Wochenmarkt Freiburg-Landwasser Europaplatz,,,
77.0,2019-04-26 00:00:00,Mahnache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
78.0,2019-05-04 00:00:00,Nie wieder Krieg in Europa - gegen Aufrüstung und Militarisierung,Europaplatz,,,
79.0,2019-05-15 00:00:00,Grünes Kino zum Thema Umwelt- und Klimaschutz,Platz der Alten Synagoge,,,
80.0,2019-04-27 00:00:00,,B31,,,
81.0,2019-05-03 00:00:00,Gedenkversammlung/Gedenkgebet San Diego,Platz der Alten Synagoge,,,
82.0,2019-05-04 00:00:00,"""Ihr hupt, wir trinken""",Kronenbrücke (Fußgängerweg auf der westlichen Seite),,,
83.0,2019-04-29 00:00:00,Wohnungen bezahlbar in Freiburg?,Platz der Alten Synagoge,,,
84.0,2019-06-04 00:00:00,Tarifrunde Kfz,Christaweg - Heckerstraße – St. Georgener Straße - Munzingerstraße – Bötzinger Straße – Matsuyamaallee – Guildfordallee -  Basler Straße – Heinrich-von-Stephan-Straße - Schnewlinstraße – Bismarckallee - Friedrichstraße (Kundgebung),,,
85.0,2019-05-21 00:00:00,Europawahl,Platz der Alten Synagoge,,,
86.0,"30.04.2019
07.05.2019
08.05.2019
09.05.2019",Solidarität mit den Hunderstreikenden - die Zwangsisolation von Abdullah Öcalan aufheben,Kartoffelmarkt,,,
87.0,2019-05-24 00:00:00,Europawahl,Platz der Alten Synagoge,,,
88.0,2019-05-17 00:00:00,"Mahnwache zu Internationaler Tag gegen Homo-, Trans-, Bi- und Interphobie",Platz der Alten Synagoge,,,
89.0,2019-05-04 00:00:00,Wohnungen bezahlbar in Freiburg?,Platz der Alten Synagoge,,,
90.0,"22.06.2019,
23.06.2019",Christopher Street Day 2019,"Platz der Alten Synagoge – Bertoldstraße – Salzstraße – Oberlinden – Schwabentorplatz – Greiffeneggring – Wallstraße – Holzmarkt – Kaiser-Joseph-Straße – Friedrichring – Rotteckring – Belfortstraße – Wilhelmstraße – Schnewlinstraße – Bismarckallee – Zur Unterführung – Breisacher Straße – Eschholzstraße – Engelbergerstraße – Stühlingerplatz 

23.06.: Stühlingerplatz",,,
91.0,2019-05-11 00:00:00,Legalisierung von Cannabis / „Global Marijuana March Freiburg“,Platz der Alten Synagoge - Bertoldstraße - Kaiser-Joseph-Straße - Europaplatz - Le-opoldring - Auf der Zinnen - Herrenstraße - Oberlinden - Schwabentor - Greiffeneg-gring - Wallstraße - Holzmarkt - Rempartstraße - Belfortstraße - Wilhelmstraße - Bismarckallee - Friedrichstraße - Fahnenbergplatz - Rotteckring - Platz der Alten Sy-nagoge.,,,
92.0,2019-05-12 00:00:00,Friedlicher Protest für eine geschlechtergerechte und zeitgemäße katholische Kirche,Münsterplatz,,,
93.0,2019-05-15 00:00:00,Protest gegen Antizionistische Veranstaltungen in Kirchenräumen,"Gehweg vor Ludwigskriche, Starkenstraße 8, 79104 Freiburg",,,
94.0,"11.05.2019
12.05.2019",Wohnungsnot,Rathausplatz,,,
95.0,2019-05-11 00:00:00,Strafe muss sein - Legalisierung Nein!,Rotteckting,,,
96.0,2019-05-10 00:00:00,"""Friede für Kurdistan, Türkei raus aus Afrin""",Platz der Alten Synagoge,,,
97.0,2019-05-25 00:00:00,Weltfrieden durch inneren Frieden,Rathausgasse 50 – Rathausplatz – Kaiser-Joseph-Straße – Nußmannstraße – Con-rad-Gröber-Straße – Münsterplatz – Eisenstraße – Schusterstraße – Kaiser-Joseph-Straße – Martinstor – Niemensstraße – Universitätsstraße – Rathausplatz- Rathaus-gasse – Eisenbahnstraße – Colombipark ,,,
98.0,"13.05.2019
20.05.2019
27.05.2019
03.06.2019
17.06.2019
24.06.2019
01.07.2019
08.07.2019
15.07.2019
22.07.2019
29.07.2019
05.08.2019","""Soziale Ungerechtigkeit; Umweltschutz; Frieden…""",Ecke Bertoldstraße/Niemensstraße,,,
99.0,2019-05-11 00:00:00,Einwohnerversammlung bezahlbares Wohnen,Ecke Bertoldstraße/Niemensstraße,,,
100.0,2019-05-14 00:00:00,Europawahl,Platz der Alten Synagoge,,,
101.0,2019-06-26 00:00:00,Tag zur Unterstützung der Opfer von Folter,Platz der Alten Synagoge,,,
102.0,2019-05-18 00:00:00,Alle gegen Verdrängung & steigende Mieten! Für eine solidarische Stadt,Platz der Alten Synagoge,,,
103.0,2019-06-01 00:00:00,Aktion gegen Überfischung der Meere,Kartoffelmarkt,,,
104.0,2019-05-15 00:00:00,"""Ich bin vegan, weil…""",Platz der Alten Synagoe,,,
105.0,"13.07.2019
27.07.2019
10.08.2019
24.08.2019
07.09.2019
21.09.2019
",Vegane Ernährung,"Bertoldsbrunnen
Kaiser-Joseph-Straße/Ecke Engelstraße
Platz der Alten Synagoge
Bertoldsbrunnen
Platz der Alten Synagoge
Kaiser-Joseph-Straße/Ecke Engelstraße
",,,
106.0,2019-05-19 00:00:00,Ein Europa für Alle,Platz der Alten Synagoge (Anfangskundgebung) – Rotteckring – Eisenbahnstraße – Hauptbahnhof (Zwischenkundgebung) – Bismarckallee – Friedrichstraße – Friedrichring – Europaplatz (Zwischenkundgebung) – Kaiser-Joseph-Straße – Bertoldsbrunnen (Zwischenkundgebung) – Bertoldstraße – Platz der Alten Synagoge (Abschlusskundgebung).,,,
107.0,2019-05-18 00:00:00,Solidarität mit den Hungerstreikenden - die Zwangsisolation von Abdullah Öcalan aufheben,Platz der Alten Synagoge,,,
108.0,2019-05-15 00:00:00,Seenotrettung,Platz der Alten Synagoge,,,
109.0,"18.05.2019
01.06.2019",Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
110.0,2019-05-18 00:00:00,Mahnwache für den Frieden,Mahnmal für die Opfer des Nationalsozialismus,,,
111.0,2019-05-16 00:00:00,"""Für ein anderes Europa""",Augustinerplatz - Salzstraße - Herrenstraße - Auf der Zinnen - Europaplatz,,,
112.0,2019-05-21 00:00:00,"""Europa nur solidarisch""",Rathausplatz,,,
113.0,2019-05-17 00:00:00,Investition der Deutschen Bank in Braunkohle und Rüstung,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
114.0,"24.05.2019
25.05.2019",Unterschriften sammeln für die Aufhebung der Verjährungsfrist bei sexuellemj Missbrauch,"Kartoffelmarkt
Platz der Alten Synagoge",,,
115.0,2019-05-24 00:00:00,Umweltschutz / Klimagerechtigkeit,Platz der Alten Synagoge,,,
116.0,2019-05-19 00:00:00,Maria 2.0,Münsterplatz,,,
117.0,2019-05-25 00:00:00,"""Verfolgung von Falun Dafa / Falun Gong in China""",Platz der Alten Synagoge,,,
118.0,2019-05-19 00:00:00,Der große Diesel-Irrsinn,Weiherhofschule,,,
119.0,2019-05-19 00:00:00,Meinungskundgabe gegen die AfD,vor der Weiherhofschule,,,
120.0,2019-05-24 00:00:00,Mahnwache für die Tiere,"vor dem Schlachthof, Tullastraße",,,
121.0,2019-05-18 00:00:00,Friday for future,Adelhauser Platz- Aufzug Richtung PdAS,,,
122.0,2019-06-07 00:00:00,"""Gezi - kein dunkles Kapitel""",Platz der Alten Synagoge,,,
123.0,2019-06-15 00:00:00,Umweltschutz,Eisenbahnstraße 64,,,
124.0,2019-05-29 00:00:00,Kühe sind keine Milchmaschinen!,Platz der Alten Synagoge,,,
125.0,2019-05-25 00:00:00,Einwohnerversammlung bezahlbares Wohnen,Rotteckring,,,
126.0,2019-06-02 00:00:00,Mobilität / Verkehrswende,Platz der Alten Synagoge,,,
127.0,2019-06-01 00:00:00,Solidarität mit Frankreich / Gelbwesten ,Platz der Alten Synagoge,,,
128.0,2019-05-25 00:00:00,Pack`s an gegen neue Polizeigesetze,Hauptbahnhof - Eisenbahnstraße - PdAS - Bertoldsbrunnen- Kajo - Schiffstraße - Merianstraße - Hermann-Herder-Straße JVA,,,
129.0,2019-06-01 00:00:00,Sühnestrunde zu Ehren Maria,"Universitätskirche, Bertoldstraße 17a",,,
130.0,2019-05-31 00:00:00,Divestment Information für Deutsche-Bank-Kunden,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
131.0,2019-05-31 00:00:00,Tarifrunde Einzelhandel,Kartoffelmarkt,,,
132.0,2019-06-07 00:00:00,Umweltschutz,Bertoldsbrunnen-Kajo-Kartoffelmarkt-Kajo-Münsterplatz,,,
133.0,2019-06-07 00:00:00,Divestment  ,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
134.0,2019-06-13 00:00:00,"""Ampelaktion"" zum Thema ""Vegan""",Kreuzung Bismarckallee/ Friedrichstraße,,,
135.0,2019-06-19 00:00:00,Vegane Ernährung,Augustinerplatz,,,
136.0,2019-06-28 00:00:00,Mahnwache für den Frieden,Mahnmal für die Opfer des Nationalsozialismus,,,
137.0,2019-06-14 00:00:00,"""Investition der Deutschen Bank in Braunkohle und Rüstung""","vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
138.0,2019-06-15 00:00:00,Aufstand oder Aussterben,Münsterplatz,,,
139.0,2020-04-17 00:00:00,"Für Frauenrechte, insbesondere Abtreibung",Humboldtstraße – Kaiser-Joseph-Straße – Europaplatz (Zwischenkundgebung) – Kaiser-Joseph-Straße – Weberstraße – Merianstraße – Gauchstraße – Kartoffel-markt (Abschlusskundgebung) ,,,
140.0,2019-06-21 00:00:00,Information über den Stolperstein von Karl Müller (in der NS-Zeit verfolgter Homosexueller),"vor Kaufhof, Kaiser-Joseph-Straße (Stolperstein Karl Müller)",,,
141.0,2019-07-05 00:00:00,Hunde BBQ? Go vegan!,Augustinerplatz,,,
142.0,2019-07-19 00:00:00,"Umweltschutz, Klimagerechtigkeit",Platz der Alten Synagoge (Anfangskundgebung) – Bertoldstraße – Bismarckallee – Friedrichring – Europaplatz (Zwischenkundgebung) – Kaiser-Joseph-Straße – Rempartstraße – Platz der Alten Synagoge (Abschlusskundgebung).,,,
143.0,2019-06-21 00:00:00,Investition der Deutschen Bank in Braunkohle und Rüstung,"vor Filiale der Deutschen Bank, Rotteckring 3, 79098 Freiburg",,,
144.0,2019-06-22 00:00:00,"Christliche Werte sind wertvoll für die Gesellschaft?!
Wo ist die Liebe in der Gesellschaft?!
Lebt die Gesellschaft in Freiheit?!",Augustinerplatz,,,
145.0,2019-06-21 00:00:00,Weltflüchtlingstag,Platz der Alten Synagoge,,,
146.0,2019-06-25 00:00:00,"""Ampelaktion"" zum Thema ""Vegan""",Kreuzung Bismarckallee/ Friedrichstraße,,,
147.0,2019-06-28 00:00:00,"Aktion zum Thema ""Bio""",Platz der Alten Synagoge,,,
148.0,2019-07-06 00:00:00,Parking Day ,Wilhelmstraße 3A,,,
149.0,2019-06-29 00:00:00,Bienen-/ Insektensterben,Rathausplatz (Anfangskundgebung) - Rathausgasse - Kaiser-Joseph-Straße - Bertoldsbrunnen - Kaiser-Joseph-Straße - Münsterstraße - Münsterplatz (Zwischenkundgebung) - Münsterstraße - Kaiser-Joseph-Straße – Europaplatz (Schlusskundgebung).,,,
150.0,2019-07-06 00:00:00,"Friedensmarsch ""Walk for the planet""",Stadtgarten-Freiburg St. Georgen - Schallstadt - Scherzingen - Norsingen - Bad-Krozingen-Tunsel zur Gartencoop,,,
151.0,2019-07-05 00:00:00,"""Licht der Hoffnung"" - Aktion gegen Tiertransporte",Bertoldsbrunnen - vor Volksbank,,,
152.0,2019-06-30 00:00:00,geschlechtergerechte katholische Kirche,Münsterplatz; Schoferstraße,,,
153.0,2019-07-06 00:00:00,Syrischer Held namens Sarot,Augustinerplatz,,,
154.0,2019-06-28 00:00:00,"""WALK FOR THE PLANET""",Eschholzpark,,,
155.0,2019-07-04 00:00:00,Vegane Ernährung,Augustinerplatz,bis hier Erfassung für Statistik 2. Quartal,,
156.0,2019-07-04 00:00:00,"""Fossil Free""",Platz der Alten Synagoge,,,
157.0,2019-07-05 00:00:00,Klimaschutz/Klimagerechtigkeit,Platz der Alten Synagoge,,,
158.0,2019-07-09 00:00:00,"Red Hand Aktion diverser Schulen, Übergabe an MdB´s",Rathausplatz,,,
159.0,2019-07-06 00:00:00,Vegan Tasting,Platz der Alten Synagoge,,,
160.0,2019-07-12 00:00:00,Sensibilisierung für den Bundesverband Kinderhospiz e.V. ,Bertoldstraße / Niemensstraße ,,,
161.0,2019-07-15 00:00:00,Mahnwache für die Tiere,"Tullastraße 73, 79108 Freiburg i. Br.",,,
162.0,2019-07-24 00:00:00,Mahnwache für Legalisierung von Hanf,Platz der Alten Synagoge,,,
163.0,2019-07-31 00:00:00,"Ampelaktion zum Thema ""Vegan""",Bismarckallee/Friedrichstraße,,,
164.0,2019-07-19 00:00:00,Klimaschutz beginnt auf dem Teller,Platz der Alten Synagoge,,,
165.0,2019-07-20 00:00:00,Friedensdemo für junge Leute - Impulse für die Zukunft,Platz der Alten Synagoge,,,
