Nr.,Datum,Grund/Anlass,Ort bzw. Wegstrecke
,,,
1.0,2023-01-07 00:00:00,Gedenkveranstaltung Oury Jalloh,PdAS mit Aufzug zum Stühlinger Kirchplatz
2.0,2023-01-10 00:00:00,Solidemo für politische Gefangene,PdAS mit Aufzug
3.0,2023-01-02 00:00:00,Teuerungen,EKZ Weingarten / Frizt-Schieler-Platz
4.0,2023-01-07 00:00:00,Nein zur islamischen Republik,Platz der Alten Synagoge
5.0,2023-01-07 00:00:00,Vegane Ernährung,Rathausplatz
6.0,2023-01-04 00:00:00,Lützerath,Bertoldsbrunnen
7.0,2023-01-09 00:00:00,Morde von kurdischen Aktivist_innen in Paris,Platz der Alten Synagoge
8.0,2023-01-14 00:00:00,Frauen in Afghanistan,Platz der Alten Synagoge
9.0,2023-01-14 00:00:00,Vegane Ernährung,Rathausplatz
10.0,2023-01-14 00:00:00,Solidarität mit Lützerath,Rathausplatz mit Aufzug
11.0,2023-01-21 00:00:00,Blockade der artsakh un deren Bewohner_innen - 120000 Armenier von Azerbdjan,Platz der Alten Synagoge
12.0,2023-01-16 00:00:00,Teuerungen,EKZ Weingarten / Frizt-Schieler-Platz
13.0,2023-01-18 00:00:00,Sofortiger Zugang zu und Freiheit für Abdullah Öcalan,Platz der Alten Synagoge
14.0,2023-01-20 00:00:00,bezahlbarer Wohnraum,"Herdern Dorfplatz, abseits vom Bauernmarkt"
15.0,2023-01-20 00:00:00,"Mahnwache zwei Jahre Atomwaffenverbotsvertrag und Abrüstung statt Aufrüstung. 
Frieden jetzt für die Ukraine",Rathausplatz
16.0,2023-01-21 00:00:00,Klimaschutz,"Mensa-Brunnen, Rempartstraße"
17.0,2023-01-21 00:00:00,Stopp die Hinrichtung im Iran,Platz der Alten Synagoge
18.0,2023-01-22 00:00:00,"Protest gegen die Ausbeutung von Tieren. Die willkürliche Trennung in ""Haus- und Nutztiere"", Massen-
tierhaltung sowie Gesundheitsaspekte einer veganen Ernährung",Platz der Alten Synagoge
19.0,2023-01-21 00:00:00,Informtation über die politische Lage in Peru für die Öffentlichkeit,Augustinerplatz mit Aufzug zum Platz der Alten Synagoge
20.0,2023-01-22 00:00:00,Mahnwache angesichts der abgeschlossenen Räumung von Lützerath,Rathausplatz
21.0,2023-01-18 00:00:00,Linke Medienarbeit ist nicht kriminell !,Platz der Alten Synagoge
22.0,2023-01-27 00:00:00,Abschied nehmen von den angelieferten Tieren,"Schlachthof, Tullastraße"
23.0,2023-01-28 00:00:00,Vegane Ernährung,Rathausplatz
24.0,2023-02-04 00:00:00,Frieden in der Ukraine,PdAS
25.0,2023-02-02 00:00:00,Tarifrunde öffentlicher Dienst 2023,PdAS
26.0,2023-01-30 00:00:00,30.01.1933 - Nie wieder Faschismus!,PdAS
27.0,2023-02-06 00:00:00,"Soziale Ungerechtigkeit, Gesundheitsschutz, Umweltschutz und Freiden","Platz der Alten Synagoge, Ecke KG II/Bertoldstraße"
28.0,2023-02-04 00:00:00,Menschenrechte im Iran,Platz der Alten Synagoge
29.0,2023-02-14 00:00:00,gegen Gewalt an Frauen und Mädchen,Platz der Alten Synagoge
30.0,2023-02-04 00:00:00,Frieden,Bertoldsbrunnen
31.0,2023-02-03 00:00:00,Fahhraddemo: Gegen den Ausbau von Autobahnen,PdAS mit Aufzug auf der B 31
32.0,2023-02-10 00:00:00,für besseres Einbürgerungsverfahren in Freiburg,Rathausplatz
33.0,2023-02-11 00:00:00,Red Hand Day,Augustinerplatz
34.0,2023-02-10 00:00:00,Freilassung Abdullah Öcalans - Frieden im Nahen Osten,Robert-Ruh-Weg (Weingarten) - Haslach - Stühlinger -Innenstadt - PdAS
35.0,2022-02-10 00:00:00,"Das Problem heißt Lageer, Flucht und Grenzen; Rassismus ",Müllheimer Straße 7
36.0,2023-02-11 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
37.0,2023-02-11 00:00:00,Freiheit und Religion,Platz der Alten Synagoge
38.0,2023-02-11 00:00:00,"Frieden, Klimagerechtigkeit und Solidarität",Bertoldsbrunnen
39.0,2023-02-11 00:00:00,Vegane Ernährung,Ecke Engelstraße / Kaiser-Joseph-Straße
40.0,2023-02-05 00:00:00,Neujahrsempfang Bündnis90/Die Grünen,Bürgerhaus Seepark
41.0,2023-02-18 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
42.0,2023-02-18 00:00:00,Freiheit für politische Gefangene,vor der Universitätsbibliothek
43.0,2023-02-18 00:00:00,Hanau Jahrestag,EKZ Weingarten 
44.0,2023-02-18 00:00:00,Frieden für die Ukraine,Augustinerplatz
45.0,2023-02-22 00:00:00,Frieden mit Russland,Rathausplatz
46.0,2023-03-03 00:00:00,Globaler Klimastreik,PdAS - Rempartstraße - Kaiser-Joseph-Straße - Dreisamstraße - Schwabentorring - Schlossbergring - Leopoldring - Friedrichring - Friedrichstraße - Bismarckallee - Wilhelmstraße - Sedanstraße - PdAS
47.0,2023-02-24 00:00:00,Antikriegs- und Friedensdemo,Platz der Alten Synagoge
48.0,2023-02-24 00:00:00,Ein Jahr der große Krieg in der Ukraine,Rathausplatz mit Aufzug
49.0,2023-02-24 00:00:00,Widerstand gegen den Ukrainekrieg,EKZ Weingarten
50.0,2023-02-24 00:00:00,Frieden in der Ukraine,Ecke Rotteckring/Rathausgasse beim Mahnmal
51.0,2023-02-25 00:00:00,Frieden,Bertoldsbrunnen
52.0,2023-02-25 00:00:00,Waldschutz,Platz der Alten Synagoge
53.0,2023-02-25 00:00:00,Erdbeben in Kurdistan / Syrien / Türkei,Platz der Alten Synagoge
54.0,2023-02-19 00:00:00,Gedenken zu den Anschlägen in Hanau,Platz der Alten Synagoge
55.0,2023-03-03 00:00:00,"Verkehrswende, autofreie Rempartstraße",Rempartstraße
56.0,2023-02-25 00:00:00,Frieden in der Ukraine,Bertoldsbrunnen
57.0,2023-03-04 00:00:00,Frieden,Bertoldsbrunnen
58.0,2023-03-04 00:00:00,Frieden für die Ukraine,Platz der Alten Synagoge mit Aufzug
59.0,2023-03-03 00:00:00,Sternmarsch,Andreas-Hofer-Straße – Innsbrucker Straße – Bergiselstraße – Zwischenkundge-bung vor der Freien Waldorfschule St. Georgen ca. 09:40–10:00 – Bergiselstraße – Innsbrucker Straße – Lörracher Straße – Eschholzstraße – Staudingerstraße – Zwischenkundgebung vor der Staudinger-Gesamtschule ca. 10:20-10:50 – Stau-dingerstraße – Eschholzstraße – B31 – Schnewlinstraße – Bismarckallee – Rosa-straße – Poststraße – Zwischenkundgebung vor dem St. Ursula Gymnasium ca. 11.10-11.25 an der Ecke Eisenbahnstraße/ Poststraße – Rosastraße  – Rotteckring – Platz der Alten Synagoge
60.0,2023-03-03 00:00:00,Sternmarsch Waldorf,Basler Str. zur Freien Waldorfschule Freiburg-Wiehre
61.0,2023-03-03 00:00:00,Sternmarsch Paula-Fürst,"Helligestraße – Basler Straße – Zwischenkundgebung Freien Waldorfschule Frei-burg-Wiehre ca. 10:05-10:20 Uhr – Basler Straße – Schwimmbadstraße – Hum-melstraße – Zwischenkundgebung vor dem Rotteck-Gymnasium ca. 10:35-10:45 Uhr – 
Hummelstraße – Mattenstraße – Kronenstraße – Werthmannstraße – Rempartstra-ße – Zwischenkundgebung vor der Mensa Rempartstraße ab ca. 11:05 – 
Rempartstraße – Platz der Universität – Platz der Alten Synagoge"
62.0,2023-03-03 00:00:00,Sternmarsch Littenweiler,Hansjakobstraße – Schwarzwaldstraße – Fabrikstraße – Kartäuserstraße – Wall-straße – Holzmarkt – Rempartstraße
63.0,2023-03-06 00:00:00,Montagsdemo,EKZ Weingarten
64.0,2023-03-08 00:00:00,Tarifrunde öffentlicher Dienst 2023,PdAS
65.0,2023-03-08 00:00:00,Internationaler Frauentag,Bertoldsbrunnen
66.0,2023-03-10 00:00:00,Abschied nehmen von den angelieferten Tieren,"Schlachthof, Tullastraße"
