Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
,,,,
1.0,04.01. bis 04.04.2016,dem. Aktion,gegen Hartz IV und Sozialkahlschlag,"Rathausplatz
Ecke Bertoldstr./Niemensstraße"
2.0,2016-01-07 00:00:00,dem. Aktion,Erinnerung an die 3 ermordeten kurdischen Aktivistinnen in Paris,Kartoffelmakrt
3.0,2016-01-08 00:00:00,dem. Aktion,Körperverletzungsdelikt Guten-Abend-Bar,Stadttheater mit Aufzug
4.0,2016-01-16 00:00:00,dem. Aktion,Menschenrechtsverl. und Angriffe des türkischen Militärs auf die kurdische Bevölkerung im Osten der Türkei,Rathausplatz - Universitätsstraße - Bertoldstraße - Bertoldsbrunnen - Ka/Jo - Rathausgasse - Rathausplatz
5.0,2016-01-13 00:00:00,dem. Aktion,Milchpreise in ganz Europa ruinös,unter der Stühlingerbrücke beim Konrad-Adenauer-Platz
6.0,2016-01-23 00:00:00,dem. Aktion,Pelz/Leder,Bertoldsbrunnen
7.0,2016-01-26 00:00:00,dem. Aktion,Aktion gegen das Tragen von Tierhäuten,Bertoldsbrunnen (WMF-Geschäft)
8.0,2016-01-21 00:00:00,dem. Aktion mit Aufzug,Den türkischen Staatsterror gegen Kurden und Kurdinnen stoppen,Kartoffelmarkt - Schiffstraße - Kaiser-Joseph-Straße - Auf der Zinnen - Herrenstraße - Salzstraße - Augustinerplatz (Zwischenkundgebung) - Gerberau - Martinstor - Kaiser-Joseph-Straße - Schiffstraße - Kartoffelmarkt (Abschlusskundgebung)
9.0,2016-01-29 00:00:00,dem. Aktion,Mahnwache für den Frieden,Bertoldsbrunnen (WMF-Geschäft)
10.0,2016-01-30 00:00:00,dem. Aktion mit Aufzug,Frieden in Syrien,Rathausplatz (Kundgebung) - Merianstraße - Friedrichring - Kaiser-Joseph-Straße - Rempartstraße - Rotteckring - Bertoldstraße - Rathausplatz (Abschlusskundgebung)
11.0,2016-01-27 00:00:00,dem. Aktion mit Aufzug,"Schleppende Asylverfahren, Wohnsituation","Augustinerplatz - Gerberau - KaJo - Auf der Zinnen - durch den Karlsbau - über Leopoldring bei der Ampel - Leopoldring - Jakob-Burckhardt-straße - Stadtstraße LRA Breisgau-Hochschwarzwald, Aufenthalt - und wieder zurück zum Augustinerplatz"
12.0,2016-02-03 00:00:00,dem. Aktion mit Aufzug,Sofort medizinische Hilfe für die Verschütteten von Cizre,Kartoffelmarkt - Schiffstraße - Kaiser-Joseph-Straße - Nußmannstraße - Herrenstraße - Salzstraße - Augustinerplatz (Zwischenkundgebung) - Gerberau - Martinstor - Kaiser-Joseph-Straße - Schiffstraße - Kartoffelmarkt (Abschlusskundgebung)
13.0,2016-02-20 00:00:00,dem. Aktion,Ernährung-Welthunger,Ecke Bertoldstr.-Niemensstraße
14.0,2016-02-14 00:00:00,dem. Aktion,One Billion Rising - Tanz gegen Gewalt an Frauen,Hansjakobstraße
15.0,2016-02-06 00:00:00,dem. Aktion mit Aufzug,Sofort medizinische Hilfe für die Verschütteten von Cizre,Kartoffelmarkt - Gauchstraße- - Rotteckring - Platz der Alten Synagoge - Rempartstraße - Kajo - Gerberau - Augustinerplatz - Salzstraße - Bertoldstraé - Platz d.Alten Synagoge/Theatervorplatz
16.0,2016-02-09 00:00:00,dem. Aktion mit Aufzug,Frieden für Kurdistan,Kartoffelmarkt - Schiffstraße - Kajo- Bertoldsbrunnen - Kajo - Martinstor - Gerberau - Augustinerplatz - Salzstraße - Bertoldsbrunnen - Kajo - Schifftstraße - Kartoffelmarkt
17.0,2016-02-08 00:00:00,dem. Aktion mit Aufzug,Situation in Cizre,Rathausplatz
18.0,2016-02-25 00:00:00,dem. Aktion,Nein zu Tierversuchen,Kartoffelmarktplatz
19.0,"16.02.2016
18.02.2016
20.02.2016",dem. Aktion,gegen Tierversuche,"Kaiser-Joseph-Straße bis zum mördlichen Ende, Höhe ""New Yorker"" und zurück bis vor das Martinstor"
20.0,2016-02-20 00:00:00,dem. Aktion mit Aufzug,Lichter für Syrien,"Mundenhof (ZMF), Waltershofener Straße - Walter-Benjamin-Straße - A.-Steinmann-Straße - Jean-Monnet-Straße - Brücke Mundenhofsteg"
21.0,2016-03-01 00:00:00,dem. Aktion,Protest gegen Frau Merkel,Konrad-Adenauer-Platz
22.0,2016-02-18 00:00:00,dem. Aktion mit Aufzug,AKP-Reg. massakriert kurd. Zivilisten,Kartoffelmarkt-Schiffstr.-Kajo-Gerberau-Augustinerplatz-Salzstr.-Kajo-Schiffstr.-Kartoffelmarkt
23.0,2016-03-04 00:00:00,dem. Aktion,"Tauscht die Politiker aus, bevor sie euch austauschen",Ecke Kaiser-Joseph-Straße/Marktgasse
24.0,2016-02-27 00:00:00,dem. Aktion,Tierschutz/gegen Massentierhaltung,Gehweg der Kaiser-Joseph-Straße
25.0,2016-02-27 00:00:00,dem. Aktion,Großes Rasthaus  - jetzt!,"Hebelstraße 10, vor dem ehemaligen DGB Haus"
26.0,2016-03-01 00:00:00,dem. Aktion,Stoppt Frau Merkel,Konrad-Adenauer-Platz
27.0,2016-03-05 00:00:00,dem. Aktion mit Aufzug,gegen Rassismus und Gewalt,"Werthmannstraße, Auftaktkundgebung – Bertoldstraße – Kaiser-Joseph-Straße – Auf der Zinnen – Herrenstraße – über den Augustiner-platz – Gerberau – Rempartstraße – Werthmannstraße vor UB"
28.0,2016-03-05 00:00:00,dem. Aktion,Umweltpolitik,Ecke Kaiser-Joseph-Straße/Wasserstraße
29.0,2016-03-02 00:00:00,dem. Aktion,Situation in der Türkei,Bahnhofshalle Bismarckallee
30.0,2016-03-10 00:00:00,dem. Aktion,"Wahlkampf, Bedingungen der Beschäftigten inder Pflege",Bertoldsbrunnen
31.0,2016-03-10 00:00:00,dem. Aktion,Mahnwache für Tibet,Kartoffelmarktplatz
