Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
,,,,
1.0,"05.01., 12.01.,19.01.,26.01.,02.02.,u. 09.02.2015",demonstrative Aktion,Frieden - Diskussions- und Informationsveranstaltung von Bürgern für Bürger,Augustinerplatz
2.0,2015-01-10 00:00:00,demonstrative Aktion,Pflege am Boden,Ecke Kaiser-Joseph-Straße/Schusterstraße
3.0,2015-01-23 00:00:00,Aufzug,Anti-Pegida-Marsch,Augustinerplatz – Gerberau – Humboldtstraße – Platz der Universität – Platz der Alten Synagoge – Rotteckring – Fahnenbergplatz - Friedrich-ring (südliche Fahrbahn) – Siegesdenkmal – Kaiser-Joseph-Straße – Rathausgasse – Rathausplatz
4.0,2015-01-11 00:00:00,demonstrative Aktion,Je suis Charlie,Rathausplatz
5.0,2015-01-17 00:00:00,demonstrative Aktion mit Aufzug,Wir sind CHARLIE,Augustinerplatz - Gerberau - KaJo - Humboldtstraße - Rempartstraße - Rotteckring - Platz der Alten Synagoge
6.0,2015-01-16 00:00:00,demonstrative Aktion,für Meinungsvielfalt und Meinungsfreiheit,Bertoldstraße 7 BZ
7.0,2015-01-24 00:00:00,demonstrative Aktion mit Aufzug,Freiheit für Abdullah Öcalan,Kartoffelmarkt-Schiffstraße-Kaiser-Joseph-Straße-Auf der Zinnen-Herrenstraße-Schusterstraße-Kaiser-Joseph-Straße-Schiffstraße-Kartoffelmarkt
8.0,"02.02., 02.03., 16.03., 30.03., 13.04., 27.04. und 09.02., 16.02., 23.02., 09.03., 23.03., 06.04., 20.04. 04.05.2015 ",demonstrative Aktion,Demonstration gegen Sozialkahlschlag und Hartz IV,Rathausplatz und Ecke Bertoldstraße/Niemensstraße
9.0,2015-01-21 00:00:00,dem. Aktion,gegen Abschiebung,Rathausplatz
10.0,2015-01-27 00:00:00,dem. Aktion,"gegen ISIS, Gegen Regime in Syrien",Platz der Alten Synagoge
11.0,2015-02-06 00:00:00,dem. Aktion,Saudi-Arabien,Bertoldsbrunnen
12.0,2015-01-31 00:00:00,Kundgebung,Berufsverbote stoppen,"Verwaltungsgericht Freiburg, Habsburgerstraße "
13.0,2015-02-05 00:00:00,dem. Aktion,Manel an Proberäumen in Freiburg,Rathausplatz
14.0,2015-02-07 00:00:00,dem. Aktion,Ölbohrungen in der Arktis,Bertoldsbrunnen
15.0,2015-02-10 00:00:00,dem. Aktion,Schweigemarsch der Kuscheltiere,"Bertoldsbrunnen - Kaiser-Joseph-Straße - Auf der Zinnen - Karlsplatz - durch den Karlsbau - überqueren des Leopoldrings bei der Ampel Rirchtung Karlstraße - Leopoldring - Jakob-Burckhardt-Straße - Landratsamt Breisgau-Hochschwarzwald, Stadtstraße 2"
16.0,2015-02-21 00:00:00,dem. Aktion,Solidarität mit Griechenland,Bertoldsbrunnen
17.0,2015-02-20 00:00:00,dem. Aktion,Pelz/Leder,Bertoldsbrunnen
18.0,2015-02-26 00:00:00,dem. Aktion,Herr Heinke,Agentur für Arbeit
19.0,2015-02-27 00:00:00,dem. Aktion,Herr Heinke,Bertoldsbrunnen
20.0,"06.03., 13.03., 20.03. und 27.03.",dem. Aktion,Austausch über Liebe/Frieden,Augustinerplatz
21.0,2015-03-07 00:00:00,dem. Aktion,Fair handeln - Kinder demonstrieren für ökologische Kinderrechte,"Augustinerplatz, Gerberau, Kajo - Rathausgasse, Rotteckring/VHS"
22.0,2015-02-25 00:00:00,dem. Aktion,Stoppt Abschiebungen! Freiheit für Flüchtlinge,Rathausplatz
23.0,2015-03-07 00:00:00,dem. Aktion,Frauenkampftag,Platz der Alten Synagoge
24.0,2015-03-14 00:00:00,dem. Aktion,Internationaler Frauentag,Rathausplatz
25.0,"14.03.2015, 11.04.2015",dem. Aktion,Pflege am Boden,Ecke Kaiser-Joseph-Straße/Schusterstraße
26.0,"28.02.2015, 07.03.2015, 14.03.2015",dem. Aktion,"Soli-Bündnis ""Mehrwert!""",Bertoldsbrunnen
27.0,"02.03., 09.03., 16.03., 23.03., 30.03., 06.04., 13.04., 20.04., 27.04., 04.05., 11.05., 18.05. und 25.05.2015",dem. Aktion,Mahnwache für den Frieden,Augustinerplatz
28.0,"07.03., 08.03.2015",dem. Aktion,Fukushima nie vergessen!,Augustinerplatz
29.0,2015-03-06 00:00:00,dem. Aktion mit Aufzug,Frieden in der Ukraine,Rathausplatz - Merianstraße - Friedrichring - Kaiser-Joseph-Straße - Rempartstraße - Rotteckring - Unterlinden - Merianstraße - Rathausplatz
30.0,2015-03-07 00:00:00,dem. Aktion,Demo zum internationalen Frauentag,Platz der Alten Synagoge
31.0,2015-03-11 00:00:00,dem. Aktion,"Fukushima, Störfalle Fessenheim",Bertoldsbrunnen
32.0,2015-03-10 00:00:00,dem. Aktion,Tibet Mahnwache,Bertoldsbrunnen
33.0,2015-03-12 00:00:00,"dem. Aktion, Schweigeminute",Gedenken Fukushima,Münsterplatz vor dem HK
34.0,2015-03-15 00:00:00,dem. Aktion,"Situation Karstadt Freiburg ""Fokus""","Karstadt, Bertoldsbrunnen, zurück Rathausgasse bzw. Franziskanerstr., Rathausplatz"
35.0,2015-03-19 00:00:00,dem. Aktion,Kundgebung zur Tarifrunde Chemie,Engesserstr. 8
36.0,2015-03-17 00:00:00,dem. Aktion,Rote Karte für Abschiebe-Kretschmann!,"Dreisamstr. 3, vor Paulussaal"
37.0,2015-03-14 00:00:00,dem. Aktion,Syrische Revolution,Augustinerplatz
38.0,2015-03-14 00:00:00,dem. Aktion,Gedenken an Ivana Hoffmann,Bertoldstraße Vorplatz Volksbank
39.0,2015-03-17 00:00:00,dem. Aktion,Mahnwache gegen Isis,Bertoldsbrunnen
40.0,2015-03-19 00:00:00,dem. Aktion,Tarifrunde Sozial- und Erziehungsdienst,Augustinerplatz-Gerberau-Kajo-Rathausgasse-Rathausplatz
41.0,2015-03-20 00:00:00,dem. Aktion,Newroz,Kartoffelmarkt-Schiffstraße-Kaiser-Joseph-Straße-Auf der Zinnen-Herrenstraße-Oberlinden - Salzstr. - Bertoldsbrunnen - Kaiser-Joseph-Straße- Schiffstraße-Kartoffelmarkt
42.0,2015-03-22 00:00:00,dem. Aktion,Erhalt des Schlattwegs als Fuß- und Radweg,entlang des Schlattwegs
