Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
,,,,
1.0,2013-01-12 00:00:00,dem. Aktion,Ermordung von 3 kurdischen Politikern,Kartoffelmarkt mit Aufzug
2.0,"21.01., 04.02.,
18.02., 04.03.,
18.03., 01.04.,
15.04.2013",dem. Aktion,Montagsdemo,Rathausplatz
,"14.01., 28.01.,
11.02., 25.02.,
11.03., 25.03.,
08.04.2013",dem. Aktion,Montagsdemo,Ecke Bertoldstraße/Niemensstraße
3.0,2013-01-19 00:00:00,dem. Aktion,Ermordung  von 3 Frauen,Kartoffelmarkt mit Aufzug
4.0,2013-02-16 00:00:00,dem. Aktion,Eurokrise,Bertoldsbrunnen
5.0,2013-02-19 00:00:00,dem. Aktion,Menschenrechtsverletzung in Nordkorea und anderswo,Bertoldsbrunnen
6.0,2013-02-01 00:00:00,dem. Aktion,Pro vegane/vegetarische Ernährung,Bertoldsbrunnen
7.0,2013-02-23 00:00:00,dem. Aktion,"Meeresschutz, Verschmutzung u. Überfischung",Bertoldsbrunnen
8.0,2013-02-07 00:00:00,dem. Aktion,Durchsuchung linker WG,Bertoldsbrunnen
9.0,2013-02-14 00:00:00,dem. Aktion mit Aufzug,One Billion Rising - internationale Aktion gegen Gewalt gegen Frauen,Augustinerplatz - Salzstraße - Bertoldstraße - Konrad-Adenauer-Platz
10.0,2013-03-09 00:00:00,dem. Aktion,Intern. Frauentag,Kartoffelmarkt 
11.0,2013-03-09 00:00:00,dem. Aktion mit Aufzug,2 Jahre nach Fukushima,Bertoldsbrunnen
12.0,2013-02-20 00:00:00,dem. Aktion,Tarifverhandlungen Länder,PD Freiburg
13.0,2013-02-23 00:00:00,dem. Aktion mit Aufzug,Syrische Politik-gegen Salefisten,Platz der Alten Synagoge
14.0,2013-03-05 00:00:00,dem. Aktion mit Aufzug,Tarifrunde Länder,Augustinerplatz
15.0,2013-03-09 00:00:00,dem Aktion,Tibet Mahnwache,Augustinerplatz
16.0,2013-03-05 00:00:00,dem. Aktion,Schuldenabbau,Bertoldsbrunnen
17.0,2013-03-10 00:00:00,dem. Aktion,Mahnwache Fukushima,Augustinerplatz
18.0,2013-03-16 00:00:00,dem. Aktion,Bildungspolitik,Bertoldsbrunnen
19.0,2013-03-21 00:00:00,Mahnwache,Mahnwache gegen Bundeswehrwerbung in der Arbeitsagentur Freiburg,"Lehener Str. 77, vor Arbeitsagentur"
20.0,2013-03-15 00:00:00,dem. Aktion,Unterstützung des SWR Sinfonieorchester gegen Fusion und Standort,"Konzerthaus Freiburg, Künstlereingang Bertoldstraße Konrad-Adenauer-Platz"
21.0,2013-03-22 00:00:00,dem. Aktion mit Aufzug,"Weltwassertag, Wasserverschmutzung d. Textilproduktion","Kajo/Ecke Schiffstr., Bertoldstr., Augustinerplatz, Kajo/Schiffstr."
22.0,2013-03-20 00:00:00,dem. Aktion mit Aufzug,Kurdisches Neujahrsfest (Newroz),"Karlsplatz, Platz der Alten Synagoge"
23.0,2013-03-24 00:00:00,dem. Aktion mit Aufzug,Zu milde Strafen für Sexualstraftäter,Am Lindenwäldele (Wendeplatte)  mit Aufzug
24.0,2013-03-22 00:00:00,dem. Aktion,Weltwassertag ,Bertoldsbrunnen
25.0,2013-03-23 00:00:00,dem. Aktion,Antirepressionskundgebung,Bertoldsbrunnen
26.0,2013-03-22 00:00:00,dem. Aktion,Walldorf ist überall,"Vor Parkplatz Phadia GmbH, Jechtinger Straße"
27.0,2013-03-23 00:00:00,dem. Aktion,Ölbohrungen in der Arktis,Shell-Tankstelle Schwarzwaldstr. 
28.0,2013-03-08 00:00:00,dem. Aktion,gegen Sexismus,Innenstadt
29.0,2013-04-05 00:00:00,dem. Aktion mit Aufzug,Schutz des ungeborenen Lebens,Innenstadt
30.0,"06.04.2013
10.04.2013",Mahnwache,Reichtum umfairteilen,Bertoldsbrunnen
31.0,2013-04-13 00:00:00,dem. Aktion mit Aufzug,Gegen-Immo-Leergutfahrradralley,Annaplatz; Route nicht bekannt
