Nr.,Datum,Art der Versammlung,Grund/Anlass,Ort bzw. Wegstrecke
37.0,2014-04-25 00:00:00,dem. Aktion mit Aufzug,Schutz des ungeborenen Lebens,Innenstadt/Kartoffelmarkt
38.0,"14.04., 28.04., 12.05., 26.05., 09.06., 23.06., (Rathausplatz) 21.04., 05.05., 19.05., 02.06., 16.06., 30.06., 07.07. und 14.07.2014 Ecke Bertoldstr./Niemensstraße",dem. Aktion mit Aufzug,Demonstration gegen Sozialkahlschlag und Hartz IV,Ecke Bertoldstraße / Niemensstraße und Rathausplatz  
39.0,2014-04-19 00:00:00,dem. Aktion ,Überfischung der Meere und Beifang,Unterlinden (vor dem Brunnen)
40.0,2014-04-12 00:00:00,"dem. Aktion, Versammlung",Grüne Gentechnik in Eiern und Fleisch,verschiedene Lidl-Filialen in Freiburg
41.0,2014-05-05 00:00:00,dem. Aktion,Protest gegen Wegfall der Versicherung,vor dem Kommunalen Kino am Wiehre-Bahnhof
42.0,2014-05-01 00:00:00,dem. Aktion mit Aufzug u. Kundgebung,01. Mai Kundgebung des DGB,Versammlung Stühlinger Kirchplatz- Wiwili-Brücke-Bismarckallee-zur Unterführung-Breisacher Str.-Kreuzstr.-Klarastr. (Zwischenkundgebung)-Wannerstraße-Stühlinger Kirchplatz (Abschlusskundgebung)
43.0,2014-04-19 00:00:00,dem. Aktion,Reaktion der Szene nach Räumung der Wagengruppe Sand im Getriebe,Örtlichkeit nicht bekannt
44.0,2014-05-18 00:00:00,dem. Aktion,Kundgebung mit Gregor Gysi anlässlich der Kommunal- und Europawahl,Platz der Alten Synagoge
45.0,2014-05-07 00:00:00,dem. Aktion,Information über das europäisch-amerikanische Freihandelsabkommen,Rathausplatz
46.0,2014-04-26 00:00:00,dem. Aktion,Tierversuche,Ecke Münsterstraße/Münsterplatz
47.0,2014-04-19 00:00:00,dem. Aktion,Sand im Getriebe,Konzerthaus mit Aufzug
48.0,2014-04-22 00:00:00,dem. Aktion,"Gegen die Hetze, für mehr Wagenplätze",Rathausplatz
49.0,2014-05-06 00:00:00,dem. Aktion,gegen Bundeswehrwerbung,ARGE
50.0,2014-05-07 00:00:00,dem. Aktion,Erhalt des SWR-Orchesters,Münsterplatz
51.0,2014-05-10 00:00:00,dem. Aktion mit Aufzug,Hebammenprotest im Kontext der Berufshaftpflichtversicherung,"Rathausgasse, Kaiser-Joseph-Straße, Grünwälderstraße, Augustinerplatz, keine Zwischenkundgebung, Salzstraße, Kaiser-Joseph-Straße, Schiffstraße, Kartoffelmarkt, dort Zwischenkundgebung, Merianstraße, Rathausplatz,"
52.0,2014-05-09 00:00:00,dem. Aktion mit Aufzug,Gegen Hinrichtungen,"Kartoffelmarkt, Schiffstr.,Kajo, Rempartstr. Platz d. Alten Synagoge, Bertoldstr., Kajo, Schiffstr., Kartoffelmarkt"
53.0,2014-05-10 00:00:00,dem. Aktion,Pflege am Boden,Freiburger Innenstadt
54.0,2014-05-12 00:00:00,dem. Aktion,Rettungspaket Altenpflege,Kartoffelmarkt
55.0,2014-05-14 00:00:00,dem. Aktion,gegen Fleischkonsum und Welthungerproblematik,"Ecke Löwenstraße/Niemensstraße, Freiburger Innenstadt"
56.0,2014-05-15 00:00:00,dem. Aktion,Diskussion zur Europawahl mit Peter Simon,Kartoffelmarkt
57.0,2014-05-17 00:00:00,dem. Aktion,EU-Wahlkampf,Rathausplatz
58.0,2014-05-17 00:00:00,dem. Aktion,gegen die Ermordung der rumänischen Straßenhunde,Augustinerplatz
59.0,2014-05-18 00:00:00,dem. Aktion,Bürger helfen Maria Hilf e.V. ,Zasiusstraße 109
60.0,2014-05-17 00:00:00,dem. Aktion mit Aufzug,Erhalt des SWR-Orchesters,Augustinerplatz 
61.0,2014-05-17 00:00:00,dem. Aktion,Info zum Urwaldholz,"Hermann-Mitsch-Straße, Höhe Möbel-Braun"
62.0,2014-05-16 00:00:00,dem. Aktion,Gegen Hinrichtungen,Kartoffelmarkt mit Aufzug
63.0,2014-05-24 00:00:00,dem. Aktion mit Aufzug,"Herausgabe Fahrzeuge, neuer Wagenplatz",keine Angaben bekannt
64.0,2014-05-24 00:00:00,dem. Aktion mit Aufzug,Konsumrevolution / March Against Monsanto,Karlsplatz-Auf der Zinnen-Kaiser-Joseph-Straße-Schiffstraße-Merianstraße-Rathausplatz-Rathausgasse-Kaiser-Joseph-Straße-Rempartstraße-Werthmannstraße-Platz der Alten Synagoge
65.0,2014-05-01 00:00:00,dem. Aktion,revolutionäre 1. Mai Demo,Stühlinger Kirchplatz
66.0,"08.05., 15.05.2014",dem. Aktion,"Tag der Befreiung und
Demokratisch, solidarisch, gemeinsam - Krisenakteure in Freiburg markieren",Platz der Alten Synagoge
67.0,2014-05-09 00:00:00,dem. Aktion,für die sofortige Rausgabe der beschlagnahmten Wägen,Rathausplatz und Münsterplatz
68.0,2014-05-24 00:00:00,dem. Aktion,Info zum Urwaldholz,Gehweg der Hermann-Mitsch-Straße Höhe Möbel-Braun
69.0,2014-05-23 00:00:00,dem. Aktion,gegen Bürgerwehr,Ecke Adlerstraße/Wilhelmstraße
70.0,2014-05-26 00:00:00,dem. Aktion,Frieden - Wege und Gangart ihn zu verankern,Kartoffelmarktplatz
71.0,2014-05-28 00:00:00,dem. Aktion,Kungebung gg. rassistische Zustände u. Berichterstattung d. BZ,Bertoldstraße vor Geschäftsstelle BZ
72.0,2014-05-31 00:00:00,dem. Aktion,gegen Al-Kaida u. Embargo hinsichtlich Lebensmitteln für die Zivilbevölkerung in Rojava,Augustinerplatz
73.0,2014-05-31 00:00:00,dem. Aktion,Verfolgung von Falun Dafa,Bertoldsbrunnen
74.0,"02., 09., 16., 
23.06.2014",dem. Aktion,Frieden,Kartoffelmakrt
75.0,2014-05-31 00:00:00,dem. Aktion,keine weitere Eskalation in der Ukraine,Rathausplatz
76.0,2014-06-14 00:00:00,dem. Aktion,Pflege am Boden,Gehweg Ecke Kaiser-Joseph-Straße/Schusterstraße Richtung Siegesdenkmal
77.0,2014-06-05 00:00:00,dem. Aktion,Gedenkkundgebung zum ersten Jahrestag des faschistischen Mordes an Clement Meric,Bertoldsbrunnen
78.0,2014-06-14 00:00:00,dem. Aktion,Info zum Urwaldholz,"Hermann-Mitsch-Straße, Höhe Möbel-Braun"
79.0,2014-06-14 00:00:00,dem. Aktion,Ecuadorianischer Regenwald,Kartoffelmarkt
80.0,"16.06.,23.06.,30.06.,07.07.,14.07.",dem. Aktion,Frieden,Kartoffelmarkt
81.0,2014-06-27 00:00:00,dem. Aktion,Verlorene Alterversorgung,"Bismarckallee 10, vor Voba"
82.0,2014-06-20 00:00:00,dem. Aktion,gebt die Wagen frei !,Augustinerplatz mit Aufzug
83.0,2014-06-27 00:00:00,dem. Aktion,Entführung der 3 Teenager in Israel,Rathausplatz
84.0,"12.07., 13.07.2014",dem. Aktion,Christopher Street Day,Platz der Alten Synagoge
85.0,2014-07-14 00:00:00,dem. Aktion,Der Sekt ist kaltgestellt !,Rathausplatz
86.0,2014-07-12 00:00:00,dem. Aktion,Pflege am Boden,Rathausplatz
87.0,2014-07-11 00:00:00,dem. Aktion,Wiese statt Steinwüste,Platz der Alten Synagoge
88.0,2014-07-11 00:00:00,dem. Aktion,Forderung nach finanzieller Entschädigung für NS-Opfer,Am Predigertor 3 (vor Gebäude)
89.0,2014-07-12 00:00:00,dem. Aktion,Protest gegen die ISIS in Syrien,Augustinerplatz
90.0,2014-07-17 00:00:00,dem. Aktion,Solidarität mit Israel,Kartoffelmarkt
91.0,2014-07-15 00:00:00,dem. Aktion mit Aufzug,gegen die Übernachtungssteuern in Freiburg,Konrad-Adenauer-Platz mit Aufzug zum Rathausplatz
92.0,2014-07-16 00:00:00,dem. Aktion,Information zu TECHO,Platz der Alten Synagoge
93.0,2014-07-17 00:00:00,dem. Aktion,Krieg in Palästina,Karlsplatz mit Aufzug
94.0,"1. 21.07., 04.08., 18.08., 01.09., 15.09., 29.09. u. 13.10. 2. 28.07., 11.08., 25.08., 08.09., 22.09., 06.10. u. 20.10.",dem. Aktion mit Aufzug,Demonstration gegen Sozialkahlschlag und Hartz IV,"1. Rathausplatz, Kajo, Martinstor, Gerberau, Augustinerplatz, Salzstr., Kajo, Rathausgasse, Rathausplatz 2. Niemensstr., Kajo, Martinstor, Gerberau, Augustinerplatz, Salzstr., Bertoldstr./Niemensstr."
95.0,2014-07-19 00:00:00,dem. Aktion,gegen die Bombadierung von Gaza,Kartoffelmarkt
96.0,"21., 28.07.2014 und
 04., 11.08.2014",dem. Aktion,Frieden - Diskussions- und Informationsveranstaltung von Bürgern für Bürger,Kartoffelmarkt
97.0,2014-07-21 00:00:00,dem. Aktion,Zwangsräumung Silberbachstr. 19,Silberbachstr. 19
98.0,2014-07-24 00:00:00,dem. Aktion,Verabschieden von Armani,Brühl-Beurbarung
99.0,2014-07-25 00:00:00,dem. Aktion ,Gaza-Krieg,Augustinerplatz
100.0,2014-07-25 00:00:00,dem. Aktion,Gedenken an den verstorbenen Jungen,Seepark
101.0,2014-07-31 00:00:00,dem. Aktion,Solidarität mit Israel,Rathausplatz
102.0,2014-08-02 00:00:00,dem. Aktion,Gaza-Krieg,Rathausplatz
103.0,2014-07-28 00:00:00,dem. Aktion,"Wir können auch anders, Grether-Aktionswoche Mieten, Wohnen....",Grethergelände mit Aufzug
104.0,2014-08-06 00:00:00,dem. Aktion,Aktionstag gegen Atomwaffen und Atomkraft anl. 69 Jahre Hiroshima und Freiburgs Mitgleidsahft bei Mayors for Peace,Rathausplatz
105.0,2014-08-09 00:00:00,dem. Aktion,Pfelge am Boden,Rathausplatz
106.0,2014-08-06 00:00:00,dem. Aktion mit Aufzug,Protest gegen Terror von Isis,Kartoffelmarkt - Schiffstraße - Siegesdenkmal - Friedrichring - Bismarckallee - Eisenbahnstraße - Rotteckring - Unterlinden - Schiffstraße - Kartoffelmarkt
107.0,2014-08-16 00:00:00,dem. Aktion,"Krieg im Irak, Trauertag",Rathausplatz
108.0,2014-08-16 00:00:00,dem. Aktion,Gaza-Krieg,Augustinerplatz
109.0,2014-08-24 00:00:00,dem. Aktion mit Aufzug,Internationaler Go Topless Tag,"Holzmarkt-Gerberau-Augustinerplatz-Salzstr. auf dem Gehweg-Dreherstr.-Schusterstr.-über Kajo-Rathausgasse-Rotteckring, Gehweg-Unterlinden-Schiffstr.-Kartoffelmarkt, dort Auflösung"
110.0,"18.08., 25.08.2014, 01.09. u. 08.09.2014",dem. Aktion,Frieden - Diskussions- und Informationsveranstaltung von Bürgern für Bürger,Kartoffelmarktplatz
111.0,2014-09-13 00:00:00,dem. Aktion,Pflege am Boden,Rathausplatz
112.0,2014-08-21 00:00:00,dem. Aktion,"Gewalt im Irak, Tod von J. Foley",Ecke Kajo/Schiffstr.
113.0,2014-09-13 00:00:00,dem. Aktion mit Aufzug,"Für mehr Akzeptanz der Alternativen Lebensweise, gegen diskriminierung von Gothiks, Punker, Metaller und Freunden von Untoten",Rathausplatz-Rathausgasse-Kaiser-Joseph-Straße-Schusterstraße-Ecke Schuster-Eisen-Dreherstraße- Herrenstraße-Salzstraße-Augustinerplatz-Grünwälderstraße-Kaiser-Joseph-Straße- Niemensstraße - Ecke Niemensstraße/Universitätsstraße - Niemensstraße-Bertoldstraße Platz der Alten Synagoge
114.0,2014-08-23 00:00:00,dem. Aktion mit Aufzug,Einseitige Berichterstattung der Medien,"Augustinerplatz - Gerberau - über KaJo - Rempartstraße - Werthmannstraße - Höhe Platz der Alten Synagoge, Kundgebung - Rotteckring - Rathausgasse - Rathausplatz, Kundgebung, über KaJo - Gauchstraße - Merianstraße - Schiffstraße - KaJo - Nußmannstraße - Herrenstraße - Oberlinden - Salzstraße, Kundgebung - Augustinerplatz"
115.0,2014-09-01 00:00:00,dem. Aktion mit Auzug,"Antikriegstag - Kundgebung gegen Krieg, Rüstung und Waffenexporte",Rempartstraße - Gerberau - Augustinerplatz - Salzstraße - Herrenstraße - Schusterstraße - über die Kaiser-Joseph-Straße - Rathausgasse - Rathausplatz dort Kundgebung und Auflösung
116.0,"25.08., 17.09.2014",dem. Aktion,"Prozessbeobachtung anlässlich Gerichtsverhandlungen im Zusammenhang mit den Gegenprotesten ""Piusbrüder 2013""","Amtsgericht Freiburg, Holzmarkt 2"
117.0,2014-10-10 00:00:00,dem. Aktion,Aktion gegen die Todesstrafe am Tag gegen die Todesstrafe,Rathausplatz
118.0,2014-10-18 00:00:00,dem. Aktion,Mahnwache Kampfdrohnen,Platz der Alten Synagoge
119.0,2014-09-20 00:00:00,dem. Aktion mit Aufzug,Klimakonferenz am 23.09.14 in New York,Ecke Bertoldstraße/Niemensstraße - Bertoldstraße - Rotteckring - Rathausgasse - Rathausplatz - Merianstraße - Friedrichring - Kaiser-Joseph-Straße - Rathausgasse - Rotteckring - Bertoldstraße - Ecke Bertoldstraße/Niemensstraße
120.0,2014-09-20 00:00:00,dem. Aktion,Veganismus/Welthunger,Augustinerplatz
121.0,2014-09-19 00:00:00,dem. Aktion,Stadtplanung und Verkehrsführung,Konradstraße
122.0,2014-09-19 00:00:00,dem.Aktion,Park(ing) Day,Klarastraße und Wannerstraße
123.0,2014-09-23 00:00:00,dem. Aktion,Mahnwache gegen Bundeswehrwerbung,"Vorplatz des Haupteingangs der ARGE, Lehener Straße 77"
124.0,2014-09-27 00:00:00,dem. Aktion,Ermordung der rumänischen Straßenhunde,Augustinerplatz
125.0,2014-09-20 00:00:00,dem. Aktion,Stoppt den Terror der Isis,Augustinerplatz mit Aufzug
126.0,"22.09., 29.09., 06.10., 13.10., 20.10., 27.10.. und 03.11.",dem. Aktion,Frieden-Diskussions- und Informationsveranstaltung von Bürgern für Bürger,Kartoffelmarktplatz
127.0,2014-10-04 00:00:00,dem. Aktion,Mahnwache zum Thema Veganismus/Welthunger,Ecke Schuster-/Eisen-/Dreherstraße
128.0,2014-10-04 00:00:00,dem. Aktion mit Aufzug,Arktis/Ice Ride,Stühlingerplatz/Klarastr.-Wannerstr.-Eschholzstr.-BreisacherStr.-Zur Unterführung-Stefan-Meier-Str.-Okenstr.-Habsburgerstr.-Friedrichring-Leopoldring-Schloßbergring-Greiffeneggring-Wallstr.-Rempartstr.-Werthmannstr.-Erbprinzstr.-Wilhelmstr.-Wiwilibrücke-Stühlingerplatz
129.0,2014-10-11 00:00:00,dem. Aktion,Fracking/Umwelt,Ecke Bertoldstraße/Niemensstraße
130.0,2014-09-30 00:00:00,dem. Aktion,Atomwaffen - ein Bombengeschäft,Münsterstraße
131.0,2014-10-02 00:00:00,dem. Aktion ,Pflege am Boden,Rathausplatz
132.0,"30.09.2014-
21.10.2014",dem. Aktion,Verschrottung der Wagen von SIG,Rathausplatz und Andere
133.0,2014-10-11 00:00:00,dem. Aktion mit Aufzug,TTIP-Das europäisch-amerikanische Freihandelsabkommen,Platz der alten Synagoge-Rotteckring-Unterlinden-Merianstraße-Rathausplatz
134.0,2014-10-18 00:00:00,dem. Aktion,Zootiere,Augustinerplatz
135.0,2014-10-07 00:00:00,dem. Aktion ,aktuelle Situation in Syrien,"Rathausplatz, Schiffstraße, Kajo, Auf der Zinnen, Herrenstraße, Schusterstraße , Kajo, Schiffstr. Merianstr., Rathausplatz "
136.0,2014-10-11 00:00:00,dem. Aktion mit Aufzug,March against Monsanto,"Augustinerplatz, Salzstr.-Herrenstr. -Karlsplatz- Auf der Zinnen- Kajo-Schiffstr.-Merianstr.-Gauchstr.-Kajo-Franziskanerstr.-Merianstr. -Gauchstr.-Rotteckring-Friedrichstr.-Bismarckallee-Eisenbahnstr. Rottteckring-Platz d. Alten Syn."
137.0,2014-10-07 00:00:00,dem. Aktion,KOD,Rathausplatz
138.0,2014-10-11 00:00:00,dem. Aktion,TTIP,Ecke Rieselfeldallee/Maxim-Gorkij-Straße (EDEKA)
