Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
31,2018-02-22,A (K),Protest gegen Angriffskrieg der Türkei auf Afrin,2018-02-24 00:00:00,13:00-17:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Burgplatz - Königstraße - Portsmouthplatz,1000
32,2018-02-22,A (K),"""Sperrung der Cölve Brücke"" - Forderun Behelfsbrücke",2018-03-07 00:00:00,16:30-20:00,Moers/DU-Rheinhausen; Coelve-Brücke -Neustraße -Oberfeld - Lohstraße -Trompeter Straße - Kreuzacker -Steinacker - Alfred-Hitz-Platz,ca. 500
33,2018-02-26,M,Baumschutzsanierung wieder einführen! Jetzt!,2018-03-05 00:00:00,13:30-15:30,DU-Stadtmitte; Burgplatz,10
34,2018-02-28,K,Tarifrunde ÖD,2018-03-09 00:00:00,12:00-13:00,DU-Stadmitte; Averdunkplatz,100
35,2018-02-28,K,Tarifrunde 2018,2018-03-05 00:00:00,12:00-14:00,DU-Stadtmitte; Burgplatz,40
36,2018-02-28,K,"Solidarität mit Afrin, Menschenkette für den Frieden",2018-03-19 00:00:00,17:00-19:00,DU-Stadtmitte; Averdunkplatz/Königstraße/König-Heinrich-Platz,200
37,2018-03-01,A (K),Demonstration zum Christopher Street Day 2017,2018-07-28 00:00:00,12:00-13:00,DU-Stadtmitte; Burgplatz - Kühlingsgasse - Münzstraße - Kuhstraße - Sonnenwall - Salvatorweg - Düsseldorfer Straße - Life-Saver-Brunnen - Königstraße - Kuhlenwall - Köhnenstraße - König-Heinrich-Platz,250
38,2018-03-02,K,"""Tafel"" nur für Deutsche?",2018-03-05 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
39,2018-03-02,K,"7 Jahre nach Fukushima, wie sicher ist die Kernenergie heute?",2018-03-12 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
40,2018-03-02,K,Aktuelles,2018-03-19 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
41,2018-03-02,K,Kostenloser ÖPNV - Wie weiter mit dem Sozialticket,2018-03-26 00:00:00,17:30-18:30,DU-Stadtmitte; Lifesaver-Brunnen,40-50
42,2018-03-07,M,Europa erwache! Unser Europa ist nicht ihre Union,2018-04-07 00:00:00,12:00-13:15,DU-Stadtmitte; Portsmouthplatz,ca. 50
43,2018-03-07,A,Türkische Armee in Afrin,2018-03-20 00:00:00,18:00-20:00,DU-Stadtmitte; Königstraße - Steinsche Gasse,50-100
44,2018-03-07,K,Türkische Armee in Afrin,2018-03-16 00:00:00,16:00-18:00,DU-Stadmitte; Averdunkplatz,ca. 100
45,2018-03-09,A (K),Tarifrunde,2018-03-20 00:00:00,06:00-12:00,DU-Stadtmitte; Aufzüge von mehreren Sammlungspunkten zum Burgplatz (Routen werden noch bekanntgegeben und abgestimmt),ca. 1.000
46,2018-03-13,A (K),Pessah-Marsch,2018-03-31 00:00:00,13:00-14:00,DU-Stadtmitte; Liebfrauenkirche - König-Heinrich-Platz - Königstraße - Steinsche Gasse -Königstraße - Mercatorstraße - Portsmouthplatz,250
47,2018-03-15,M,Tiere raus aus dem Zirkus,2018-03-23 00:00:00,15:00-16:00,DU-Wedau: Alfredi-Platz,20
48,2018-03-15,M,Tiere raus aus dem Zirkus,2018-03-24 00:00:00,18:30-19:30,DU-Wedau: Alfredi-Platz,20
49,2018-03-15,M,Tiere raus aus dem Zirkus,2018-03-25 00:00:00,12:00-13:00,DU-Wedau: Alfredi-Platz,20
50,2018-03-19,K,Traditionelles kurdisches Newroz-Fest,2018-03-20 00:00:00,16:00-20:00,"August-Bebel-Platz , DU-Marxloh",100-150
51,2018-03-18,M,Kritik an H4-Gesetzgebung + (Art der) Umsetzung im Jobcenter,2018-04-17 00:00:00,07:00-11:00,DU-Hamborn; Duisburger Straße 277,ca. 5
52,2018-03-28,A (K),Türkische Armee raus aus Efrin,2018-02-07 00:00:00,14:00-17:00,DU-Stadtmitte; Portsmouthplatz ,300
53,2018-03-30,K,"Kundgebung gegen ""Die Rechte""",2018-04-07 00:00:00,11:00-14:00,DU-Stadtmitte; Portsmouthplatz,ca. 150
