Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
151,2018-07-28,K,Situation an den Schulen,2018-08-27 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
152,2018-08-01,A (K),Eine solidarische Stadt für Alle,2018-09-15 00:00:00,17:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Landfermannstraße - Theater DU - Poststraße - Steinsche Gasse - Goldstraße - Dellplatz - Wallstraße - Friedrich-Wilhelm-Straße - Mercatorstraße - Plessingstraße - Heerstraße - Wanheimerstraße -Pauluskirche,1.500
153,2018-08-06,M,Freiheit für Abdullah Öcalan / Die Haftbedingungen von Herr Öcalan protestieren,2018-08-09 00:00:00,13:00-20:00,DU-Stadtmitte; Königstraße ,20-40
154,2018-08-06,M,Freiheit für Abdullah Öcalan / Die Haftbedingungen von Herr Öcalan protestieren,2018-08-10 00:00:00,13:00-20:00,DU-Stadtmitte; Königstraße ,20-40
155,2018-08-06,M,Freiheit für Abdullah Öcalan / Die Haftbedingungen von Herr Öcalan protestieren,2018-08-11 00:00:00,13:00-20:00,DU-Stadtmitte; Königstraße ,20-40
156,2018-08-13,A (K),Antikriegstagkundgebung und Demonstration,2018-09-01 00:00:00,11:55-17:00,DU-Stadtmitte; Kuhtor - Königstraße - Forum - Königstraße - Kuhtor,300-350
157,2018-08-13,A (K),Seebrücke - schafft sichere Häfen (für eine humanitäre Geflüchtetenpolitik und die Entkriminalisierung der Seenotrettung),2018-09-01 00:00:00,17:00-21:00,DU-Neudorf; Ludgeriplatz - Oststraße - Bismarckstraße - Memelstraße - Mülheimer Straße - Saarstraße - Mercatorstraße - Königstraße - Kuhstraße - Poststraße - Oberstraße - Philosophenweg - Garten der Erinnerung,3.000
158,2018-08-14,K,Duisburg bleibt bund und solidarisch - Gegen Ankerzentren und die Äußerungen des OB zu Migration und Flucht,2018-08-25 00:00:00,16:00-17:00,DU-Stadtmitte; Königstraße (Forum),50
159,2018-08-18,K,Situation an den Schulen,2018-09-03 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
160,2018-08-18,K,Vorbereitung bundesweite Montagsdemo,2018-09-10 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
161,2018-08-18,K,Zechensterben im Ruhrgebiet,2018-09-17 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
162,2018-08-18,K,Wohnungssituation in Duisburg,2018-09-24 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
163,2018-08-22,K,Taubenhaus beleben - langfristigen Leerstand enteignen,2018-08-25 00:00:00,11:00-12:00,DU-Meiderich; Von-der-Mark-Straße 49,10
164,2018-08-30,A (K),Solidarität mit Chemnitz,2018-09-01 00:00:00,19:00-21:30,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Friedrich-Wilhelm-Straße -Portsmouthplatz,100-150
165,2018-08-20,K,Antikriegstag,2018-09-01 00:00:00,16:30-19:30,DU-Stadtmitte; Lifesaver-Brunnen,20-25
166,2018-08-30,K,"Kundgebung gegen ""PEGIDA NRW""",2018-09-03 00:00:00,18:00-22:00,DU-Stadmitte; Portsmouthplatz,ca. 150
167,2018-08-31,K,"Für eine vielfältige, tolerante, solidarische Stadtgesellschaft - Kundgebung gegen den Aufzug der ultrarechten rassistischen PEGIDA NRW vor dem HBF Duisburg",2018-09-03 00:00:00,18:00-22:00,DU-Stadmitte; Portsmouthplatz,200
168,2018-09-03,M,Wir engagieren uns zur Abschaffung der Tierversuche und möchten die Öffentlichkeit darauf Aufmerksam machen und informieren,2018-10-06 00:00:00,11:00-17:00,DU-Stadtmitte; Königstraße 48 vor dem Forum,40
169,2018-08-31,M,Seebrücke - schafft sichere Häfen (für eine humanitäre Geflüchtetenpolitik und die Entkriminalisierung der Seenotrettung),2018-09-29 00:00:00,09:00-14:00,DU-Neumühl: Holtener Straße,100
170,2018-09-14,K,Performance - Beschleunigung der Behelfsbrücke,2018-09-18 00:00:00,14:00-16:00,DU-Stadtmitte; Burgplatz,30-40
171,2018-09-15,M,Gedenkstunde am Stolperstrein für Harro Schulze-Boysen & Frau,2018-12-22 00:00:00,-,DU-Dellviertel; Karl-Lehr-Straße 5,ca. 50
172,2018-09-17,K,Demo gegen Assad und Putin,2018-09-23 00:00:00,13:00-15:00,DU-Stadtmitte; Portsmouthplatz,70-200
173,2018-09-19,A (K),"Nein zum Krieg, Nein zur NATO-Zentrale Kalkar - Ja zu Frieden und Leben",2018-09-26 00:00:00,16:00-16:05,DU-Stadtmitte; König-Heinrich-Platz - Königstraße - Lifesaver ,10
174,2018-09-20,K,Erdogan - Not - Welcome (Erdogan du bist nicht willkommen),2018-09-26 00:00:00,17:00-19:00,DU-Stadtmitte; Königstraße (Forum),300
175,2018-09-26,K,Sozialticket muss bezahlbar werden,2018-10-01 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
176,2018-09-26,K,Vorbereitung bundesweite Montagsdemo,2018-10-08 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
177,2018-09-26,K,Bayern hat gewählt,2018-10-15 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
178,2018-09-26,K,Wohnungssituation in Duisburg,2018-10-22 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
179,2018-09-26,K,Konzernumbau auf dem Rücken der Belegschaft,2018-10-29 00:00:00,18:00-19:00,DU-Stadmitte; Lifesaver auf der Königstraße,40-50
180,2018-09-26,M,Aufstellung eines weißen Geisterrades und Gedenken an das Unfallopfer,2018-10-05 00:00:00,18:00-19:00,DU-Huckingen; Mündelheimer Straße / Ecke Kaiserswerther Straße,50
181,2018-09-28,A (K),Hambi bleibt,2018-10-11 00:00:00,18:00-20:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - König-Heinrich-Platz - Köhnenstraße - Kuhlenwall - Königstraße - Düsseldorfer Straße - Krummacherstraße - Realschulstraße - Cecilienstraße - Tonhallenstraße - Friedrich-Wilhelm-Straße - Portsmouthplatz,100
182,2018-10-04,K,Demo gegen Assad und Putin,2018-10-13 00:00:00,13:30-16:00,DU-Stadtmitte; Portsmouthplatz,100-150
183,2018-10-09,K,Werden Bildern von Cubus Kunsthalle protestiert - Solidarität mit der Türkei,2018-10-14 00:00:00,14:00-18:30,DU-Stadtmitte; Cubus Kunsthalle im Kantpark,10
184,2018-10-10,K,Bundesweite Aktionstage der Friedensbewegung vom 1. bis 4. November 2018,2018-11-03 00:00:00,11:00-14:00,DU-Stadtmitte; Lifesaver-Brunnen,100
185,2018-10-08,A (K),70 Jahre Allgemeine Erklärung der (AEMR) und Tagung der deutsche Sektion von Amnesty International im Wyndham Hotel,2018-10-20 00:00:00,16:00-17:00,DU-Stadtmitte; König-Heinrich-Platz - Opernplatz,250
186,2018-10-12,K,Friedliche Leben - Gegen den Kunst,2018-10-20 00:00:00,13:30-15:30,DU-Stadtmitte; Friedrich-Wilhelm-Straße,ca. 500
187,2018-10-15,A (K),Tag gegen Gewalt an Frauen,2018-11-24 00:00:00,18:30-21:00,DU-Stadmitte: Ludgeriplatz - Ludgeristraße - Mülheimer Straße - Sternbuschweg - Oststraße - Ludgeriplatz,100-150
188,2018-10-15,K,Werden Erdogan Bilder protestiert,2018-10-21 00:00:00,14:00-18:30,DU-Stadtmitte; Friedrich-Wilhelm-Straße 64,ca. 10
189,2018-10-17,K,Kaputtsparen is' nich'! Haushaltswende jetzt!,2018-11-26 00:00:00,13:30-16:00,DU-Stadtmitte; Burgplatz 19 (Eingangsportal des Duisburger Rathauses),20
190,2018-10-23,K,Freiheit für Delfine im Duisburger Zoo 2017,2018-10-28 00:00:00,11:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,25
191,2018-10-26,K,Werden Erdogan Bilder protestiert,-,14:00-16:00,DU-Stadtmitte; Friedrich-Wilhelm-Straße 64,ca. 10
192,2018-10-27,M,80. Jahrestag der Reichsprogromnacht,2018-11-09 00:00:00,19:00-20:20,DU-Stadtmitte; Königstraße Höhe Life Saver,20
193,2018-10-27,K,Umstrukturierung der Stahlindustrie,2018-10-05 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
194,2018-10-27,K,700. Montagsdemo,2018-11-12 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
195,2018-10-27,K,Geändertes Polizeigesetz,2018-11-19 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
196,2018-10-27,K,Tag gegen Gewalt an Frauen,2018-11-26 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
197,2018-10-30,M,Gedenken an die Reichsprogromnacht vor 80 Jahren - MPG gegen Diskriminierung und Rassismus,2018-11-08 00:00:00,17:45-18:30,DU-Meiderich; Von-der-Mark-Straße ,ca. 300
198,2018-11-06,A (K),Öffentliches WC in DU-Innenstadt,2018-11-19 00:00:00,14:00-16:00,DU-Stadtmitte; Averdunkplatz - Königstraße - Burgplatz,5-15
199,2018-11-06,K,Frauenmorde und 25. November Tag gegen Gewalt an Frauen,2018-11-08 00:00:00,14:00-17:00,DU-Stadtmitte; Lifesaver-Brunnen,10-15
200,2018-11-08,A (K),Für den Erhalt der Fankultur,2018-12-02 00:00:00,10:00-12:30,DU-Stadtmitte; Lifesaver-Brunnen - Düsseldorfer Straße - Sternbuschweg - Kalkweg,200-300
201,2018-11-16,A,Kundgebung und Demozug der streikenden Gebäudereiniger,2018-11-19 00:00:00,13:30-16:00,DU-Stadtmitte; König-Heinrich-Platz - Landfermannstraße - Köhnenstraße - Kuhlenwall - Stapeltor,ca. 50
202,2018-11-19,K,Verabschiedung neues Polizeigesetz im Landtag NRW im Dezember,2018-11-24 00:00:00,40-50,DU-Stadtmitte; Düsseldorfer Straße / Ecke Börsenstraße,40-50
203,2018-11-16,K,Inhaftierter deutscher Journalist Adil Demirci,2018-11-19 00:00:00,14:00-15:00,DU-Stadmitte; Averdunkplatz,3-5
204,2018-11-14,A (K),Freiheit für Öcalan und die Unterdrückung der Türkei gegen das kurdische Volk protestieren,2018-11-26 00:00:00,16:00-19:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Tonhallenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Mercatorstraße -Portsmouthplatz,300
205,2018-11-19,M,Die RECHTE für Duisburg,2018-11-21 00:00:00,10:30-12:30,DU-Neumühl; Holtener Straße 200 / Ecke Alexstraße,5-10
206,2018-11-19,M,Die RECHTE für Duisburg,2018-11-21 00:00:00,13:15-15:30,DU-Meiderich; Von-der-Mark-Straße,5-10
207,2018-11-17,K,Klimakonferenz,2018-12-03 00:00:00,18:00-19:00,DU-Stadtmitte; Averdunkplatz,40-50
208,2018-11-17,K,Jahresrückblick 2018,2018-12-10 00:00:00,18:00-19:00,DU-Stadtmitte; Averdunkplatz,40-50
209,2018-11-27,M,Die Rechte für Duisburg / Europawahlkampf 2019,2018-11-30 00:00:00,11:00-15:00,DU-Meiderich; Von-der-Mark-Straße 52,5-10
210,2018-11-27,M,Die Rechte für Duisburg / Europawahlkampf 2019,2018-12-01 00:00:00,10:00-12:00,DU-Hamborn; Altmarkt 28-32,5-10
211,2018-11-27,M,Die Rechte für Duisburg / Europawahlkampf 2019,2018-12-01 00:00:00,13:00-15:00,DU-Ruhrort; Friedrich-Ebert-Straße 2,5-10
212,2018-12-01,K,"Kundgebung gegen ""PEGIDA NRW""",2018-12-16 00:00:00,13:30-17:00,DU-Stadtmitte; Portsmouthplatz,ca. 250
213,2018-12-03,K,(Massen-)Migration ist keine Lösung,2018-12-16 00:00:00,14:00-16:00,DU-Stadtmitte; Portsmouthplatz,100-120
214,2018-12-03,K,"Für eine vielfältige, tolerante, solidarische Stadtgesellschaft - Kundgebung gegen den Aufzug der ultrarechten rassistischen PEGIDA NRW vor dem HBF Duisburg",2018-12-16 00:00:00,13:30-15:00,DU-Stadtmitte; Portsmouthplatz,400
215,2018-12-10,A (K),Warnstreik im Rahmen der Tarifverhandlungen mit der DB AG,2018-12-10 00:00:00,06:00-09:00,DU-Stadtmitte; Portsmouthplatz - Hbf Duisburg - Mülheimer Straße - Hansastraße,250-300
216,2018-12-04,K,"""1 vor 12 für das Weltklima - Gemeinsam für Umwelt und Klimaschutz""",2018-12-08 00:00:00,11:00-13:00,DU-Stadtmitte; Düsseldorfer Straße / Ecke Börsenstraße,30-50
217,2018-12-03,K,Menschenrechte vor Profit / Binding treaty,2018-12-10 00:00:00,13:00-14:00,DU-Stadtmitte; Königstraße 48,10-15
218,2018-12-17,M,Die Rechte für Duisburg / Europawahlkampf 2019,2018-12-20 00:00:00,11:00-13:00,DU-Walsum; Kometenplatz,5-10
219,2018-12-17,M,Die Rechte für Duisburg / Europawahlkampf 2019,2018-12-20 00:00:00,13:30-15:30,DU-Meiderich; Von-der-Mark-Straße,5-10
