Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
256,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-01,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
257,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-02,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
258,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-03,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
259,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-04,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
260,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-05,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
261,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-06,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
262,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-07,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
263,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-08,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
264,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-09,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
265,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-10,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
266,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-11,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
267,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-12,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
268,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-13,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
269,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-14,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
270,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-15,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
271,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-16,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
272,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-17,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
273,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-18,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
274,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-19,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
275,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-20,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
276,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-21,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
277,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-22,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
278,2016-07-04 00:00:00,"Operation: ""Freiheit für die Delfine im Duisburger Zoo 2016""",2016-08-23,11:00-15:00,DU-Duissern; Mühlheimer Straße 273,10-100
