Nr.,Anzeigedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl angezeigt
100,2023-04-18 00:00:00,A (K),EVG Tarifrunde 2023 Warnstreik,2023-04-21 00:00:00,2023-04-21,03:30 - 11:00,Hansastraße 15 - Mülheimer Straße - Neudorfer Straße - Koloniestraße Portsmouthplatz (Zwischenkundgebung) - Friedrich-Wilhelm-Straße - Steinsche Gasse - Gutenbergstraße - Köhnenstraße - Landfermannstraße - Portsmouthplatz,600
101,2023-04-19 00:00:00,K,Wahlen in der Türkei,2023-04-20 00:00:00,2023-04-20,11:00 - 14:00,Hamborn Altmarkt,10
102,2023-04-19 00:00:00,K,Wahlen in der Türkei,2023-04-22 00:00:00,2023-04-22,12:00 -15:00,"Königstraße, vor dem City Palais",10
103,2023-04-19 00:00:00,K,Wahlen in der Türkei,2023-04-24 00:00:00,2023-04-24,11:00 - 13:00,"August-Bebel-Platz 20, vor dem dortigen „Marxloh Center“",10
104,2023-04-19 00:00:00,K,Wahlen in der Türkei,2023-04-25 00:00:00,2023-04-25,11:00 - 14:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",10
105,2023-04-21 00:00:00,A (K),"KIDICAL MASS, Fahrrad-Demo mit und für Kinder und Jugendliche",2023-06-18 00:00:00,2023-06-18,15:00 - 16:30,Alfred-Hitz-Platz (Auftaktkundgebung) - Steinacker - Kreuzacker - Jägerstraße - Lindenallee - Ulmenstraße - Am Buchenbusch - Rheingoldstraße - Bachstraße - Kronprinzenstraße - Walter-Rathenau-Straße - Kaiserstraße (Abschlusskundgebung),50 - 100
106,2023-04-24 00:00:00,K,"Tierrechte, Veganismus",2023-05-04 00:00:00,2023-05-04,17:00 - 20:00,Königstraße 48 (Forum),10 - 25
107,2023-04-24 00:00:00,K,"Tierrechte, Veganismus",2023-05-13 00:00:00,2023-05-13,14:30 - 17:30,Königstraße 48 (Forum),10 - 25
108,2023-04-24 00:00:00,K,"Tierrechte, Veganismus",2023-05-27 00:00:00,2023-05-27,14:30 - 17:30,Königstraße 48 (Forum),10 - 25
109,2023-04-26 00:00:00,M,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-05-03 00:00:00,2023-05-03,14:30 - 16:30,Portsmouthplatz,ca. 25
110,2023-04-26 00:00:00,M,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-05-10 00:00:00,2023-05-10,14:30 - 16:30,Portsmouthplatz,ca. 25
111,2023-04-26 00:00:00,M,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-05-17 00:00:00,2023-05-17,14:30 - 16:30,Portsmouthplatz,ca. 25
112,2023-04-26 00:00:00,M,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-05-24 00:00:00,2023-05-24,14:30 - 16:30,Portsmouthplatz,ca. 25
113,2023-04-26 00:00:00,M,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-05-31 00:00:00,2023-05-31,14:30 - 16:30,Portsmouthplatz,ca. 25
114,2023-04-27 00:00:00,K,Wahlen in der Türkei,2023-04-29 00:00:00,2023-04-29,10:00 - 13:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",10
115,2023-04-27 00:00:00,K,Wahlen in der Türkei,2023-05-02 00:00:00,2023-05-02,10:00 - 13:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",10
116,2023-04-27 00:00:00,K,Wahlen in der Türkei,2023-05-04 00:00:00,2023-05-04,10:00 - 13:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",10
117,2023-04-27 00:00:00,K,Wahlen in der Türkei,2023-05-06 00:00:00,2023-05-06,10:00 - 13:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",10
118,2023-05-03 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-05-08 00:00:00,2023-05-08,17:30 - 18:45,Lifesaver Brunnen,30 - 40
119,2023-05-02 00:00:00,K,Gedenken zum 78. Tag der Befreiung vom Naziterror (Ende des 2. Weltkriegs),2023-05-07 00:00:00,2023-05-07,12:00 - 12:45,"Duisburg Walsum, Platz der Erinnerung vor dem Denkmal für die Opfer des Nationalsozialismus",30-40
120,2023-05-04 00:00:00,K,Warnstreik,2023-05-09 00:00:00,2023-05-09,05:30 - 14:00,"Hochstraße 177, 47228 Duisburg",max. 50
121,2023-05-04 00:00:00,K,"Internationale Tag gegen Homo-, Bi- und Transphobie",2023-05-17 00:00:00,2023-05-17,18:00 - 20:00,König-Heinrich-Platz,5 - 10
122,2023-05-04 00:00:00,K,Kundgebung im Rahmen der Tarifbewegung der ZINQ Standorte Ruhrgebiete ,2023-05-05 00:00:00,2023-05-05,12:00 - 15:00,"vor dem Werksgelände der ZINQ Duisburg Gmbh & Co. KG, Paul-Rücker-Str. 6, 47059 Duisburg",40
123,2023-05-04 00:00:00,M,75 Jahre anhaltende Nakba,2023-05-15 00:00:00,2023-05-15,17:00 - 20:00,"Königstraße Ecke König-Heinrich-Platz, zwischen Springbrunnen und U-Bahn-Treppe",15
124,2023-05-09 00:00:00,K,Empty the Tanks 2023,2023-05-13 00:00:00,2023-05-13,11:00 - 15:00,"Mülheimer Straße 273, 47058 Duisburg (vor dem Haupteingang des Duisburger Zoos)",10
125,2023-05-11 00:00:00,K,Tarifrunde 2023 im Einzelhandel,2023-05-19 00:00:00,2023-05-19,08:00 - 12:00,"vor IKEA Duisburg, Auffahrt links, Beecker str. 80, 47166 Duisburg",80
126,2023-05-12 00:00:00,K,Stoppt Femizide!,2023-05-30 00:00:00,2023-05-30,19:00 - 20:30 ,Ecke Mercatorstraße/Cecilienstraße,10-15
127,2023-05-10 00:00:00,A (K),Antworten auf die Fragen rund um den Todesfall von Refat Süleyman,2023-05-19 00:00:00,2023-05-19,14:00 - 19:00,Weselerstraße 74 - Willy-Brandt-Ring - Kaiser-Wilhelm-Straße -thyssenkrupp Tor 1,150 - 200
128,2023-05-23 00:00:00,K, Repressionen gegen die kurdischen Einrichtungen und Aktivisten.  ,2023-05-26 00:00:00,2023-05-26,17:00 - 19:00,Königstraße 48 (Forum),80
129,2023-05-24 00:00:00,A (K),"IG Metall, verschiedene Geschäftsstellen aus NRW",2023-06-14 00:00:00,2023-06-14,11:00 - 13:30,Franz-Lenze-Straße - Kaiser-Wilhelm-Straße 100 (Abschlusskundgebung),6000 - 8000
130,2023-05-24 00:00:00,K,Streik Handel,2023-06-02 00:00:00,2023-06-02,08:00 - 12:00,"IKEA Duisburg, Beeckerstraße 80, 47166 Duisburg",120
131,2023-05-25 00:00:00,A (K),Internatialismus Leben Lassen,2023-06-17 00:00:00,2023-06-17,13:00 - 14:30,Portsmouthplatz (Auftaktkundgebung) - Friedrich-Wilhelm-Straße - Friedrich-Wilhelm-Platz - Steinsche Gasse – Gutenbergstraße -  Köhnenstraße – Friedrich-Albert-Lange-Platz - Landfermannstaße – Landgerichtsstraße (auf der linken Seite am Landgericht und Amtsgericht Duisburg vorbei) - König-Heinrich-Platz (vor den schwebenden Gärten),150
132,2023-05-28 00:00:00,K,"Tierrechte, Veganismus",2023-06-10 00:00:00,2023-06-10,14:30 - 17:30,Lifesaver-Brunnen,10 - 25
133,2023-05-28 00:00:00,K,"Tierrechte, Veganismus",2023-06-24 00:00:00,2023-06-24,14:30 - 17:30,Königstraße 48 (Forum),10 - 25
134,2023-05-29 00:00:00,K,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-06-07 00:00:00,2023-06-07,14:30 - 16:30,Portsmouthplatz,ca. 25
135,2023-05-29 00:00:00,K,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-06-14 00:00:00,2023-06-14,14:30 - 16:30,Portsmouthplatz,ca. 25
136,2023-05-29 00:00:00,K,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-06-21 00:00:00,2023-06-21,14:30 - 15:30,Portsmouthplatz,ca. 25
137,2023-05-29 00:00:00,K,"Mahnwache Arztrufzentrale NRW 
Anlass: Nach der Liqudation der Arztrufzentrale, fordern, wir, die Beschäftigten den Erhalt unserer Arbeitsplätze/ Sozialplanverhandlungen auf Augenhöhe",2023-06-28 00:00:00,2023-06-28,14:30 - 16:30,Portsmouthplatz,ca. 25
138,2023-05-30 00:00:00,M,Stillschweigender Protest,2023-06-03 00:00:00,2023-06-03,10:00 - 14:00,"Hamborner Altmarkt 28, vor der dortigen Bäckerei „Ikbal“",40 - 60
139,2023-05-30 00:00:00,M,Freiheit für Palästina!,2023-06-22 00:00:00,2023-06-22,17:00 - 19:30,"Königstraße Ecke König-Heinrich-Platz, zwischen Springbrunnen und U-Bahn-Treppe",15
140,2023-05-30 00:00:00,K,Freiheit für Lina - Unsere Solidarität gegen ihre Repression,2023-05-31 00:00:00,2023-05-31,19:00 - 21:00,König-Heinrich-Platz,20
141,2023-05-31 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-06-05 00:00:00,2023-06-05,17:30 - 18:45,Lifesaver-Brunnen,30 - 40
142,2023-06-02 00:00:00,M,,2023-06-05 00:00:00,2023-06-05,,,
143,2023-06-08 00:00:00,K,Ratsbeschluss zum Flächennutzungsplan,Montag,2023-06-12,14:00 - 15:00,"Duisburg, Seiteneingang zur Philharmie am Citypalais gegenüber Amtsgericht. ",20
144,2023-06-09 00:00:00,A (K),Stonewall Demonstration,2023-06-28 00:00:00,2023-06-28,18:00 - 21:00,König-Heinrich-Platz (Auftaktkundgebung) – Königstraße – Kuhstraße – Steinsche Gasse – Poststraße – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – (Opernplatz) – Landfermannstraße – Königstraße – König-Heinrich-Platz (Abschlusskundgebung).,50
145,2023-06-10 00:00:00,K,Der Kapitalismus bedroht die Existenz der Menschheit,2023-06-23 00:00:00,2023-06-23,17:00 - 19:00,"Hochemmericher Markt
vor Marktforum",30 - 50
146,2023-06-12 00:00:00,K,Internationalismus,2023-06-14 00:00:00,2023-06-14,16:00 - 18.30,"König-Heinrich-Platz, vor dem Forum",10 - 15
147,2023-06-12 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an leben-den Falun Gong Praktizierende in China, Falun Dafa ist Gut",2023-06-17 00:00:00,2023-06-17,11.30 - 16:30,Lifesaver Brunnen,bis 8
148,2023-06-07 00:00:00,A (K),Tarifrunde AWO NRW 1. Warnstreik,2023-06-28 00:00:00,2023-06-28,10:00 - 13:00,Philosophenweg 15 (Auftaktkundgebung) - Innenhafen - Stapeltor - Kardinal-Galen-Straße - Aakerfährstraße - Wintgenstraße - Wintgenstraße 63 - 71 (Zwischenkundgebung) - Oranienstraße - Saarstraße - Mercatorstraße - Zum Portsmouthplatz - Portsmouthplatz - Mercatorstraße - Königstraße - König-Heinrich-Platz (Abschlusskundgebung),3000
149,2023-06-13 00:00:00,A (K),Asylrecht muss bleiben,2023-06-24 00:00:00,2023-06-24,14:00 - 16:00,Portsmouthplatz (Auftaktkundgebung) – Friedrich-Wilhelm-Str. – Friedrich-Wilhelm-Platz – Sonnenwall – Kuhstr. – Königstr. / Düsseldorfer Str. / Lifesaver- Brunnen (Zwischenkundgebung) – Königstr. – Landgerichtsstr. – Friedrich-Albert-Lange-Platz – Landfermannstr. / König-Heinrich-Platz (Abschlusskundgebung).,150 - 200
150,2023-06-14 00:00:00,K,Kundgebung zur Förderung von christlichen Werten,2023-06-27 00:00:00,2023-06-27,11:00 - 18:00,"Königstraße 48, gegenüber dem Forum, neben dem Treppenabgang der U-Bahn",6 - 12
151,2023-06-16 00:00:00,K,Gegen die geplante Asylrechtsverschärfung,2023-06-19 00:00:00,2023-06-19,17:30 - 19:30,König-Heinrich-Platz,80
152,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2023,2023-06-22 00:00:00,2023-06-22,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
153,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2024,2023-06-23 00:00:00,2023-06-23,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
154,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2025,2023-06-24 00:00:00,2023-06-24,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
155,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2026,2023-06-25 00:00:00,2023-06-25,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
156,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2027,2023-06-26 00:00:00,2023-06-26,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
157,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2028,2023-06-27 00:00:00,2023-06-27,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
158,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2029,2023-06-28 00:00:00,2023-06-28,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
159,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2030,2023-06-29 00:00:00,2023-06-29,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
160,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2031,2023-06-30 00:00:00,2023-06-30,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
161,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2032,2023-07-01 00:00:00,2023-07-01,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
162,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2033,2023-07-02 00:00:00,2023-07-02,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
163,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2034,2023-07-03 00:00:00,2023-07-03,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
164,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2035,2023-07-04 00:00:00,2023-07-04,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
165,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2036,2023-07-05 00:00:00,2023-07-05,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
166,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2037,2023-07-06 00:00:00,2023-07-06,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
167,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2038,2023-07-07 00:00:00,2023-07-07,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
168,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2039,2023-07-08 00:00:00,2023-07-08,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
169,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2040,2023-07-09 00:00:00,2023-07-09,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
170,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2041,2023-07-10 00:00:00,2023-07-10,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
171,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2042,2023-07-11 00:00:00,2023-07-11,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
172,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2043,2023-07-12 00:00:00,2023-07-12,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
173,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2044,2023-07-13 00:00:00,2023-07-13,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
174,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2045,2023-07-14 00:00:00,2023-07-14,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
175,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2046,2023-07-15 00:00:00,2023-07-15,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
176,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2047,2023-07-16 00:00:00,2023-07-16,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
177,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2048,2023-07-17 00:00:00,2023-07-17,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
178,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2049,2023-07-18 00:00:00,2023-07-18,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
179,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2050,2023-07-19 00:00:00,2023-07-19,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
180,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2051,2023-07-20 00:00:00,2023-07-20,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
181,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2052,2023-07-21 00:00:00,2023-07-21,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
182,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2053,2023-07-22 00:00:00,2023-07-22,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
183,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2054,2023-07-23 00:00:00,2023-07-23,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
184,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2055,2023-07-24 00:00:00,2023-07-24,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
185,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2056,2023-07-25 00:00:00,2023-07-25,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
186,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2057,2023-07-26 00:00:00,2023-07-26,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
187,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2058,2023-07-27 00:00:00,2023-07-27,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
188,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2059,2023-07-28 00:00:00,2023-07-28,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
189,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2060,2023-07-29 00:00:00,2023-07-29,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
190,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2061,2023-07-30 00:00:00,2023-07-30,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",10
191,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2062,2023-07-31 00:00:00,2023-07-31,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
192,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2063,2023-08-01 00:00:00,2023-08-01,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
193,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2064,2023-08-02 00:00:00,2023-08-02,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
194,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2065,2023-08-03 00:00:00,2023-08-03,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
195,2023-06-19 00:00:00,K,Operation Freiheit für die Delfine im Duisburger Zoo 2066,2023-08-04 00:00:00,2023-08-04,11:00 - 13:00,"Duisburger Zoo, Haupteingang, Mühlheimer Str. 273, 47058 Duisburg",3
196,2023-06-19 00:00:00,K,Kundgebung zum Thema Familienpolitik,2023-06-30 00:00:00,2023-06-30,15:00 - 19:00,"Garten der Erinnerung, Philosophenweg 9, 47051 Duisburg",25
197,2023-06-20 00:00:00,K,Kundgebung zum Antikriegstag ,2023-09-01 00:00:00,2023-09-01,17:00 - 19:00,"König-Heinrich-Platz, zwischen Forum und CityPalais",50
198,2023-06-22 00:00:00,M,Freiheit für Palästina!,2023-06-29 00:00:00,2023-06-29,17:00 - 19:30,Lifesaver Brunnen,15
199,2023-06-23 00:00:00,M,Kundgebung gegen die Firma Haus & Grund aufgrund von Betrug (Hungerstreik),2023-07-14 00:00:00,2023-07-14,09:00 - offen,"Haus- und Grundeigentümer Groß Duisburg e.V., Dellstraße 30, 47051 Duisburg",mind. 3
200,2023-06-25 00:00:00,K,"Tierrechte, Veganismus",2023-07-08 00:00:00,2023-07-08,15:30 - 18:30,Forum (Königstraße 48),25
201,2023-06-26 00:00:00,K,"Tierrechte, Veganismus",2023-07-29 00:00:00,2023-07-29,15:30 - 18:30,Forum (Königstraße 48),25
202,2023-06-28 00:00:00,K,Freiheit für Palästina!,2023-08-05 00:00:00,2023-08-05,11:00 - 13:00,"Auf dem Hochfelder Markt, an der Ecke Saarbrücker Straße/Trautenaustraße",15
203,2023-06-28 00:00:00,K,Kundgebung zu aktuellen Entwicklungen,2023-07-03 00:00:00,2023-07-03,17.30 - 18.30,"Lifesaver Brunnen, Duisburg Königstraße",30 - 40
204,2023-07-04 00:00:00,A (K),Suruc Gedenken,2023-07-20 00:00:00,2023-07-20,18:00 - 21:00,Portsmouthplatz – Friedrich-Wilhelm-Straße – Düsseldorfer Straße/ Am Burgacker – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Abschlusskundgebung).,50
205,2023-07-04 00:00:00,K,"Yallah Ausländerbehörde - Wir wollen Termine! Forderungen: Terminvergabesystem
verbessern, Wartezeiten verkürzen, mehr Personal einstellen, Erreichbarkeit für die
Menschen (telefonisch, E-Mail) gewährleisten",2023-07-24 00:00:00,2023-07-24,17:00 - 19:00,"Platz vor der Ausländerbehörde Homberg, Bismarckplatz 1, 47198 Duisburg",30
206,2023-07-04 00:00:00,K,"Yallah Ausländerbehörde - Wir wollen Termine! Forderungen: Terminvergabesystem
verbessern, Wartezeiten verkürzen, mehr Personal einstellen, Erreichbarkeit für die
Menschen (telefonisch, E-Mail) gewährleisten",2023-07-27 00:00:00,2023-07-27,17:00 - 19:00,"Platz hinter der Trinkhalle an der Rathausstraße 1, 47166 Duisburg",30
207,2023-07-04 00:00:00,A (K),"Yallah Ausländerbehörde - Wir wollen Termine! Forderungen: Terminvergabesystem
verbessern, Wartezeiten verkürzen, mehr Personal einstellen, Erreichbarkeit für die
Menschen (telefonisch, E-Mail) gewährleisten",2023-08-05 00:00:00,2023-08-05,11:00 - 13:30,"Portsmouthplatz (Auftaktkundgebung, 11:00 Uhr bis 11:30 Uhr) – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Burgplatz (Abschlusskundgebung vor dem Duisburger Rathaus, 12:00 Uhr bis 13:30 Uhr)
",80
208,2023-07-04 00:00:00,K,Solidarität mit Frankreich ,2023-07-08 00:00:00,2023-07-08,17:00 - 18:30,"Duisburg Innenstadt, Lifesaver vor der Deutschen Bank",50
209,2023-07-06 00:00:00,K,"Infostand mit Flyerverteilung zu Thema World-TI-Day 2023 Gangstalking (Organisiertes Stalking), Mind Control und Folter elektromagnetische Waffen",2023-08-29 00:00:00,2023-08-29,10:00 - 20:00,"Duisburger Innenstadt, Königstraße am Forum",10 - 60
210,2023-07-08 00:00:00,A (K),Demo gegen Rechts,2023-07-20 00:00:00,2023-07-20,17:00 - 19:00,Neumarkt – Harmoniestraße – Friedrichsplatz – Friedrich-Ebert-Straße – Deichstraße – Apostelstraße (Museum der Deutschen Binnenschiffsfahrt).,150
211,2023-07-12 00:00:00,K,Streik Handel NRW,2023-07-18 00:00:00,2023-07-18,07:00 - 13:00,"IKEA Duisburg, Beeckerstraße 80, 47166 Duisburg",50
