Nr.,Anzeigedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
1,2021-11-12 00:00:00,K,1. Mai 2021 - Tag der Arbeit,2022-05-01 00:00:00,2022-05-01,10:00 - 11:30,DGB Gewerkschaftshaus,30
2,2021-11-12 00:00:00,K,1. Mai 2021 - Tag der Arbeit,2022-05-01 00:00:00,2022-05-01,,Gasometer Landschaftspark Nord,
3,2021-11-12 00:00:00,K,1. Mai 2021 - Tag der Arbeit,2022-05-01 00:00:00,2022-05-01,,Opernplatz,
4,2021-11-12 00:00:00,K,1. Mai 2021 - Tag der Arbeit,2022-05-01 00:00:00,2022-05-01,,Piazza Metallica Landschaftspark Nord,
5,2022-04-01 00:00:00,A (K),1. Mai 2021 - Tag der Arbeit,2022-05-01 00:00:00,2022-05-01,11:00 - 13:00,Portsmouthplatz - Mercatorstraße - Friedrich-Wilhelm-Straße - Düsseldorfer Straße - Königstraße - AK Höhe City Palais,2000-4000
6,2021-12-23 00:00:00,K,Gegen PEGIDA NRW,2022-01-22 00:00:00,2022-01-22,13:30 - 18:30,Portsmouthplatz,250
7,2021-12-27 00:00:00,K,Tierrechte Veganismus,2022-01-08 00:00:00,2022-01-08,15:00 - 18:00,"Königstraße 48, vor dem Forum Duisburg",10-25
8,2021-12-27 00:00:00,K,Tierrechte Veganismus,2022-01-21 00:00:00,2022-01-21,17:00-20:00,"Königstraße 48, vor dem Forum Duisburg",10-25
9,2021-12-29 00:00:00,A (K),"Spaltung der Gesellschaft durch Corona-Politik, keine Impfpflicht (allgemein + besondere)",2022-01-03 00:00:00,2022-01-03,18:00 - 20:00,"Rathaus Duisburg, Burgplatz (Auftaktkundgebung) – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Zwischenkundge-bung) – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Stein-sche Gasse – Poststraße – Burgplatz (Abschlusskundgebung).","400 - 600
tats. 450"
10,2021-12-29 00:00:00,A (K),"Spaltung der Gesellschaft durch Corona-Politik, keine Impfpflicht (allgemein + besondere)",2022-01-10 00:00:00,2022-01-10,18:00 - 20:00,"Rathaus Duisburg, Burgplatz (Auftaktkundgebung) – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Zwischenkundge-bung) – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Burgplatz (Abschlusskundgebung).",ca. 450
11,2021-12-29 00:00:00,A (K),"Spaltung der Gesellschaft durch Corona-Politik, keine Impfpflicht (allgemein + besondere)",2022-01-17 00:00:00,2022-01-17,18:00 - 20:00,"Rathaus Duisburg, Burgplatz (Auftaktkundgebung) – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Zwischenkundge-bung) – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Stein-sche Gasse – Poststraße – Burgplatz (Abschlusskundgebung).",ca. 450
12,2021-12-29 00:00:00,A (K),"Spaltung der Gesellschaft durch Corona-Politik, keine Impfpflicht (allgemein + besondere)",2022-01-24 00:00:00,2022-01-24,18:00 - 20:00,"Rathaus Duisburg, Burgplatz (Auftaktkundgebung) – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Saarstraße – Mercatorstraße – Portsmouthplatz (Zwischenkundge-bung) – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Stein-sche Gasse – Poststraße – Burgplatz (Abschlusskundgebung).",ca. 450
13,2021-12-29 00:00:00,A (K),"Spaltung der Gesellschaft durch Corona-Politik, keine Impfpflicht (allgemein + besondere)",2022-01-31 00:00:00,2022-01-31,18:00 - 20:00,"Rathaus Duisburg, Burgplatz (Auftaktkundgebung) – Gutenbergstraße – Köhnenstraße – Friedrich-Albert-Lange-Platz – Landfermannstraße – Mülheimer Straße – Ludgeristraße – Klöcknerstraße – Neudorfer Straße – Neue Fruchtstraße – Koloniestraße – Mercatorstraße – Portsmouth-platz – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Poststraße – Burgplatz (Abschlusskundgebung).",ca. 350
14,2021-12-29 00:00:00,M,Impflücken bekämpfen!,2022-01-03 00:00:00,2022-01-03,18:15 - 20:15,"König-Heinrich-Platz, Höhe Amtsgericht, Opernplatz Ecke Neckarstraße",30
15,2022-01-04 00:00:00,M,Mahnwache zur Freilassung von Julian Assange,2022-01-06 00:00:00,2022-01-06,18:30 - 20:00,Portsmouthplatz,10
16,2022-01-04 00:00:00,M,Mahnwache zur Freilassung von Julian Assange,2022-01-20 00:00:00,2022-01-20,18:30 - 20:00,Portsmouthplatz,10
17,2022-01-21 00:00:00,M,Mahnwache zur Freilassung von Julian Assange,2022-02-05 00:00:00,2022-02-05,14:00 - 16:00,"Duisburg-Mitte, Averdunkplatz",10-20
