Nr.,Anmeldedat.,Art,Thema,"Wochen-
tag",Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
113,2020-05-22 00:00:00,K,"Wenn Logistikverkehr in Wohngebiete kommt, kommt die Bevölkerung in Lostikgebiete. Rücksicht ist eine Zweibahnstraße.",2020-06-05 00:00:00,2020-06-05 00:00:00,15:00-16:00,Europaallee zwischen Osloer Straße und Antwerpener Straße im Bereich der Bushaltestelle Duisburg Rhenus Logistics auf der gesamten Straßenbreite,max. 10
114,2020-05-23 00:00:00,K,"""Rechte Verschwörungstheoretiker und Corona-Leugner stoppen!""",2020-05-25 00:00:00,2020-05-25 00:00:00,19:00-21:00,vor dem Amtsgericht Duisburg auf dem König-Heinrich-Platz ,50
115,2020-05-24 00:00:00,M,Duisburgs-Rechte für die Kommunalwahl 2020,2020-05-29 00:00:00,2020-05-29 00:00:00,10:00-12:00,DU-Walsum; Kometenplatz,5-10
116,2020-05-25 00:00:00,K,Erinnerung an Gestorbene im Krieg Biafra und Nigeria,2020-05-30 00:00:00,2020-05-30 00:00:00,11:00-13:00,"Duisburg-Hochfeld, Rheinpark (dortige Wiesenfläche)",10-30
117,2020-05-27 00:00:00,K,Solidaritätsbotschaft für die prekär Beschäftigten Menschen in der Fleisch und Agrarbranche ,2020-06-09 00:00:00,2020-06-09 00:00:00,08:00-10:00,"am Stepeltor, Ecke Kardinal-Galen Str., 47051 Duisburg",12
118,2020-05-31 00:00:00,K,"Tierrechte, Veganismus, Klimawandel",2020-06-05 00:00:00,2020-06-05 00:00:00,16:45-19:15,"zwischen Forum und Grünflächen vor dem Amtsgericht, Stadtmitte Duisburg",10-15
119,2020-05-31 00:00:00,K,Kundgebung zur Ermordung von George Floyd,2020-06-03 00:00:00,2020-06-03 00:00:00,17:00-19:00,"auf dem König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den “Hängenden Gärten”",ca. 30
120,2020-06-01 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-06-13 00:00:00,2020-06-13 00:00:00,11:00-19:00,"Königstraße Ecke König-Heinrich-Platz (Duisburger Markt)
neu: Portmouthplatz",500
121,2020-06-03 00:00:00,A (K),Lockerung von Hochzeitsveranstaltungen unter entsprechenden Auflagen,2020-06-13 00:00:00,2020-06-13 00:00:00,13:00-15:00,"Am Johannismarkt 1 (Marktplatz), 47169 Duisburg über Warbruckstr. Zur Weselerstr. Zum August-Bebel-Platz (Marktplatz)",200
122,2020-06-03 00:00:00,M,"Grundgesetz – Erhalt aller Grundrechte, Ende der Einschränkungen, Beendigung des Shutdowns",2020-06-13 00:00:00,2020-06-13 00:00:00,13:00-15:00,"Duisburg-Zentrum, Portsmouthplatz
neu: Skaterpark am Touristen-Info-Zentrum","1000
neu: 500"
123,2020-06-06 00:00:00,K,Wir zahlen nicht für eure Krise,2020-06-08 00:00:00,2020-06-08 00:00:00,17:30-19:30,"Lifesaver - Forum Königstraße - Lifesaver
in Absprache mit den Beamten vor Ort",30-40
124,2020-06-08 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-06-13 00:00:00,2020-06-13 00:00:00,10:30-17:30,"in der Stadtmitte, auf der Königstrasse, im Bereich des Livesaver-Brunnens ",unter 10
125,2020-06-07 00:00:00,A (K),Vor kurzem wurden in der Türkei 3 Abgeordneten des Parlaments ihre Immunität enthoben. […],2020-06-13 00:00:00,2020-06-13 00:00:00,14:00-17:00,Ludgerieplatz – Klöcknerstraße / Neudorfer Straße (durch dortige Verknüpfungshalle) – Landfermannstraße bis Opernplatz; – Köhnenstraße – Gutenbergstraße – Burgplatz.,"100
neu: 200"
126,2020-06-10 00:00:00,A (K),Kundgebung zur Ermordung von George Floyd,2020-06-13 00:00:00,2020-06-13 00:00:00,12:30-16:30,"Kundgebung: Averdunkplatz
Aufzug: Königstraße – Hohestraße – Friedrich-Wilhelmstraße – Mercatorstraße (Richtung Norden) bis zum Touristen-Informations-Zentrum Duisburg – Portmouthplatz.",100
127,2020-06-10 00:00:00,K,Gegen Rassismus und soziale Ausgrenzung,2020-06-13 00:00:00,2020-06-13 00:00:00,12:300-17:30,"Duisburg-Hauptbahnhof, Portsmouthplatz",100
128,2020-06-12 00:00:00,M,Für Freiheit und Grundrechte,2020-06-15 00:00:00,2020-06-15 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",100
129,2020-06-12 00:00:00,K,Für Freiheit und Grundrechte,2020-06-22 00:00:00,2020-06-22 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",100
130,2020-06-12 00:00:00,K,Für Freiheit und Grundrechte,2020-06-29 00:00:00,2020-06-29 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",100
131,2020-06-12 00:00:00,K,Für Freiheit und Grundrechte,2020-07-06 00:00:00,2020-07-06 00:00:00,19:00-20:30,"Duisburg, vor dem Stadttheater",100
132,2020-06-11 00:00:00,A (K),Klimawandel,2020-06-26 00:00:00,2020-06-26 00:00:00,15:30-17:30,"Sternfahrt aus den Städten Duisburg, Moers und Neukirchen-Vluyn",50
133,2020-06-11 00:00:00,K,Solidarität mit den Angeklagten im KommunistInnen-Prozess,2020-06-16 00:00:00,2020-06-16 00:00:00,17:30-19:30,"König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den ""Hängenden Gärten"" in der Duisburger Innenstadt ",30
134,2020-06-09 00:00:00,K,Erdener Demirel nach Hause holen,2020-06-15 00:00:00,2020-06-15 00:00:00,17:30-18:30,vor dem City Palas Königstr (ecke Starbucks) ,ca. 20
135,2020-06-15 00:00:00,K,heutige Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-06-15 00:00:00,2020-06-15 00:00:00,17:00-19:00,"Lifesaver, Duisburg-Innenstadt",30
136,2020-06-15 00:00:00,K,Gewalt gegen Frauen und Frauenmorde und Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-06-17 00:00:00,2020-06-17 00:00:00,17:00-18:00,Averdunkplatz,100
137,2020-06-15 00:00:00,K,Gewalt gegen Frauen und Frauenmorde,2020-06-24 00:00:00,2020-06-24 00:00:00,17:00-18:00,Averdunkplatz,30
138,2020-06-15 00:00:00,K,Gewalt gegen Frauen und Frauenmorde,2020-07-01 00:00:00,2020-07-01 00:00:00,17:00-18:00,Averdunkplatz,30
139,2020-06-15 00:00:00,K,Gewalt gegen Frauen und Frauenmorde,2020-07-08 00:00:00,2020-07-08 00:00:00,17:00-18:00,Averdunkplatz,30
140,2020-06-15 00:00:00,K,Gewalt gegen Frauen und Frauenmorde,2020-07-15 00:00:00,2020-07-15 00:00:00,17:00-18:00,Averdunkplatz,30
141,2020-06-15 00:00:00,K,Information über die betriebliche Situation Karstadt/Kaufhof,2020-06-18 00:00:00,2020-06-18 00:00:00,08:30-09:30,"Düsseldorfer Str. 32, 47051 Duisburg
Haupteingang Galeria Kaufhof Duisburg",30-60
142,2020-06-15 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-06-21 00:00:00,2020-06-21 00:00:00,11:00-12:00,Portsmouthplatz (vor dem Hbf),20
143,2020-06-15 00:00:00,K,Freiheit für die Delfine im Duisburger Zoo 2020,2020-10-31 00:00:00,2020-10-31 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",50
144,2020-06-16 00:00:00,K,Tag des öffentlichen Dienstes Schutzschirm für unsere Stadt - jetzt,2020-06-23 00:00:00,2020-06-23 00:00:00,08:30-09:00,Rathaus Burgplatz,20
145,2020-06-16 00:00:00,K,"von Hanau bis Minneapolis, Gemeinsam für Gerechtigkeit",2020-06-19 00:00:00,2020-06-19 00:00:00,17:30-18:30,vor dem City Palas Königstr (ecke Starbucks) ,10-20
146,2020-06-17 00:00:00,K,"Tierrechte, Veganismus",2020-06-26 00:00:00,2020-06-26 00:00:00,17:00-20:00,"vor dem Forum, Stadtmitte Duisburg",10-15
147,2020-06-17 00:00:00,K,Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-06-18 00:00:00,2020-06-18 00:00:00,17:00-19:00,"Portsmouthplatz, Duisburg Hbf.",100
148,2020-06-17 00:00:00,K,Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-06-19 00:00:00,2020-06-19 00:00:00,17:00-19:00,"Portsmouthplatz, Duisburg Hbf.",100
149,2020-06-18 00:00:00,A (K),"Silent Demo, Black Lives Matters, Antirassimus",2020-06-27 00:00:00,2020-06-27 00:00:00,14:00-17:00,Auftaktkundgebung am König-Heinrich-Platz (vor dem Stadttheather) - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz (Abschlusskundgebung),200
150,2020-06-19 00:00:00,K,Arbeitsbedingungen der Schulleitungen müssen verbessert werden!,2020-06-24 00:00:00,2020-06-24 00:00:00,16:30-17:00,"rund um die Grundschule Klosterstraße, Klosterstraße 18, 47051 Duisburg",ca. 100
151,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-06-29 00:00:00,2020-06-29 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
152,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-06-30 00:00:00,2020-06-30 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
153,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-01 00:00:00,2020-07-01 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
154,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-02 00:00:00,2020-07-02 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
155,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-03 00:00:00,2020-07-03 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
156,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-04 00:00:00,2020-07-04 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
157,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-05 00:00:00,2020-07-05 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
158,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-06 00:00:00,2020-07-06 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
159,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-07 00:00:00,2020-07-07 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
160,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-08 00:00:00,2020-07-08 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
161,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-09 00:00:00,2020-07-09 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
162,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-10 00:00:00,2020-07-10 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
163,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-11 00:00:00,2020-07-11 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
164,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-12 00:00:00,2020-07-12 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
165,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-13 00:00:00,2020-07-13 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
166,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-14 00:00:00,2020-07-14 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
167,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-15 00:00:00,2020-07-15 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
168,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-16 00:00:00,2020-07-16 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
169,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-17 00:00:00,2020-07-17 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
170,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-18 00:00:00,2020-07-18 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
171,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-19 00:00:00,2020-07-19 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
172,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-20 00:00:00,2020-07-20 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
173,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-21 00:00:00,2020-07-21 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
174,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-22 00:00:00,2020-07-22 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
175,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-23 00:00:00,2020-07-23 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
176,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-24 00:00:00,2020-07-24 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
177,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-25 00:00:00,2020-07-25 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
178,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-26 00:00:00,2020-07-26 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
179,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-27 00:00:00,2020-07-27 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
180,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-28 00:00:00,2020-07-28 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
181,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-29 00:00:00,2020-07-29 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
182,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-30 00:00:00,2020-07-30 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
183,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-07-31 00:00:00,2020-07-31 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
184,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-01 00:00:00,2020-08-01 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
185,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-02 00:00:00,2020-08-02 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
186,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-03 00:00:00,2020-08-03 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
187,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-04 00:00:00,2020-08-04 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
188,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-05 00:00:00,2020-08-05 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
189,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-06 00:00:00,2020-08-06 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
190,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-07 00:00:00,2020-08-07 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
191,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-08 00:00:00,2020-08-08 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
192,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-09 00:00:00,2020-08-09 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
193,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-10 00:00:00,2020-08-10 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
194,2020-06-22 00:00:00,K,"Operation ""Freiheit für die Delfine im Duisburger Zoo 2020""",2020-08-11 00:00:00,2020-08-11 00:00:00,11:00-15:00,"Duisburger Zoo, Haupteingang, Mülheimer Str. 273, 47058 Duisburg",3-10
195,2020-06-23 00:00:00,K,Antirassismus ,2020-07-25 00:00:00,2020-07-25 00:00:00,11:00-14:00,"auf der Duisburger Einkaufsstraße (gerne in der Nähe des Einkaufszentrums forum) 
neu: Averdunkplatz",15
196,2020-06-24 00:00:00,K,Übernahme der Befristeten bei TKSE,2020-06-27 00:00:00,2020-06-27 00:00:00,09:00-10:30,ASKANIA am Alt-Markt Duisburg Hamborn,70
197,2020-06-25 00:00:00,K,Solidaritätskundgebung gegen den rechten Angriff auf eine Frauendemo in Wien,2020-06-25 00:00:00,2020-06-25 00:00:00,17:30-19:30,"König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den ""Hängenden Gärten"" in der Duisburger Innenstadt ",30
198,2020-06-25 00:00:00,K,heutige Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-06-27 00:00:00,2020-06-27 00:00:00,17:00-19:00,Portsmouthplatz Duisburg Hauptbahnhof,150
199,2020-06-25 00:00:00,A (K),heutige Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-07-04 00:00:00,2020-07-04 00:00:00,??,Portsmouthplatz – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Königstraße – Zwischenkundgebung am Schiffsmaskenbrunnen – Kuhlenwall – Köhnenstraße – Landfermannstraße – Saarstraße – Mercatorstraße – Abschlusskundgebung am Portsmouthplatz,150
200,2020-06-25 00:00:00,A (K),heutige Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-07-11 00:00:00,2020-07-11 00:00:00,15:00-18:00,Portsmouthplatz – Friedrich-Wilhelm-Straße – Friedrich-Wilhelm-Platz – Steinsche Gasse – Königstraße – Zwischenkundgebung am Schiffsmaskenbrunnen – Kuhlenwall – Köhnenstraße – Landfermannstraße – Saarstraße – Mercatorstraße – Abschlusskundgebung am Portsmouthplatz,150
201,2020-06-25 00:00:00,A (K),heutige Bombardierung kurdischer Gebiete im Nordirak durch türkische Streitkräfte,2020-07-18 00:00:00,2020-07-18 00:00:00,,"Duisburg-Innenstadt, Schiffsmakenbrunnen",150
202,2020-06-28 00:00:00,K,"Tierrechte, Veganismus",2020-07-10 00:00:00,2020-07-10 00:00:00,17:00-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
203,2020-06-28 00:00:00,K,"Tierrechte, Veganismus",2020-07-24 00:00:00,2020-07-24 00:00:00,17:00-20:00,"vor dem Forum, Stadtmitte Duisburg",10-20
204,2020-06-25 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-07-05 00:00:00,2020-07-05 00:00:00,11:00-12:00,"Portsmouthplatz, Duisburger Hbf.",20
205,2020-06-25 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-08-02 00:00:00,2020-08-02 00:00:00,11:00-12:00,"Portsmouthplatz, Duisburger Hbf.",20
206,2020-06-25 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-09-06 00:00:00,2020-09-06 00:00:00,11:00-12:00,"Portsmouthplatz, Duisburger Hbf.",20
207,2020-06-25 00:00:00,K,"Bürgerrechte, Demokratie, soziale Gerechtigkeit",2020-11-01 00:00:00,2020-11-01 00:00:00,11:00-12:00,"Portsmouthplatz, Duisburger Hbf.",20
208,2020-06-26 00:00:00,A (K),"Silent Demo, Black Lives Matters, Antirassimus",2020-07-04 00:00:00,2020-07-04 00:00:00,14:00-17:00,Auftaktkundgebung am König-Heinrich-Platz (vor dem Stadttheather) - Landfermannstraße - Saarstraße - Mercatorstraße - Portsmouthplatz (Abschlusskundgebung),200
209,2020-06-29 00:00:00,A (K),NichtAufUnseremRücken - Die Reichen sollen die Krise bezahlen!,2020-07-18 00:00:00,2020-07-18 00:00:00,14:00-17:00,"Averdunkplatz, Königstr. bis Kuhtor, Sonnenwall bis Friedrich Wilhelm Platz, Friedrich Wilhelm Str, Mercator Str., Averdunkplatz",200
210,2020-06-08 00:00:00,M,"Stoppt die Verfolgung von Falun Gong und den Organraub an lebenden Falun Gong Praktizierende in China, Falun Dafa ist Gut",2020-07-04 00:00:00,2020-07-04 00:00:00,11:00-17:00,"in der Stadtmitte, auf der Königstrasse, im Bereich des Livesaver-Brunnens ",8
211,2020-06-29 00:00:00,K,"„Politik aus Arbeitnehmersicht machen – Soziales statt Profitgier"" Kommunalwahl 2020",2020-08-19 00:00:00,2020-08-19 00:00:00,18:00-20:00,Marktplatz Hochemmerich,70
212,2020-07-02 00:00:00,K,Kommunalwahl 2020,2020-08-22 00:00:00,2020-08-22 00:00:00,13:00-18:00,"König-Heinrich-Platz, teilweise Liebfrauenkirche, Theater und Mecatorhalle",200
213,2020-07-02 00:00:00,A (K),Kampf dem massiven Abbau von Arbeitsplätzen,2020-07-06 00:00:00,2020-07-06 00:00:00,17:30-19:30,Lifesaver-Brunnen - Forum (Königstraße) - Lifesaver-Brunnen,30-40
214,2020-07-02 00:00:00,K,Warnstreik,2020-07-13 00:00:00,2020-07-13 00:00:00,06:00-08:00,"Kundgebung Römerstraße 109, 47179 Duisburg Tor 1, Mahnwache Dr.-Wilhelm-Roelen-Straße Tor 4",80
215,2020-07-06 00:00:00,K,NichtAufUnseremRücken - Die Reichen sollen die Krise bezahlen!,2020-07-11 00:00:00,2020-07-11 00:00:00,14:00-16:00,Infostand: auf dem König Heinrich Platz ,10
216,2020-07-07 00:00:00,M (K),Fridays for future - Gemeinsam gegen die Klimakrise,2020-07-31 00:00:00,2020-07-31 00:00:00,13:30-15:30,"Königsstraße, gegenüber des Forums, neben dem U-Bahnaufgang",20-30
217,2020-07-07 00:00:00,M,DIE RECHTE für Duisburg,2020-07-11 00:00:00,2020-07-11 00:00:00,10:00-12:00,"in Duisburg Meiderich,Höhe der Michaeliskirche",10-15
218,2020-07-14 00:00:00,K,anlässlich des fünften Monats des rassistischen Anschlags von Hanau,2020-07-20 00:00:00,2020-07-20 00:00:00,17:30-19:30,"auf dem König-Heinrich-Platz, zwischen Forum und CityPalais, direkt vor den ""Hängenden Gärten"" ",30
219,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-20 00:00:00,2020-07-20 00:00:00,11:00-13:00,"Von-der-Mark-Strasse/Kirchstrasse , Meiderich",10
220,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-20 00:00:00,2020-07-20 00:00:00,13:30-15:30,"Duisburger Strasse/Rathausstrasse, Hamborn",10
221,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-20 00:00:00,2020-07-20 00:00:00,16:00-18:00,"Kometenplatz, Walsum",10
222,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-22 00:00:00,2020-07-22 00:00:00,11:00-13:00,"Friedrichsplatz/Kaufland, Rurort",10
223,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-22 00:00:00,2020-07-22 00:00:00,13:30-15:30,"Friedrich-Alfred-Strasse am Brunnen, Rheinhausen",10
224,2020-07-15 00:00:00,K,"Wahlkampfversammlung (Kommunalwahl) ""Heimat schützen – Duisburg lebenswert erhalten!""",2020-07-22 00:00:00,2020-07-22 00:00:00,16:00-18:00,"Münchener Strasse/Lindauer Strasse, Süd",10
