Nr.,Anmeldedat.,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
1,2016-05-23,Empty the tanks worldwide,2017-05-13 00:00:00,10:00-15:00,DU-Duissern; Mühlheimer Straße 273 ,50
2,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-01-02 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
3,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-01-09 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
4,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-01-16 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
5,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-01-23 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
6,2016-11-05,Kundgebung für ein weltoffenes und solidarisches Duisburg,2017-01-30 00:00:00,16:00-21:00,DU-Stadtmitte; Portsmouthplatz,150
7,2016-12-07,Was kosten Flüchtlinge wirklich?,2017-01-09 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
8,2016-12-07,Gewalt gegen Frauen,2017-01-16 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
9,2016-12-07,Die Aufstocker und der Mindestlohn,2017-01-23 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
10,2016-12-07,Ist Bio wirklich besser für Mensch und Natur?,2017-01-30 00:00:00,17:30-18:30,DU-Stadtmitte; Königstraße (Lifesaver),40-50
11,2016-12-13,No Duigida - gegen den PEGIDA-Aufmarsch,2017-01-09 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
12,2016-12-13,No Duigida - gegen den PEGIDA-Aufmarsch,2017-02-06 00:00:00,18:30-21:30,DU-Stadtmitte; Portsmouthplatz,50-70
13,2016-12-16,One Billion Rising for Justice 2017,2017-02-14 00:00:00,14:30 - 16:00,DU Innenstadt vor dem Forum,500
14,2017-01-02,Friedensmarsch für den Nahen Osten,2017-01-05 00:00:00,18:00-20:30,DU-Stadtmitte; Portsmouthplatz - Königstraße - Burgplatz - Heerstraße - Blücherstraße,200
15,2017-01-03,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-01-09 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
16,2017-01-03,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-02-06 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
17,2017-01-03,Patriotische Europäer gegen die Islamisierung des Abendlandes,2017-03-06 00:00:00,19:00-22:00,DU-Stadtmitte; Portsmouthplatz - Mercatorstraße - Wittekindstraße - Fürstenstraße - Hohestraße - Güntherstraße - Hohestraße - Gallenkampstraße - Portsmouthplatz,150-500
