Nr.,Anmeldedat.,Art,Thema,Datum,Zeit,"Ort, Aufzugsweg",TN-Zahl
1,2018-05-27 00:00:00,A (K),"Tag der deutschen Arbeit: Am 1. Mai auf die Straße , am 26. Mai ins Europaparlament",2019-05-01 00:00:00,14:00-21:00,"DU-Wanheimerort; ""Im Schlenk"" Düsseldorfer Straße - Rheintörchenstraße - Fliederstraße - Kulturstraße - Wanheimer Straße - Bf Duisburg-Hochfeld-Süd",keine Angabe
2,2018-07-24 00:00:00,A (K),1. Mai 2019 - Tag der Arbeit,2019-05-01 00:00:00,11:00-13:00,DU-Hamborn; Amtsgerichtsplatz - Duisburger Straße - Hamborn Feuerwache - Alleestraße - Emscherstraße - Landschaftspark Nord,3.000-4.000
3,2018-07-26 00:00:00,A (K),"Am 01. Mai 2019 - Gemeinsame Kulturelle Musik Kundgebung & Demonstration der Duisburger Bürger*innen für eine vielfältige, tolerante, solidarische Stadtgesellschaf gegen den Aufzug rassistischer, rechter Parteien und Bewegungen in Duisburg am 01. Mai",2019-05-01 00:00:00,11:00-13:00,DU-Stadtmitte: Portsmouthplatz - Mercatorstraße - Königstraße - König-Heinrich-Platz; Duisburg-Neumühl: Hohenzollernplatz; DU-Rheinhause: Hochemmericher Markt; DU-Marxloh: August-Bebel-Platz; DU-Hochfeld: Hochfelder Markt,keine Angabe
4,2018-11-09 00:00:00,K,Beteiligung an der weltweiten Kampagne - One Billion Rising 2019 - gegen die alltägliche Gewalt gegen Frauen und Mädchen durch eine Straßenaktion ,2019-02-14 00:00:00,15:00-17:00,DU-Stadtmitte; Königstraße (zwischen Forum und hängenden Gärten),500
5,2018-12-28 00:00:00,A (K),Friedensmarsch zum Weltfriedenstag,2019-01-01 00:00:00,15:00-15:45,,25
6,2018-12-27 00:00:00,K,TUI profitiert vom Leid der Orcas ,2019-01-10 00:00:00,13:00-14:30 ,"Claubergstr. 1, 47051 Duisburg",3-12
7,2018-12-28 00:00:00,K,Oury Jalloh und Amad Ahmad - Aufklärung jetzt!,2019-01-07 00:00:00,18:00-19:00,DU-Stadtmitte; König-Heinrich-Platz,10-20
8,2018-12-31 00:00:00,K,Gegen Rassismus,2019-01-07 00:00:00,15:00-18:00,DU-Stadtmitte; Averdunkplatz,3-10
9,2018-12-30 00:00:00,K,"Nach 14 Jahren, Bankrott der Hartz IV Politik",2019-01-07 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
10,2018-12-30 00:00:00,K,Europawahl,2019-01-21 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
11,2018-12-30 00:00:00,K,Aktuelles,2019-01-28 00:00:00,18:00-19:00,DU-Stadtmitte; Lifesaver-Brunnen,40-50
12,2019-01-03 00:00:00,K,Kritik an Misssttänden in der Massentierhaltung,2019-01-05 00:00:00,18:00-20:00,Du-Neudorf,8-10
13,2019-01-12 00:00:00,A (K),"Türkische Armee raus aus Provinzstadt Efrin - Nordsyrien. Protestaktion zum ersten Jahrestag der Invasion der kurdischen Enklave Efrin, durch die türkische Armee und islamistischen Söldner.",2019-01-19 00:00:00,14:00-18:00,DU-Stadtmtte; Portsmouthplatz - Königstraße - ,300
14,2018-01-11 00:00:00,A (K),"Den Davidsterntag begeen … gegen Antisemitismus, für ISRAEL-Solidarität",2019-01-19 00:00:00,13:30:00,DU-Stadtmitte; Portsmouthplatz - Königstraße - Claubergstraße - Rathaus,10-20
15,2019-01-13 00:00:00,A (K),Wir fordern den Verbot allers Drogenverkäufe in Duisburg! Drogenverkaufspunkte schließen!,2019-02-23 00:00:00,15:00-19:00,DU-Stadtmitte; König-Heinrich-Platz - Königstraße - Mercatorstraße - Portsmouthplatz - Friedrich-Wilhelm-Straße - Lehmbruck Museum,500
16,2019-01-20 00:00:00,K,"Solidaritätsaktion mit HDP-Abgeordeten Leyla Güven, die gegen die Isolationshaft von Herr Öcalan seit 75 Tagen im Hungerstreik ist",2019-01-21 00:00:00,17:00-18:30,DU-Stadtmitte; Königstraße (zwischen Forum und hängenden Gärten),50
