lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Versammlung,Zeit
1,2013-05-30,NPD-LV Thüringen,"""Soziale Gerechtigkeit für alle Deutschen""","Willy-Brandt-Platz, Trommsdorffstraße, Stauffenbergallee, Clara-Zetkin-Straße, Häßlerstraße, Johann-Sebastian-Bach-Straße, Jürgen-Fuchs-Straße (Zwischenkundgebung vor Thüringer Landtag), Johann-Sebastian-Bach-Straße, Arnstädter Straße, Löberstraße, Eichenstraße, Regierungsstraße, Anger, Bahnhofstraße, Willy-Brandt-Platz (Abschlusskundgebung)",2014-05-01 00:00:00,11:00-22:00
,,,,,,
,,per Fax am 16.10.2013 abgemeldet,,,,
2,2013-10-18,Vereinte Dienstleistungsgewerkschaft,"""150 Jahre Gewerkschaftsbewegung und heute ?""","Willy-Brandt-Platz, vor dem Hauptbahnhof von Taxistand bis Tram-Gleise",2014-05-01 00:00:00,09.00 - 18.00
3,2013-10-18,Vereinte Dienstleistungsgewerkschaft,"1. Mai ""Gute Arbeit in Europa""",ver.di-Gelände Schillerstraße 44,2014-05-01 00:00:00,09.00 - 18.00
,,,,,,
,,,,Schillerstraße 44 à Kaffeetrichter à Schillerstraße à Puschkinstraße à Alte Synagoge à Schillerstraße à Kaffetrichter,2014-05-01 00:00:00,10.00 - 17.00
4,2013-11-21,Die Linke. Thüringen,"""Thüringen rockt""",vor dem Anger 1,2014-05-23 00:00:00,08.00 - 21.00
5,2013-11-21,SPD - Kreisverband Erfurt,Wahlkampfabschlussveranstaltung,Angerdreieck,2014-05-23 00:00:00,08.00 - 20.00
6,2014-06-28,SOKA RUN e.V.,Halterkunde statt Rassenliste,"Willy-Brand-Platz à Bahnhofstraße à Juri-Gagarin-Ring à Löbertor à Fußgängerzone ""Anger"" à Bahnhofstraße à Willy-Brandt-Platz",2014-06-28 00:00:00,13.00 - 16.30
7,2013-12-06,SPD Fraktion Thüringer Landtag,Kommunal- und Europawahl 2014,vor dem Anger 1,2014-05-15 00:00:00,11.00 - 19.00
,,,,,2014-05-16 00:00:00,11.00 - 19.00
,,,,,2014-05-17 00:00:00,11.00 - 19.00
8,2013-12-06,SPD Fraktion Thüringer Landtag,Kommunal- und Europawahl 2014,vor dem Anger 1,2014-05-22 00:00:00,11.00 - 19.00
,,,,,2014-05-23 00:00:00,11.00 - 19.00
,,,,,2014-05-24 00:00:00,11.00 - 19.00
9,2013-12-13,"Die Linke, Stadtverband Erfurt",Ehrung Rosa Luxemburg und Karl Liebknecht,"Rosa-Luxemburg-Platz, Denkmal",2014-01-12 00:00:00,09.30 - 11.00
