"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Datum
11.0,2019-12-23 00:00:00,Seebrücke Erfurt,"Aktionsmonat Erfurt zum sicheren Hafen, # 5",Fischmarkt,2020-02-05 00:00:00,15:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
12.0,2019-12-16 00:00:00,Jusos Erfurt ABGESAGT ,Tag der Befreiung,Fischmarkt,2020-05-08 00:00:00,09.00 - 22.00 Uhr,20.0,,,,,,,,,,,20.0
13.0,2020-01-02 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-01-08 00:00:00,13:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
14.0,2020-01-02 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-01-25 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
15.0,2020-01-05 00:00:00,Jusos Erfurt ABGESAGT ,Tag der Befreiung,Angerdreieck,2020-05-08 00:00:00,08.00 - 22.00 Uhr,20.0,,,,,,,,,,,20.0
16.0,2020-01-03 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,"Tierschutz/""Massentierhaltung abschaffen""/gegen Karnismus/für Mitgefühl mit allen fühlenden Lebewesen","Menschenkette vom Neuen Angerbrunnen bis Anger 8, Podest mit Protestszene: Anger 8",2020-01-11 00:00:00,14.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
17.0,2020-01-02 00:00:00,Die LINKE Erfurt,Gedenkveranstaltung - Ehrung Luxemburg und Liebknecht,Rosa-Luxemburg-Platz,2020-01-19 00:00:00,09.30 -11.00 Uhr,20.0,,,,,,,,,,,20.0
18.0,2020-01-06 00:00:00,Fridays For Future Erfurt,#StopAdani - Keine Beteiligung von Siemens am Adani-Kohleprojekt,Werner-von-Siemens-Straße 1,2020-01-10 00:00:00,11.00 - 13.00 Uhr,20.0,,,,,,,,,,,20.0
19.0,2020-01-06 00:00:00,Jusos Erfurt ABGESAGT ,Tag der Befreiung,Hirschgarten,2020-05-08 00:00:00,09.00 - 22.00 Uhr,20.0,,,,,,,,,,,20.0
20.0,2020-01-08 00:00:00,"Interessengemeinschaft Land schafft Verbindung Thüringen, Thüringer Bauernverband",Sauberes Wasser bracht saubere Politik!,"Johann-Sebastian-Bach-Straße, Jürgen-Fuchs-Straße, Freifläche zwischen Landtag und Umweltministerium",2020-01-15 00:00:00,10.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
21.0,2020-01-09 00:00:00,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (ABL),Wir haben es satt - Landvergabepraxis in Erfurt und Thüringen,Fischmarkt,2020-01-16 00:00:00,10:00 - 11:30,20.0,,,,,,,,,,,20.0
22.0,2020-01-09 00:00:00,Ahmadiyya Muslim Jamaat KdöR,Liebe für Alle Hass für Keinen / Muslime für Frieden,Angerdreieck,2020-01-11 00:00:00,12.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
23.0,2020-01-09 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen GEW Thüringen,Es reicht! Erleuchtung für die Landesregierung - für bessere Arbeitsbedingungen in den Horten,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2020-01-29 00:00:00,17.30 - 19.00 Uhr,20.0,,,,,,,,,,,20.0
24.0,2020-01-13 00:00:00,Der Dritte Weg,Ausländerrückführung statt Integrationsirrsinn,Einkaufszentrum Roter Berg,2020-01-18 00:00:00,10.00 - 12.00 Uhr,20.0,,,,,,,,,,,20.0
25.0,2020-01-13 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Wir brauchen Umweltschutz und Arbeitsplätze!
Runter mit der Arbeitszeit - rauf mit den Renten!
Zum Weltfrauentag!
Kundgebung zum Ostermarsch
100 Jahre Kriegsende und Befreiung vom Faschismus
Für einen kostenlosen und besseren Öffentlichen Nahverkehr!",Angerdreieck,"23.01.2020
13.02.2020
05.03.2020
09.04.2020
07.05.2020
04.06.2020","17.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17,.00 - 18.00 Uhr
17.00 - 18.00 Uhr
17.00 - 18.00 Uhr",20.0,,,,,,,,,,,20.0
26.0,2020-01-21 00:00:00,Fridays For Future Erfurt,Fridays For Future - Klimastreik,Angerdreieck --> Fischmarkt,2020-01-31 00:00:00,14.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
27.0,2020-01-24 00:00:00,Critical Mass Erfurt,Verkehrspolitische Radtour - Wir behindern nicht den Verkehr - wir sind der Verkehr,Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2020-01-31 00:00:00,18.30 - 20.30 Uhr,20.0,,,,,,,,,,,20.0
28.0,2020-01-27 00:00:00,Neues Deutsches Forum,Wählerwille achten! Gesicht zeigen!,Domplatz Erfurt,2020-01-30 00:00:00,18:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
29.0,2020-01-27 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-02-15 00:00:00,14.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
30.0,2020-01-28 00:00:00,Soildaritätsnetzwerk Erfurt,Für einen kostenlosen öffentlichen Nahverkehr,Angerdreieck,2020-02-15 00:00:00,10.00 - 12.00 Uhr,20.0,,,,,,,,,,,20.0
