"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Datum
90.0,2020-04-23 00:00:00,AfD-Landesverband Thüringen,WIRD NACHGEREICHT,"Auftakt Juri-Gagarin-Ring / Löberstraße
Route: Löberstraße --> Arnstädter Straße --> Johann-Sebastian-Bach Straße
Abschlusskundgebung: Johann-Sebastian-Bach Straße Bühne Höhe Einfahrt Eissporthalle",2020-05-01 00:00:00,10:00 - 15:00 Uhr,20.0,,,,,,,,,,,20.0
91.0,2020-04-23 00:00:00,Neues Deutsches Forum,Wir wollen unsere Grund- und Bürgerrechte zurück! Schluss mit dem Corona-Irrsinn!,Domplatz,2020-04-25 00:00:00,15:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
92.0,2020-04-23 00:00:00,Merkur-Urlaubscenter,Wir Reisebüros verschaffen uns Gehör,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,12.00 - 16.00 Uhr,20.0,,,,,,,,,,,20.0
93.0,2020-04-23 00:00:00,Seebrücke Erfurt,LeaveNooneBehind: Kundgebung der Seebrücke Erfurt,Angerdreieck,2020-04-25 00:00:00,12.00 - 13.00 Uhr,20.0,,,,,,,,,,,20.0
94.0,2020-04-23 00:00:00,Stammtisch-Gruppe Corona Krise,Rettung der Gastronomiebetriebe in der Corona-Krise,Domplatz,2020-04-24 00:00:00,11.00 - 13.00 Uhr,20.0,,,,,,,,,,,20.0
95.0,2020-04-24 00:00:00,Ahmadiyya Muslim Jamaat Kdör,Liebe für Alle Hass für Keinen,Angerdreieck,2020-04-25 00:00:00,13:30 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
96.0,2020-04-25 00:00:00,Thüringer Fahrlehrerverband e.V.,Wiedereröffnung der Fahrschulen,Wermer-Seelenbinder-Straße (Aufzug --> Werner-Seelenbinder-Straße),2020-04-29 00:00:00,10.30 - 11.30 Uhr,20.0,,,,,,,,,,,20.0
97.0,2020-04-27 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-02 00:00:00,15:30 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
98.0,2020-04-28 00:00:00,Ahmadiyya Muslim Jamaat KdöR,"Liebe für Alle, Hass für Keinen",Angerdreieck,2020-05-02 00:00:00,13:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
99.0,2020-04-28 00:00:00,SPD Ortsverein Erfurt-West,Weg aus der Coronakrise,Hinter der Rennbahn 2,2020-05-22 00:00:00,16:00 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
100.0,2020-04-28 00:00:00,Stammtisch-Gruppe Corona Krise,"Rettung der Gastronomiebetriebe in der Corona-Krise, Zustellung offener Brief an MP",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,11:00 - 11:30 Uhr,20.0,,,,,,,,,,,20.0
101.0,2020-04-28 00:00:00,Stammtisch-Gruppe Corona Krise,"Rettung der Gastronomiebetriebe in der Corona-Krise, Zustellung offener Brief an MP",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-04-29 00:00:00,11:00 - 11:30 Uhr,20.0,,,,,,,,,,,20.0
102.0,2020-04-21 00:00:00,OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-06 00:00:00,12:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
103.0,2020-04-28 00:00:00,Einzelperson,Signal zeigen gegen rechts- für Grund- und Menschenrechte,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-01 00:00:00,11:30 - 14:00 Uhr,20.0,,,,,,,,,,,20.0
104.0,2020-04-30 00:00:00,Einzelperson,Wiedereröffnung der Kosmetikstudios,Fischmarkt,2020-05-01 00:00:00,11.55 - 12.55 Uhr,20.0,,,,,,,,,,,20.0
105.0,2020-04-29 00:00:00,DIE LINKE Erfurt,Tag der Befreiung,vor Anger 1,2020-05-08 00:00:00,12.00 - 14.00 Uhr,20.0,,,,,,,,,,,20.0
106.0,2020-04-15 00:00:00,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,75. Jahrestag der Befreiung vom Nationalsozialismus,Hauptfriedhof,2020-05-08 00:00:00,10.00 - 11.00 Uhr,20.0,,,,,,,,,,,20.0
107.0,2020-04-04 00:00:00,Radentscheid Erfurt n.e.V.,Mehr Platz im öffentlichen Raum für Fuß- und Radverkehr,Juri-Gagarin-Ring von Trommsdorffstraße bis Lachsgasse beidseitige Sperrung jeweils einer Fahrspur,2020-05-11 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
108.0,2020-05-04 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-09 00:00:00,15:00 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
109.0,2020-05-04 00:00:00,Einzelperson,Lasst die Reisebranche nicht an Corona sterben!,Jürgen-Fuchs-Straße alt. Mozartallee,2020-05-08 00:00:00,12:00 - 14:00 Uhr,20.0,,,,,,,,,,,20.0
110.0,2020-05-05 00:00:00,Einzelperson,Verstoß gegen das StGB § 344 durch Mitarbeiter der Ordnungsbehörde Erfurt und der Polizei Erfurt - Widerrechtliche Personenkontrollen ohne Erkennbare Gründe bei Privatpersonen und damit Verstoß gegen das Grundgesetz der BRD,Fischmarkt,2020-05-05 00:00:00,11:00 - 11:45 Uhr,20.0,,,,,,,,,,,20.0
111.0,2020-05-05 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-05-23 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
112.0,2020-05-05 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-05-30 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,
113.0,2020-05-05 00:00:00,Neues Deutsches Forum,"Grundrechte sind unantastbar! Schulen, KiTa's und Gastronomie wieder vollumfänglich öffnen.",Domplatz --> Fischmarkt --> Anger --> Domplatz,2020-05-08 00:00:00,18:00 - 21:00 Uhr,20.0,,,,,,,,,,,20.0
114.0,2020-05-05 00:00:00,Stammtisch Gruppe Corona-Krise,Rettung der Gastronomiebetriebe,Palais Steakhouse Futterstraße 13,2020-05-06 00:00:00,19.30 - 21.00 Uhr,20.0,,,,,,,,,,,20.0
115.0,2020-04-30 00:00:00,Klanggerüst e.V. - Verein zur Förderung von Kunst- und Kulturschaffenden,Flashmob: 75. Jahrestag - Tag der Befreiung vom Faschismus,Vereinsheim Freifläche Magdeburger Allee 175,2020-05-08 00:00:00,15.30 - 17.30 Uhr,20.0,,,,,,,,,,,20.0
116.0,2020-05-06 00:00:00,KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,"Schauspielhaus, Klostergang 4",2020-05-08 00:00:00,15:00 - 15:15 Uhr,20.0,,,,,,,,,,,20.0
117.0,2020-05-06 00:00:00,KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Thüringer Staatskanzlei,2020-05-08 00:00:00,15:30 - 15:45 Uhr,20.0,,,,,,,,,,,20.0
118.0,2020-05-06 00:00:00,KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Angerdreieck,2020-05-08 00:00:00,16:00 - 16:15 Uhr,20.0,,,,,,,,,,,20.0
119.0,2020-05-06 00:00:00,KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Fischmarkt,2020-05-08 00:00:00,16:30 - 16:45 Uhr,20.0,,,,,,,,,,,20.0
120.0,2020-05-06 00:00:00,KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Wenigemarkt,2020-05-08 00:00:00,17:00 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
121.0,2020-04-29 00:00:00,"Einzelperson
ABGESAGT",Gegen soziale Vereinsamung- für mehr Miteinander,Lindenstraße 18 - 20 ,2020-05-09 00:00:00,17:00 - 22:00,20.0,,,,,,,,,,,20.0
122.0,2020-05-06 00:00:00,Fridays For Future Erfurt,Klaschen für die Autoindustrie,Schmidtstedter Flur,2020-05-09 00:00:00,14.00 - 16.00 Uhr,20.0,,,,,,,,,,,20.0
123.0,2020-05-07 00:00:00,Verband kinderreicher Familien Thüringen e.V.,Vereinbarkeit von Familie und Beruf in Corona-Zeiten - Eltern nicht länger vor unlösbare Betreuungssituation stellen.,Domplatz,2020-05-10 00:00:00,14:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
124.0,2020-05-07 00:00:00,Seebrücke Erfurt,#LeaveNoOneBeheind:Landesaufnahmeorgramm jetzt!,Angerdreieck,2020-05-11 00:00:00,17.30 - 19.30 Uhr,20.0,,,,,,,,,,,20.0
125.0,2020-05-08 00:00:00,Einzelperson,KITA Öffnung,"Staatskanzlei, Anger, Fischmarkt, Domplatz",2020-05-09 00:00:00,10:00 - 12:00 Uhr,20.0,,,,,,,,,,,20.0
126.0,2020-05-05 00:00:00,Erfurter Tanzschaffende,"Eröffnung (""Nach Corona"") der Tanzschulen unter Einhaltung des Abstandes und Hygienemaßnahmen",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-12 00:00:00,11.55 - 12.30 Uhr,20.0,,,,,,,,,,,20.0
127.0,2020-05-10 00:00:00,Einzelperson,Esos wegbassen / Ihr seid keine Widerstandskämpfer,Domplatz,2020-05-11 00:00:00,18.45 - 22.00 Uhr,20.0,,,,,,,,,,,20.0
128.0,2020-05-07 00:00:00,Solidargruppe zum Übergriff beim CSD 2019 ABGESAGT,Begleitung des Prozesses zum gewaltsamen Übergriff während des CSD 2019,"Amtsgericht Erfurt, Domplatz 37",2020-05-13 00:00:00,11.30 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
129.0,2020-05-05 00:00:00,Präpolitische Parusie P.P.P,Bürgergespräch,Domplatz,2020-05-13 00:00:00,18.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
130.0,2020-05-11 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-16 00:00:00,15:30 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
131.0,2020-05-11 00:00:00,Freiheit und Demokratie Bürger für Thüringen e.V.,Klappe Auf! Für Kinderrechte,Anger,2020-05-16 00:00:00,10:00 - 11:00 Uhr,20.0,,,,,,,,,,,20.0
132.0,2020-05-11 00:00:00,Verein Erfurter Gästeführer e.V. ABGESAGT,Existenzfrage der Thüringer Gästeführer - wovon sollen wir in der Corona-Krise überleben ?,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-15 00:00:00,10.00 - 11.00 Uhr,20.0,,,,,,,,,,,20.0
133.0,2020-05-08 00:00:00,Naturfreunde Thüringen e.V.,Internationaler Tag der Familie,Johannesstraße 127 in 99084 Erfurt,2020-05-15 00:00:00,11.00 - 13.00 Uhr,20.0,,,,,,,,,,,20.0
134.0,2020-05-11 00:00:00,Einzelperson,Tekno against Fascism - mit Abstanz gegen Rechts,Domplatz,2020-06-01 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
135.0,2020-05-15 00:00:00,Auf die Plätze - Bündnis,"Wer mit Nazis marschiert, hat nichts kapiert",Domplatz,2020-05-16 00:00:00,15:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
136.0,2020-05-15 00:00:00,Auf die Plätze - Bündnis,"Wer mit Nazis marschiert, hat nichts kapiert","Domplatz, vor den Domstufen",2020-05-18 00:00:00,18:00 - 22:00 Uhr,20.0,,,,,,,,,,,20.0
137.0,2020-05-18 00:00:00,Einzelperson,Erhaltung und Modernisierung des Parks am Mühlgraben Gispersleben,Lobensteiner Straße ,2020-05-21 00:00:00,09.00 - 15.00 Uhr,20.0,,,,,,,,,,,20.0
138.0,2020-05-18 00:00:00,"Aktionsbündnis ""Rettet die Reisebranche""",Lasst die Reisebranche nicht an Corona sterben!,Thüringer Landtag --> Domplatz,2020-05-20 00:00:00,11:15 - 14:00 Uhr,20.0,,,,,,,,,,,20.0
139.0,2020-05-18 00:00:00,Pro Coronamaßnahmen ABGESAGT,Pro Corona - Für die aktuell geltenden gesetzlichen Schutzmaßnahmen,Roter Berg --> Gispersleben --> Walschleben --> Nöda --> Stotternheim --> Roter Berg,2020-05-21 00:00:00,11:00 - 16:00 Uhr,20.0,,,,,,,,,,,20.0
140.0,2020-05-18 00:00:00,Fridays For Future Erfurt,Klimademo - Verkehrswende,Willy-Brandt-Platz --> Angerdreieck --> Schlösserstraße --> Marktstraße --> Domplatz --> Domstraße --> Mainzerhofstraße --> Brühler Straße --> Bonifaciusstraße --> Walkmühlstraße --> Juri-Gagarin-Ring (Richtung Norden) --> Johannesstraße --> Stauffenbergallee (Richtung Süden) --> Schillerstraße --> Löberstraße --> Eichenstraße --> Lange Brücke --> Kettenstraße --> Domplatz --> Marktstraße --> Schlösserstraße --> Angerdreieck (Ende),2020-05-22 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
141.0,2020-05-18 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-23 00:00:00,15.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
142.0,2020-05-15 00:00:00,Präpolitisches Picknick P.P.P,Die Initiative präpolitisches Picknick widmet sich auf manifestative und heitere Weise dem Nachdenken und Bürgergespräch über das was alle angeht unter den Bedingungen eingeschränkter Grundrechte,Domplatz,2020-05-27 00:00:00,18.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
143.0,2020-05-19 00:00:00,Bündnis Auf die Plätze,Jede*r Tote ist zu viel - gegen die Nazi Querfront,Domplatz,2020-05-23 00:00:00,14.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
144.0,2020-05-19 00:00:00,Seebrücke Erfurt,#leaveNoOneBeheind: Seebrücke Aktionstag,Fischmarkt,2020-05-23 00:00:00,13.30 - 15.30 Uhr,20.0,,,,,,,,,,,20.0
145.0,2020-05-20 00:00:00,Sprachcafe Erfurt,Evakuierung der Lager in Griechenland,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-20 00:00:00,19.00 - 20.00 Uhr,20.0,,,,,,,,,,,20.0
146.0,2020-05-22 00:00:00,Jusos Erfurt ABGESAGT ,Kein Weg dem dritten Weg,Thüringer Staatskanzlei,2020-10-03 00:00:00,08:00 - 22:00 Uhr,20.0,,,,,,,,,,,20.0
147.0,2020-05-25 00:00:00,Seebrücke Erfurt,"Erfurt zum sicheren Hafen, Aktionsmonat #Endejetztwirklich",Anger,2020-05-27 00:00:00,15:30 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
148.0,2020-05-25 00:00:00,VCD Erfurt,CM - mehr Platz für Rad und Fuß,"Bahnhofsvorplatz (Beginn) --> Kurt-Schumacher-Str. links --> Trommsdorffstraße rechts --> Stauffenbergallee rechts --> Schillerstr. --> Ende Schillerstraße wenden --> Schillerstraße zurück --> links Stauffenbergallee am Schmidtstedter Knoten --> Talknoten links Johannesstraße --> links zum Juri-Gagarin-Ring --> links Walkmühlstraße, Bonifaciusstraße --> rechts Str. d. Friedens, Heinrichstraße --> Binderslebener Knie rechts --> Biereyestraße --> rechts Gutenbergstrße --> rechts Blumenstraße --> rechts Andreasstraße --> links Marktstraße --> Fischmarkt (Ende)",2020-05-29 00:00:00,18:30 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
149.0,2020-05-25 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-30 00:00:00,15.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
150.0,2020-05-26 00:00:00,Neues Deutsches Forum,"Gegen Grundrechtenetzug, Falschinformation und Polizeigewalt - Für die Freiheit des Bürgers!",Domplatz und Aufzug Domplatz--> Fischmarkt --> Anger --> Domplatz,2020-05-30 00:00:00,14.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
151.0,2020-05-26 00:00:00,Linksjugend [`solid] Ortsgruppe Erfurt ABGESAGT !!,Kein Weg dem dritten Weg! dem Dritten Weg die Anreise versauen,Willy-Brandt-Platz,2020-10-03 00:00:00,09.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
152.0,2020-05-27 00:00:00,Fridays For Future Erfurt,Klimademo - Abwrackprämie,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-06-02 00:00:00,14.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
153.0,2020-05-29 00:00:00,ver.di Thüringen,Hände weg von unseren freien Samstagen!,Jürgen-Fuchs-Straße 1 (vor Thüringer Landtag),2020-06-02 00:00:00,12.00 - 15.00 Uhr,20.0,,,,,,,,,,,20.0
154.0,2020-05-29 00:00:00,"Esquina del Tango, Club Argentina e.V.",Initiative zur Rettung der Tangokultur in Deutschland,Fischmarkt ,2020-06-03 00:00:00,11.55 - 12.10 Uhr,20.0,,,,,,,,,,,20.0
155.0,2020-05-31 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz + Aufzug,2020-06-06 00:00:00,15.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
156.0,2020-06-02 00:00:00,Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz (zwischen Obelisk und Domstufen),2020-06-06 00:00:00,15.00 - 18.00 Uhr,20.0,,,,,,,,,,,20.0
157.0,2020-05-28 00:00:00,SPD Ortsverein Erfurt-West,"Rede des Bundestagsabgeordneten Carsten Schneider zum Thema ""Unterstützung der Kommunalpolitik durch Berlin""",Hinter der Rennbahn 2,2020-06-08 00:00:00,18.30 - 21.00 Uhr,20.0,,,,,,,,,,,20.0
158.0,2020-06-03 00:00:00,DGB-Jugend Erfurt ABGESAGT !!,KeinWegDemDrittenWeg,Domplatz,2020-10-03 00:00:00,09.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
159.0,2020-06-06 00:00:00,"Wochenzeitung Demokratischer Widerstand (DW), Ärzte für Aufklärung (AFA) ABGESAGT",Demokraktischer Sommer! Für das Grundgesetz und Bodo Ramelows Vorstoß den Ausnahmezustand zu beenden,Domplatz,2020-06-06 00:00:00,14:30 - 16:45 Uhr,20.0,,,,,,,,,,,20.0
160.0,2020-06-04 00:00:00,Einzelperson,Erfurt leuchtet für George Floyd - Black lives matter Stille Demonstration mit Kerzen,Domplatz,2020-06-12 00:00:00,21:00 - 22:00 Uhr,20.0,,,,,,,,,,,20.0
161.0,2020-06-08 00:00:00,Auf die Plätze - Bündnis,Band der Solidarität -# SoGehtSolidarisch,Angerdreieck,2020-06-14 00:00:00,14:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
162.0,2020-06-05 00:00:00,Internationalistisches Bündnis Erfurt,"#BlackLivesMatter, Gibt Rassismus keine Chance! Hoch die internationale Solidarität!",Angerdreieck,2020-06-06 00:00:00,15:30 Uhr,20.0,,,,,,,,,,,20.0
163.0,2020-06-08 00:00:00,Präpolitisches Picknick P.P.P,Die Initiative präpolitisches Picknick widmet sich auf manifestative und heitere Weise dem Nachdenken und Bürgergespräch über das was alle angeht unter den Bedingungen eingeschränkter Grundrechte,Domplatz,2020-06-10 00:00:00,18:00 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
164.0,2020-06-08 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-13 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
165.0,2020-06-08 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-20 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
166.0,2020-06-08 00:00:00,Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-27 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
167.0,2020-06-09 00:00:00,MLPD Thüringen,Für wirksamen Gesundheitsschutz - Kampf dem Krisen-Chaos von Monopolen und Regierung! Gegen Rassismus!,Angerdreieck,2020-06-14 00:00:00,13:45 - 15:30 Uhr,20.0,,,,,,,,,,,20.0
168.0,2020-06-09 00:00:00,Flüchtlingsrat Thüringen e.V.,Protest zur Innenministerkonferenz,Theatherplatz Erfurt,2020-06-17 00:00:00,15:30 - 20:00 Uhr,20.0,,,,,,,,,,,20.0
169.0,2020-06-09 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-06-20 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
170.0,2020-06-10 00:00:00,Solidargruppe zum Übergriff beim CSD 2019,Begleitung des Prozesses zum gewaltsamen Übergriff während des CSD 2019,"Amtsgericht Erfurt, Rudolfstraße 46",2020-06-17 00:00:00,09:30 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
171.0,2020-06-10 00:00:00,Sprachcafe Erfurt,Kritik an Grenzen und Innenministerkonferenz,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-06-17 00:00:00,14:30 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
172.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Kein Frieden mit Massenarbeitslosigkeit,Angerdreieck,2020-07-02 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
173.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Hiroshima und Nagasaki mahnen,Angerdreieck,2020-08-06 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
174.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Weltfrieden + 16 Jähriges,Angerdreieck,2020-09-03 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
175.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Was hat die ""Deutsche Einheit"" gebracht?",Fischmarkt,2020-10-01 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
176.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Aufstehen gegen die Umweltkrise!,Fischmarkt,2020-10-29 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
177.0,2020-06-11 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Zur Reichspogromnacht,Angerdreieck,2020-11-12 00:00:00,17:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
178.0,2020-06-11 00:00:00,Ezra und Auf die Plätze - Bündnis,Bleiberecht statt Abschiebung,"Mainzerhofstraße 10, vor Eingang des COMCENTER Brühl",2020-06-19 00:00:00,11:00 - 13:00 Uhr,20.0,,,,,,,,,,,20.0
179.0,2020-06-15 00:00:00,Fridays For Future Erfurt,Klimademo - Baumschutz,Angerdreieck (Auftaktkundgebung) --> Schlösserstraße --> Fischmarkt (Zwischenkundgebung) --> Domplatz --> Lauentor --> Maximilian-Welsch-Straße --> Theaterplatz (Zwischenkundgebung) --> Maximilian-Welsch-Straße --> Lauentor--> Verbindungsweg --> Petrinistraße (durch Kommandantenhaus) --> Petersberg bis geplante Reisebushaltestelle,2020-06-19 00:00:00,15:00 - 18:00 Uhr,20.0,,,,,,,,,,,20.0
180.0,2020-06-16 00:00:00,Internationalistisches Bündnis Erfurt,Schluss mit der Bombadierung des Irak / Südkurdistan durch die Türkei,Willy-Brandt-Platz (Auftakt) --> Bahnhofstraße --> Angerdreieck (Abschluss),2020-06-19 00:00:00,17:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
181.0,2020-06-16 00:00:00,"Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V., Ortsgruppe Erfurt",Nie wieder Krieg gegen Russland - Gedenken des 79.Jahrestages des Überfalls auf die Sowjetunion,"Friedensstele auf kleinem Platz vor Osteingang der ega, bei Cyriakstraße/Gotaher Platz",2020-06-22 00:00:00,17:00 - 17:30 Uhr,20.0,,,,,,,,,,,20.0
182.0,2020-06-16 00:00:00,Kaisersaal Gastronomie- und Veranstaltung GmbH,Night of Light,Fischmarkt,2020-06-22 00:00:00,20:00 - 02:00 Uhr,20.0,,,,,,,,,,,20.0
183.0,2020-06-16 00:00:00,LITECOM gmbH,Demonstration um auf die Lage der Veranstaltungwirtschaft in Coronazeiten hinzuweisen,Domplatz,2020-06-22 00:00:00,16:00 - 01:00 Uhr,20.0,,,,,,,,,,,20.0
184.0,2020-05-07 00:00:00,OMAS GEGEN RECHTS Erfurt,Gedenken an die Bücherverbrennung am 29.06.1933 durch Nationalsozialisten,vor Haupteingang EGA,2020-06-29 00:00:00,14:00 - 15:00 Uhr,20.0,,,,,,,,,,,20.0
185.0,2020-06-19 00:00:00,Fridays For Future Erfurt,Fahrraddemonstration,"Angerdreieck (Startkundgebung) --> Anger (Richtung Osten) --> Krämpfertor --> Juri-Gagarin-Ring (Richtung Norden) --> Johannesstraße --> Magdeburger Allee (Richtung Norden, Wende Ilversgefofener Platz) --> Magdeburger Allee (Richtung Süden) --> Stauffenbergallee (Richtung Süden) --> Clara-Zetkin-Straße --> Häßlerstraße --> Johann-Sebastian-Bach Straße --> Arnstädter Straße (Richtung Norden) --> Löberstraße --> Juri-Gagarin-Ring --> Karl-Marx-Platz --> Dalbergsweg --> Walkmühlstraße --> Boinifaciusstraße --> Maximilian Straße --> Lauentor --> Domplatz --> Marktstraße --> Fischmarkt --> Schlösserstraße --> Angerdreieck (Ende)",2020-06-26 00:00:00,16:00 - 19:00 Uhr,20.0,,,,,,,,,,,20.0
186.0,2020-06-19 00:00:00,Neue Stärke Erfurt e.V. ABGESAGT !!,Die Neue Stärke informiert - Taten statt Worte! Zeit zum Handeln! Rücktritt Czentarra JETZT!,Scharnhorststraße,2020-09-01 00:00:00,15:00 - 17:00 Uhr,20.0,,,,,,,,,,,20.0
187.0,2020-06-22 00:00:00,Einzelperson ABGESAGT !!,*Biker for Freedom*,Erfurt (über B7 Nohra) --> Werner-Seelenbinder-Straße 8 --> Schmidtstedter Knoten --> Haarberg,2020-07-04 00:00:00,14.00 - 17.00 Uhr,20.0,,,,,,,,,,,20.0
