"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung
15,2018-12-13 00:00:00,"Aufstehen Thüringen  
ABGESAGT          ","Gedenkdemonstration  zum Gedenktag der UNO ""Holocaust""",Domplatz,2019-01-27 00:00:00,12.00 – 18.00 Uhr
16,2019-01-03 00:00:00,DIE LINKE Erfurt,Ehrungsveranstaltung Luxemmburg / Liebknecht,Rosa-Luxemburg-Denkmal (Rosa-Luxemburg-Platz),2019-01-20 00:00:00,10.00 - 10.30 Uhr
17,2019-01-03 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismsus,Angerdreieck,2019-01-19 00:00:00,15.00 - 18.00 Uhr
18,2019-01-07 00:00:00,Bündnis Frauenkampftage Thüringen,"Frauenrechte, Gleichberechtigung aller Geschlechter, Frauenstreik",Aufzug Willy-Brandt-Platz --> Innenstadt--> Anger 1,2019-03-08 00:00:00,16.00 - 19.00 Uhr
19,2019-01-08 00:00:00,Brennessel e.V. - Zentrum gegen Gewalt an Frauen,One Billion Risisng,Angerdreieck,2019-02-14 00:00:00,16.30 - 18.30 Uhr 
20,2019-01-09 00:00:00,Seebrücke Erfurt,Solidarität statt Abschottung,Fischmarkt,2019-01-12 00:00:00,14.00 - 16.00 Uhr
21,2019-01-09 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit- gegen Rechtsextremismus,Donnerstagsdemos,Angerdreieck,"31.01.2019
07.02.2019

07.03.2019
28.03.2109
18.04.2019
16.05.2019
13.06.2019
11.07.2019
08.08.2019
05.09.2019
26.09.2019
24.10.2019","17.00 - 17.30 Uhr
17.00 - 18.00 Uhr

17.00 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr
17.30 - 18.30 Uhr"
22,2019-01-10 00:00:00,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (AbL),"Pressetermin zur Verabschiedung der Trecker, die aus Thüringen zur Landwirtschaftsdemo nach Berlin fahren",vor Thüringer Landtag,2019-01-17 00:00:00,09.30 - 11.00 Uhr
23,2019-01-13 00:00:00,Fridays for Future Thüringen,Fridays for Future - Klimastreik,Angerdreieck ,2019-01-18 00:00:00,11:00 -13:00 Uhr
24,2019-01-13 00:00:00,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr!",Aufzug: Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2019-01-25 00:00:00,18.30 - 20.00 Uhr
25,2019-01-21 00:00:00,Mehrwertstadt Erfurt,Geschäftsordnung des Stadtrates,Fischmarkt,2019-01-22 00:00:00,10.00 - 10.15 Uhr
26,2019-01-21 00:00:00,GEW Thüringen,# hermitmehr - Tarifrunde TV-L 2019,"Staatskanzlei, Regierungsstraße",2019-02-07 00:00:00,15:30 - 17:30 Uhr
27,2019-01-22 00:00:00,Albert Schweitzer Stiftung für unsere Welt,Mahnwache: Tierschutz/gegen Massentierhaltung,Angerdreieck (Maus und Elefantfiguren) bis Schlösserstraße 4,2019-02-02 00:00:00,13:00 - 16:00 Uhr
28,2019-01-23 00:00:00,Die PARTEI,"Ein ""Moppi"" für Erfurt",Fischmarkt,2019-01-26 00:00:00,11.00 - 12.00 Uhr
29,2019-01-25 00:00:00,AfD-Fraktion im Thüringer Landtag,Spaziergang gegen die Anholzung des Nordparks,Adalbertstraße --> Auenstraße --> Im Nordpark - Radweg in Richtung Karlstraße,2019-01-28 00:00:00,16.30 - 18.00 Uhr
30,2019-01-29 00:00:00,"Projektgruppe ""Erfurt im Nationalsozialismus"" beim DGB-Bildungswerk Thüringen e.V.",Erinnern heißt handeln. Mahngang Erfurt im Nationalsozialismus,Willy-Brandt-Platz --> Innenstadt --> Haus zum Regenbogen,2019-04-30 00:00:00,18.00 - 21.00 Uhr
31,2019-01-29 00:00:00,Feiwilliges PETA ZWEI Streetteam Weimar,Protest gegen die Vogelbörse (nicht artgerechter Verkauf und Haltung exotischer Vögel),Messe Erfurt,2019-02-16 00:00:00,12:00 - 14:00 Uhr
32,2019-01-29 00:00:00,Sprachcafe Erfurt,Diskriminierung von Migrant*innen & Geflüchteten durch die Ausländerbehörde + Probleme mit Ausstellung Elektr. Aufenthaltstitel,Willy-Brandt-Platz --> Bahnhofstraße --> Juri-Gagarin-Ring --> Bürgermeister-Wagner-Straße 1 (Bürgeramt - Kundgebung),2019-02-26 00:00:00,15.00 - 18.30 Uhr
33,2019-01-28 00:00:00,Frauen*streik Erfurt,"Frauen*streik - Wenn wir streiken, steht die Welt still",Angerdreieck,2019-03-08 00:00:00,13.00 - 16.00 Uhr
34,2019-01-31 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2019-02-16 00:00:00,15.00 - 18.00 Uhr
35,2019-01-31 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2019-03-16 00:00:00,15.00 - 18.00 Uhr
36,2019-02-04 00:00:00,Fridays for Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck,2019-02-08 00:00:00,12:00 - 14:00 Uhr
37,2019-02-04 00:00:00,Einzelperson,Kandidatenwahl Birgit Pelke,vor Anger 1,2019-05-02 00:00:00,12.00 - 18.00 Uhr
38,2019-04-01 00:00:00,CDU Erfurt,Europa- und Kommunalwahl 2019,vor Anger 1,2019-05-09 00:00:00,11.00 - 18.00 Uhr
39,2019-02-04 00:00:00,AfD Thüringen,Veranstaltung AfD zur Europawahl und Kommunalwahl,vor Anger 1,2019-05-18 00:00:00,12.00 - 18.00 Uhr 
40,2019-02-05 00:00:00,Aufstehen Erfurt,Aufstehen - Aktion Bunte Westen,Angerdreieck,2019-02-16 00:00:00,11.15 - 13.00 Uhr
41,2019-02-08 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck,2019-02-15 00:00:00,12.00 - 14.00 Uhr
42,2019-02-11 00:00:00,"BÜNDNIS 90/DIE GRÜNEN Kreisverband Erfurt, Grüne Jugend Erfurt","Mahnwache Stadtbäume - Stadtbäume retten, gegen weitere Baumfällungen-Natur in der Stadt schützen",Nordpark - Am Nordbad,2019-02-16 00:00:00,14.00 - 16.00 Uhr
43,2019-02-11 00:00:00,Animal Rights Watch e.V.,"Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiten, Jagen, Fischen"")",Platz vor der Messe,2019-03-30 00:00:00,11.00 - 14.00 Uhr
44,2019-02-11 00:00:00,Stadtbäume statt Leerräume,Denk-mal-mit - kein weiterer Kahlschlag für die BUGA,Peterstor Umrundung ehemaliger Paradeplatz,2019-02-15 00:00:00,16.00 - 17.00 Uhr
45,2019-02-12 00:00:00,SPD-Landerverband Thüringen,Europawahl 2019,vor Anger 1,2019-05-07 00:00:00,07.00 - 22.00 Uhr
46,2019-02-13 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Anger 1 --> Anger 9 (Aktionspodest Anger 9),2019-03-02 00:00:00,14.00 - 17.00 Uhr 
47,2019-02-14 00:00:00,Seebrücke Erfurt,free the ships,Angerdreieck --> Schlösserstraße --> Fischmarkt,2019-02-19 00:00:00,15.00 - 17.00 Uhr
48,2019-02-14 00:00:00,Landesfrauenrat Thüringen e.V.,"Frauenpolitischr Rundgang anlässlich des Equal Pay Day mit dem Motto ""WERTSACHE ARBEIT""",Frauenzentrum; Pergamentergasse --> Domplatz --> Marktstraße --> Fischmarkt (gegenüber Rauthaus),2019-03-18 00:00:00,16.30 - 18.00 Uhr
49,2019-02-18 00:00:00,Piraten Erfurt,"#SAVEYOURINTERNET#ARTIKEL13#
ZENSUR - Demo gegen Uploadfilter",Angerdreieck ,2019-03-23 00:00:00,14.30 - 20.00 Uhr
50,2019-02-22 00:00:00,Fridays For Future Erfurt,Fridays for Future - Klimastreik,Angerdreieck,2019-03-01 00:00:00,14.00 - 16.00 Uhr
51,2019-02-22 00:00:00,Einzelperson,Gelbwesten Thüringen - Gemeinsam,Willy-Brandt-Platz --> Angerdreieck,2019-03-24 00:00:00,11.00 - 15.00 Uhr
52,2019-02-22 00:00:00,Fridays For Future Thüringen,Fridays for Future - Klimastreik,Jürgen-Fuchs-Straße (vor Thüringer Landtag),2019-02-27 00:00:00,13.30 - 16.00 Uhr
53,2019-02-21 00:00:00,Deutscher Hanfverband - Ortsgruppe Erfurt,Keine Pflanze ist illegal - Cannabislegalisierung - Global Marijuana March,Willy-Brandt-Platz --> Angerdreieck,2019-05-04 00:00:00,14.00 - 19.00 Uhr
54,2019-02-22 00:00:00,Der III. Weg,Erfurt retten! - Ab in den Widerstand,Vilniusspassage,2019-03-01 00:00:00,16.00 -18.00 Uhr
55,2019-02-22 00:00:00,Der III. Weg,Erfurt retten! - Ab in den Widerstand,Berliner Platz,2019-03-22 00:00:00,16.00 - 18.00 Uhr
56,2019-02-22 00:00:00,Der III. Weg,Erfurt retten! - Ab in den Widerstand,Angerdreieck,2019-04-19 00:00:00,16.00 - 18.00 Uhr
57,22.02.2019 / 25.03.2019,Der III. Weg,"""Politik, Kultur und Gemeinschaft – Drei Säulen für unsere Stadt! Mit dem III. Weg in eine Deutsche Zukunft – Nicht nur Reden auch Handeln!",Wiesenhügel - Parkplatz Weißdornweg,2019-04-27 00:00:00,14.00 - 18.00 Uhr
58,2019-02-22 00:00:00,Der III. Weg,Erfurt retten! - Ab in den Widerstand,Fischmarkt,2019-05-25 00:00:00,10.00 - 22.00 Uhr
59,2019-02-25 00:00:00,tbb beamtenbund und tarifunion thüringen,Mittagspausenaktion im Rahmen der Einkommensrunde Länder,"Fläche zwischen Thüringer Finanzministerium und LFD Erfurt, Ludwig-Erhard-Ring",2019-02-27 00:00:00,11.30 - 13.30 Uhr
60,2019-02-27 00:00:00,European Initiative e.V.,Demonstration für christliche Werte,Willy-Brandt Platz,2019-03-17 00:00:00,14:00 - 18:00 Uhr
61,2019-02-27 00:00:00,Der III. Weg,Erfurt retten! - Ab in den Widerstand,Drosselberg,2019-04-05 00:00:00,16:00 - 18:00 Uhr
62,2019-02-27 00:00:00,Disco-Stammtisch (freier Zusammenschluss von mehreren Erfurter Veranstaltern),efkk - Erfurter Kulturkarawane - Schutz und Förderung von Erfurter Kulturräumen,"Domplatz (südlich)-->Domstraße-->
Mainzerhofplatz-->Holzheienstraße-->
Herrmansplatz-->Regierungsstraße-->
Lutherstraße-->Dalbergsweg-->
Walkmühlstraße-->Theaterstr.-->
Regierungsstraß-->Klostergang-->
Neuwerkstraße-->Anger-->Schlösserstraße-->
Fischmarkt-->Marktstraße-->Domplatz-->
Andreasstraße--> Moritzwallst-->
Schlüterstraße-->Magdeburger Allee-->
Ilversgehovener Platz",2019-05-19 00:00:00,11:00 - 14:00 Uhr
63,2019-02-27 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,Angerdreieck --> Rathaus-->Domplatz-->Staatskanzlei-->Angerdreieck,2019-03-15 00:00:00,12:00 - 16:00 Uhr
64,2019-02-26 00:00:00,"Jusos in der Stadt Erfurt 
ABGESAGT",Erfurt gegen 13 (Demo gegen Uploadfilter),Angerdreieck,2019-03-23 00:00:00,13:00 - 15:00 Uhr
65,2019-03-03 00:00:00,"BUND Thüringen e.V. - Stadtverband Erfurt

Abgesagt",Fukushima - Mahnwache,Angerdreieck,2019-03-11 00:00:00,17.30 - 19.30 Uhr
66,2019-03-05 00:00:00,Erfurt für ALLE,Gemeinsam gegen #Mietwahnsinn und Verdrängung,Fischmarkt,2019-04-06 00:00:00,10:00 - 13:00 Uhr
67,2019-03-05 00:00:00,European Initiative e.V.,Demonstration für christliche Werte,Anger (bei Maus und Elefand),2019-03-16 00:00:00,13:00 - 18:00 Uhr
68,2019-03-06 00:00:00,Netzwerk buntes Weimarer Land,Wir für Thüringen - kein Ort für Nazis,Thüringer Landtag,2019-03-28 00:00:00,15:00 - 17:00 Uhr
69,2019-03-05 00:00:00,Bürgerbewegung Erfurt zeigt Gesicht in Kooperation mit Bürgerbewegung PAX Europa e.V.,Aufklärung über den Islam und die Ahmadiyya-Gemeinde,Anger ,2019-05-04 00:00:00,14.00 - 18.00 Uhr
70,2019-03-11 00:00:00,Ver.di Thüringen,"Tarifverhandlungen Banken, Protestkundgebung",Eislebener Str. Ecke Magdeburger Allee vor IKK,2019-03-19 00:00:00,13:30 - 14:30 Uhr
71,2019-02-28 00:00:00,"Bündnis Auf die Plätze
Abgesagt",Die Rechten zu Fall bringen !,Fischmarkt,2019-05-25 00:00:00,15.00 - 19.00 Uhr
72,2019-03-07 00:00:00,DGB Thüringen,Europa jetzt aber richtig,Angerdreieck,2019-03-29 00:00:00,15.00 -18.00 Uhr
73,2019-03-08 00:00:00,DIE LINKE Erfurt,Europa entdecken - Wahlkampf,Ilversgehovener Platz,2019-04-13 00:00:00,14.00 - 18.30 Uhr
74,2019-03-15 00:00:00,Linksjugend [`solid] SDS Erfurt,Den Altnazis keinen Quadratmeter!,Berliner Platz,2019-03-22 00:00:00,16.00 - 18.00 Uhr
75,2019-03-13 00:00:00,Der III. Weg ,Erfurt retten! - Ab in den Widerstand- Von der Straße ins Parlament!,Bürgermeister-Wagner-Straße 1 (vor Bürgeramt),25.03.2019 - 29.03.2019,"09.00 - 12.30 Uhr
09.00 - 18.00 Uhr
09.00 - 12.30 Uhr
09.00 - 18.00 Uhr
09.00 - 12.30 Uhr
"
76,2019-03-18 00:00:00,Critical Mass Erfurt,"Verkehrspolitische Radtour - Wir behindern nicht den Verkehr-wir sind der Verkehr, Radschnellweg Heinrichstraße",Willy-Brandt-Platz --> Innenstadt --> Fischmarkt,2019-03-29 00:00:00,18.30 - 20.30 Uhr
77,2019-03-18 00:00:00,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland (AbL),Du hast die Wahl: Bauern und Bäuerinnen mobilisieren zur Landtagswahl,Domplatz --> Lange Brücke --> Regierungsstraße --> Anger 1,2019-09-28 00:00:00,11.00 - 16.00 Uhr 
78,2019-03-21 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,"Marktstraße 3 bis Marktstraße / Große Arche und die gegenüberliegende Straßenseite, Aktionspodest Höhe Marktstraße 5",2019-03-27 00:00:00,15.00 - 18.00 Uhr
79,2019-03-21 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,"Krämerbrücke 33 bis Höhe Fischmarkt 17, Aktionspodest Höhe Benediktsplatz 1",2019-04-06 00:00:00,14.00 - 17.30 Uhr
80,2019-03-22 00:00:00,Einzelperson,"Mein Name ist Voss, ich weiß noch nichts",vor Anger 1,2019-03-24 00:00:00,12:30 - 13:45 Uhr
81,2019-03-22 00:00:00,Ostermarschbündnis Erfurt,Nein zum Krieg-abrüsten statt aufrüsten,Fläche vor Anger 1 bis Mc Donald,2019-04-18 00:00:00,14.00 - 18.00 Uhr
82,2019-03-26 00:00:00,Einzelperson,Tag der Befreiung - wer nicht feiert hat verloren!,Aufzug Willy-Brandt-Platz --> Innenstadt --> Angerdreieck,2019-05-08 00:00:00,17.00 - 22.00 Uhr
83,2019-03-27 00:00:00,DGB Thüringen,1. Mai 2019 – Tag der Arbeit,"Beethovenpark, Jürgen-Fuchs-Straße",2019-05-01 00:00:00,06:00 - 20:00 Uhr
84,2019-03-27 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,vor Anger 1,2019-03-29 00:00:00,14:00 - 16:00 Uhr
85,2019-03-28 00:00:00,Der III. Weg ,Erfurt retten! - Ab in den Widerstand- Von der Straße ins Parlament!,Bürgermeister-Wagner-Straße 1 (vor Bürgeramt),"01.04.2019
03.04.2019
05.04.2019","09.00 - 12.30 Uhr
09.00 - 12.30 Uhr
09.00 - 12.30 Uhr
"
86,2019-04-01 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,Angerdreieck,2019-04-05 00:00:00,14.00 - 16.00 Uhr
87,2019-03-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Willy-Brandt-Platz,2019-04-20 00:00:00,15.00 - 18.00 Uhr
88,2019-03-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Wenigemarkt,2019-05-18 00:00:00,15.00 - 18.00 Uhr
89,2019-04-02 00:00:00,DIE PARTEI Erfurt,Für und Wider der Sammlung von Unterstützerunterschriften für Kleinparteien,Willy-Brandt-Platz,2019-04-02 00:00:00,15.00 - 18.00 Uhr
90,2019-03-28 00:00:00,AfD Thüringen,,vor Anger 1,2019-05-03 00:00:00,10.00 - 18.00 Uhr
91,2019-04-02 00:00:00,DIE PARTEI Erfurt,Für und Wider der Sammlung von Unterstützerunterschriften für Kleinparteien,vor Anger 1,2019-04-04 00:00:00,09.00 - 18.00 Uhr
92,2019-04-02 00:00:00,Einzelperson,"Alles muss man selber machen - feministisch, solidarisch, klimagerecht gegen den Wahlkampfauftakt der AfD",Aufzug Staatskanzel --> Beethovenplatz,2019-05-01 00:00:00,08.30 - 14.00 Uhr
93,2019-04-03 00:00:00,BÜNDNIS 90/Grüne Kreisverband Erfurt,Demonstration Mahnwache Stadtbäume Teil 2,Fischmarkt,2019-04-10 00:00:00,15.30 - 17.30 Uhr
94,2019-04-06 00:00:00,Die Partei Erfurt,Für und Wider der Sammlung von Unterstützerunterschrift für Kleinpartein,"Bahnhofstraße 7, vor Reglerkirche",2019-04-09 00:00:00,12:00 - 18:00 Uhr
95,2019-04-03 00:00:00,Internationalistische Liste / MLPD,Wahlkampfauftakt zur Landtagswahl,Angerdreieck,2019-08-17 00:00:00,13.00 - 18.00 Uhr
96,2019-04-08 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,Angerdreieck --> Fischmarkt --> Wenigemarkt --> Angerdreieck,2019-04-12 00:00:00,14.00 - 16.00 Uhr
97,2019-04-09 00:00:00,Die Partei Erfurt,Für und Wider der Sammlung von Unterstützerunterschrift für Kleinpartein,"Bahnhofstraße 7, vor Reglerkirche",2019-04-11 00:00:00,13.00 - 18.00 Uhr
98,2019-04-11 00:00:00,Critical Mass Erfurt,Forderung nach mehr Rücksicht für Radfahrer im Straßenverkehr und Ausbau der Radverkehrsanlagen,Willy-Brandt-Platz --> Stadtgebiet --> Fischmarkt,2019-04-26 00:00:00,18.30 - 20.30 Uhr
99,2019-04-11 00:00:00,Die Partei Erfurt,Für und Wider der Sammlung von Unterstützerunterschrift für Kleinpartein,"Bahnhofstraße 7, vor Reglerkirche",2019-04-16 00:00:00,12.00 - 18.00 Uhr
100,2019-04-07 00:00:00,Einzelperson,Europawahlkampf,vor Anger 1,2019-05-11 00:00:00,14.00 - 18.00 Uhr
101,2019-04-07 00:00:00,Einzelperson,Europawahlkampf,Im Mittelfelde / In der Hochstedter Ecke,2019-05-24 00:00:00,13.00 - 14.30 Uhr
102,2019-04-07 00:00:00,Einzelperson,Europawahlkampf,Angerdreieck,2019-05-24 00:00:00,15.30 - 19.00 Uhr
103,2019-04-13 00:00:00,Der III. Weg ,Erfurt retten! - Ab in den Widerstand- Von der Straße ins Parlament!,vor Bürgeramt ,15.04.2019 - 18.04.2019,
104,2019-04-15 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,Angerdreieck --> Willy-Brandt-Platz,2019-04-26 00:00:00,18.00 - 18.30 Uhr
105,2019-04-17 00:00:00,Die Partei Erfurt,Für und Wider der Sammlung von Unterstützerunterschrift für Kleinparteien,"Bahnhofstraße 7, vor Reglerkirche",2019-04-18 00:00:00,10.00 - 16.00 Uhr
106,2019-04-16 00:00:00,Die Partei Erfurt,Für und Wider der Sammlung von Unterstützerunterschrift für Kleinparteien,"Bahnhofstraße 7, vor Reglerkirche",2019-04-17 00:00:00,10.00 - 13.00 Uhr
107,2019-04-17 00:00:00,Seebrücke Erfurt,Seebrücke Proteststaffel,vor Anger 1,2019-05-16 00:00:00,10.00 - 21.00 Uhr
108,2019-04-23 00:00:00,Die Partei Erfurt,1. Mai -Tag der Arbeiterklasse,Erfurt Juri-Gagarin - Ring,2019-05-01 00:00:00, 09.00-12.00 Uhr
109,2019-04-20 00:00:00,Grüne Jugend Thüringen,solidarisches Europa - deine Hand für unsere Zukunft,Wenigemarkt,2019-04-24 00:00:00,17.00-19.00 Uhr
110,2019-04-20 00:00:00,Bund Thüringen e.V. Stadtverband Erfurt,Tschernobyl-Mahnwache 26.04.2019,Angerdreieck,2019-04-26 00:00:00,18:00-19:00 Uhr
111,2019-04-18 00:00:00,"Bürgerinitative ""Oberes Schwarzatal"" Katzhütte ",Protest gegen die Herausnahme von Katzhütte aus dem Gemeindeneugliederungsgesetz 2019,Jürgen-Fuchs-Straße (vor Thüringer Landtag),2019-05-09 00:00:00,14:00 -15:30 Uhr
112,2019-04-15 00:00:00,SPD-Kreisverband Erfurt,Europawahlkampf 2019,"Eislebener Str. 8, Bürgerpark Eislebener Str.",2019-04-27 00:00:00,10:00 - 11:30 Uhr
113,2019-04-15 00:00:00,SPD-Kreisverband Erfurt,Europawahlkampf 2019,vor Anger 1,2019-04-27 00:00:00,13:00 - 14:30 Uhr
114,2019-04-15 00:00:00,SPD-Kreisverband Erfurt,Europawahlkampf 2019,"Regierungsstraße 73, Hirschgarten ggü. Staatskanzlei",2019-04-27 00:00:00,16:00 - 17:30 Uhr
115,2019-04-23 00:00:00,Frauenverband Courage,Werbung für den Frauenpolitischen Ratschlag im November in Erfurt / Vorstellung Frauenverband Courage,Angerdreieck,2019-06-22 00:00:00,11:00-17:00 Uhr
116,2019-04-29 00:00:00,Grüne Jugend Thüringen,The seas are rising. So are we! - die Klimakrise wartet nicht,Angerdreieck,2019-05-03 00:00:00,15:30 - 17:30 Uhr
117,2019-04-29 00:00:00,Fridays For Future Erfurt,Fridays for Future Klimastreik,Angerdreieck,2019-05-10 00:00:00,14:00 - 16:00 Uhr
118,2019-04-29 00:00:00,Gemeinschaft Erfurter Carneval von 1991 e.V.,"Pro Karnevalsumzug, pro Brauchtum, pro Vielfalt",Fischmarkt,2019-05-22 00:00:00,16.00 - 19.00 Uhr
119,2019-05-02 00:00:00,AIDS-Hilfe Thüringen e.V.,Gedenkveranstaltung,Domplatz (Steinspur),2019-11-04 00:00:00,15.30 - 18.30 Uhr
120,2019-05-03 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!",Kerspleben Ecke Zur Weißen Scheune / Kersplebener Chausee,2019-05-12 00:00:00,14.00 - 15.00 Uhr
121,2019-05-03 00:00:00,Der III. Weg,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Drosselberg, Vilniuspassage, Hochheim, Magdeburger Allee, Angerdreieck",2019-05-13 00:00:00,09.00 - 18.00 Uhr
122,2019-05-03 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Melchendorfer Markt, Berliner Platz, Marbach, Leipziger Platz, Fischmarkt",2019-05-14 00:00:00,09.00 - 18.00 Uhr
123,2019-05-03 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Wiesenhügel, Moskauer Straße, Bindersleben, Europaplatz, Domplatz",2019-05-15 00:00:00,09.00 - 18.00 Uhr
124,2019-05-03 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Abzweig Wiesenhügel, Thüringenpark, Bischleben, Egstedt, Anger 1",2019-05-16 00:00:00,09.00 - 18.00 Uhr
125,2019-04-16 00:00:00,Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,Gedenkveranstaltung aus Anlass des 74. Jahrestages der Befreiung vom Hitlerfaschismus,Erfurter Hauptfriedhof,2019-05-08 00:00:00,10.00 - 11.00 Uhr
126,2019-05-04 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Linderbach, Azmannsdorf, Vieselbach, Gothaer Platz, Willy-Brandt-Platz",2019-05-17 00:00:00,09.00 - 18.00 Uhr
127,2019-05-04 00:00:00,Der III. Weg ,"Es wird Zeit den III.Weg zu wählen! - Politik, Kultur und Gemeinschaft - Drei Säulen unserer Stadt!","Drosselberg, Vilniuspassage, Hochheim, Magdeburger Allee, Angerdreieck",2019-05-19 00:00:00,09.00 - 18.00 Uhr
