Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzuggstrecke,Datum der Versammlung,Uhrzeit der Versammlung
24.0,2015-11-12,Deutscher Falun Dafa Verein,Menschenrechte in China Verfolgung von Falun Dafa,Fischmarkt,2016-10-29 00:00:00,10:00 – 18:00 Uhr
24.0,2015-11-12,Deutscher Falun Dafa Verein,"Menschenrechte in China , Verfolgung von Falun Dafa",Fischmarkt,2016-11-12 00:00:00,10:00 – 18:00 Uhr
25.0,2015-11-09,SOKA Freunde Thüringen e.V.,"Erst kennenlernen, dann urteilen, denn jedes Hundeproblem  hat 2 Beine",Auftaktkundgebung: Domplatz,2016-06-25 00:00:00,13:00 – 16:00 Uhr
,,,,Domplatz à Allerheiligenstraße à Michaelisstraße à Rathausbrücke à Meienbergstraße à Kaufmannskirche à Anger à Hirschgarten à Neuwerkstraße à Lange Brücke à Domplatz ,,
26.0,2015-11-06,DGB Bezirk Hessen-Thüringen,"Mitmenschlich in Thüringen–Bündnis für ein Thüringen der Demokratie, Vielfalt und Mitmenschlichkeit",Domplatz,2016-11-09 00:00:00,16:00 – 22:00 Uhr
27.0,2015-12-23,Einzelperson,Gegen Rassismus,Angerdreieck (Haltestelle),2016-01-13 00:00:00,20:00 – 23:00 Uhr
28.0,2016-01-05,Europäische Aktion Thüringen ,8. Mai Wir feiern nicht ! Alliierte Kriegsverbrechen,Anger 1 (Aufzug),2016-05-08 00:00:00,10.00 – 20.00 Uhr
29.0,2016-01-06,DIE LINKE Erfurt,Ehrung Rosa Luxemburg und Karl Liebknecht,Rosa-Luxemburg-Platz,2016-01-17 00:00:00,09.00 – 11.00 Uhr
30.0,2016-01-08,Jusos in der SPD,Auf die Plätze fertig: Mittwoch! – Für ein bedingungsloses Bleiberecht,Aufzug Willy-Brandt-Platz à Domplatz und zurück,2016-01-13 00:00:00,17.30 – 21.00 Uhr
31.0,2016-01-12,DGB Region Thüringen,Gedenken an die Opfer des Nationalsozialismus,Willy-Brandt-Platz à Domplatz,2016-01-27 00:00:00,17.00  - 20.30 Uhr
32.0,2016-01-09,Animal Rights Watch e.V.,Nein zum Pelzhandel in Erfurt,Platz vor Breuninger (Schlösserstraße / Junkersand),2016-01-30 00:00:00,13.30 – 15.30 Uhr
33.0,2016-01-12,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,Aufzug Juri-Gagarin-Ring à Landtag,2016-02-24 00:00:00,19.00 – 21.00 Uhr
34.0,2016-01-12,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,Aufzug Juri-Gagarin-Ring à Landtag,2016-03-16 00:00:00,19.00 – 21.00 Uhr
35.0,2016-01-14,Einzelperson,Solidarität mit den Opfern von Übergriffen in Köln und deren Familien,Fischmarkt,2016-01-23 00:00:00,13.00 – 14.00 Uhr
37.0,2016-01-14,Erfurter Bündnis für soziale Gerechtigkeit,"""Mahnwache für soziale Gerechtigkeit""",Angerdreieck,2016-01-18 00:00:00,17.00 – 17.30 Uhr
,,,,,,
,,,"""Mahnwache für soziale Gerechtigkeit"" ",,2016-01-21 00:00:00,17.00 – 17.30 Uhr
,,,,,,
,,,"""Was kommt 2016 auf unseren Geldbeutel zu"" ",,2016-01-28 00:00:00,17.00 – 18.00 Uhr
,,,,,,
,,,"""Mahnwache für soziale Gerechtigkeit""",,2016-02-04 00:00:00,17.00 – 17.30 Uhr
,,,,,,
,,,"""Bundeswehr – kein Ausweg für junge Hartz-IV-Empfänger""",,2016-02-11 00:00:00,17.00 – 18.00 Uhr
,,,,,,
,,,,,,
38.0,2016-01-26,Critical Mass Erfurt,"Wir verhindern nicht den Verkehr, wir sind der Verkehr, verkehrspolitische Radtour",Willy-Brandt-Platz à Fischmarkt,2016-02-04 00:00:00,18.30 – 20.30 Uhr
39.0,2016-01-26,AfD – Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,Aufzug Domplatz à Staatskanzlei     ABGESAGT,2016-04-13 00:00:00,19.00 – 21.00 Uhr
40.0,2016-01-28,Bündnis für Erhalt der Kommunalen Selbstverwaltung,Kreis / Gebietsreform / Kommunaler Finanzaus-gleich,Vor Thüringer Landtag,2016-02-25 00:00:00,15.00 – 17.00 Uhr
41.0,2016-01-29,Erfurter Bündnis für soziale Gerechtigkeit – Gegen Rechtsextremismus,Donnerstagsdemonstrationen,Angerdreieck,18.02. – 08.09.2016,17.00 – 18.30 Uhr
42.0,2016-02-03,Kulturverein Mesopotamien e.V.,Menschenrechtslage in Südosten /Türkei,Thüringer Landtag,2016-02-11 00:00:00,15.00 – 16.00 Uhr
43.0,2016-02-05,Landesarbeitsgemeinschaft der Thüringer Frauenhäuser,"40 Jahre Autonome Frauenhäuser ""Frauenhausfinanzierung sichern und Gewalt gegen Frauen beenden""",Angerdreieck,2016-03-03 00:00:00,11.00 – 15.00 Uhr
44.0,2016-02-05,Stadtratsfraktion BÜNDNIS 90 / DIE GRÜNEN,Vielfalt belebt die Demokratie,Fischmarkt,2016-03-16 00:00:00,17.00 – 21.00 Uhr
45.0,2016-02-05,Animal Rights Watch e.V.,Mord ist ihr Hobby,Angerdreieck,2016-03-19 00:00:00,12.15 – 16.00 Uhr
46.0,2016-02-05,Animal Rights Watch e.V.,Mord ist ihr Hobby,Platz vor der  Messe ,2016-03-19 00:00:00,10.00 – 11.30 Uhr
47.0,2016-02-06,Bürgerrechtsbewegung Solidarität (BüSo),Statt Weltkrieg mit der Nato: Zusammenarbeit mit BRICS-Staaten,"Postbank Finanzcenter, Höhe Eingang Anger 66 – 73",2016-02-09 00:00:00,10.30 – 16.30 Uhr
,,,,ABGESAGT,,
48.0,2016-02-09,Jugendwerk der AWO,"Wir können was dafür, wenn wir nichts dagegen tun",Aufzug Willy-Brandt-Platz à Anger,2016-02-24 00:00:00,18.00 – 21.00 Uhr
49.0,2016-02-09,"DGB, Region Thüringen",Equal Pay Day – Berufe der Zukunft,Fischmarkt,2016-03-14 00:00:00,14.30 – 17.00 Uhr
50.0,2016-02-11,Kulturverein Mesopotamien e.V.,Freiheit für Herrn Öcalan,Aufzug Weimarstraße à Thüringer Landtag,2016-02-11 00:00:00,13.30 – 18.00 Uhr
51.0,2016-02-10,Linksjugend [solid] SDS Erfurt,We don`t fight for flowers. Still loving feminism goes to radio,Hirschgarten,2016-03-08 00:00:00,14.00 – 18.00 Uhr
52.0,2016-02-12,Ver.di Thüringen,Refugees welcome – Bannmeile gegen Hetze und Rassismus,Schillerstraße 44,2016-02-24 00:00:00,17.30 – 22.00 Uhr
53.0,2016-02-17,Einzelperson,"""Yes! WE CARE!"" ",Angerdreieck,2016-03-12 00:00:00,14.00 – 17.00 Uhr
54.0,2016-02-16,Deutsches Tierschutzbüro e.V.,Billigfleisch in Discountern,Eislebener Straße 4,2016-03-15 00:00:00,12.00 – 18.00 Uhr
55.0,2016-02-22,Jusos Thüringen,"""Still lovin feminism goes Radio""",Rathausbrücke / Benediktsplatz ,2016-03-08 00:00:00,13.00 – 18.30 Uhr
56.0,2016-02-24,Ver.di,Frauentag 2016,Fischmarkt,2016-03-08 00:00:00,15.30 – 18.00 Uhr
57.0,2016-02-26,Kreiselternvertretung,Erhalt der Schulhorte,Fischmarkt,2016-03-02 00:00:00,16.00 – 17.30 Uhr
58.0,2016-02-25,Deutscher Haut Verband,Global Merijuana March – Die Zeiten ändern sich / Legalisierung von Cannabis,Willy-Brandt-Platz à Anger 1 à Willy-Brandt-Platz,2016-05-07 00:00:00,14.00 – 19.00 Uhr
59.0,2016-02-25,Stadt Weimar,Weimar-Freiheit-Lieben,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2016-04-21 00:00:00,08.00 – 16.00 Uhr
60.0,2016-03-01,BUND Erfurt e.V.,Fukushima Mahnwache,Angerdreieck,2016-03-11 00:00:00,17.30 – 19.00 Uhr
61.0,2016-03-03,IG Metall Erfurt,"Tarifbewegung für die Metall- und Elektroindustrie Thüringens ""Wir für mehr""",Meienbergstraße vor Mercure-Hotel (Straße),2016-03-22 00:00:00,08.00 – 11.30 Uhr
62.0,2016-03-08,Kreiselternvertretung,Erhalt der Grundschulhorte,Regierungsstraße 73,2016-03-14 00:00:00,18.00 – 19.30 Uhr
63.0,2016-03-09,Erfurt lacht,"Gegen Rassismus – für ein buntes, tolerantes, lachendes Erfurt; für Vielfalt und Weltoffenheit",Hirschgarten,2016-03-16 00:00:00,17.00 – 19.00 Uhr
64.0,2016-03-09,Einzelperson,Feiern des Newroz Fest,Aufzug Anger à Domplatz,2016-03-18 00:00:00,16.30 – 21.00 Uhr
65.0,2016-03-10,Verein Ukrainische Landsleute in Thüringen e.V.,"Gegen den Putin, gegen den Krieg",Anger (vor Lutherdenkmal),2016-03-19 00:00:00,16.30 – 18.30 Uhr
66.0,2016-03-10,AfD Thüringen,Thüringen und Deutschland dienen – Asylchaos beenden!,Willy-Brandt-Platz à Anger,2016-04-13 00:00:00,19.00 – 21.00 Uhr
,,,,ABGESAGT,,
67.0,2016-03-14,JUSOS in der SPD Erfurt,"Wir können was dafür, wenn wir nichts dagegen tun",Willy-Brandt-Platz à Schillerstraße à Kaffeetrichter à Willy-Brandt-Platz à Anger,2016-03-16 00:00:00,17.45 – 21.00 Uhr
68.0,2016-03-14,dbb und tarifunion,Einkommensrunde TVöD 2016,Fischmarkt,2016-04-06 00:00:00,11.30 – 14.00 Uhr
69.0,2016-03-17,Einzelpersonen,Stoppt die Kriegstreiber Amerika und Türkei ! usw.,Aufzug Willy-Brandt-Platz à Löberstraße ,2016-06-04 00:00:00,12.00 – 18.30 Uhr
70.0,2016-03-15,Thüringer Bauernverband e.V.,Lebensmittel sind mehr wert. Wir machen Euch satt… Darstellung Differenz Erzeuger-/Verbraucherpreis,Anger (vor Anger 1),2016-03-23 00:00:00,11.30 – 15.30 Uhr
71.0,2016-03-21,Die Rechte Mittelthüringen,Tradition verpflichtet – Kapitalismus zerschlagen!,Anger (Am Angerbrunnen) à Bahnhofstraße à Willy-Brandt-Platz,2016-03-26 00:00:00,15.00 – 18.00 Uhr
72.0,2016-03-17,Ver.di Thüringen,Befristung – da spielen wir nicht mit.,Anger (vor Hugendubel),2016-05-13 00:00:00,15.00 – 18.00 Uhr
,,ABGESAGT,,,,
73.0,2016-03-29,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr",Aufzug Willy-Brandt-Platz à Fischmarkt,2016-04-07 00:00:00,18.30 – 20-.30 Uhr
74.0,2016-04-04,Jusos in der SPD,Gemeinsam gegen Rechts!,Domplatz,2016-05-04 00:00:00,18.00 – 21.00 Uhr
,,,,ABGESAGT,,
75.0,2016-03-31,Erfurter Rollrunde e.V.,Spass am Rollen-Bahn frei für alternative Fortbewegungsmittel und Rollsportarten,Aufzug Willy-Brandt-Platz à Lauentor,2016-06-11 00:00:00,12.00 – 13.00 Uhr
76.0,2016-04-08,Ver.di,Mittagspausenaktion anl. Tarifrunde 2016,Andreasstraße 38a,2016-04-11 00:00:00,11.30 – 13.00 Uhr
77.0,2016-04-08,DKP,"8. Mai 1945 Tag der Befreiung, Nie wieder Faschismus, Nie wieder Krieg",Juri-Gagarin-Ring / Bahnhofstraße,2016-05-08 00:00:00,09.00 – 20.00 Uhr
,,,,ABGESAGT ,,
78.0,2016-04-08,Anti-Atom-Bündnis Erfurt,Tschernobyl Mahnwache,Angerdreieck,2016-04-26 00:00:00,16.00 – 20.00 Uhr
79.0,2016-04-11,DGB Jugend,71. Jahrestag der Befreiung vom Hitlerfaschismus,Angerdreieck,2016-05-08 00:00:00,09.00 – 20.00 Uhr
80.0,2016-04-12,Die PARTEI Landesverband Thüringen,1. Mai Tag der Arbeiterklasse,Juri-Gagarin-Ring / Höhe Neue Synagoge,2016-05-01 00:00:00,09.00 – 12.00 Uhr
