Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzuggstrecke,Datum der Versammlung,Uhrzeit der Versammlung
130.0,2016-07-25,Kulturverband Mesopotamien e.V.,Für die gefallenen Opfer im Namen Kurdistans,Aufzug Anger à Domplatz,2016-07-30 00:00:00,15.00 – 18.30 Uhr
131.0,2016-07-22,"Greenpeace Ilmenau, Greenpeace Erfurt, Greenpeace Jena",Ceta – TTIP,vor Anger 1,2016-07-30 00:00:00,11.00 – 17.00 Uhr
132.0,2016-07-25,Critical Mass Erfurt,Verkehrspolitische Radtour ,Willy-Brandt-Platz à Fischmarkt,2016-08-04 00:00:00,18.30 – 20.00 Uhr
133.0,2016-07-27,Die Rechte Mittelthüringen,Deutsche Familien zuerst – Gemeinsam gegen soziale Ungerechtigkeit,Marktplatz Drosselberg,2016-07-30 00:00:00,10.00 – 11.00 Uhr
134.0,2016-08-08,Kulturverein Mesopotamien e.V.,Isolationshaft vom türkischen Staat zu A. Öcalan,Aufzug Domplatz à Anger 1,2016-08-06 00:00:00,14.00 – 18.00 Uhr
135.0,2016-08-05,Elterninitiative gegen Kitagebühren,Kita-Gebühren,Fischmarkt,2016-08-18 00:00:00,16.30 – 18.30 Uhr
136.0,2016-08-04,"BUND Thüringen, Stadtverband Erfurt",Eröffnung der Mobilitätswoche in Erfurt,Angerdreieck,2016-09-16 00:00:00,16.00 – 18.00 Uhr
137.0,2016-08-10,Aktionsbündnis zur europäischen Woche der Mobilität in Erfurt,PARK(ing) DAY: Lebenswerte Städte durch Straßen für Menschen,Parkplätze in der Moritzstraße zwischen GroßerAckerhofsgasse und Augustinerstraße,2016-09-17 00:00:00,10.00 – 16.00 Uhr
138.0,2016-08-16,Kulturverein Mesopotamien e.V.,Isolationshaft des türkischen Staates gegen Herrn Öcalan,Willy-Brandt-Platz ,2016-08-18 00:00:00,15.00 – 16.30 Uhr
139.0,2016-08-15,Animal Rights Watch e.V.,Zirkus ja! Aber bitte ohne Tiere,"Werner-Seelenbinder-Straße, Platz vor Zirkus",2016-08-27 00:00:00,15.00 – 16.15 Uhr
,,,,,,18.00 – 19.15 Uhr
140.0,2016-08-17,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr- wir sind der Verkehr,Willy-Brandt-Platz à Fischmarkt,2016-09-01 00:00:00,18.30 – 20.30 Uhr
141.0,2016-08-22,Kulturverein Mesopotamien e.V.,Bombenattentat Gaziantep,Willy-Brandt-Platz,2016-08-22 00:00:00,19.00 – 20.00 Uhr
142.0,2016-08-25,AfD Thüringen,Ohne,Willy-Brandt-Platz à Landtag,2016-09-21 00:00:00,19.00 – 21.00 Uhr
143.0,2016-08-30,Thüringer Verband der Verfolgten des Naziregimes / Bund der Antifaschisten ,Gedenkstunde mit Kranzniederlegung für die Opfer des Faschismus,Hauptfriedhof Ehrenhain,2016-09-11 00:00:00,10:00  -10:45 Uhr
144.0,2016-09-01,Erfurter Bündnis für soziale Gerechtigkeit gegen Rechtsextremismus,Was bringt uns die Industrie4.0,Angerdreieck,2016-09-15 00:00:00,17-18:00 Uhr
,,,Mahnwache für soziale Gerechtigkeit,,2016-09-22 00:00:00,
,,,Kinder sind unsere Zukunft,,2016-09-29 00:00:00,
,,,Mahnwache für soziale Gerechtigkeit,,2016-10-06 00:00:00,
,,,NSU und rechtsextremistische Umtriebe,,2016-10-13 00:00:00,
,,,Mahnwache für soziale Gerechtigkeit,,2016-10-20 00:00:00,
,,,Spielt das Klima verrückt?,,"27,10.2016",
,,,Mahnwache für soziale Gerechtigkeit,,2016-11-03 00:00:00,
,,,Zur Reichsprogromnacht,,2016-11-10 00:00:00,
,,,Manwache für soziale Gerechtigkeit,,2016-11-17 00:00:00,
145.0,2016-08-31,Erfurter Rollrunde e.V.,"Europäische Woche der Mobilität. Change, Choose und Combine, Wechsel, Wähle und Kombiniere","Hauptbahnhof, Bürgermeister-Wagner-Straße, Juri-Gagarin-Ring, Löberstraße, Schillerstraße, Staufenbergallee, Trommsdorfstraße, Juri-Gagarin-Ring, Johannesstraße, Talstraße, Auenstraße Moritzstraße, Weiße Gasse (ZW) Andreasstraße, Lauentor, Maximilian-Welsch-Straße",2016-09-18 00:00:00,13:00-14:30
146.0,2016-09-05,Einzelperson,Auf die Plätze fertig Mittwoch! Für ein bedingungsloses Bleiberecht für alle!,"Schmidtstedter Tor, Schillerstraße, Windhorststraße, Johann-Sebastian-Bach-Straße, Zwischenkundgebung Höhe Verwaltsturm Landtag mit Kulturprogramm, gleicher Rückweg",2016-09-21 00:00:00,18:00-22:00
147.0,2016-09-05,Piratenpartei Deutschland Landesverband Thüringen,"Einigkeit, Recht und Freiheit",Domplatz (Räumlich vor den Domstufen),2016-11-09 00:00:00,18:00-21:00
148.0,2016-09-14,Die Rechte Thüringen,Heimat erhalten – Familien fördern – Zukunft gestalten,Angerdreieck,2016-09-17 00:00:00,10.00 – 11.00 Uhr
149.0,2016-09-15,Foundation of our Development e.V.,Essensverschwendung als Problem für Entwicklung und Frieden,Angerdreieck,2016-09-18 00:00:00,19.15 – 21.00 Uhr
150.0,2016-09-08,"Thüringer Landesverband ""Energiewende mit Vernunft"" e.V.",Stop weiterer Ausbau Windkraft in Thüringen,"Vor Thüringer Landtag, Jürgen-Fuchs-Straße 1",2016-09-29 00:00:00,15.00 – 17.00 Uhr
151.0,2016-09-16,Bürgerallianz Thüringen gegen überhöhte Kommunalabgaben e.V.,"Mahnwache ""Abschaffung Straßenausbaubeiträge""","Vor Thüringer Landtag, Jürgen-Fuchs-Straße 1",2016-09-29 00:00:00,16.00 – 17.00 Uhr
152.0,2016-08-19,Einzelperson,Von Ungeziefer und Kornblumen,Hirschgarten,2016-10-06 00:00:00,12.00 – 22.00 Uhr
153.0,2016-09-21,AfD Thüringen,Grenzen schützen – soziale Sicherheit schaffen,Aufzug Willy-Brandt-Platz à Thüringer Landtag,2016-10-26 00:00:00,19.00 – 21.00 Uhr
154.0,2016-09-22,Auf die Plätze Bündnis,Auf die Plätze / Stopp die AfD / one year ago,Aufzug Willy-Brandt-Platz à Landtag,2016-10-26 00:00:00,18.00 – 22.00 Uhr
155.0,2016-09-26,Syrische Gemeinschaft Thüringen e.V.,Frieden in Syrien,Vor Anger 1,2016-09-30 00:00:00,15.00 – 18.00 Uhr
156.0,2016-09-26,Critical Mass Erfurt,Wir behindern nicht den Verkehr – wir sind der Verkehr,Willy-Brandt-Platz à Fischmarkt,2016-10-06 00:00:00,18.30 – 20.30 Uhr
157.0,2016-09-30,DGB Jugend Erfurt,Auf die Plätze fertig Mittwoch! Für ein bedingungsloses Bleiberecht für alle!,Aufzug Schillerstraße à Johann-Sebastian-Bach-Straße à Willy-Brandt-Platz,2016-10-26 00:00:00,18.00 – 22.00 Uhr
158.0,2016-09-29,Brennessel e.V.,Internationaler Tag gegen Gewalt an Frauen – Gedenken der Opfer,Fischmarkt,2016-11-25 00:00:00,16.30 – 18.30 Uhr
159.0,2016-09-30,Arbeitsgemeinschaft bäuerliche Landwirtschaft Mitteldeutschland,Anregung des Synodalen zur kritischen Hinterfragung der Kriterien zur Verpachtung von Kirchenland,Vor Michaeliskirche,2016-11-16 00:00:00,09.00 – 13.00 Uhr
160.0,2016-10-10,Dilo Tütkü für den Kulturverein Mesopotamien e.V.,Protest gegen die türkische Regierung,Will-Brandt-Platz,2016-10-10 00:00:00,14:00 – 15:30 Uhr
161.0,2016-10-09,Animal Rights Watch e.V.,Nein zum Pelzhandel in Erfurt,Platz vor Breuninger (Schlösserstraße / Junkersand),2016-11-05 00:00:00,14.00 – 16.00 Uhr
162.0,2016-10-10,"Bündnis Auf die Plätze, fertig, Mittwoch","Auf die Plätze, kein Bock auf rechte Hetze",Johann-Sebastian-Bach-Straße ,2016-11-16 00:00:00,18.00 – 21.00 Uhr
,,AGESAGT ,,,,
163.0,2016-10-14,Ver.di Fachbereich 9,Tarifrunde IBM 2016,Parsevalstraße 8,2016-10-19 00:00:00,11:30 – 13:00 Uhr
,,,,,,
164.0,2016-10-16,Einzelperson,Tanzdemonstration gegen Geschichtsrevisionismus und deutsche Opfermythen,Aufzug ab Willy-Brandt-Platz,2016-11-12 00:00:00,17.00 – 22.00 Uhr
165.0,2016-10-18,BUND Thüringen Stadtverband Erfurt,Aufklärungsaktion für mehr Fahrradparkplätze in der Stadt Erfurt,Angerdreieck,21. und 22.10.2016,12.00 – 16.00 Uhr
166.0,2016-10-21,Umweltgewerkschaft (Regionalgruppe Erfurt),Weltklimatag,Anger (vor Lutherdenkmal),2016-11-19 00:00:00,12.00 – 14.00 Uhr
167.0,2016-10-24,THÜGIDA,Der Willkommensdiktatur die rote Karte zeigen !,Jürgen-Fuchs-Straße / Johann-Sebastian-Bach-Straße,2016-11-11 00:00:00,11.11 – 13.00 Uhr
168.0,2016-10-25,Kulturverein Mesopotamien e.V.,Protest gegen Türkei,Aufzug Domplatz à Staatskanzlei,2016-10-26 00:00:00,13.00 – 15.00 Uhr
169.0,2016-10-25,Kulturverein Mesopotamien e.V.,Freiheit Geburtstag von Rojava,Anger (Angerdreieck),2016-10-29 00:00:00,14.00 – 17.00 Uhr
170.0,2016-11-07,Kulturverein Mesopotamien e.V.,Verhaftung von HDP Abgeordneten,Jürgen-Fuchs-Straße (vor Landtag),2016-11-11 00:00:00,15.00 – 17.00 Uhr
,,ABGESAGT,,,,
171.0,2016-11-09,Kulturverein Mesopotamien e.V.,Verhaftung von HDP Abgeordneten,Anger (Angerdreieck),2016-11-11 00:00:00,13.00 – 17.00 Uhr
172.0,2016-11-09,Einzelperson,Gegen eine am 09.11.2016 erfolgte Abschiebung,Aufzug Anger -- > Domplatz à Anger,2016-11-10 00:00:00,19.15 – 20.45 Uhr
173.0,2016-11-08,Critical Mass Erfurt,Verkehrspolitische Radtour,Willy-Brandt-Platz à Stadtgebiet à Fischmarkt,2016-12-01 00:00:00,18.30 – 20.00 Uhr
174.0,2016-11-21,"Greenpeace Erfurt, Greenpeace Jena, Greenpeace Ilmenau",CETA / TTIP,Jürgen-Fuchs-Straße 1 (vor Thüringer Landtag),2016-12-02 00:00:00,11.00 – 13.00 Uhr
175.0,2016-12-08,GRÜNE JUGEND Thüringen,Forderung Winterabschiebestopp sowie Kritik an aktueller Abschiebepraxis in Thüringen,Anger (vor Lutherdenkmal),2016-12-19 00:00:00,18.00 – 20.00 Uhr
176.0,2016-12-12,Einzelpersonen,Protest gegen geplanten Moscheebau in Erfurt-Marbach,Fischmarkt,2016-12-14 00:00:00,16.00 – 18.00 Uhr
177.0,2016-12-14,Einzelpersonen,Isolationshaft gegen Öcalan und HDP Abgeordnete und PKK Verbot aufheben !,Willy-Brandt-Platz à Anger ,2016-12-17 00:00:00,13.00 – 15.00 Uhr
178.0,2016-12-19,Einzelpersonen,Solidarität mit ZivilistInnen in Aleppo,Willy-Brandt-Platz,2016-12-20 00:00:00,18.00 – 20.00 Uhr
