lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
,,,,Aufzug: Staatskanzlei (Auftaktkundgebung) à Regierungsstraße à Lutherstraße à Juri-Gagarin-Ring à Karl-Marx-Platz (Zwischenkundgebung) à Bahnhofstraße à Willy-Brandt-Platz (Zwischenkundgebung) à Bahnhofstraße à Anger (Kundgebung),2013-05-01 00:00:00,10.00 - 10.45
26,2013-02-01 00:00:00,PG häusliche Gewalt im Kriminalpräventiven Rat der Stadt Erfurt,"Aktion ""Mut schöpfen"" - macht das Ausmaß von häuslicher Gewalt aufmerksam",Anger 1,2013-09-28 00:00:00,09.00 - 16.00
27,2013-02-01 00:00:00,Die LINKE,"""Erfurt bleibt nazifrei""",Leipziger Platz,2013-09-01 00:00:00,10.00 - 19.00
28,2013-02-01 00:00:00,Einzelperson,"Kritik an der Messe ""Reiten, Jagen, Fischen""","Messegelände, Gothaer Straße",2013-04-13 00:00:00,16.00 - 18.00
29,2013-02-01 00:00:00,Einzelperson,"Kritik an der Messe ""Reiten, Jagen, Fischen""",Willy-Brandt-Platz (Auftaktkundgebung) à Bürgermeister-Wagner-Str à Bahnhofstraße à Schlösserstraße à Fischmarkt (Zwischenkundgebung) à Marktstraße à Domplatz (Zwischenkundgebung) à Lange Brücke à Eichenstraße à Neuwerkstraße (Zwischenkundgebung) à Anger (Abschlusskundgebung),2013-04-13 00:00:00,14.00 - 18.00
30,2013-02-04 00:00:00,Bündnis aus Einzelpersonen,"""Erfurt bleibt Nazifrei""","Kreuzungsbereich Trommsdorffstraße, Schmidtstedter Straße, Kurt-Schumacher.Straße",2013-05-01 00:00:00,10.00 - 19.00
31,2013-02-04 00:00:00,"""Entschleunigung in der Pergamentergasse""","""Weniger Verkehr und Einhaltung der Geschwindigkeit in der Pergamentergasse""","gesamte Pergamentergasse, rauf und runter",2013-04-18 00:00:00,16.00 -18.00
32,2013-02-06 00:00:00,SPD,Wahlkampfabschlussveranstaltung,"Anger (nur noch Anger kreuz möglich, Anger 1 belegt)",2013-09-20 00:00:00,10.00 - 18.00
33,2013-02-11 00:00:00,Studenten der Fachhochschule Kunst Arnstadt-Balingen,"""Erhalt der Fachhochschule Kunst Arnstadt-Balingen - Sicherung der Studienabschlüsse in Thüringen",Willy-Brandt-Platz à Bahnhofstraße à Thomasstraße à Löberstraße à Arnstädter Straße à Johann-Sebastian-Bach-Straße à Jürgen-Fuchs-Straße à Landtag,2013-02-15 00:00:00,11.00 - 14.00
34,2013-02-12 00:00:00,Landesfrauenrat Thüringen e.V.,"""Kritische Begleitung des neuen Thüringer Gleichstellungsgesetzes vor dem Thüringer Landtag""",Jürgen-Fuchs-Straße 1,2013-02-14 00:00:00,08.30. -09.30
35,2013-02-11 00:00:00,Kulturverein Mesopotamien e.V.,"""Newroz-Feier""",Angerdreieck (Auftaktkundgebung) à Schlösserstraße àFischmarkt à Marktstraße à Domplatz à Petersberg (Abschlusskundgebung),2013-03-21 00:00:00,18.00 - 21.00
36,2013-02-11 00:00:00,"DIE LINKE. Stadtverband Erfurt,","""Keine Räume für Nazis! Erfurt bleibt bunt!""",Steinplatz / Ecke Eugen-Richter-Straße,2013-05-01 00:00:00,10.00 -19.00
37,2013-02-14 00:00:00,Bündnis aus Einzelpersonen,"""Bullengewalt ist nicht nett - Solidartät mit Yve/tte",Rudolfstraße 46 Platz vor dem Amtsgericht,2013-02-18 00:00:00,12:30-16:00
037a,2013-02-14 00:00:00,Gewerkschaft Erziehung und Wissenschaft Thüringen,Mal ehrlich: Bildung ist MehrWert.Aktion zur Tarif- und Besoldungsrunde zum TV-L 2013,"Fischmarkt-Schlösserstraße, Anger Staatskanzlei",2013-03-06 00:00:00,15:30 - 18:00
38,2013-02-13 00:00:00,Flüchtlingsrat e.V. ,Residenzpflicht abschaffen-Bewegungsfreiheit ist ein Menschenrecht,Angerkreuz,2013-03-21 00:00:00,15:00 -18:00
038a,2013-02-15 00:00:00,"Lokales Bündnis für Familie Erfurt,","""Aktionstag anlässlich des Tages der Familie""",Anger - vor dem Familienzentrum,2013-05-17 00:00:00,14.00 - 17.00
