lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
113,2013-06-21 00:00:00,"Halmanseder, Carsten Albert Schweitzer Stiftung für unsere Mitwelt",Tierschutz /gegen  Massentierhaltung ,Pilse 26/27 ,2013-07-11 00:00:00,11:00 -19:00
114,2013-06-21 00:00:00,Amnesty International Hochschulgruppe Erfurt,Asylpolitik der Europäischen Union - Flüchlingsprobleme an den Außengrenzen Europas ,Anger 1,2013-08-04 00:00:00,9:00 - 16:00
115,2013-05-08 00:00:00,Alternative für Deutschland Thüringen,AfD und die Zukunft Europas,Anger 1,2013-06-28 00:00:00,14:00 - 20:30
116,2013-06-26 00:00:00,"Grüne Jugend Erfurt, ADFC, AG Nachhaltigkeit",Critical Mass- Wir ,Willy-Brandt-Platz-Trommsdorfstr.- ,2013-07-05 00:00:00,18:00-19:30
,,,behindern nicht den Verkehr - Wir sind der Verkehr,Geschwister-Scholl-Str.- Leindefelder Weg-LeipzigerStr. -Eugen-Richter-Str. -Johannesstr.- Anger- Lange Brücke- Dom- Pergamentergasse-Am Hügel,,
117,2013-06-27 00:00:00,Linksjugend Erfurt,Bildungskampagne zu Leistungsdruck + Chancengleichheit im Bildungssystem,vor dem Anger 1,2013-07-03 00:00:00,14.30 - 17.30
118,2013-06-28 00:00:00,"Gewerkschaft ver.di, Fachbereich Handel",Tarifverhandlungen im Einzelhandel,"Regierungsstraße, vor der Staatskanzlei",2013-07-03 00:00:00,12.30 - 14.30
119,2013-06-28 00:00:00,"Ver.di, Fachbereich 10",Warnstreik,"Postbank (Anger, Auftaktkundgebung) à Anger à Neuwerkstraße à Löbertor à Juri-Gagarin-Ring à Löberstraße à Löberwallgraben à Ver.di",2013-07-05 00:00:00,08.30 - 11.00
120,2013-07-04 00:00:00,Gleichstellungsbeauftragte,Weltmädchentag 11. Oktober - durch Licht ein Zeichensetzen für die Rechte von Mädchen,Wenigemarkt,2013-10-11 00:00:00,16.00 - 20.00
121,2013-07-08 00:00:00,DGB Thüringen,Übergabe Unterschriften zur Übernahme Tarifergebnis für Beamte,Jürgen-Fuchs-Straße 1,2013-07-10 00:00:00,12.00 - 12.30
122,2013-07-09 00:00:00,Antimilitaristische Initiative,Schulfrei für die Bundeswehr,"Bukarester Straße 2, Erfurt",2013-07-12 00:00:00,07.45 - 12.45
123,2013-07-16 00:00:00,"Vereinte Dienstleistungsgewerkschaft, Fachbereich Handel",Tarifverhandlungen Einzelhandel - Streikversammlung,Flughafen - vor dem Hotel Airport,2013-07-24 00:00:00,08.30 - 11.00
124,2013-07-15 00:00:00,"Ortsteilrat Bindersleben, Kirchgemeinde Bindersleben",69. Jahrestag des Bombenabwurfes auf Bindersleben,Friedhof Bindersleben,2013-07-21 00:00:00,10.00 - 10.45
125,2013-07-15 00:00:00,Bündnis 90 / Die Grünen,Energie Talk,Nordpark - vor dem Schwimmbad,2013-09-14 00:00:00,15.00 - 18.00
126,2013-04-12 00:00:00,CDU Kreisverband Erfurt,Bundestagswahlkampf 2013,Bereich vor Anger 1,2013-09-12 00:00:00,10.00 - 20.00
,,,,,2013-09-13 00:00:00,
,,,,,2013-09-14 00:00:00,
,,,,,2013-09-19 00:00:00,
,,,,,2013-09-21 00:00:00,
,,,,,2013-09-21 00:00:00,
127,2013-07-23 00:00:00,DIE. LINKE Erfurt,Jugend trifft die Linke,"Rieth - Vilnius, Platz der Völkerfreundschaft",2013-08-13 00:00:00,16.00 - 23.00
128,2013-07-23 00:00:00,DIE. LINKE Erfurt,Treffen mit Bürgern im Stadtgebiet,"Sozialzentrum, Tungerstraße 9",2013-08-13 00:00:00,13.00 - 20.30
129,2013-07-23 00:00:00,DIE. LINKE Erfurt,Treffen mit Bürgern im Wohngebiet,"Juri-Gagarin-Ring, hinter Nr. 9",2013-08-26 00:00:00,13.00 - 20.30
130,2013-07-29 00:00:00,DIE. LINKE Erfurt,Für einen fahrscheinfreien ÖPNV in Erfurt,Angerdreieck ,2013-07-30 00:00:00,10.00 - 13.00
,,AG fahrscheinfreier ÖPNV,,,,
131,2013-08-01 00:00:00,Thüringer Arbeitsloseninitiative - Soziale Arbeit e.V.,"""Altersarmut""",vor dem Landtag Erfurt,2013-09-02 00:00:00,13.00 - 15.00
132,2013-08-02 00:00:00,NPD-Landesverband Thüringen,"""Aus Liebe zum Tier - keine Islamisierung""","Trommsdorffstraße, vor Halal-Fleischerei und Imbiss",2013-08-17 00:00:00,11.00 - 13.00
133,2013-08-05 00:00:00,Alternative für Deutschland,"""Wahlkampfveranstaltung der ""","Willy-Brandt-Platz, Erfurt",2013-08-29 00:00:00,10.00 - 20.00
,,,,,,
134,2013-08-02 00:00:00,SPD Ortsverein Erfurt Altstadt,Sommersitzung des SPD Ortsverein Erfurt -Altstadt,hinter der Krämerbrücke,2013-08-27 00:00:00,18.30 - 21.00
135,2013-07-23 00:00:00,DIE LINKE. Erfurt,Treffen mit Bürgern im Wohngebiet,"Moskauer Platz, auf Platz vor dem Einkaufzentrum",2013-09-06 00:00:00,13.00 - 20.30
136,2013-07-23 00:00:00,DIE LINKE. Erfurt,Treffen mit Bürgern im Wohngebiet,"Berliner Platz, Einkaufspassage, Garten der Begegnung",2013-08-23 00:00:00,13.00 - 20.30
137,2013-05-08 00:00:00,Alternative für Deutschland,Wahlkampfveranstaltung der Alternative für Deutschland,vor Anger 1,2013-08-22 00:00:00,10.00 - 18.00
,,,,,2013-08-23 00:00:00,10.00 - 18.00
,,,,,2013-08-24 00:00:00,10.00 - 18.00
138,2013-05-08 00:00:00,Alternative für Deutschland,Wahlkampf der Alternative für Deutschland,vor Anger 1,2013-08-15 00:00:00,10.00 - 18.00
,,,,,2013-08-16 00:00:00,10.00 - 18.00
,,,,,2013-08-17 00:00:00,10.00 - 18.00
139,2013-05-08 00:00:00,Alternative für Deutschland,Wahlkampfveranstaltung der Alternative für Deutschland,vor Anger 1,2013-09-05 00:00:00,10.00 - 18.00
,,,,,2013-09-06 00:00:00,10.00 - 18.00
,,,,,2013-09-07 00:00:00,10.00 - 18.00
140,2013-08-05 00:00:00,Mehr Demokratie e.V.,Bundesweite Volksentscheide,Anger 1,2013-09-02 00:00:00,08.30 - 18.00
141,2013-07-23 00:00:00,DIE LINKE. Erfurt,Jugend und Bürger treffen die Linken,Ilversgehoven,2013-09-20 00:00:00,ab 13.00
142,2013-07-05 00:00:00,Erfurter Rollrunde,Alternative Fortbewegungsmittel für den Innenstadtverkehr,Willy-Brandt-Platz à Anger à Lauentor,2013-09-22 00:00:00,13.00 - 16.00
,,,,,,
143,2013-08-12 00:00:00,Kulturverein Mesopotamien e.V. ,Menschenrechtslage in der Türkei,"Angerdreieck, Erfurt",2013-08-15 00:00:00,15.00 - 18.30
144,2013-08-12 00:00:00,Jusos in der SPD,Für Vielfalt und Toleranz - Interkulturelles Straßenfest,Trommsdorffstraße Ecke Kurt-Schumacher-Straße,2013-08-17 00:00:00,10.00 - 14.00
,,,,,,
145,2013-08-13 00:00:00,Einzelperson,Für eine Kultur der Unantastbarkeit der Menschenwürde und der Anerkennung von Verschiedenheit - Gegen antisemitische und antimuslimische Hasspropaganda - Aufklärung von Vorurteilen,"Ausgang Schmidtstedter Straße, Richtung Trommsdorffstraße",2013-08-17 00:00:00,10.00 - 15.00
146,2013-09-15 00:00:00,Bündnis 90 / Die Grünen,Wahlkampfveranstaltung,Verbindungsweg zwischen Regierungsstraße und Neuwerkstraße,2013-09-05 00:00:00,17.00 - 21.00
147,2013-08-21 00:00:00,Bündnis 90 / Die Grünen,"""Clever gegen Plastik - Stoffbeutel statt Plastiktüte""",Angerkreuz,2013-08-29 00:00:00,17.00 - 18.00
148,2013-08-07 00:00:00,MLPD,Wahlkundgebung der MLPD,Angerkreuz oder Anger 1,2013-09-14 00:00:00,10.00 - 16.00
149,2013-08-22 00:00:00,Initiative: Platz für Subkultur,"Altes Schauspielhaus Erfurt, ein Platz für Subkultur ?",Klostergang (vor dem alten Schauspielhaus),2013-08-25 00:00:00,14.00 - 21.00
150,2013-08-22 00:00:00,Bündnis90 / Die Grünen Thüringen,"Beutelaktion ""Plastik gegen clever""",Angerkreuz,2013-08-29 00:00:00,17:00 - 19:00
151,2013-08-26 00:00:00,Konferenz Thüringer Studierendenschaften,Unterschriftensammlung + Info Bildung braucht Bündnis,Gegenüber Haupteingang Landtag / Jürgen Fuchs-Straße,2013-09-19 00:00:00,8:00 - 10:00
152,2013-08-26 00:00:00,Konferenz Thüringer Studierendenschaften,Unterschriftensammlung + Info Bildung braucht Bündnis,Gegenüber Haupteingang Landtag / Jürgen Fuchs-Straße,2013-09-12 00:00:00,13:00 - 15:00
153,2013-08-28 00:00:00,ADFC Kreisverband Erfurt,"Radtour Critical mass: Wir behindern nicht den Verkehr, wir sind der Verkehr.","Willy_brandt-Platz, Bgm Straße J.G. Ring Johannesstraße, Magdeburger Allee Mittelhäuser Straße Str. der Nationen Bukarester Straße U-Bator-Straße Nordhäuser Straße Andreasstraße Kettenstraße La Brücke Eichen Neuwerkstraße Anger",2013-09-11 00:00:00,18:00 - 20:00 
154,2013-09-02 00:00:00,Thüringer Verband der Verfolgten des Naziregimes/Bund der Antifaschisten,Gedenkstunde mit Kranzniederlegung  für die Opfer des Faschismus,Hauptfriedhof Ehrenhain für antifaschistische Widerstandskämpfer und Opfer des Faschismus,2013-09-08 00:00:00,10:00 -10:30
155,2013-09-05 00:00:00,AfD Alternative für Deutschland,Demokratie / Eurorettung Wahlkampf AfD,Anger 1 ,2013-09-13 00:00:00,10:00 -18:00
156,2013-09-09 00:00:00,Privatinitiative,Zirkus - kein Spaß für Tiere,"Vor dem ""Zirkus Probst"", Thüringenhalle, Werner-Seelenbinder-Str. 2, 99096 Erfurt",2013-09-13 00:00:00,13.00 - 15.15
157,2013-09-12 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit,Donnerstagskundgebungen,Angerdreieck,2013-09-26 00:00:00,jeweils 17.00 bis 18.00
,,,,,2013-10-10 00:00:00,
,,,,,2013-10-17 00:00:00,
,,,,,2013-10-24 00:00:00,
,,,,,2013-11-07 00:00:00,
,,,,,2013-11-14 00:00:00,
158,2013-09-16 00:00:00,NPD,Asylflut und Eurowahn stoppen - NPD in den Bundestag,Anger vor Karstadt,2013-09-18 00:00:00,12.00 - 16.00
159,2013-09-16 00:00:00,Marinekameradschaft Erfurt e.V.,"Wiederaufbau Marineehrenmal, Kranzniederlegung","Erfurter Hauptfriedhof, Trauerhalle",2013-11-16 00:00:00,15.00 -16.00
160,2013-09-16 00:00:00,AIDS - Hilfe Thüringen e.V. und Bestattungsinstitut ,"""Name und Steine""",Steinspur vor den Domstufen,2013-11-04 00:00:00,15.00 - 20.00
161,2013-09-17 00:00:00,"Bürgerinitiative ""Kein Energiespeicher am Rennsteig e.V.",Kein Energiespeicher am Rennsteig,"Thüringer Landtag, Jürgen-Fuchs-Straße 1",2013-09-19 00:00:00,13.30 - 14.30
162,2013-09-17 00:00:00,DGB Jugend Erfurt ,Keine Stimme für Nazis! Für eine offene Gesellschaft,"Anger, Lutherdenkmal",2013-09-18 00:00:00,11:45 - 16:00
,,,,,,
,,ABGESAGT,,,,
163,2013-09-18 00:00:00,NPD Parteivorstand,Gegen Polizeiwillkür,Trommsdorfstraße / Schmidtstedter Straße,2013-09-18 00:00:00,16:00 -21:00
164,2013-09-18 00:00:00,Einzelperson,deine Stimme gegen Nazis,Trommsdorfstraße / Schmidtstedter Straße,2013-09-18 00:00:00,21:00 - 0:00
165,2013-09-25 00:00:00,AIDS - Hilfe Thüringen e.V.,30 Jahre AIDS-Hilfe,Anger Dreieck,2013-09-28 00:00:00,11:00 - 16:00
166,2013-09-26 00:00:00,Vereinte Dienstleistungsgewerkschaft ver.di Fachbereich Handel,Tarifverhandlungen im Einzelhandel - Streikversammlung und Demonstration,Schillerstr. à Löberstr. à Hirschgarten à Anger (Zwischenkundgebung) à neuer Angerbrunnen à Johannesstr. à Futterstr. à Zwischenkundgebung Kreuzung Schottenstr. (Sitz des AG-Verbandes) à Wenigemarkt à Junkersand à Anger à und zurück zur Schillerstr.,2013-10-01 00:00:00,10:00 - 14:00
167,2013-09-27 00:00:00,Linksjugend ('solid) Thüringen,"""Bundeswehr raus aus den Schulen""",Walter Gropius Schule Binderslebener Landstraße Höhe Haltestelle,2013-10-01 00:00:00,7:00 -10:00
168,2013-09-27 00:00:00,Linksjugend ('solid) Thüringen,"""Bundeswehr raus aus den Schulen""","Langer Graben , bei der Fußgängerunterführung",2013-10-01 00:00:00,7:00 -10:00
169,2013-09-30 00:00:00,"Ver.di, Ortsverein Mittelthüringen","""Aktive Mittagspause"" im Rahmen der Tarifrunde 2013 bei IBM",Fußweg und Ladefläche vor Parsevalstraße 8,2013-10-08 00:00:00,11.30 - 13.00
170,2013-09-30 00:00:00,PhotogenX Europe e.V.,"""Europäischer Tag gegen Menschenhandel""",Angerkreuz,2013-10-18 00:00:00,15.00 - 17.00
171,2013-10-02 00:00:00,Einzelperson,Kundgebung / Mahnwache für die rumänische Straßenhunde,Angerkreuz,2013-10-12 00:00:00,13:00 -17:00
172,2013-10-02 00:00:00,ADFC Kreisverband,"""Critical Mass Erfurt: Wir behindern nicht den Verkehr, wir sind der Verkehr! Fahrraddemo""",Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Lutherstraße à Wilhelm-Külz-Straße à Walkmühlstraße à Bonifaciusstraße à Alfred-Hess-Straße à Steigerstraße à Arnstädter Straße à Johann-Sebastian-Bach-Straße à Häßlerstraße à Rudolstädter Straße à Weimarische Straße à Löberstraße à Juri-Gagarin-Ring à Trommsdorffstraße à Thälmannstraße à Leipziger Platz à Liebknechtstraße à Schlachthofstraße à Franckestraße à Juri-Gagarin-Ring à Krämpferstraße à Johannesstraße à Futterstraße à Rathausbrücke àBenediktsplatz,2013-10-17 00:00:00,18.00 - 20.00
,,,,,,
174,2013-10-22 00:00:00,"Berufsbildende Schulen ""St. Elisabeth""","""Zeig Herz - Hilf mit! Demonstration für soziale Gerechtigkeit""",Anger - vor dem Lutherdenkmal,2013-11-19 00:00:00,12.00 - 15.00
175,2013-10-21 00:00:00,Bürgerbewegung für Kreislaufwirtschaft,"""Weltklimatag am 16.11.13""",Angerkreuz oder Lutherdenkmal,2013-11-16 00:00:00,11.00 - 13.00
176,2013-10-21 00:00:00,Aktionskreis für den Frieden e.V.,"Gedenken zum Volkstrauertag am Denkmal + Friedenslinde""","Denkmal des unbekannten Wehrmachtsdeserteur, Petersberg",2013-11-17 00:00:00,15.00 - 16.00
,,,,,,
177,2013-10-23 00:00:00,"Vereinte Dienstleistungsgewerkschaft, Fachbereich Handel",Tarifauseinandersetzung im Einzelhandel - Streikkundgebung,vor Anger 1,2013-10-25 00:00:00,10.00 - 11.00
178,2013-11-01 00:00:00,Einzelperson,"Solidarität mit Flüchtlingen in Greiz, Hamburg und überall - ""Dublin II"" abschaffen",Willy-Brandt-Platz (Auftaktkundgebung) à Bahnhofstraße à Anger (Zwischenkundgebung) à Schlösserstraße à Fischmarkt (Zwischenkundgebung) à Marktstraße à Domplatz (Abschlusskundgebung),2013-11-08 00:00:00,16.30 - 19.30
179,2013-11-05 00:00:00,Vereinte Dienstleistungsgewerkschaft,Weihnachtsgeld im Einzelhandel,"Talstraße, Höhe Hofzufahrt Berufsschule",2013-11-13 00:00:00,07.30 - 13.30
180,2013-11-07 00:00:00,Schulförderverein der Regelschule Steigerblick,"Schulnetzplanung, Anhörung Bildungsausschuss","vorzugsweise Fischmarkt, Umfeld, Rathaus, Sparkasse",2013-11-13 00:00:00,16.00 - 18.00
,,,,,,
181,2013-11-07 00:00:00,Schulförderverein der Regelschule Steigerblick,Schulnetzplanung - Stadtratssitzung,"Umfeld Rathaus, Benediktsplatz",2013-12-18 00:00:00,16.00 - 18.00
,,,,,,
,,,,,,
,,am 16.12.13 abgesagt,,,,
182,2013-11-08 00:00:00,Arbeitsgemeinschaft bäuerliche Landwirtschaft Thüringen,Anregung der Synodale zur kritischen Hinterfragung der Verpachtung von kircheneigenem Land,vor der Michaeliskirche,2013-11-21 00:00:00,09.00 - 13.00
183,2013-11-12 00:00:00,Heimatverein Alach e.V.,Kranzniederlegung,Friedhof Alach,2013-11-17 00:00:00,ab 13.00
,,,,,,
184,2013-11-18 00:00:00,"Vereinte Dienstleistungsgewerkschaft, Fachbereich Handel","Einzelhandelstarifrunde, Erhalt des Ladenöffnungsgesetztes","Eingang Landtag, Jürgen-Fuchs-Straße",2013-11-22 00:00:00,08.00 - 10.00
185,2013-11-21 00:00:00,Freundeskreis Willy Brandt im Erfurter Hof e.V.,Kundgebung zu Ehren des 100. Geburtstages von Willy Brandt,"Willy-Brandt-Platz, Erfurt",2013-12-18 00:00:00,17.00 - 18.00
186,2013-11-25 00:00:00,"Vereinte Dienstleistungsgewerkschaft, Fachbereich Handel",Tarifrunde Einzelhandel - Streikversammlung,Parkplatzausgang Schillerstraße 44 àHeinrich-Mann-Straße à Löberstraße à J.-G.-Ring à Neuwerkstraße à Anger (Zwischenkundgebung Lutherdenkmal) à und zurück,2013-11-29 00:00:00,10.00 - 13.00
187,2013-11-25 00:00:00,Kulturverein Mesopotamien e.V.,"Menschenrechtslage in Syrien und Unterschriftenkampagne ""Freiheit für Öcalan, Frieden in Kurdistan",Willy-Brandt-Platz,2013-11-30 00:00:00,12.00 - 15.30
188,2013-11-28 00:00:00,"Bürgerinitiative ""Kein Energiespeicher am Rennsteig e.V.""","""Kein Energiespeicher am Rennsteig""",vor dem Landtag,2013-12-03 00:00:00,09.30 - 10.00
189,2013-11-30 00:00:00,Konferenz Thüringer Studierendenschaften,Bildung braucht Zukunft. Hochschulentwicklung finanzieren-aber richtig !,"Willy-Brandt-Platz, Schmidtstedter Straße, Bahnhofstraße, Schillerstraße, Arnstädter Straße, Johann-Sebastian-Bach-straße, Mozartallee Werner Seelenbinder -Straße ",2013-12-11 00:00:00,13:00 -17:00
190,2013-12-12 00:00:00,Einzelperson,Gegen die Diktatur in der Ukraine,Willy-Brandt-Platz,2013-12-15 00:00:00,12.00 - 15.00
191,2013-12-12 00:00:00,Einzelperson,Für einen Winterabschiebestopp für Roma - Menschlichkeit tut Not,"vor dem Thüringer Landtag, auf der Seite des Plenarsaal und Glastüreingang (Jürgen-Fuchs-Straße), von der oberhalb begrenzenden Straße bis zur unteren Ecke des Plenarsaales, gesamte Freifläche inkl. Parkplätze",2013-12-18 00:00:00,10.45 - 13.30
192,2013-12-18 00:00:00,Studierendenrat der Fachhochschule Erfurt,Erhalt des Semestertickets,Fischmarkt,2013-12-19 00:00:00,10.00 - 11.30
193,2013-12-19 00:00:00,Einzelperson,Gegen die Diktatur in der Ukraine,Willy-Brandt-Platz,2013-12-22 00:00:00,12.00 - 14.00
194,2013-12-23 00:00:00,Einzelperson,Todesfall Elefant Akili,Am Zoopark Nähe Haupteingang,2013-12-28 00:00:00,14:00 -19:30
