Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
131.0,2018-06-28 00:00:00,Europäische Mobilitätswoche Erfurt,Parking Day: Wir machen Parkplätze zu Parks! Beispielhafte temporäre Umnutzung von städtischen Räumen,Parkplätze Lange Brücke,2018-09-21 00:00:00,12.00 – 22.00 Uhr
132.0,2018-06-29 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Anger (Höhe Rewe to Go),2018-07-07 00:00:00,11.00 – 18.00 Uhr
133.0,2018-07-03 00:00:00,Linksjugend [`solid] SDS Erfurt,Wir gedenken der Opfer. Verfassungsschutz abschaffen!,Haarbergstraße 61,2018-07-11 00:00:00,18.30 – 21.30 Uhr
134.0,2018-07-04 00:00:00,Jusos in der SPD Erfurt,"""Public Hearing"" der Urteilsverkündung des NSU Prozesses",Domplatz (vor tegut),2018-07-11 00:00:00,08.45 – 12.00 Uhr
135.0,2018-07-06 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit gegen Rechtsextremismus,Mahnwachen,Angerdreieck,05.07. – ,17.00 – 18.00 Uhr
,,,,,2018-08-09 00:00:00,
136.0,2018-07-05 00:00:00,Einzelperson,5 Jahre NSU Prozess,Vor Anger 1,2018-07-11 00:00:00,09.00 – 13.00 Uhr
137.0,2018-07-06 00:00:00,Ortsteilrat Bindersleben,Mahnendes Gedenken – Jahrestag des Bombenabwurfes 1944,Friedhof Bindersleben,2018-07-14 00:00:00,10.00 – 10.30 Uhr
,,,,,,
138.0,2018-07-06 00:00:00,GRÜNE JUGEND Thüringen,NSU-Urteilsverkündung,Gotthardstraße / zwischen Krämerbrücke und Augustiner,2018-07-11 00:00:00,15.00 – 19.00 Uhr
139.0,2018-07-09 00:00:00,Verdi Thüringen,5 Jahre NSU: Kein Schlussstrich,Schillerstraße / Arnstädter Straße,2018-07-11 00:00:00,14.00 – 17.00 Uhr
140.0,2018-07-09 00:00:00,AfD -  Thüringen ,Herbstfest der Afd-Thüringen,Vor Anger 1 (geä.: 17.07.2018),2018-09-28 00:00:00,17.00 – 21.00 Uhr
141.0,2018-07-13 00:00:00,Linksjugend [`solid] Thüringen,Seebrücke – Schafft sichere Häfen,Vor Anger 1,2018-07-22 00:00:00,14.00 – 19.30 Uhr
142.0,2018-07-17 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Vor Anger 9,2018-07-20 00:00:00,16.00 – 19.00 Uhr
,,,,,,
143.0,2018-07-18 00:00:00,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr – wir sind der Verkehr,Willy-Brandt-Platz à Innenstadt à Fischmarkt,2018-07-27 00:00:00,18.30 – 20.30 Uhr
144.0,2018-07-23 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Angerdreieck,2018-08-11 00:00:00,15.00 – 18.00 Uhr
145.0,2018-07-25 00:00:00,Erfurt zeigt Gesicht,"Politische und gesellschaftliche Missstände ""Gewalt ohne Grenzen?"" Gegen die illegale Grenzöffnung und die Islamisierung Deutschlands",Fischmarkt,2018-09-01 00:00:00,15.00 – 17.00 Uhr
,,ABGESAGT,,,,
146.0,2018-08-02 00:00:00,Einzelperson,Situation der Familien im Irak,Domplatz,2018-08-04 00:00:00,17.00 – 19.00 Uhr
147.0,2018-08-06 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Von Anger 18 bis Anger 37und vor Anger 61,2018-09-15 00:00:00,14.00 – 18.00 Uhr
,,,,,,
148.0,2018-08-08 00:00:00,Aktionskreis für Frieden e.V.,Weltfriedenstag und Gedenken Ludwig Baumanns,Petersberg,2018-08-31 00:00:00,16.30 – 18.00 Uhr
149.0,2018-08-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Anger 19 ,2018-08-16 00:00:00,16.00 – 19.00 Uhr
,,,,,,
150.0,2018-08-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Anger 53,2018-08-18 00:00:00,15.00 – 18.00 Uhr
,,,,,,
151.0,2018-08-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz/gegen Massentierhaltung,Anger 24,2018-08-20 00:00:00,16.00 – 19.00 Uhr
,,,,,,
152.0,2018-08-09 00:00:00,Einzelperson,Gedenkkundgebung anlässlich des 129. Geburtstages von Willi Münzenberg,Augustinerstraße 34,2018-08-14 00:00:00,08.30 – 09.00 Uhr
153.0,2018-08-13 00:00:00,Jusos Erfurt,Gegen Neoliberalismus und Nationalismus – Gegen Kurz und Mohring,Fußweg vor der Messe ,2018-08-23 00:00:00,17.00 – 22.00 Uhr
154.0,2018-08-14 00:00:00,Ver.di Fachbereich 9,Tarifrunde T-Systems 2018 / Pausenaktion,Andreasstraße 38a,2018-08-16 00:00:00,11.45 – 12.30 Uhr
155.0,2018-08-15 00:00:00,Der III. Weg ,Familien schützen! – Homo-Propaganda stoppen!,Angerdreieck,2018-08-25 00:00:00,12.00 – 15.00 Uhr
156.0,2018-08-14 00:00:00,DGB-Bildungswerk Thüringen e.V.,Klassenkampf verbindet? Diskriminierung in der Arbeitswelt,Vor Anger 1,2018-09-27 00:00:00,13.00 – 18.00 Uhr
157.0,2018-08-14 00:00:00,Critical Mass Erfurt,"Verkehrspolitische Radtour – Wir behindern nicht den Verkehr, wir sind der Verkehr!",Willy-Brandt-Platz à Stadt à Fischmarkt,2018-08-31 00:00:00,18.30 – 20.30 Uhr
158.0,2018-08-27 00:00:00,Grüne Jugend Erfurt,Wohn dir deine Stadt zurück! Mietpreispolitik in Erfurt und Deutschland,Ilversgehovener Platz,2018-08-29 00:00:00,17:30-19:30 Uhr
159.0,2018-08-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2018-09-22 00:00:00,15:00-18:00 Uhr
160.0,2018-08-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2018-10-13 00:00:00,14:00-17:00 Uhr
161.0,2018-08-28 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2018-11-03 00:00:00,14:00-17:00 Uhr
162.0,2018-08-28 00:00:00,Thüringer Verband der Verfolgten des Naziregimes / Bund der Antifaschisten ,"Gegen Fremdenfeindlichkeit Rassismus, Krieg für ein gleichberechtigtes Miteinander der Menschen eintreten.",Erfurt Hauptfriedhof Ehrenhain für antifaschistische Widerstandskämpfer und Opfer des Faschismus,2018-09-09 00:00:00,10:00 -10:45 Uhr
163.0,2018-08-28 00:00:00,Erfurt zeigt Gesicht,Demonstration gegen den Moscheeneubau,Aufzug Marbach,2018-09-02 00:00:00,07.00 – 10.00 Uhr
164.0,2018-08-27 00:00:00,Europäische Mobilitätswoche Erfurt (EMW) 2018,Eröffnung der Europäischen Mobilitätswoche (EMW) 2018,Angerdreieck,2018-09-15 00:00:00,14.00 – 16.00 Uhr
165.0,2018-09-04 00:00:00,Rollparade die dritte,Alles was rollt und alternativ ist zum motorisierten Verkehr und einen selbst antreibt,Angerdreieck à Innenstadt à Willy-Brandt-Platz,2018-09-22 00:00:00,14.00 – 16.00 Uhr
166.0,2018-09-04 00:00:00,Bündnis Mitmenschlich in Thüringen / Martin-Niemöller-Stiftung ,"80. Jahrestag der Novemberprogrome von 1938 – Erinnern, Begreifen, Begegnen, Gedenken -",Angerdreieck,2018-11-09 00:00:00,13.00 – 16.00 Uhr
167.0,2018-09-05 00:00:00,Grüne Jugend Erfurt,Wohn die deine Stadt zurück – Für ein Recht auf Wohnen,Angerdreieck,2018-09-07 00:00:00,17.30 – 19.30 Uhr
168.0,2018-09-06 00:00:00,BUND Thüringen e.V. / Stadtverband Erfurt,"BUND – Kampagne ""Rettet unser Wasser""",Angerdreieck,2018-09-14 00:00:00,14.00 – 18.00 Uhr
169.0,2018-09-11 00:00:00,VCD,Multikulturelle fahrradtour im Rahmen der Europäischen Mobilitätswoche Erfurt 2018,"Anger 1, Schlösserstraße, Junkersand Wenigemarkt Rathausbrücke Benediktsplatz Michaelisstraße Venedig Entenplatz Michaelistraße Studentengase Kreuzsand Junkersand vorbei an C& A Grafengasse Borngasse Anger Lachsgasse bis Ampel Juri-Gagarin Ring Thomasstraße Bahnhofstraße Schillerstraße Windthorststraße bis Spielplatz",2018-09-18 00:00:00,14:00 – 15:30 Uhr
170.0,2018-09-11 00:00:00,Auf die Plätze Bündnis,Seenotrettung ist kein Verbrechen !,"Thüringenhalle (Auftakt) Friedrich-Ebert-Straße Johann-Sebastian Bach Straße Arnstädter Straße , Simrockstraße, Rankestraße, Am Hopfberg, Gustav-Freytag-Straße, Gert-Hauptmann-Straße,Herderstraße, Heinrich-Mann-Straße, Gert-Hauptmann Straße, Schillerstraße, Dalbergsweg, Wilhelm-Külz-Straße, Lutherstraße, Neuwerkstraße, Anger, Willy-Brandt-Platz",2018-10-27 00:00:00,13:00 – 20:00 Uhr 
,,,,,,
,,ABGESAGT,,,,
171.0,2018-09-18 00:00:00,Bundesverband Kinderhospiz e.V.,"Jeder hat ein Recht auf Palliativ-Versorgung, besonders Kinder!"" Aufmerksam machen, auf die Kinderhospizarbeit",Augustinerstraße 8,2018-09-21 00:00:00,15:45 -17:00 
172.0,2018-09-18 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit- gegen Rechtsextremismus,Mahnwache für soziale Gerechtigkeit u.a.,Angerdreieck,2018-09-20 00:00:00,17:00-17:30
,,,,,2018-09-27 00:00:00,17:00- 18:00
,,,,,2018-10-04 00:00:00,17:00-17:30
,,,,,2018-10-11 00:00:00,17:00-17:30
,,,,,2018-10-18 00:00:00,17:00-18:00
,,,,,2018-10-25 00:00:00,17:00-17:30
,,,,,2018-11-01 00:00:00,17:00-17:30
,,,,,2018-11-08 00:00:00,17:00-18:00
,,,,,2018-11-15 00:00:00,17:00-17:30
173.0,2018-09-21 00:00:00,"IG ""Wir im WAK"" Fischbach",2.       Neugliederungsgesetz Gemeindefusionen 2019 – Fusion Kaltennordheim mit Orten der Hohen Rhön,Jürgen –Fuchs-Straße  (vor Thüringer Landtag),2018-09-26 00:00:00,11:00 -14:00 
173.0,2018-09-19 00:00:00,Critical Mass Erfurt,Rund um Erfurt,Willy-Brandt-Platz à Innenstadt à Fischmarkt,2018-09-28 00:00:00,18.30 – 20.00 Uhr
174.0,2018-09-26 00:00:00,Linksjugend `solid Thüringen / Sprachcafe ,Seebrücke – Erfurt zum sicheren Hafen !,Vor Anger 1,2018-10-10 00:00:00,14.00 – 19.30 Uhr
175.0,2018-09-27 00:00:00,Erfurt zeigt Gesicht,Gegen die Islamisierung Deutschlands und das Politikversagen,Marbach Aufzug,2018-10-20 00:00:00,15.00 – 18.00 Uhr
,,ABGESAGT,,,,
176.0,2018-09-28 00:00:00,Einzelperson,Erfurt leuchtet – Junge Menschen couragiert für Freiheit und Solidarität,Willy-Brandt-Platz à Nordbahnhof,2018-11-08 00:00:00,17.00 – 20.00 Uhr
177.0,2018-10-10 00:00:00,Linksjugend `solid Thüringen / Sprachcafe,"""Erfurt zum sicheren Hafen""",Fischmarkt,2018-10-17 00:00:00,15.30 – 17.00 Uhr
178.0,2018-10-10 00:00:00,MLPD Erfurt,"""Unterstützt die Wahlzulassung der MLPD zur Landtagswahl""",Angerdreieck,2018-10-16 00:00:00,13.30 – 15.00 Uhr
179.0,2018-10-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Mahnwache: Tierschutz / gegen Massentierhaltung,Rathausbrücke,2018-10-20 00:00:00,14.00 – 17.00 Uhr
,,,,,,
180.0,2018-10-10 00:00:00,Marinekameradschaft 1886/1992 e.V.,Ehrung aller auf See Gebliebenen zum Volkstrauertag,Hauptfriedhof,2018-11-17 00:00:00,10.00 – 10.30 Uhr
181.0,2018-10-16 00:00:00,BUND-Thüringen e.V. Stadtverband Erfurt,Aktion Laufradweg,Fischmarkt à Innenstadt à Fischmarkt,2018-10-23 00:00:00,11.00 – 12.00 Uhr
182.0,2018-10-17 00:00:00,Eisenbahn- und Verkehrsgewerkschaft EVG,Tarifrunde EVG,Willy-Brandt-Platz,2018-10-30 00:00:00,11.00 – 12.30 Uhr
183.0,2018-10-18 00:00:00,Critical Mass Erfurt,Verkehrspolitische Radtour – Wir behindern nicht den Verkehr- wir sind der Verkehr,Willy-Brandt-Platz à Stadtgebiet à Fischmarkt,2018-10-26 00:00:00,18.30 – 20.30 Uhr
184.0,2018-10-22 00:00:00,Brennessel e.V. – Zentrum gegen Gewalt an Frauen,Internationaler Tag gegen Gewalt an Frauen – Gedenken der Opfer,"Fischmarkt, neben der Sparkasse",2018-11-25 00:00:00,16.30 – 18.30 Uhr
185.0,2018-10-25 00:00:00,Auf die Plätze – Bündnis Erfurt,Liebe fetzt – Religionsfreiheit ist Gesetz,Schwarzburger Straße / St. Christophorus Straße (Menschenkette),2018-11-13 00:00:00,12.00 – 15.00 Uhr
186.0,2018-11-06 00:00:00,Bürgerallianz Thüringen gegen überhöhte Kommunalabgaben e.V.,Übergabe Rote Karte für Straßenausbaubeiträge,Vor Thüringer Landtag,2018-11-07 00:00:00,14.30 – 15.30 Uhr
187.0,2018-11-06 00:00:00,Bürgerbewegung Pax  Europa e.V.,Aufklärung über den Islam und die Ahmadiyya-Gemeinde,St. Christophorus  Straße zwischen Feuerwache und Dekra,2018-11-13 00:00:00,12.00 – 16.00 Uhr
188.0,2018-11-07 00:00:00,Offenes Jugend- und Wahlkreisbüro RedRoXX,Gegen die Repression auf die Straße! Solidarität mir der kurdischen Bewegung!,Aufzug Willy-Brandt-Platz à Hirschgarten,2018-11-12 00:00:00,17.00 – 18.30 Uhr
189.0,2018-11-08 00:00:00,Patienteninitiative der Onkologischen Praxis des verstorbenen Dr. Ruffert in Jena,Die Krebspatienten der Onkologischen Praxis des verstorbenen Dr. Ruffert in Jena mit weiterem Praxisstützpunkt in Pößneck demonstrieren gegen die Einsetzung von Dr. Peter Fix,Thüringer Landtag,2018-11-20 00:00:00,09.30 – 10.00 Uhr
190.0,2018-11-08 00:00:00,Patienteninitiative der Onkologischen Praxis des verstorbenen Dr. Ruffert in Jena,Die Krebspatienten der Onkologischen Praxis des verstorbenen Dr. Ruffert in Jena mit weiterem Praxisstützpunkt in Pößneck demonstrieren gegen die Einsetzung von Dr. Peter Fix,Werner-Seelenbinder-Straße 6,2018-11-20 00:00:00,10.15 – 10.45 Uhr
191.0,2018-11-09 00:00:00,Patrioten für Deutschland,Kritik an dem Globalen Migrationspakt der UN,Fischmarkt,2018-11-24 00:00:00,14.00  - 16.00 Uhr
,,,,,,
,,ABGESAGT,,,,
192.0,2018-11-13 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,"Anger 18, Anger 17 – 19 und Anger 60 – 61",2018-11-16 00:00:00,12.30 – 15.30 Uhr
,,,,,,
193.0,2018-11-12 00:00:00,"Berufsbildende Schule ""St. Elisabeth"", Caritasverband für das Bistum Erfurt e.V.",Man muss die Menschen froh machen,Domplatz vor tegut (Marktstraße 28 – 31),2018-11-19 00:00:00,12.30 – 16.30 Uhr
194.0,2018-11-15 00:00:00,Seebrücke Erfurt,Gedenkveranstaltung für die Ertrunkenen im Mittelmeer,Willy-Brandt-Platz,2018-11-25 00:00:00,13.45 – 15.00 Uhr
195.0,2018-11-12 00:00:00,Umweltgewerkschaft e.V.,Weltklimatag ,Anger (vor Lutherdenkmal),2018-12-08 00:00:00,11.00 – 13.00 Uhr
196.0,2018-11-19 00:00:00,Eisenbahn- und Verkehrs-,Aktuelle Tarifverhandlungen,Willy-Brandt-Platz,2018-11-21 00:00:00,11.00 – 12.30 Uhr
,,Gewerkschaft EVG,,,,
197.0,2018-11-20 00:00:00,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind Verkehr!",Willy-Brandt-Platz à Stadtgebiet à Fischmarkt,2018-11-30 00:00:00,18.30 – 20.00 Uhr
198.0,2018-11-28 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,"Anger 18, Anger 18 – 20",2018-12-01 00:00:00,15.00 – 18.00 Uhr
,,,,,,
199.0,2018-11-27 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleids durch Veganismus,Vor Lutherdenkmal,2018-12-22 00:00:00,15.00 – 18.00 Uhr
200.0,2018-12-05 00:00:00,Einzelperson,Aufmerksamkeit für Obdachlosenhilfe im Winter,Vor Lutherdenkmal Anger,07.12. – 08.12.2018,17.00 – 09.00 Uhr
201.0,2018-12-14 00:00:00,Grüne Jugend Thüringen ,Klimagerechte Zukunft  Fridays for future,Jürgen-Fuchs-Straße,2018-12-14 00:00:00,13:00 -15:00 Uhr
202.0,2018-12-18 00:00:00,Grüne Jugend Thüringen,Klimagerechte Zukunft,Anger (vor Lutherdenkmal),2018-12-21 00:00:00,13.00 – 14.30 Uhr
,,,#FridaysForFuture  ,,,
