Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung / Aufzugsstrecke,Datum der Versammlung,Uhrzeit der Versammlung
20.0,2018-01-15 00:00:00,Jusos in der SPD – Erfurt,Keine Zeit für Stillstand! Das 21. Jahrhundert gestalten immer noch wir! NO GROKO!,Willy-Brandt-Platz à Anger à Fischmarkt à Domplatz,2018-01-20 00:00:00,13.00 – 18.00 Uhr
21.0,2018-01-16 00:00:00,Einzelperson,Baugenehmigung – nein danke! keine Moschee in Erfurt!,Fischmarkt,2018-01-17 00:00:00,17.00 – 18.00 Uhr
22.0,2018-01-16 00:00:00,Ahmaddiyya Muslim Jamaat (KdöR),Wir sind alle Deutschland / Muslime für Frieden,Fischmarkt,2018-01-20 00:00:00,13.00 – 16.00 Uhr
23.0,2018-01-16 00:00:00,Deutsches Tierschutzbüro e.V.,Gegen Pelz in der Mode (Breuninger),Junkersand / Schlösserstraße,2018-01-19 00:00:00,16.00 – 19.00 Uhr
24.0,2018-01-16 00:00:00,Deutsches Tierschutzbüro e.V.,Gegen Pelz in der Mode (Breuninger),Junkersand / Schlösserstraße,2018-01-20 00:00:00,13.00 – 19.00 Uhr
25.0,2018-01-17 00:00:00,Einzelperson,,Fischmarkt,2018-01-17 00:00:00,16.45 – 18.00 Uhr
26.0,2018-01-15 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit gegen Rechtsextremismus,Mahnwachen,Angerdreieck,25.01. – 20.09.2018,17.00 – 18.00 Uhr
27.0,2018-01-18 00:00:00,Einzelperson,Gegen das Vorhaben Erdogans Regimes der Afrim-Besatzung,Willy-Brandt-Platz à Angerdreieck,2018-01-20 00:00:00,15.00 – 17.00 Uhr
28.0,2018-01-19 00:00:00,Auf die Plätze,DEr AfD entgegentreten ! ,"Bahnhofsvorplatz, Anger, Fischmarkt, Domplatz ( Zwischenkundgebung) , Fischmarkt, Anger, Bahnhofsvorplatz ",2018-01-28 00:00:00,13:30 – 20:30 Uhr
29.0,2018-01-22 00:00:00,Critical Mass Erfurt,"Wir verhindern nicht den Verkehr, wir sind der Verkehr, verkehrspolitische Radtour","Willy-Brandt-Platz, Juri-Gagarin-Ring, Neuwerk-straße, Lilienstraße, Andreasstraße, Am-ploniusweg, Schlüter-straße, Friedrich -Engels-Straße, Leipziger Platz, Iderhofstraße, Trommsdorfstraße, Johannesstraße, Futterstraße, Wenige-markt, Rathausbrücke, Benediktsplatz, Fischmarkt",2018-01-26 00:00:00,18:30-20:30 Uhr
