lfd.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Vers.,Zeit
Nr.,,,,,,
11,2011-12-19 00:00:00,Occupy Thüringen / Erfurt,Viele Kerzen für Demokratie,Aufzug,2012-01-15 00:00:00,16:00 - 18:00
12,2011-12-19 00:00:00,Eisenbahn- und Verkehrsgewerkschaft,Altersversorgung der ehemaligen Deutschen Reichsbahn,Mahnwache,2012-01-17 00:00:00,ab 10:30
,,,,Bundesarbeitsgericht,,
13,2012-12-30 00:00:00,DIE LINKE.,Ehrung Rosa Luxemburg,Mahnwache,2012-01-15 00:00:00,9:30 - 11:00
14,2012-01-02 00:00:00,Einzelperson,Gegen die Ermordung von 35 Zivilisten,Anger,2011-12-31 00:00:00,14:30:00
15,2012-01-09 00:00:00,Rudolf-Diesel-Schule,Kundgebung,Fischmarkt,2012-01-11 00:00:00,ab 17:00
16,2012-01-13 00:00:00,Bündnis für soz. Gerechtigkeit,Donnerstagskundgebungen,Anger,Jan.- April,ab 17:00
17,2012-01-16 00:00:00,SPD - Kreisverwaltung,Abschlussveranstaltung OB - Wahlkampf,Anger 1,2012-05-04 00:00:00,10:00 -21:00
,,,,,(Stichwahl),
18,2012-01-16 00:00:00,SPD - Kreisverwaltung,Wahlkampveranstaltung SPD,Anger Kreuz,2012-03-30 00:00:00,12:00 -20:00
,,,,,,
19,2012-01-18 00:00:00,Brennessel e. V,Mahnwache,Fischmarkt,2012-11-25 00:00:00,16:30 - 18:30
20,2012-01-26 00:00:00,Pro Erfurt,Pilch bringt Erfurt auf den rechten Weg,Fischmarkt,2012-01-28 00:00:00,12:00 -14:00
21,2012-02-02 00:00:00,Piratenpartei Kreisverband Erfurt,Aktionstag - Demo gegen ACTA,Innenstadt,2012-02-11 00:00:00,15:00 bis 18:00
22,2012-02-03 00:00:00,SPD-Stadtratsfraktionen,öffentl. Bürgersprechstunde,Angerkreuz,2012-02-16 00:00:00,16:00 18:00
23,2012-02-06 00:00:00,ver.di Fachbereich 9,Kundgebung,Andreasstr. 38 Telekom,2012-03-05 00:00:00,11:45 - 13:00
24,2012-02-06 00:00:00,dbb Erfurt,Tarifkampagne,Anger 1,2012-02-29 00:00:00,09:00 - 15:00
25,2012-01-31 00:00:00,DIE LINKE,Wahlveranstaltung ,Anger 1,2012-04-20 00:00:00,8:00 -21:00
,,,"""Thüringen rockt""",,,
26,2012-02-08 00:00:00,Einzelperson,Demonstration,ges. Innenstadt,2012-07-21 00:00:00,13:00 -18:00
,,,"""Gegen Repressionen - für Integration""",,,"Veranstalter nicht erschienen, Versammlung hat nicht stattgefunden"
27,2012-02-20 00:00:00,verdi Frauenrat,Internationaler Frauentag,Anger 1,2012-03-08 00:00:00,15:00 -18:00
28,2012-02-20 00:00:00,Bündnis 90  / Die Grünen,Kritik an der Beschaffungsreserve,Thüringer Landtag,2012-02-22 00:00:00,8:30-11:00
29,2012-02-20 00:00:00,Flüchtlingsrat e.V.,Internationaler Tag gegen Rassismus,Anger,2012-03-21 00:00:00,15:00-18:00
30,2012-02-22 00:00:00,Einzelperson,ACTA Runde 2: Acta aus-Demokratie an,"Anger-Schlösserstraße, FischmarktMarktstraße Domplatz, Kettenstraße, Paulstraße, Meister-Eckhardt-Straße, RegierungsstraßeAnger, Bahnhofstraße, Willy-Brandt-Platz",2012-02-25 00:00:00,15:00 -18:00
31,2012-02-21 00:00:00,Einzelperson,Wir freuen uns schon auf das neue Stadion,Fischmarkt,2012-02-29 00:00:00,16:30-19:00
32,2012-02-21 00:00:00,Solarinput e.V.,Aktionstag gegen die Kürzungspläne der Bundesregierung,Firmengelände PV Silicon GmbH Wilhelm-Wolff-Straße 25,2012-02-23 00:00:00,12.30-13:30
33,2012-02-23 00:00:00,Gleichstellungsbeauftragte,"""3. März Equal Pay Day",Fischmarkt,2012-03-23 00:00:00,13:00 - 14:00
34,2012-03-27 00:00:00,Bündnis 90/Die Grünen,Wahlkampfauftakt Bündnis 90/Die Grünen,Fischmarkt,2012-03-02 00:00:00,16:00 - 17:00
35,2012-03-07 00:00:00,Landesfrauenrat,Mahnwache Internationaler Frauentag,Staatskanzlei,2012-03-07 00:00:00,11:00 - 13:00
,,,,,,
36,2012-02-07 00:00:00,Inside - SPD,OB-Wahl (Bausewein),Anger 1,14.04.+21.04.12,11:00 - 18:00
37,2012-03-01 00:00:00,Anti-Atom-Bündnis,Mahnwache zum Gedenken an ein Jahr Fukushima,Angerkreuz,2012-03-11 00:00:00,15:00 - 16:00
38,2012-03-02 00:00:00,Verdi Bezirk Mittel- / Nordthüringen,Tarifrunde öffentlicher Dienst,Anger+ Zugweg Autokorso,2012-03-22 00:00:00,6:00 -11:00
39,2012-03-06 00:00:00,Bündnis 90/Grüne,Equal Pay Day,Th. Landtag,2012-03-23 00:00:00,08:00 - 09:00 
40,2012-02-29 00:00:00,Jusos Erfurt,"Diskussionsrunde Kundgebung ""Sarrazin""",Hirschgarten,2012-05-09 00:00:00,15:00 bis 21:00
41,2012-02-29 00:00:00,Jusos Erfurt,Kundgebung,Angerkreuz,2012-03-23 00:00:00,14:30 - 17:30
,,,"""Equal Pay Day",,,
42,2012-03-08 00:00:00,"Bündnis ""Sarrazin absagen""",Gegen jeden Rassismus,Theaterstraße,2012-05-09 00:00:00,15:00 - 18:00
43,2012-03-08 00:00:00,FDP - Thüringen,Wahlkampfauftakt,Arnstädter Str./Werner Seelenb. Str.,2012-03-12 00:00:00,17:45 - 18:00
44,2012-03-12 00:00:00,Einzelperson,Earth Hour Aktion,Fischmarkt,2012-03-31 00:00:00,20:00 - 22:00
45,2012-03-13 00:00:00,ver.di,Equal Pay Day,Angerkreuz,2012-03-23 00:00:00,15:00 - 18:00
46,2012-03-13 00:00:00,DGB - Thüringen,"""Tag der Arbeit""",Anger/Innenstadt,2012-05-01 00:00:00,9:30 - 18:00
47,,,,,,
48,2012-03-01 00:00:00,Wehrbereichskommando III,Jahresempfang,Theaterplatz,2012-03-27 00:00:00,06:00 - 18:00
