"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung
202,2022-09-03 00:00:00,Väteraufbruch für Kinder e.V.,Eltern-Kind-Entfremdung,Domplatz/ Marktstraße,2022-09-10 00:00:00,12.00 - 16.00 Uhr
203,2022-09-05 00:00:00,Deutscher Falun Dafa Verein e.V.,Falun Dafa und die Verfolgung in China,Fischmarkt,2022-09-24 00:00:00,10.00 - 17.00 Uhr
204,2022-09-05 00:00:00,IJM Deutschland e.V.,Moderne Sklaverei und Menschenhandel,Anger,2022-10-15 00:00:00,12.00 - 17.00 Uhr
205,2022-09-08 00:00:00,VCD,"Parkind Day ""12qm Kultur"" - Lebensraum statt Autoraum","Andreasstraße 32-37, 99084 Erfurt (beide Parkbuchten)",2022-09-16 00:00:00,15.00 - 18.00 Uhr
206,2022-09-10 00:00:00,Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-09-17 00:00:00,16.00 - 19.00 Uhr
207,2022-09-13 00:00:00,Bündnis für soziale Gerechtigkeit und gegen Rechtsextremismus,Wir frieren nicht für eure Profite! Protest gegen die Regierung ist links!,Angerdreieck,2022-09-22 00:00:00,17.00 - 18.30 Uhr
208,2022-09-12 00:00:00,MLPD Thüringen,"""Für die Arbeitereinheit in Ost und West! Gemeinsam gegen die Abwälzung der Kriegs- und Krisenlasten auf unseren Rücken! Aktiv für Lohnnachschlag und gegen die akute Weltkriegsgefahr!""",Fischmarkt,2022-10-03 00:00:00,11.00 - 13.30 Uhr
209,2022-09-14 00:00:00,Auf-die-Plätze-Bündnis,Den Nazis die Hölle heiß machen - Gegen die soziale Kälte der AfD!,Schillerstraße/ Kaffeetrichter --> Arnstädter-Straße --> Arnstädter Straße Ecke Johann-Sebastian-Bach ,2022-09-21 00:00:00,17.30 - 21.00 Uhr
210,"15.09.2022
ABGESAGT !",RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-09-28 00:00:00,17.00 - 22.00 Uhr
211,"15.09.2022
ABGESAGT !",RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-05 00:00:00,17.00 - 22.00 Uhr
212,"15.09.2022
ABGESAGT !",RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-12 00:00:00,17.00 - 22.00 Uhr
213,"15.09.2022
ABGESAGT !",RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-19 00:00:00,17.00 - 22.00 Uhr
214,"15.09.2022
ABGESAGT !",RedRoXX - Linkes Wahlkreisbüro,Antifaschistischer Protest gegen neue und alte Nazis,Domplatz zwischen Obelisk un Domstufen,2022-10-26 00:00:00,17.00 - 22.00 Uhr
215,2022-09-21 00:00:00,"Persische Migranten in Erfurt
","""Frauenrechte im Iran (Mahsa Amini)""",Fischmarkt,2022-09-24 00:00:00,17.00 - 19.00 Uhr
216,2022-09-21 00:00:00,DIE LINKE Erfurt   ,"""Steigende Energiepreise ausbremsen""",Fischmarkt,2022-09-26 00:00:00,16.00 - 17.00 Uhr
217,2022-09-21 00:00:00,Critical Mass Erfurt,"""Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt""",Willy-Brandt-Platz --> Bahnhofstraße --> Schlösserstraße --> Marktstraße --> Domplatz --> Kettenstraße --> Paulstraße --> Meister-Eckehart-Straße --> Regierungsstraße --> Lutherstraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Johannesstraße --> Augustinerstraße --> Am Hügel --> Juri-Gagarin-Ring --> Franckestraße --> Schalchthofstraße --> Liebknechtstraße --> Leipziger Platz --> Thälmannstraße --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Lauentor --> Andreasstraße --> Große Ackerhofsgasse --> Moritzstraße --> Weiße Gasse --> Domplatz,2022-09-30 00:00:00,18.30 - 20.15 Uhr
218,2022-09-21 00:00:00,Einzelperson,"""Handwerk und Gewerbe müssen weiter bestehen können, deshalb: stoppt die Energiepreisexplosion!""","Erfurt, Gothaer Straße 24 (Platz vor dem Messeeingang)",2022-09-24 00:00:00,08.30 - 10.00 Uhr
219,2022-09-21 00:00:00,IG Metall Erfurt,Tarifrunde 2022 in der Metall- und Elektroindustrie,Häßlerstraße 17 (vor Victor`s Residenz Hotel Erfurt),2022-10-04 00:00:00,09.30 - 11.00 Uhr
220,2022-09-22 00:00:00,Neue Stärke Partei,"""Gegen Kommunistische Machenschaften in Erfurt Nord""","Ilversgehovener Platz 
Rieth (Marktplatz)
Eugen-Richter-Straße Ecke Friedrich-Engels-Straße",2022-09-24 00:00:00,"14:00 -15:00 Uhr
15:30 - 16:15 Uhr 16:45 - 17:30 Uhr"
221,2018-02-19 00:00:00,Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"10.10.2022
17.10.2022
24.10.2022",19.00 - 20.00 Uhr
222,2022-09-27 00:00:00,Initiative Leuchtturm ARD,Mahnwache für unabhängigen Journalismus,"MDR Landesfunkhaus, Gothaer Straße 36","29.09.2022
06.10.2022
13.10.2022
20.10.2022
27.10.2022",16.00 - 17.00 Uhr
223,2022-09-26 00:00:00,AIDS - Hilfe Thüringen e.V.,Gedenkveranstaltung ,Steinspur vor den Domstufen,2022-11-04 00:00:00,16.00 - 18.00 Uhr
224,2022-09-27 00:00:00,Alternative für Deutschland - AfD  ABGESAGT !!,"Heißer Herbst / Für Meinungsfreiheit, für ein bezahlbares Leben in einem sicheren Deutschland",Domplatz --> Marktstraße --> Barfüßerstraße --> Meister-Eckehart-Straße --> Regierungsstraße --> Holzheienstraße --> Mainzerhofplatz --> Petersstraße --> Maximilian-Welsch-Straße --> Lauentor --> Domplatz,2022-11-12 00:00:00,17.00 - 21.00 Uhr
225,2022-09-29 00:00:00,Einzelperson,Iranische Kämpfer unterstützen und ihre Stimmen im Ausland widerspiegeln,Anger / Bahnhofstraße ,2022-10-01 00:00:00,18.00 - 19.00 Uhr
226,2022-10-04 00:00:00,Migranten Omid Verein - MOVE e.V.,Gegen die Gewalt in Afghanistan,Angerdreieck,2022-10-08 00:00:00,16.00 - 20.00 Uhr
227,2022-09-29 00:00:00,Einzelperson,Ausstellung von aneinandergereiten Corona-Presseberichten auf 7m Länge an Wäscheleinen,vor Anger 1,2022-10-20 00:00:00,09.00 - 19.00 Uhr
228,2022-10-01 00:00:00,Deutscher Falun Dafa Verein e.V.,Falun Dafa und die Verfolgung in China,Fischmarkt ,2022-10-22 00:00:00,16.00 - 17.00 Uhr
229,2022-10-06 00:00:00,Seebrücke Erfurt,Solidaritätskundgebung gegen Verletzung der Frauenrechte u. brutale Unterdrückung der Proteste im Iran,Angerdreieck,2022-10-15 00:00:00,15.45 - 18.00 Uhr
230,2022-10-08 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2022-10-15 00:00:00,15.00 - 18.00 Uhr
231,2022-10-07 00:00:00,Omas gegen Rechts Erfurt e.V.,Demokratischer Diskurs,vor altem Angerbrunnen,2022-10-15 00:00:00,11.00 - 13.00 Uhr
232,2022-10-07 00:00:00,Omas gegen Rechts Erfurt e.V.,Demokratischer Diskurs,vor altem Angerbrunnen,2022-11-05 00:00:00,11.00 - 13.00 Uhr
233,2022-10-07 00:00:00,Omas gegen Rechts Erfurt e.V.,Demokratischer Diskurs,vor altem Angerbrunnen,2022-12-03 00:00:00,11.00 - 13.00 Uhr
234,2022-10-07 00:00:00,Reform3000.com,"Sind Thüringer Staatskanzlei, Ministerien und (Stiftungs) Behörden eine strukturell antisemitische rotbraune Kloake, die den ""Judenmord als Heilsvorstellung"" noch unbedingt brauchen, um ihre Arbeit fortzusetzen?",vor der Thüringer Staatskanzlei,2022-10-20 00:00:00,10.30 - 16.00 Uhr
235,2022-10-11 00:00:00,Verein Ukrainischer Landsleute in Thüringen e.V.,Solidarität mit der Ukraine,Willy-Brandt-Platz,2022-10-13 00:00:00,17.00 - 18.00 Uhr
236,2022-10-11 00:00:00,"Hood, not Kiez - Bündnis","Kundgebung gegen Rassismus, Nationalismus und Sozialchauvinismus","Ilversgehovener Platz 
",2022-10-29 00:00:00,13.30 - 16.00 Uhr
237,2022-08-22 00:00:00,Heinrich-Böll-Stiftung Thüringen e.V.,Stehen-mit-der-Erde,Anger (vor Lutherdenkmal),2022-11-23 00:00:00,15.00 - 17.00 Uhr
238,2022-10-12 00:00:00,Einzelperson,Um die Proteste der Menschen im Iran zu unterstützen,Anger,2022-10-22 00:00:00,16.00 - 17.00 Uhr
239,2022-10-13 00:00:00,VCD ,Sommerzeit + Winterzeit = Fahrradzeit,Stadtgebiet Erfurt,2022-10-28 00:00:00,18.30 - 20.00 Uhr
240,2022-10-14 00:00:00,Deutscher Falun Dafa Verein e.V.,Falun Dafa und die Verfolgung in China,Anger (vor Lutherdenkmal),2022-11-26 00:00:00,10.00 - 17.00 Uhr
241,2022-10-14 00:00:00,Deutscher Falun Dafa Verein e.V. ABGESAGT !!,Falun Dafa und die Verfolgung in China,Anger (vor Lutherdenkmal),2022-12-10 00:00:00,10.00 - 17.00 Uhr
242,2022-10-17 00:00:00,Bewegung Erfurt,Wir stehen zusammen für eine gerechtere Zukunft!,Domplatz / Juri-Gagarin-Ring (HsD),2022-11-12 00:00:00,15.00 - 21.00 Uhr
243,2022-10-19 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,"Protest gegen das teure Leben, gegen Krieg und Rechtsentwicklung",Angerdreieck,2022-10-24 00:00:00,18.00 - 18.45 Uhr
244,2022-10-21 00:00:00,Einzelperson,Nein zur Verarmungs- und Kriegspolitik,Angerdreieck,2022-11-05 00:00:00,14:00-16:30 Uhr
245,2022-10-25 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,Für soziale Gerechtigkeit und Frieden                  Für Frieden und Umweltschutz,Angerdreieck,01.11.2022 07.11.2022,18:00-18:45 Uhr
246,2022-10-26 00:00:00,Einzelperson,Demonstration gegen ungerechtes Urteil,Angerdreieck,2022-10-29 00:00:00,14:00-15:00 Uhr 
247,2022-10-26 00:00:00,Mesopotamien Verein Erfurt,Stopp die Ermordung von Kurden durch die Türkei,Willy-Brandt-Platz bis zum Angerdreieck,2022-10-29 00:00:00,13:00-14:00 Uhr
248,2022-10-26 00:00:00,IG Metall Erfurt,Warnstreik,Schwerborner Straße (vor Schuler Pressen Erfurt GmbH ),2022-11-09 00:00:00,12:00-15:00 Uhr
249,2022-10-26 00:00:00,Omas gegen Rechts Erfurt e.V.,Demokratischer Diskurs,vor altem Angerbrunnen,2022-10-29 00:00:00,11.00 - 13.00 Uhr
250,2022-10-27 00:00:00,ver.di Vereinte Dienstleistungsgewerkschaft Landesbezirk SAT,Streikkundgebung der ComTS Mitte,"vor Gebäude Juri-Gagarin-Ring 86, Haupteingang und Thomaseck Personaleingang, 99084 Erfurt",2022-11-02 00:00:00,06.45 - 09.00 Uhr
251,2022-10-27 00:00:00,Seebrücke Jena,Abschiebestopp,Freifläche vor der Thüringer Staatskanzlei,2022-11-03 00:00:00,17.00 - 19.00 Uhr
252,2022-10-27 00:00:00,IG Metall Erfurt,Warnstreik,"Werner-von-Siemens-Straße Ecke Grubenstraße, 99086 Erfurt",2022-11-04 00:00:00,13.00 - 15.00 Uhr
253,2022-10-27 00:00:00,Evangeliums Christen Baptisten Gemeinde Büdingen,Evangeliumsverkündigung von Jesus Christus,Anger vor Lutherdennmal,2022-11-12 00:00:00,11.00 - 17.00 Uhr
254,2022-10-17 00:00:00,Brennessel e.V.,"Tag gegen Gewalt an Frauen (Femizide, Häusliche Gewalt)",Fischmarkt,2022-11-25 00:00:00,17.00 - 19.00 Uhr
255,2022-10-28 00:00:00,#NichtMitUns Erfurt,#NichtMitUns; solidarischer Umgang in der Energiekrise; für Sozialproteste ohne Verschwörungsmythen,Freifläche vor der Thüringer Staatskanzlei,2022-11-08 00:00:00,17.30 - 20.00 Uhr
256,2022-11-01 00:00:00,IG Metall Erfurt,Warnstreik,Flughafenstraße 4,2022-11-07 00:00:00,08.00 - 10.00 Uhr
257,2022-11-02 00:00:00,Gemeinschaft gebietsärztlicher Berufsverbände,Gemeinsam gegen den Abbau der ambulanten Versorgung,"Thüringer Landtag, Jürgen Fuchs-Straße 1",2022-12-14 00:00:00,13.00 - 14.30 Uhr
258,2022-11-02 00:00:00,Anonymous fot the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2022-11-05 00:00:00,15.00 - 18.00 Uhr
259,2022-11-03 00:00:00,Ahmadiyya Muslim Jamaat KdöR,Stoppt den Weltkrieg - Die Welt aus den Fugen,Schlösserstraße ,2022-11-05 00:00:00,12.00 - 17.00 Uhr
260,2018-02-15 00:00:00,Einzelperson,"""Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, 
Ansprachen, Liedgesang""
",St.-Christophorus-Straße in 99092 Erfurt-Marbach,"07.11.2022
14.11.2022
21.11.2022
28.11.2022",19.00 - 20.00 Uhr
261,2022-11-05 00:00:00,Critcial Mass Erfurt,,Willy-Brandt-Platz --> Kurt-Schumacher-Straße --> Trommsdorffstraße --> Stauufenbergallee --> Schlüterstraße --> Nordstraße --> Talstraße --> Bergstraße --> Nordhäuser Straße --> Moritzwallstraße --> Schlüterstraße --> Johannesstraße --> Juri-Gagarin-Ring --> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> Alfred-Hess-Straße --> Steigerstraße --> Schillerstraße --> Stauffenbergallee --> Leipziger Platz --> Geschwister-Scholl-Straße --> Thälmannstraße --> Leipziger Platz --> Krämpferstraße --> Juri-Gagarin-Ring --> Lachsgasse --> Anger --> Regierungsstraße (Freifläche vor der Thüringer Staatskanzlei),2022-11-25 00:00:00,18.30 - 20.30 Uhr
262,2022-11-05 00:00:00,Deutscher Falun Dafa Verein e.V.  ,Falun Dafa und die Verfolgung in China,"Anger, vor Lutherdenkmal",2022-12-17 00:00:00,10.00  - 17.00 Uhr
263,2022-11-06 00:00:00,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,"Anger, vor dem Lutherdenkmal",2022-12-10 00:00:00,14.00 - 17.00 Uhr
264,2022-11-07 00:00:00,Einzelperson,Solidarität mit der Frauenrevolution im Iran,Lutherdenkmal,2022-11-19 00:00:00,16.00 - 18.00 Uhr
265,2022-11-08 00:00:00,Auf die Plätze Bündnis,Gemeinsam auf die Plätze! Gegen den Rechtsruck auf Erfurts Straßen,Willy-Brandt-Platz (Auftaktkundgebung) --> Bahnhofstraße --> Anger --> Regierungsstraße --> Lutherstraße --> Karl-Marx-Platz --> Juri-Gagarin-Ring --> Max-Cars-Platz (Zwischenkundgebung) --> Juri-Gagarin-Ring --> Karl-Marx-Platz --> Neuwerkstraße --> Anger  --> Bahnhofstraße --> Willy-Brandt-Platz (Abschlusskundgebung),2022-11-12 00:00:00,15.30 - 20.00 Uhr
266,2022-11-09 00:00:00,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz ,"Eislebener Straße i.H. 4, 99086 Erfurt",2022-11-11 00:00:00,17.00 - 19.00 Uhr
267,2022-11-08 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,Friedenskundgebungen,"Anger, vor Lutherdenkmal","14.11.2022
21.11.2022
28.11.2022
05.12.2022
12.12.2022
19.12.2022",18.30 - 18.30 Uhr
268,2022-11-09 00:00:00,AbL Mitteldeutschland,"""Gerechte Verpachtung der stadteigenen Agrarflächen""",Fischmarkt,2022-11-25 00:00:00,10.15 - 12.00 Uhr
269,2022-11-11 00:00:00,Evangelischer Kirchenkreis Erfurt,"""Evangelische Kirche gegen Rechtsextremismus""",Juri-Gagarin-Ring i.H. Synagoge,2022-11-12 00:00:00,17.00 - 18.30 Uhr
270,2022-11-10 00:00:00,IG Metall Erfurt,"""Warnstreik in der Metall- und Elektroindustrie""","Aufzug 1 :(Werner-von Siemens-Straße --> Stotternheimer Straße ) Zusammenschluss mit Aufzug 2: (Schwerborner Straße --> Stotternheimer Straße) --> Gemeinsam Stotternheimer Straße bis Kreuzung Bunsenstraße
Standkundgebung (Kreuzung Stotternheimer Straße/ Bunsenstraße)  ",2022-11-17 00:00:00,09.00 - 13.00 Uhr
271,2022-11-17 00:00:00,Frauenverband Courage e.V.,Zum Tag gegen Gewalt an Frauen,"Berliner Platz 11 (vor ""Berolina"")",2022-11-25 00:00:00,15.00 - 16.30 Uhr
272,2022-11-18 00:00:00,Ortsteilrat Stotternheim,Stiller Protestzug für eine neue Sporthalle am Schulstandort,Schule Stotternheim --> Geheimrat-Goethe-Straße --> Erfurter Landstraße --> Sportplatz (Erfurter Landstraße 66),2022-11-25 00:00:00,18.00 - 19.30 Uhr
273,2022-11-22 00:00:00,Einzelperson,Übergabe der Unterschriften Kinder für eine neie Schulsporthalle in Stotternheim,Fischmarkt,2022-11-29 00:00:00,16.00 - 17.00 Uhr
274,2022-11-22 00:00:00,Freie Christliche Gemeinde Frömmstedt,"Frieden, Versöhnung, Weihnachten",Anger (vor Lutherdenkmal),2022-12-03 00:00:00,11.00 - 17.00 Uhr
275,2018-02-19 00:00:00,Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"05.12.2022
12.12.2022
19.12.2022",19.00 - 20.00 Uhr
276,2022-11-28 00:00:00,"Bündnis ""Nicht mit uns!"" und ""Genug ist Genug""",Profite auf unserem Rücken? Nicht mit uns! Genug ist Genug! Soziale Entlastungen jetzt!,Rosa-Luxemburg-Platz --> Aufzug Innenstadt --> Staatskanzlei (Abschlusskundgebung),2022-12-17 00:00:00,14.00 - 17.00 Uhr
277,2022-12-08 00:00:00,Einzelperson,Solidarität mit der Revolution im Iran,Anger vor Lutherdenkmal,2022-12-17 00:00:00,12.00 - 13.30 Uhr
278,2022-12-14 00:00:00,Bündnis 90 / Die Grünen ABGESAGT,"Aktion Demokratie - ""Human Rights Team Fußball WM""",Willy-Brandt-Platz ,2022-12-16 00:00:00,13.00 - 15.30 Uhr
279,2022-12-15 00:00:00,Einzelperson,"Gerichtsprozess gegen ""Neue Stärke Erfurt e.V.""",vor dem Landgericht,2022-12-21 00:00:00,09.00 - 17.00 Uhr
280,2022-12-19 00:00:00,Deutscher Gewerkschaftsbund  ,Rote Karte für die CDU-Kürzungspolitik: Wir fordern die ungekürzte Weiterführung des Landesprogrammes für Demokratie,"Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-12-22 00:00:00,08.00 - 09.15 Uhr
