Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
134.0,2017-07-26,Grüne Jugend Thüringen,"Wahlkampf-Aktion: Lebe, wie du willst",Angerdreieck,2017-08-19 00:00:00,14.30 – 18.00 Uhr 
135.0,2017-07-26,Grüne Jugend Thüringen,"Wahlkampf-Aktion: Unsere Stadt, dein Wohnzimmer",Fischmarkt,2017-09-08 00:00:00,17.30 – 21.00 Uhr
136.0,2017-05-08,DIE LINKE Thüringen,3. Linkes Sommerfest,Petersberg,2017-08-12 00:00:00,15.00 – 22.00 Uhr
137.0,2017-07-28,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Fischmarkt,2017-08-05 00:00:00,14.00 – 18.00 Uhr
138.0,2017-07-31,MLPD,Protest ist links! Die Internationalistische Liste / MLPD stellt sich vor,Angerdreieck,2017-08-01 00:00:00,15.00 – 18.00 Uhr
139.0,2017-08-02,AfD Thüringen,Wahlkampfveranstaltung,Willy-Brandt-Platz,2017-08-15 00:00:00,16.00 – 18.00 Uhr
140.0,2017-08-02,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Fischmarkt,2017-08-04 00:00:00,14.00 – 19.00 Uhr
141.0,2017-08-03,Einzelperson,We are still here!,Aufzug Lucas-Cranach-Platz à Tungerstraße 1,2017-08-05 00:00:00,18.00 – 20.00 Uhr
142.0,2017-07-27,BUND Erfurt,Wie weiter mit CETA u.a. Freihandelsabkommen? ,Fischmarkt,2017-08-12 00:00:00,08.00 -11.00 Uhr
143.0,2017-08-07,MLPD,Protest ist links! Die Internationalistische Liste / MLPD stellt sich vor,Anger (vor Lutherdenkmal),2017-08-10 00:00:00,13.00 – 16.30 Uhr
144.0,2017-08-08,Critical Mass,Fahrraddemonstration,Willy-Brandt-Platz à Fischmarkt,2017-08-25 00:00:00,18.30 – 20.00 Uhr
145.0,2017-08-09,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Wenigemarkt,2017-08-15 00:00:00,16.00 – 19.00 Uhr
146.0,2017-08-10,Junge Europäische Förderalisten Thüringen e.V.,Fishbowl zu Europäischer Demokratie,Vor Anger 1,2017-08-23 00:00:00,16.00 – 18.00 Uhr
147.0,2017-08-11,"Verein ""Statt Urwald- Kulturwald am Possen und Hainleite e.V.",Keine weitere Einschränkung der Forstwirtschaft in Thüringen,Jürgen-Fuchs-Straße 1 Thüringer Landtag,2017-08-24 00:00:00,16.00 -18.00 Uhr
148.0,2017-08-11,Rollparade 2.0,Alles was rollt und alternativ ist zum motorisierten Verkehr und einen selbst Antrieb hat,Willy-Brandt-Platz Juri-Gagarin-RingMagdeburger Allee Vollbrachtstraße Fischmarkt,2017-09-17 00:00:00,13.00-15.00 Uhr
149.0,2017-08-21,Deutsche Mitte (DM) ,"Bundeswahlkampf der Partei ""Deutsche Mitte""",Willy-Brandt-Platz,2017-09-16 00:00:00,15.45-18.15 Uhr
150.0,2017-08-21,Ver.di Thüringen FB Handel,Tarifrunde Einzelhandel,Kundgebung: Anger vor Karstadt und Futterstraße 14,2017-09-01 00:00:00,11.00-13.00 Uhr
,2017-08-24,,,Aufzug: Schillerstr. 44à Läberwallgrabenà Löberstraßeà Juri-Gagarin-Ringà Lachsgasseà Angerà Johannesstraßeà Futterstraßeà Schottenstraßeà Johannesstraßeà Angerà Bahnhofstraßeà Schillerstraße,,
,2017-08-29,,,,,
151.0,2017-08-28,DGB Jugend Thüringen,Plan B der Gewerkschaftsjugend zur Bundestagswahl,Anger (zwischen Anger 1 und Brunnen),2017-09-09 00:00:00,12.00-16.00 Uhr
152.0,2017-08-29,DGB Thüringen – Stadtverband Erfurt,Die Rente nicht auf die lange Bank schieben.,Anger,2017-09-15 00:00:00,11.00-13.00 Uhr
153.0,2017-08-28,Freie Wähler in Thüringen,Politische Demo gegen die Gebietsreform,Domplatz,2017-09-08 00:00:00,15.00-16.00 Uhr
154.0,2017-08-29,IG Metall Erfurt,Mehr Rente – mehr Zukunft. Für eine solidarische Alterssicherung ,Am Brunnen vor dem Anger 1,2017-09-11 00:00:00,08.30-12.30 Uhr
155.0,2017-09-01,MLPD Landesgeschäftsstelle Ost,Bundestagswahlkampf 2017,Am Brunnen vor dem Anger 1,2017-09-02 00:00:00,11.00-15.00 Uhr
156.0,2017-09-01,Einzelperson,Arbeit der Ämter insbesondere Jugendamt bezüglich Kindeswohl anhand eines Beispiels,Fischmarkt,2017-09-02 00:00:00,10.00-12.00 Uhr
157.0,2017-09-04,"Bürgerinitative ""Unser Museum bleibt""",Unser Museum bleibt,Anger 1,2017-09-05 00:00:00,15:00 -17:00 
158.0,2017-09-04,Erfurter Bündnis für soziale Gerechtigkeit gegen Rechtsextremismus,Mahnwachen,Angerdreieck,21.09.2017 – 17.11.2017,17.00 – 18.00 Uhr
159.0,2017-09-08,Auf die Plätze fertig + Antifaschistische Koordination Erfurt,Am 20.09.: Aufstehen gegen den Rechtsruck!,Willy-Brandt-Platz,2017-09-13 00:00:00,16.00 – 19.00 Uhr
160.0,2017-08-29,BUND Thüringen e.V.,Eröffnung der Europäischen Mobilitätswoche in Erfurt,Angerdreieck,2017-09-15 00:00:00,16.00 – 18.00 Uhr
161.0,2017-09-18,Linksjugend [`solid] Thüringen ,Jugendwahlkampf,Berliner Platz vor Stadtteilbibliothek,2017-09-20 00:00:00,10.00 – 16.30 Uhr
162.0,2017-09-18,Linksjugend [`solid] Thüringen,Jugendwahlkampf,Ecke Neuwerkstraße / Hirschlachufer,2017-09-21 00:00:00,11.00 – 18.00 Uhr
163.0,2017-09-19,Greenpeace Ortsgruppe Erfurt,Palmöl in Lebensmitteln,Vor Anger 1,2017-10-14 00:00:00,11.00 – 16.00 Uhr
164.0,2017-09-18,Internationalistische Liste / MLPD,Wahlkampfkundgebung,Angerdreieck,2017-09-23 00:00:00,10.30 – 14.00 Uhr
165.0,2017-09-28,Albert Schweitzer Stiftung für unsere Umwelt,Tierschutz / gegen Massentierhaltung,Fischmarkt,2017-10-04 00:00:00,16.00 – 19.00 Uhr
166.0,2017-09-28,Critical Mass Erfurt,Forderung nach mehr Beachtung für den Radverkehr,Willy-Brandt-Platz à Fischmarkt,2017-09-29 00:00:00,16.30 – 18.30 Uhr
167.0,2017-09-29,Albert Schweitzer Stiftung für unsere Umwelt,Tierschutz / gegen Massentierhaltung,Vor Anger 1,2017-10-14 00:00:00,12.00 – 19.00 Uhr
168.0,2017-10-04,Brennessel e.V.,"""Internationaler Tag gegen Gewalt an Frauen"" – Gedenken der Opfer",Fischmarkt,2017-11-25 00:00:00,16.30 – 18.30 Uhr
169.0,2017-10-06,BUND Thüringen e.V. ,Bild-Aktion zur BUND-Kampagne: Raus aus der Massentierhaltung!,Angerdreieck,2017-10-13 00:00:00,14.00 – 15.00 Uhr
,,Stadtverband Erfurt,,,,
170.0,2017-10-09,Ver.di Thüringen,Streik wegen Tarifkonflikt Postbank / Postbank Filialbetrieb,Anger vor Postgebäude + Aufzug ,2017-10-11 00:00:00,08.30 – 10.30 Uhr
171.0,2017-10-10,Deutsches Tierschutzbüro e.V.,Gegen Echtpelz in der Mode,Junkersand 4,2017-10-16 00:00:00,11.00 – 18.00 Uhr
,,ABGESAGT ,,,,
172.0,2017-10-12,Ver.di Landesbezirksfachbereich 9,Kundgebung zum Auftakt der Tarifrunde 2017 bei IBM in Form einer aktiven Mittagspause,Parsevalstraße 8,2017-10-16 00:00:00,11.45 – 12.45 Uhr
173.0,2017-10-16,Animal Rights Watch e.V.,Nein zum Pelzhandel in Erfurt,Kreuzung Schlösserstraße / Junkersand,2017-11-04 00:00:00,11.00 – 13.00 Uhr
174.0,2017-10-16,Marinekameradschaft Erfurt 1886/1992 e.V.,Ehrung aller Seeopfer zum Volkstrauertag 2017 – Kranzniederlegung,Hauptfriedhof,2017-11-18 00:00:00,10.00 – 11.00 Uhr
175.0,2017-10-17,Albert Schweitzer Stiftung für unsere Umwelt,Tierschutz / gegen Massentierhaltung,Vor Anger 1,2017-10-21 00:00:00,13.00 – 16.00 Uhr
176.0,2017-10-17,Einzelperson,Gegen die Isolation des Herrn Öcalan und gegen den Krieg im Irak gegen die Kurden,Aufzug Willy-Brandt-Platz à Angerdreieck,2017-10-21 00:00:00,14.00 – 17.00 Uhr
177.0,2017-10-18,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind Verkehr",Aufzug Willy-Brandt-Platz à Fischmarkt,2017-10-27 00:00:00,18.30 – 20.00 Uhr
178.0,2017-10-19,Linksjugend [`solid] Thüringen,"Aufbruch in eine ""Neue Welt""",Domplatz,2017-10-30 00:00:00,16.00 – 18.00 Uhr
179.0,2017-10-24,Bündnis Mitmenschlich in Thüringen / Förderkreis Erinnerungsort Topf & Söhne e.V.,Erinnern-Begreifen-Begegnen-Gedenken,Angerdreieck,2017-11-09 00:00:00,15.00 – 17.00 Uhr
180.0,2017-10-24,Einzelperson,Mahnwache zum Weltklimatag,Angerdreieck,2017-11-04 00:00:00,12.30 – 14.00 Uhr
181.0,2017-10-24,"Berufsbildende Schulen ""St. Elisabeth"", Caritasverband für das Bistum Erfurt e.V.","""Man muss die Menschen froh machen!"" Plädoyer für soziale Gerechtigkeit und Nächstenliebe im Geist er Heiligen Elisabeth",Vilniuspassage / Berliner Platz,2017-11-17 00:00:00,11.30 – 14.30 Uhr
182.0,2017-10-29,Aktionskreis für Frieden e.V.,Gedenken zum Volkstrauertag,Petersberg,2017-11-18 00:00:00,16.00 – 17.00 Uhr
183.0,2017-11-08,Critical Mass Erfurt,Fahrraddemonstration,Willy-Brandt-Platz à Fischmarkt,2017-11-24 00:00:00,18.30 – 20.00 Uhr
184.0,2017-11-14,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Vor Anger 1,2017-11-18 00:00:00,12.00 – 15.00 Uhr
185.0,2017-11-14,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Vor Anger 1,2017-11-25 00:00:00,11.00 – 14.00 Uhr
186.0,2017-11-13,Einzelperson,Transgender Day of Remembrance,Willy-Brandt-Platz,2017-11-20 00:00:00,13.00 – 20.00 Uhr
187.0,2017-11-16,IG Metall Erfurt,Gegen die Pläne des Managements bei Siemens,Salinenstraße à Anger,2017-11-21 00:00:00,15.00 – 18.00 Uhr
188.0,2017-11-16,Einzelperson,Glyphosat – Verbot,Friedrich-Ebert-Straße 63,2017-11-21 00:00:00,16.00 – 17.00 Uhr
189.0,2017-11-13,Deutsches Tierschutzbüro e.V.,Gegen Echtpelz in der Mode,Junkersand / Schlösserstraße ,2017-11-29 00:00:00,13.00 – 19.30 Uhr
,,,,,2017-11-30 00:00:00,11.00 – 16.00 Uhr
199.0,2017-12-04,Deutsches Tierschutzbüro e.V.,Gegen Echtpelz in der Mode,Junkersand / Schlösserstraße,2017-12-20 00:00:00,13.00 – 18.00 Uhr
,,,,,2017-12-22 00:00:00,12.30 – 19.00 Uhr
200.0,2017-12-12,Einzelperson,Gegen Trump Entscheidung in Palästina,Willy-Brandt-Platz,2017-12-16 00:00:00,14.00 – 16.00 Uhr
201.0,2017-12-19,Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz / gegen Massentierhaltung,Anger (vor Lutherdenkmal),2017-12-23 00:00:00,16.00 – 18.30 Uhr
