Lfd. Nr,PE,Versammlungsanmelder,Thema,Ort der Versammlung /,Datum der Versammlung,Uhrzeit der Versammlung
32.0,2017-03-16,Die Rechte Thüringen,Volkswirtschaft statt Finanzlobby – Gerechte Löhne schaden nur den Kapitalisten,Schillerstraße à Domplatz,2017-07-01 00:00:00,13.00 – 20.00 Uhr
33.0,2017-03-16,Animal Rights Watch e.V.,"Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiten, Jagen, Fischen"")",Platz vor der Messe,2017-04-01 00:00:00,11.00 – 13.00 Uhr
34.0,2017-03-21,Pulse of Europe,Pulse of Europe – eine pro-europäische Kundgebung,Wenigemarkt,2017-03-26 00:00:00,13.30 – 15.30 Uhr
35.0,2017-03-16,DIE PARTEI LV Thüringen,Dem größten Nationalschauspieler der letzten 1000 Jahre: Bernd Höcke,Fischmarkt,2017-04-20 00:00:00,18.00 – 19.30 Uhr
36.0,2017-03-22,Erfurter Rollrunde e.V.,Spass am Rollen – Bahn frei für alternative Fortbewegungsmittel und Rollsportarten,Aufzug: Willy-Brandt-Platz à Johann-Sebastian-Bach-Straße,2017-07-01 00:00:00,12.00 – 13.00 uhr
37.0,2017-03-22,DIE LINKE Thüringen,Thüringen rockt,Messe,2017-06-16 00:00:00,16.00 – 22.00 Uhr
38.0,2017-03-23,DIE LINKE Thüringen,Wahlkampfabschluss Bundestagswahl 2017,Anger (vor Anger 1),2017-09-22 00:00:00,10.00 – 18.00 Uhr
39.0,2017-03-27,Naturfreundejugend Erfurt,Solidarisch aktiv – miteinander Grenzen überwinden ,Wenigemarkt,2017-10-03 00:00:00,10.00 – 18.00 Uhr
,,ABGESAGT,,,,
40.0,2017-03-28,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-04-02 00:00:00,13.30 – 15.30 Uhr
41.0,2017-03-29,DGB Stadtverband Erfurt,"Pendleraktionstag ""Rentenkampagne""",Willy-Brandt-Platz,2017-05-31 00:00:00,05.00 – 08.00 Uhr
42.0,2017-03-29,DGB Jugend Thüringen,Die Arbeiter_innenbewegung ist international! Die rechte Hetze gegen unsere Kolleg_innen stoppen!,Schillerstraße 44,2017-07-01 00:00:00,10.00 – 16.00 Uhr
43.0,2017-03-31,Die Rechte Thüringen,Deutsche Familien zuerst – Denn Heimat braucht Zukunft,Anger (vor Anger1 ),2017-06-24 00:00:00,10.00 – 20.00 Uhr
,,,,,,
,,ABGESAGT,,,,
44.0,2017-04-03,THÜGIDA/ Wir lieben Sachsen e.V.,Gegen linke Medienhetze: Ein Herz für die Thüringer Polizei und Ihre Courage,Anger,05.04..2017,11.00 – 12.30 Uhr
45.0,2017-04-05,THÜGIDA/ Wir lieben Sachsen e.V.,Freiheit für die Wahrheit,Rudolfstraße 46,2017-04-05 00:00:00,13.30 – 15.00 Uhr
46.0,2017-04-04,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-04-09 00:00:00,13.30 – 15.00 Uhr
47.0,2017-04-06,Die PARTEI LV Thüringen,1. Mai - Tag der Arbeiterklasse,Juri-Gagarin-Ring,2017-05-01 00:00:00,09.00 – 12.30 Uhr
48.0,2017-04-07,AfD Thüringen,Sozial ohne Rot zu werden !,Thüringenhalle – Landtag,2017-05-01 00:00:00,11.00 – 14.00 Uhr
49.0,2017-04-10,Ahmadiyya Muslim Jamaat Deutschland,"Muslime für Frieden, Gedenken an die Opfer des Terrors, Krieg, Gewalt und Rassismus",Angerdreieck,2017-04-15 00:00:00,14.00 – 15.00 Uhr
50.0,2017-04-12,Pulse of Europe Erfurt,Pulse of Europe Erfurt – ein pro-europäische Kundgebung,Wenigemarkt,2017-04-16 00:00:00,13.30 – 15.30 Uhr
51.0,2017-04-12,Greenpeace Erfurt,"Greenpeace Gruppenaktionstag ""Mikroplastik"" zur Kampagne ""Welle machen """,Angerdreieck,2017-05-06 00:00:00,12.00 – 17.00 Uhr
52.0,2017-04-18,Kulturverein Mesopotamien e.V.,"Solidarität mit den kurdischen Gefangenen, die sich im Hungerstreik befinden, in der Türkei",Regierungsstraße 73 (vor Staatskanzlei),19.04. – 27.04.2017,durchgehend
,,,,,,
,,ABGESAGT,,,,
53.0,2017-04-18,Linksjugend [`solid] Thüringen,Nachttanzdemo am Vorabend des Tages der Befreiung vom deutschen Faschismus,Willy-Brandt-Platz à Innenstadt à Willy-Brandt-Platz,2017-05-07 00:00:00,20.00 – 22.00 Uhr
54.0,2017-04-13,VCD e.V.,Sieben – Brücken – Tour in die Fahrradsaison,Willy-Brandt-Platz à Stadtgebiet Erfurt à Fischmarkt,2017-04-28 00:00:00,18.30 – 19.50 Uhr
