lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Versammlung,Zeit
55.0,2015-03-06 00:00:00,Die Tierbefreier e.V.,"Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiter, Jagen, Fischen"")",Platz vor der Messe Erfurt (Gothaer Platz),2015-03-28 00:00:00,10.00 – 11.30 
56.0,2015-03-06 00:00:00,Animal Rights Watch,"Mord ist ihr Hobby (Kundgebung gegen die Messeveranstaltung ""Reiter, Jagen, Fischen"")","Platz vor der Einkaufsgalerie ""Anger 1""",2015-03-28 00:00:00,12.15 – 16.00 
,,,,,,
57.0,2015-03-10 00:00:00,Gemeinsam-Stark Deutschland e.V.,"""Gemeinsam ein Zeichen setzen""",Domplatz (Standkundgebung),2015-04-04 00:00:00,14.00 – 20.00 
,,,,Aufzug: Domplatz à Andreasstraße à Blumenstraße à Albrechtstraße à Biereyestraßeà Hugo Preuss Platz à Lauentor à Domplatz,,
58.0,2015-03-09 00:00:00,BUND Erfurt e.V.,Europäischer Aktionstag gegen TTIP,Anger – Angerdreieck,2015-04-18 00:00:00,10.00 – 16.00
59.0,2015-03-10 00:00:00,Ver.di Thüringen,Gemeinsam gegen Rechts,"Trommsdorffstraße, Kurt-Schuhmacher-Straße, Schmidtstedter Ufer, Schmidtstedter Straße ",2015-04-04 00:00:00,10.00 – 20.00
60.0,2015-03-10 00:00:00,Ver.di Thüringen,Gemeinsam gegen Rechts,Löberstraße / Ecke Löberwallgraben,2015-04-04 00:00:00,10.00 – 19.00 
61.0,2015-03-11 00:00:00,DIE LINKE,Für Fahrscheinfreien ÖPNV,Rosa-Luxemburg-Platz,2015-04-04 00:00:00,10.00 – 24.00 
62.0,2015-03-11 00:00:00,Bürgerinitiative proholzlandwald e.V. i.G.,Windkraft im Holzlandwald bei 07639 Tautenhain,Vor Landtag,2015-03-26 00:00:00,10.00 – 14.00 
63.0,2015-03-10 00:00:00,Linksjugend,Gemeinsam gegen Rechts,Theaterplatz Erfurt,2015-04-04 00:00:00,11.00 – 20.00
64.0,2015-03-11 00:00:00,Einzelperson,Gemeinsam gegen Rechts,Leipziger Platz,2015-03-23 00:00:00,16.00 – 21.00
65.0,2015-03-11 00:00:00,Einzelperson,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-03-23 00:00:00,16.00 – 21.00
66.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Leipziger Platz,2015-03-30 00:00:00,16.00 – 20.00
67.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Leipziger Platz,2015-04-06 00:00:00,16.00 – 20.00
68.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Leipziger Platz,2015-04-13 00:00:00,16.00 – 21.00
69.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Leipziger Platz,2015-04-20 00:00:00,16.00 – 21.00
70.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-03-30 00:00:00,16.00 – 19.00
71.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-04-06 00:00:00,16.00 – 19.00
72.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-04-13 00:00:00,16.00 – 19.00
73.0,2015-03-11 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-04-20 00:00:00,16.00 – 19.00
74.0,2015-03-10 00:00:00,RedROXX,Kein Raum für Verschwörungstheoretiker (innen),Fischmarkt ,2015-03-23 00:00:00,16.00 – 22.00
75.0,2015-03-10 00:00:00,Linksjugend Thüringen,Kein Platz für den Rassismus der Mitte,Domplatz,2015-03-23 00:00:00,16.00 – 22.00
76.0,2015-03-12 00:00:00,Gemeinsam-Stark Deutschland e.V.,"""Hand in Hand, für unsere Kinder und unser Land""",Domplatz (Standkundgebung),2015-05-02 00:00:00,14.00 – 20.00
,,,,Aufzug: Domplatz à Andreasstraße à Blumenstraße à Albrechtstraße à Biereyestraßeà Hugo Preuss Platz à Lauentor à Domplatz,,
77.0,2015-03-12 00:00:00,THÜGIDA,THÜGIDA – gegen die Überfremdung unserer Heimat,Ulan-Bator-Straße 66 à Bukarester Straße à Straße der Nationen (1. Zwischenkundgebung) à Nordhäuser Straße àDubliner Straße à Lissaboner Straße à Nordhäuser Straße (2. Zwischenkundgebung Thüringen-Park) à Ulan-Bator-Straße,2015-03-23 00:00:00,18.00 – 21.00
78.0,2015-03-12 00:00:00,JUSOS SPD,Gemeinsam gegen Rechts,Willy-Brandt-Platz ,2015-04-04 00:00:00,11.00 – 20.00
79.0,2015-03-11 00:00:00,RedROXX,Gemeinsam gegen Rechts,Vom Südausgang Hauptbahnhof (Ausgang Schillerstraße) bis Stadtparktreppe,2015-04-04 00:00:00,09.00 – 18.00
80.0,2015-03-10 00:00:00,Linksjugend Erfurt,Neonazis und Rechtspopulisten in die Suppe spucken,Angerdreieck,2015-03-23 00:00:00,16.00 – 22.00
81.0,2015-03-12 00:00:00,Studierendenrat der FSU Jena,Gemeinsam gegen Rechts,Johann-Sebastian-Bach-Straße / Arnstädter Straße ,2015-04-04 00:00:00,12.00 – 20.00
82.0,2015-03-13 00:00:00,Einzelperson,No Thügeda – für ein buntes Thüringen Gegen Rassismus & Islamophobie,Ulan-Bator-Straße 76/77,2015-03-23 00:00:00,17.30 – 21.30
83.0,2015-03-12 00:00:00,Kunst und Kultur für Toleranz und Nächstenliebe GbR,Mit der Kraft der Kundt für ein buntes Erfurt; Kunst im öffentlichen Raum gegen Menschenfeindlichkeit,"Anger, Nordwestseite nähe Anger 1",2015-05-20 00:00:00,15.00 – 19.00
84.0,2015-03-13 00:00:00,Ausländerbeirat ,Informationsveranstaltung und Redebeiträge im Rahmen der Antirassismuswoche,Anger Erfurt,2015-03-19 00:00:00,16.30 – 18.30
85.0,2015-03-16 00:00:00,Roma Thüringen,Abschiebung stoppen - Bleiberecht für alle,Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Trommsdorffstraße à Angerkreuz,2015-03-24 00:00:00,14.00 – 18.00
86.0,2015-03-17 00:00:00,DIE LINKE / Bündnis 90 / Die GRÜNEN,Equal Pay Day,Vor dem Landtag,2015-03-20 00:00:00,08.00 – 09.00
87.0,2015-03-17 00:00:00,Bund Erfurt e.V. Bündnis gegen TTIP Erfurt,Erfurt TTIP - frei,Vor dem Rathaus,2015-04-15 00:00:00,16:00 -17:00 
88.0,2015-03-23 00:00:00,DGB Jugend,Jugend-Bildung-Zukunft Bildungsfreistellungsgesetz jugendgerecht gestalten,"Jürgen-Fuchs-Straße 1, vor Landtag",2015-03-25 00:00:00,08.30 – 10.30
89.0,2015-03-24 00:00:00,Einzelperson,Kein Platz für Rassismus,Ulan-Bator-Straße 76/77,"30.03., 06.04., 13.04., 20.04., 27.04., 04.05.. 11.05., 18.05.15",17.00 – 21.00
90.0,2015-03-24 00:00:00,Einzelperson,,"Europaplatz, Nordhäuser Straße, Ulan-Bator-Straße, Bukarester Straße Moskauer Straße Nordhäuser Straße Europaplatz",2015-03-30 00:00:00,18:30-21:30
91.0,2015-03-25 00:00:00,Critical Mass Erfurt,"Radverkehrspolitische Demo – wir behindern nicht den Verkehr, wir sind Verkehr",Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Löberstraße à ,2015-04-02 00:00:00,18.30 – 20.30
,,,,Arnstädter Straße à Johann-Sebastian-Bach-Straße à Häßlerstraße à Jenaer Straße à ,,
,,,,Am Herrenberg / Eisenberger Straße à Weimarische Straße à Schmidtstedter Knoten à ,,
,,,,Trommsdorffstraße à Juri-Gagarin-Ring à Bahnhofstraße à Anger à Regierungsstraße à,,
,,,,Holzheienstraße à Mainzerhofplatz à Theaterplatz à Maximilian-Welsch-Straße à,,
,,,,Lauentor à Domplatz à Andreasstraße à Nordhäuser Straße à Erhard-Etzlaub-Straße à,,
,,,,Mühlhäuser Straße à Veilchenstraße à Nordhäuser Straße à Moritzwallstraße à ,,
,,,,Moritzstraße à Michaelisstraße à Benediktsplatz à Fischmarkt ,,
,,,,,,
92.0,2015-03-27 00:00:00,Einzelperson,Friedensmahnwache,Angerdreieck,2015-04-06 00:00:00,18.00 – 20.00
93.0,2015-03-30 00:00:00,Einzelperson,Refugees Welcome - rassistischer Hetze entgegentreten,Moskauer Straße / Bukarester Straße,"06.04., 13.04., 20.04., 27.04., 04.05., 11.05., 18.05.15",17.30 – 22.00
94.0,2015-03-30 00:00:00,Einzelperson,Familienfest – Kunst und Kultur am Moskauer Platz erlebbar machen,Moskauer Straße / Nordhäuser Straße,"13.04., 20.04., 27.04., 04.05., 11.05., 18.05., 25.05.",17.30 – 21.30 
95.0,2015-04-01 00:00:00,Ver.di,Tarifverhandlungen Postbank Filialbetrieb,Anger à Lachsgasse à Juri-Gagarin-Ring à Löberstraße à Schillerstraße 44,2015-04-15 00:00:00,08.30 – 10.30
96.0,2015-03-19 00:00:00,Martin-Niemöller-Stiftung,Campus Anger öffentliche Vernunft / Lernübungen,Angerdreieck,"28.04., 29.04. 20.04.15",11.00 – 18.00
97.0,2015-04-07 00:00:00,Einzelperson,Nazizentren dicht machen – Gegen die Kammwegklause in Erfurt,Hegemalweg / Stotternheimer Straße,2015-05-28 00:00:00,17.30 – 21.30
98.0,2015-04-07 00:00:00,Einzelperson,Gegen die Überfremdung des Abendlandes – THÜGIDA,Europaplatz à Ulan-Bator-Straße à Bukarester Straße à Moskauer Straße à Nordhäuser Straße à Europaplatz,2015-04-13 00:00:00,18.30 – 22.00
99.0,2015-04-08 00:00:00,JUSOS SPD,Gemeinsam gegen Rechts,Willy-Brandt-Platz,2015-05-02 00:00:00,09.00 – 20.00 Uhr
100.0,2015-04-09 00:00:00,Einzelperson,Arbeit nervt- Für mehr Hedonismus,"Anger 1 , Trommsdorfstraße, Stauffenbergallee, Schmidtstedter Knoten, Schillerstraße Löberstraße Juri-Gagarin-Ring- Hirschgarten",2015-05-01 00:00:00,9:00 -11:00
101.0,2015-04-09 00:00:00,Friedensmahnwache Erfurt,Friedensmahnwache,Angerkreuz,2015-04-13 00:00:00,18:00 -20:00
102.0,2015-04-09 00:00:00,GEW,Spontandemo,"Staatskanzlei, Anger, Bahnhofstraße Willy-BrandtPlatz Schillerstraße, Verdizentrale ",2015-04-09 00:00:00,9:45-11:15
103.0,2015-04-09 00:00:00,Einzelperson,Für die Emanzipation von Arbeit und Lohn,Willy-Brandt-Platz à Schillerstraße à Windhorststraße à Johann-Sebastian-Bach-Straße à Arnstädter Straße à Schillerstraße à Bahnhofstraße à Anger,2015-05-01 00:00:00,10.00 – 12.00
,,,,,,
104.0,2015-04-09 00:00:00,Einzelperson,No Way Keinen Fußball den Rassisten,Stauffenbergallee / Thälmannstraße (vor Netto),2015-05-02 00:00:00,11.00 – 21.00
105.0,2015-04-09 00:00:00,Einzelperson,Gegen die Großdemonstration von Nazi-Hooligans in Erfurt,"HBF Erfurt, Hinterausgang Richtung Schillerstraße / Brücke Südausgang",2015-05-02 00:00:00,11.00 – 21.00
106.0,2015-04-09 00:00:00,Einzelperson,"Egal ob Erfurt, Saalfeld oder anderswo – Nazis entgegentreten",Windthorststraße / Nonnenrain,2015-05-01 00:00:00,11.00 – 20.00
107.0,2015-04-09 00:00:00,Ver.di Thüringen,Gemeinsam gegen Rechts,Kreuzung Kaffeetrichter,2015-05-01 00:00:00,10.00 – 20.00
108.0,2015-04-09 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Trommsdorffstraße / Schmidtstedter Ufer / Kurt-Schuhmacher-Straße / Schmidtstedter Straße,2015-05-02 00:00:00,10.00 – 20.00
109.0,2015-04-09 00:00:00,Verdi Thüringen,Gemeinsam gegen Rechts,Kreuzung Kaffeetrichter,2015-05-02 00:00:00,10.00 – 18.00
110.0,2015-04-10 00:00:00,Einzelperson,Anger Nazifrei,Weitergasse / Anger,2015-04-13 00:00:00,18:00 -21:30
111.0,2015-04-09 00:00:00,Einzelperson,Kein Fußball den Rassisten,Busbahnhof / Hauptbahnhof,2015-05-02 00:00:00,11:00 -21:00
112.0,2015-04-08 00:00:00,DGB Region Thüringen,Dokumentationspflicht beim Mindestlohn,Friedrich-Ebert-Straße 63 vor der Landesgeschäftsstelle der CDU,2015-04-22 00:00:00,11:30- 13:00
113.0,2015-04-10 00:00:00,Aktivleben Konzept e.V.,Wir haben auch Rechte ,Bahnhofstraße ; Schillerstraße Kaffeetrichter Arnstädter Straße Landtag,2015-05-05 00:00:00,13:00 -17:00
114.0,2015-04-10 00:00:00,Einzelperson,Refugees welcome,Neuwerkstraße / Hischlachufer,2015-04-13 00:00:00,18:00 -0:00
115.0,2015-04-10 00:00:00,Einzelperson ,Kundgebung gegen Asylrechtsverschärfung,Anger an den Figuren,2015-04-14 00:00:00,18:00 -20:00
