lfd. Nr.,Posteingang,Veranstalter/Vertreter,Thema,Versammlungsort,Datum der Versammlung,Zeit
1.0,2014-10-01 00:00:00,CSD in der Mitte Deutschlands - Erfurt e.V.,CSD Erfurt 2015,Willy-Brandt-Platz à Bahnhofstraße à Anger à Regierungsstraße à Zwischenkundgebung Staatskanzlei à Regierungsstraße à Lange Brücke à Große Arche à Marktstraße à Fischmarkt,2015-08-29 00:00:00,11.00 - 20.00
2.0,2014-11-20 00:00:00,Bürger der Stadt Erfurt,"Frieden, Freiheit, Gerechtigkeit","Anger, Lutherdenkmal",05.01.15 bis 28.12.15,18.00 – 21.00
,,,,,jeweils montags,
3.0,2014-12-30 00:00:00,"Aktionsgruppe ""Mahnwache für verfolgte Christen""",Mahnwache für verfolgte Christen,Domplatz,2015-01-04 00:00:00,10.30-14.30
4.0,2015-01-02 00:00:00,Einzelpersonen,"Der Rechtsstaat, die Menschenrechte und die Menschenwürde in den Händen parteiischer, politisch korrumpierter Justiz. Oder die Lüge vom Rechtsstaat und von Menschenrechten",Vorplatz Landgericht (Domplatz 37) à Lauentor à Vorplatz Amtsgericht (Rudolfstraße),2015-01-12 00:00:00,12.00 – 16.00
5.0,2015-01-06 00:00:00,DIE LINKE. Erfurt,Ermordung Luxemburg / Liebknecht,"Rosa-Luxemburg-Platz, Luxemburg-Denkmal",2014-01-18 00:00:00,09.30 – 11.00
6.0,2015-01-07 00:00:00,Endgame,"Endgame: Nato-Austritt, Frieden mit Russland, TTIP, NSA, Natur und Umwelt",Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Krämpfertor à Anger à Schlösserstraße à Fischmarkt à Marktstraße à Domplatz,2015-01-24 00:00:00,14.00 – 19.00
,,,,,,
7.0,2015-01-07 00:00:00,Aktionsgruppe „Mahnwache für verfolgte Christen“,Mahnwache für verfolgte Christen,"Erfurt, Domplatz (Obelisk)",2015-01-11 00:00:00,12.00 – 14.00
8.0,2015-01-08 00:00:00,Stadtbäume statt Leerräume,Bürgerbeteiligung,Fischmarkt,2014-01-28 00:00:00,16.00 – 17.00
9.0,2015-01-08 00:00:00,Erfurter Bündnis für soziale Gerechtigkeit – gegen Rechtsextremismus,Donnerstagsdemo,Angerkreuz,2015-01-15 00:00:00,jeweils 17.00 – 18.00
,,,,,2015-01-22 00:00:00,
,,,,,2015-01-29 00:00:00,
,,,,,2015-02-05 00:00:00,
,,,,,2015-02-12 00:00:00,
,,,,,2015-02-19 00:00:00,
,,,,,2015-02-26 00:00:00,
,,,,,2015-03-05 00:00:00,
,,,,,2015-03-12 00:00:00,
,,,,,2015-03-19 00:00:00,
,,,,,2015-03-26 00:00:00,
,,,,,2015-04-02 00:00:00,
,,,,,2015-04-09 00:00:00,
,,,,,2015-04-16 00:00:00,
,,,,,2015-04-23 00:00:00,
,,,,,2015-04-30 00:00:00,
,,,,,2015-05-07 00:00:00,
,,,,,2015-05-21 00:00:00,
,,,,,2015-05-28 00:00:00,
,,,,,2015-06-04 00:00:00,
,,,,,2015-06-11 00:00:00,
,,,,,2015-06-18 00:00:00,
,,,,,2015-06-25 00:00:00,
,,,,,2015-07-02 00:00:00,
,,,,,2015-07-09 00:00:00,
,,,,,2015-07-16 00:00:00,
,,,,,2015-07-23 00:00:00,
10.0,2015-01-09 00:00:00,Einzelperson ,Gemeinsam gegen Rechts,"Willy-Brandt-Platz, Richtung Busbahnhof",2015-03-15 00:00:00,09.00 – 18.00
11.0,2015-01-09 00:00:00,Jusos in der SPD – Erfurt,Gemeinsam gegen Rechts,"Willy-Brandt-Platz, auf der linken Seite, nahe der Litfaßsäule",2015-03-15 00:00:00,09.00 – 18.00
12.0,2015-01-09 00:00:00,Jugendbüro RedROXX,Gemeinsam gegen Rechts,"Domplatz, höhe Busparkplätze, gegenüber Amtsgericht",2015-03-15 00:00:00,09.00 – 18.00
13.0,2015-01-09 00:00:00,Gewerkschaft ver.di Thüringen,Gemeinsam gegen Rechts,"Trommsdorffstraße, Ecke Schmidtstedter Straße, Schmidtstedter Ufer, Parkplatz DB",2015-03-15 00:00:00,09.00 – 18.00
14.0,2015-01-09 00:00:00,Einzelperson,Gemeinsam gegen Rechts,Schillerstraße zwischen Ausgang Bahnhof und Stadtparktreppe,2015-03-15 00:00:00,09.00 – 18.00
15.0,2015-01-10 00:00:00,DGB Jugend Erfurt,Gemeinsam gegen Rechts,Anger,2015-03-15 00:00:00,09.00 – 18.00
16.0,2015-01-09 00:00:00,Einzelperson,-,Parkplatz zwischen Werner-Seelenbinder-Straße/Schützenplatz/Stadion,2015-03-15 00:00:00,09.00 – 18.00
17.0,2015-01-15 00:00:00,Aktionsgruppe „Mahnwache für verfolgte Christen“,Mahnwache für verfolgte Christen,"Erfurt, Domplatz (Obelisk)",2015-01-18 00:00:00,12.30 – 14.00
18.0,2015-01-16 00:00:00,Gemeinsam-Stark Deutschland e.V.,Gemeinsam gegen Salafisten,Hirschlachufer à Bahnhofstraße à Schlösserstraße à Junkersand à Kürschnergasse à Rathausbrücke à Michaelisstraße à Pergamentergasse à Domplatz (Zwischenkundgebung) à Domstraße à Mainzerhofstraße à Brühler Straße à Bonifaciusstraße à Walkmühlenstraße à Dalbergsweg à Juri-Gagarin-Ring à Keilhauergasse à Parkplatz am Hirschlachufer,2015-03-15 00:00:00,14.00 – 20.00
,,,,Abgesagt am 08.03.2015,,
19.0,2015-01-19 00:00:00,DIE LINKE,Rechten Bündnissen den Kampf ansagen,Willy-Brandt-Platz,2015-01-24 00:00:00,13.00 – 16.00
20.0,2015-01-20 00:00:00,Fanszene e.V.,"„Strafenwillkür entschlossen entgegentreten!, DFB – der Staat im Staat, Pyrotechnik Legalisieren!“",Regierungsstraße à Eichenstraße à Löberstraße à Arnstädter Straße à Landtag/Eishalle,2015-01-31 00:00:00,11.00 – 13.00
21.0,2015-01-20 00:00:00,Aktionsgruppe Mahnwache für verfolgte Christen,Mahnwache Christenverfolgung,"Anger, Kaufhaus/Ursulinenkloster",2015-01-22 00:00:00,11.00 – 14.00
22.0,2015-01-20 00:00:00,Aktionsgruppe Mahnwache für verfolgte Christen,Mahnwache Christenverfolgung,"Anger, Kaufhaus/Ursulinenkloster",2015-01-23 00:00:00,11.00 – 14.00
23.0,2015-01-20 00:00:00,Aktionsgruppe Mahnwache für verfolgte Christen,Mahnwache Christenverfolgung,Angerkreuz,2015-01-22 00:00:00,11.00 – 15.00
24.0,2015-01-20 00:00:00,Einzelperson,Erfurt bleibt bunt!,"Angerdreieck, Anger 62",2015-01-24 00:00:00,14.00 – 17.00
25.0,2015-01-19 00:00:00,Einzelperson,"Gegen den Krieg, gegen den Putin","Anger, Lutherdenkmal",2015-02-01 00:00:00,12.00 – 15.00
26.0,2015-01-22 00:00:00,Martin Niemöller Stiftung,Erfurt bleibt bunt und weltoffen,Domplatz – zwischen Obelisk und Domstufen,2015-01-24 00:00:00,14.45 – 19.00
27.0,2015-01-20 00:00:00,Ver.di Thüringen,"Tarifverhandlungen ÖD, Länderbereich, Infoveranstaltung",Anger Erfurt,2015-02-10 00:00:00,15.00 – 17.00
28.0,2015-01-20 00:00:00,Critical Mass Erfurt,"Wir behindern nicht den Verkehr, wir sind der Verkehr / radverkehrspolitische Tour durch Erfurt",Willy-Brandt-Platz à Bürgermeister Wagner-Straße à Juri-Gagarin-Ring à Neuwerkstraße à Lilienstraße à Regierungsstraße à Holzheienstraße à Theaterplatz à Maximilian-Welsch-Straße à Domplatz à Pergamentergasse à Michaelisstraße à Moritzstraße à Große Ackerhofgasse à Andreasstraße à Nordhäuser Straße à Erhard-Etzlaub-Straße à Amploniusweg à Andreas-Gordon-Straße à Nordhäuser-Straße à Moritzwallstraße à Schlüterstraße à Stauffenbergallee à Fritz-Büchner-Straße à Friedrich-Engels-Straße à Liebknechtstraße à Geschwister-Scholl-Straße à Rathenaustraße à Theo-Neubauer-Straße à Werner-Uhlworm-Straße à Iderhoffstraße à Thälmannstraße à Schmidtstedter Knoten à Juri-Gagarin-Ring à Krämpferstraße à Johannesstraße à Futterstraße à Benediktsplatz à Fischmarkt,2015-02-05 00:00:00,18.00 – 20.00
29.0,2014-01-28 00:00:00,Kulturverein Mesopotamien e.V.,Menschenrechtslage in Syrien,Anger 1,2015-01-31 00:00:00,14.00 – 16.30
30.0,2015-01-29 00:00:00,Bund für vegane Lebensweise e.V.,Zirkus Ja! Aber bitte ohne Tiere!,"Parkplatz Thüringenhalle, Platz vor dem Zirkus",2015-02-06 00:00:00,15.00 – 16.15
31.0,2015-01-29 00:00:00,Deutscher Falun Dafa Verein e.V.,"Menschenrechte in China, Verfolgung von Falun Dafa","Fischmarkt, am Denkmal",2015-04-04 00:00:00,jeweils 10.00 – 18.00
,,,,,2015-05-02 00:00:00,
,,,,,2015-05-16 00:00:00,
,,,,,2015-05-23 00:00:00,
,,,,,2015-06-06 00:00:00,
,,,,,2015-08-15 00:00:00,
,,,,,2015-10-03 00:00:00,
,,,,,2015-10-31 00:00:00,
32.0,2015-01-28 00:00:00,SOKA RUN e.V.,"Halterkunde, statt Rassenliste",Willy-Brandt-Platz àBahnhofstraße à Juri-Gagarin-Ring à Löbertor à Anger à Bahnhofstraße à Willy-Brandt-Platz,2015-06-27 00:00:00,13.00 – 16.00
33.0,30.01.15+ 16.02.15,DIE LINKE. Thüringen und Erfurt,Linkes Spektakel „Thüringen rockt“ und Europafest,"Anger von Ursulinenkloster, Anger 1",2015-06-26 00:00:00,08.00 – 21.00
,,,,,,
34.0,2015-02-03 00:00:00,Landesfrauenrat Thüringen e.V.,Equal-Pay-Day 2015: TRANSPARENZ Spiel mit offenen Karten – was verdienen Frauen und Männer,Fischmarkt,2015-03-20 00:00:00,10.00 – 14.00
35.0,2015-02-03 00:00:00,Einzelperson,"Gegen den Krieg, gegen den Putin","Anger, Lutherdenkmal",2015-03-01 00:00:00,12.00 – 15.00
36.0,2015-02-03 00:00:00,DGB Region Thüringen,"1. Mai 2015 Die Arbeit der Zukunft gestalten wir""","Staatskanzlei, Regierungsstraße, Lutherstraße, Juri-Gagarin-Ring, Karl-Marx Platz, Bahnhofstraße, Anger ",2015-05-01 00:00:00,07.00 – 16.00 (Anger)
,,,,,,09.30 – 11.00
37.0,2015-02-06 00:00:00,Landeshauptstadt Erfurt,Einwohnerversammlung Herrenberg,GS 3 Scharnhorststraße 43 (Turnhalle),2015-02-09 00:00:00,17.00 – 20.00
38.0,2014-02-05 00:00:00,Gewerkschaft verdi Thüringen,Gemeinsam gegen Rechts,Löberstraße / Ecke Löberwallgraben,2015-03-15 00:00:00,9.00 – 18.00
39.0,2015-02-05 00:00:00,dbb beamtenbund und tarifunion,Einkommensrunde im öffentlichen Dienst der Länder (TdL) 2015,"Ludwig-Erhard-Ring 7, 99099 Erfurt, Parkfläche",2015-02-25 00:00:00,14.00 – 16.00
40.0,2015-02-06 00:00:00,Offene Arbeit des evangelischen Kirchenkreises Erfurt,Gemeinsam gegen Rechts,"Domplatz, am Obelisk",2015-03-15 00:00:00,09.00 – 18.00
41.0,2015-02-03 00:00:00,Kampagne Memedovich bleiben – Alle bleiben !,Memedovich bleiben – Alle bleiben !,Bürgermeister-Wagner-Straße 1,2015-02-10 00:00:00,14.00 – 16.00
42.0,2015-02-06 00:00:00,NPD-Landesverband Thüringen,Soziale Gerechtigkeit für alle Deutschen – Die etablierte Politik macht Deutschland arm,Willy-Brandt-Platz à Trommsdorffstraße à Stauffenbergallee àClara-Zetkin-Straße à Häßlerstraße à Johann-Sebastian-Bach-Straße à Jürgen-Fuchs-Straße (Zwischenkundgebung Landtag) àJohann-Sebastian-Bach-Straße à Arnstädter Straße à Löberstraße à Eichenstraße à Regierungsstraße à Anger à Bahnhofstraße à Willy-Brandt-Platz,2015-05-01 00:00:00,11.00 – 22.00
43.0,2015-02-11 00:00:00,IG Metall Erfurt,"Wir für Mehr – Tarifbewegung in der Metall- und Elektroindustrie, Warnstreiks SIEMENS uns Schuler",Kreuzung Hugo-John-Straße/Salinenstraße – vor Aral-Tankstelle,2015-02-17 00:00:00,13.00 – 15.00
,,,,,,
,,,,Aufzug von Schuler und SIEMENS zum Kundgebungsort,,
,,,,Aufzug vom Kundgebungsort zu Schuler,,
,,,,,,
44.0,2015-02-17 00:00:00,Studierendenschaft der FSU Jena,Gemeinsam gegen Rechts,Kreuzung Juri-Gagarin-Ring/Bahnhofstraße,2015-03-15 00:00:00,12.00 – 20.00
45.0,2014-02-13 00:00:00,Ver.di Thüringen,"Streik, Tarifverhandlung Postbank FV","Anger, vor Eingang Post à Anger à Bahnhofstraße à Schillerstraße à ver.di Haus (Schillerstraße 44)",2015-03-02 00:00:00,08.00 – 10.00
,,,,,,10.00 – 11.00
46.0,2015-02-18 00:00:00,"Linksjugend Thüringen, DIE LINKE, Erfurt",Militärische Strukturen auflösen! Logistikzentrum schließen,Zeppelinstraße Ecke Christian-Kittel-Straße,2015-04-02 00:00:00,15.00 – 16.00
47.0,2015-02-18 00:00:00,"Linksjugend Thüringen, DIE LINKE, Erfurt",Ostermarsch gegen Krieg und Militär,Fischmarkt à Rathausbrücke à Wenigemarkt à Krämpferstraße àLeipziger Platz à Thälmannstraße à Trommsdorffstraße àJuri-Gagarin-Ring à Bahnhofstraße à Anger,2015-04-04 00:00:00,14.00 – 17.00
48.0,2015-02-24 00:00:00,Spontanversammlung,Protest gegen Abschiebung,"Asylbewerberunterkunft, Stauffenbergallee 25",2015-02-23 00:00:00,21.00 – 23.30
49.0,2015-02-20 00:00:00,BUND Erfurt e.V.,Fukushima - Mahnwache,Angerdreieck,2015-03-11 00:00:00,18.00 – 19.00
50.0,2015-02-20 00:00:00,BUND Erfurt e.V.,Tschernobyl - Mahnwache,Angerdreieck,2015-04-26 00:00:00,18.00 – 19.00
51.0,2015-02-26 00:00:00,Bündnis 90 /GRÜNEN,Gemeinsam gegen Rechts,Karl-Marx-Platz / Juri-Gagarin-Ring (vor Synagoge),2015-03-15 00:00:00,12.00 – 20.00
52.0,2015-02-27 00:00:00,Die LINKE,Für ein bedingungsloses Bleiberecht – den Abschiebestop konsequent durchsetzen,Stauffenbergallee 25,04.03.15 – 05.03.15,21.00 – 18.00 
53.0,2015-02-27 00:00:00,Die LINKE,Ehrung der Märzgefallenen,Ehrenhain der Märzgefallenen Hauptfriedhof Erfurt,2015-03-18 00:00:00,17.00 – 18.00
54.0,2015-03-06 00:00:00,Einzelperson,Kundgebung für Frieden und Toleranz – gegen Hass und Ausgrenzung,Scharnhorststraße / Ecke Blücherstraße ,2015-03-12 00:00:00,17.00 – 19.00
