"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
13.0,2021-01-13,Freiheitsfahrer ABGESAGT !!,Mitteldeutschland gegen den Lockdown,"Treffpunkt Parkplatz Thüringen Park (Dubliner Straße) --> Lissaboner Straße --> Nordhäuser Straße --> Moritzwallstraße --> Schlüter Straße --> Johannesstraße
--> Juri-Gagarin-Ring --> Lutherstraße --> Regierungsstraße --> Holzheienstraße --> Theaterplatz --> Maximilian-Welsch-Straße --> Lauentor --> Domplatz --> Domstraße",2021-01-15 00:00:00,15:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
14.0,2021-01-15,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Rettungsschirm für Hartz-IV-Betroffene,Fischmarkt,2021-02-04 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
15.0,2021-01-15,Offene Arbeit des Kirchenkreises Erfurt,Atomwaffen sind verboten. 51 Staaten sind dabei - Deutschland fehlt.,"Allerheiligenstraße, Platz vor der Michaeliskirche",2021-01-22 00:00:00,16:30 - 18:30 Uhr,21.0,,,,,,,,,,21.0
16.0,2021-01-21,DIE LINKE Thüringen ABGESAGT !!,,Angerdreieck,2021-09-24 00:00:00,12:00 - 21:00 Uhr,21.0,,,,,,,,,,21.0
17.0,2021-01-26,Alles muss man selber machen Bündnis,"Heinz Mädel, Hartmut Balzke,… Opfer rechter Gewalt und des Systems",Fischmarkt,2021-01-30 00:00:00,13:30 - 16:00 Uhr,21.0,,,,,,,,,,21.0
18.0,2021-01-28,Einzelperson,"Beendigung des Lockdowns, Beendigung der Einschränkungen der Grundrechte",Domplatz,2021-02-27 00:00:00,17.00 - 18.30 Uhr,21.0,,,,,,,,,,21.0
19.0,2021-02-01,linksjugend ['solid] Thüringen,Solidarische Pandemiebekämpfung jetzt!,Angerdreieck,2021-02-06 00:00:00,15:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
20.0,2021-02-01,Friseurinnung Erfurt,Lockdown-Mahnwache des Friseur- und Kosmetikhandwerks,Regierungsstraße 73,2021-02-03 00:00:00,11:30 - 12:30 Uhr,21.0,,,,,,,,,,21.0
21.0,2021-02-02,Thüringer Bauernverband,Insektenschutzgesetz,Mozartallee,2021-02-05 00:00:00,07:00 - 10:00 Uhr,21.0,,,,,,,,,,21.0
22.0,2021-02-03,Querdenken-361 Erfurt,Immunsystem kontra Impfung,Domplatz,2021-02-20 00:00:00,15:30 - 18:00 Uhr,21.0,,,,,,,,,,21.0
