"Lfd.
Nr.",PE,Versammlungsmelder,Thema,Ort d. Versammlung / Aufzugsstrecke,"Datum der
Versammlung",Uhrzeit der Versammlung,Jahr,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Datum
104.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-06-08 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
105.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-06-17 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
106.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-06-29 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
107.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-07-15 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
108.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-07-27 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
109.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-12 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
110.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-17 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
111.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-19 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
112.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-24 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
113.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-26 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
114.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-08-31 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
115.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-02 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
116.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-07 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
117.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-09 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
118.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-14 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
119.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-16 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
120.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-21 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
121.0,2021-04-23,DIE LINKE Erfurt,Darlegung der Politischen Arbeit der Partei DIE LINKE und der Abgeordneten Karola Stange,Moskauer Platz,2021-09-23 00:00:00,09:00 - 16:00 Uhr,21.0,,,,,,,,,,21.0
122.0,2021-04-22,Bündnis Solidarisches Thüringen,Tag der Befreiung,Domplatz,2021-05-08 00:00:00,14.00 - 16.30 Uhr,21.0,,,,,,,,,,21.0
123.0,2021-04-26,Neue Stärke Erfurt e.V.,Heraus zum 01. Mai - Gemeinsam gegen Kapitalismus und Unterdrückung!,Fischmarkt,2021-05-01 00:00:00,12:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
124.0,2021-04-26,Neue Stärke Erfurt e.V.,Heraus zum 01. Mai - Gemeinsam gegen Kapitalismus und Unterdrückung!,Angerdreieck,2021-05-01 00:00:00,12:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
125.0,2021-04-26,Neue Stärke Erfurt e.V.,Heraus zum 01. Mai - Gemeinsam gegen Kapitalismus und Unterdrückung!,Bahnhofstraße Kreuzung Juri - Gagarin - Ring,2021-05-01 00:00:00,12:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
126.0,2021-04-26,PETA Deutschland,Tofu hat noch nie eine Pandemie verursacht!,Anger vor Anger 1,2021-05-11 00:00:00,15:00 - 16:30 Uhr,21.0,,,,,,,,,,21.0
127.0,2021-04-27,Initiative für ein Queeres Zentrum für Erfurt,Erfurt braucht ein Queeres Zentrum jetzt!,Werner-Seelenbinder-Straße 2,2021-05-05 00:00:00,16:30 - 19:00 Uhr,21.0,,,,,,,,,,21.0
128.0,2021-04-27,Einzelperson,Fahrraddemonstration: Ciclista! Ciclista! Antifascista! Den Lenker in die Hand nehmen!,"Domplatz (Auftaktkundgebung) --> Andreasstraße --> Moritzwallstraße --> Magdeburger Allee --> Mittelhäuser Straße --> Vollbrachtstraße --> Am Malzwerk --> Magdeburger Allee --> Ilversgehofener Platz (Zwischenkundgebung) --> Magdeburger Allee --> Johannesstraße --> Juri-Gagarin-Ring --> Neuwerkstraße
--> Anger --> Schlösserstraße --> Fischmarkt (Abschlusskundgebung)",2021-05-08 00:00:00,15:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
129.0,2021-04-27,ver.di Thüringen,"Mahnwache: ""Das Druckhaus muss in Erfurt bleiben - Solidarität mit den Zeitungsdrucker*innen von TA, TLZ und OTZ!""",Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-05-02 00:00:00,18:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
130.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,2021-05-01 00:00:00,19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
131.0,2021-04-29,Flüchtlingsrat Thüringen e.V. ABGESAGT !!,Grenzenlose Solidarität gegen rassistische Gewalt - Erfurt darf kein Angstraum bleiben,Willy-Brandt-Platz --> Bürgermeister-Wagner-Straße --> Juri-Gagarin-Ring --> Bahnhofstraße --> Anger --> Schlösserstraße --> Fischmarkt --> Marktstraße --> Domplatz (Nordseite),2021-05-01 00:00:00,13:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
132.0,2021-04-29,Einzelperson,Demo gegen unordentliche Haltung in Tram gegen Minderjähriger,Domo gegen unordentliche Haltung in Tram gegen Minderjähriger,2021-05-02 00:00:00,13:00 - 14:30 Uhr,21.0,,,,,,,,,,21.0
133.0,2021-04-30,Radentscheid Erfurt,Klingelkonzert,vor Thüringenhalle,2021-05-05 00:00:00,16:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
134.0,2021-04-20,Die Linke,Zum Tag der Pflege,Angerdreieck,2021-05-12 00:00:00,13:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
135.0,2021-05-03,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-05-08 00:00:00,15.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
136.0,2021-05-03,Fraktion Bündnis 90/Die Grünen im Thüringer Landtag,"Bildaktion zum 10 jährigen Bestehen der Istanbul-Konvention ""Spirale der Gewalt stoppen!""","Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-05-11 00:00:00,10.00 - 12.30 Uhr,21.0,,,,,,,,,,21.0
137.0,2021-05-04,ver.di Thüringen,Warnstreik zur Durchsetzung eines Sozial-Tarifvertrages,Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-05-04 00:00:00,19:30 - 01:00 Uhr,21.0,,,,,,,,,,21.0
138.0,2021-05-04,ver.di Thüringen,Warnstreik zur Durchsetzung eines Sozial-Tarifvertrages,Gottstedter Landstraße (Höhe Eingfahrt Druckzentrum Bindersleben),2021-05-05 00:00:00,11:00 - 20:00 Uhr,21.0,,,,,,,,,,21.0
139.0,2021-05-04,Reservisten Thüringen,"Als hilfesuchender, schwerbinderter Mensch erlitt ich brutale Misshandlung und Folter durch zwei Polizeibeamte, Patrick Köhler und Marie-Luise von Thaler, ehemals tätig in Polizeiinspektion Stadtroda",Regierungsstraße 73,2021-05-20 00:00:00,10.00 - 12.00 Uhr,21.0,,,,,,,,,,21.0
140.0,2021-05-05,pro familia Landesverband Thüringen e.V.,150 Jahre Kriminalisierung sind genug! Schwangerschaftsabbruch - Recht statt Verurteilung,Thüringer Landtag (Jürgen-Fuchs-Straße oder Mozartallee),2021-06-02 00:00:00,13.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
141.0,2021-05-06,CSD Erfurt,Christopher Street Day,Aufzug Schmidtstedter Knoten --> Innenstadt --> Angerdreieck,2021-10-09 00:00:00,12:00 - 15:00 Uhr,21.0,,,,,,,,,,21.0
142.0,2021-05-11,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Gothaer Straße Fußweg vor Messe,2021-05-17 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
143.0,2021-05-11,Einzelperson,Versammlung ,Fischmarkt 5 (Braukeller),2021-05-14 00:00:00,,21.0,,,,,,,,,,21.0
144.0,2021-05-11,Einzelperson,Gegen die radikalischen islamischen Bewegungen vom Iran und Afghanistan,Willy-Brandt-Platz,2021-05-22 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
145.0,2021-05-12,ver.di Thüringen,Hände weg vom Sonntagsschutz und unseren zwei freien Samstagen!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-05-27 00:00:00,13:30 - 16:30 Uhr,21.0,,,,,,,,,,21.0
146.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-05-19 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
147.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-09 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
148.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-16 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
149.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-23 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
150.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-28 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
151.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-30 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
152.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-07-07 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
153.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-07-12 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
154.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-07-14 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
155.0,2021-05-17,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-07-19 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
156.0,2021-05-17,Die OMAS GEGEN RECHTS e.V. Erfurt,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-07-05 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
157.0,2021-05-17,Die OMAS GEGEN RECHTS e.V. Erfurt,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-21 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
158.0,2021-05-17,Die OMAS GEGEN RECHTS e.V. Erfurt,Solidarität mit Betroffenen rechter Gewalt! Niemand wir allein gelassen!,Messevorplatz,2021-06-14 00:00:00,08:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
159.0,2021-05-17,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Jugend in Corona-Zeiten: eine ""verlorene Generation""?",Angerkreuz,2021-06-03 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
160.0,2021-05-17,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,30-Stundenwoche für Pflegekräfte - aber bei vollem Lohn!,Angerkreuz,2021-07-01 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
161.0,2021-05-17,Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Für kostenlosen öffentlichen Nahverkehr,Angerkreuz,2021-07-29 00:00:00,17:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
162.0,2021-05-17,Arbeiterkommunistische Partei Iran,"Demonstration über politischen Gefangener, besonders Afkari Brüder",,2021-05-22 00:00:00,17:00 - 19:00 Uhr,21.0,,,,,,,,,,21.0
163.0,2021-05-17,Einzelperson,Menschenrechte und Frieden für Alle Palästinenser & Israeliten,Domplatz,2021-05-22 00:00:00,12.00 - 15.00 Uhr,21.0,,,,,,,,,,21.0
164.0,2021-05-18,VCD Erfurt,Critical Mass - Verkehrswende - jetzt- sofort,Domplatz (Auftaktkundgebung) --> Lauentor --> Maximilian-Welsch-Straße --> Bonemilchstraße --> Bonifaciusstraße --> Benaryplatz --> Aldred-Hess-Straße --> Steigerstraße --> Steigerstraße --> Schillerstraße --> Löberstraße --> Juri-Gagarin-Ring --> Trommsdorffstraße --> Stauffenbergallee --> Magdeburger Allee --> Ilversgehofener Platz --> Mittelhäuser Straße --> Riethstraße --> Auenstraße --> Marie-Elise-Kayser-Straße --> Nordhäuserstraße --> Andreasstraße --> Domplatz (Abschlusskundgebung),2021-05-28 00:00:00,18:30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
165.0,2021-05-18,Neue Stärke ,Damals wie Heute - Arbeiter im Kampf um die Freiheit!,Berliner Platz,2021-06-19 00:00:00,11.00 - 12.00 Uhr,21.0,,,,,,,,,,21.0
166.0,2021-05-18,Neue Stärke,Damals wie Heute - Arbeiter im Kampf um die Freiheit!,Abzweig Wiesenhügel,2021-06-19 00:00:00,13.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
167.0,2021-05-18,Neue Stärke,Damals wie Heute - Arbeiter im Kampf um die Freiheit!,Anger (vor Lutherdenkmal),2021-06-19 00:00:00,15.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
168.0,2021-05-19,Einzelperson,Kinder in Zeiten der Pandemie,Kiefernweg,2021-06-01 00:00:00,14:30 - 18:00 Uhr,21.0,,,,,,,,,,21.0
169.0,2021-05-19,Förderkreis Erinnerungsort Topf & Söhne,Antisemitismus ist keine Meinung und Wegschauen keine Option,Angerdreieck,2021-05-21 00:00:00,16.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
170.0,2021-05-19,Förderkreis Erinnerungsort Topf & Söhne,Solidarische Synagogenumarmung,Gehweg Max-Cars-Platz (um die Neue Synagoge),2021-05-21 00:00:00,19.10 - 19.35 Uhr,21.0,,,,,,,,,,21.0
171.0,2021-05-20,Einzelperson,Klimacamp Erfurt: Das Rathaus verschläft den Klimawandel - Wir campen bis ihr handelt!,Fischmarkt,22.05. - 30.09.2021,,21.0,,,,,,,,,,21.0
172.0,2021-05-21,Einzelpersonen,Gegen jeden Antisemitismus!,Hirschgarten (vor der Staatskanzlei) und Aufzug zur Neuen Synagoge,2021-05-30 00:00:00,14.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
173.0,2021-05-21,Studienprojektgruppe von der FH Erfurt,"Forderung zur Aufnahme von ""ökologischem Bauen"" in das Klimaschutzkonzept der Stadt Erfurt",Fischmarkt,2021-05-26 00:00:00,13:00 - 16:30 Uhr,21.0,,,,,,,,,,21.0
174.0,2021-05-24,Bündnis für Klimagerechtigkeit / Radentscheid Erfurt,Fahrraddemo für eine verbesserte Radinfrastruktur / Annahme des Radentscheides,"Domplatz (Auftaktkundgebung) --> Lauentor --> Maximilian-Welsch-Straße --> Bonemilchstraße --> Bonifaciusstraße --> Benaryplatz --> Aldred-Hess-Straße 
--> Steigerstraße --> Schillerstraße --> Löberstraße --> Juri-Gagarin-Ring --> Lachsgasse --> Anger --> Angerdreieck
--> Schlösserstraße --> Fischmarkt --> Marktstraße --> Domplatz (Abschlusskundgebung)",2021-06-05 00:00:00,15:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
175.0,2021-05-24,Einzelperson,Klima-Mahnwache,Fischmarkt,25.05. - 27.05.2021,jeweils 17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
176.0,2021-06-25,Yogalehrer Thüringens,"Yoga wirkt. Ein Aufmerksam machen in der Stille. Yoga braucht einen eigenen Stand, eine eigene Branche. Wir sind kein Fitness, kein Freizeitsport. Wir sind von den Krankenkassen zertifiziert und wirken präventiv.",Regierungsstraße 73,2021-05-26 00:00:00,12:00 - 14:00 Uhr,21.0,,,,,,,,,,21.0
177.0,2021-05-25,ver.di Thüringen,Protest zur Gesundheitsministerkonferenz am 16. Juni 2021. Versprochen. Gebrochen. Lehren ziehen!,"Werner-Seelenbinder-Straße (Auftaktkundgebung Innenhof 11:00 - 12:15 Uhr) --> Arnstädter Straße --> Johann-Sebastian-Bach-Straße
--> Jürgen-Fuchs-Straße (abschlusskundgebung 12:45 - 13:00 Uhr",2021-06-16 00:00:00,12:15 - 13:00 Uhr,21.0,,,,,,,,,,21.0
178.0,2021-05-26,Internationalistisches Bündnis Erfurt,Gerechtigkeit für Palästinenser! Solidarität mit ihren Befreiungskampf! Nein zu Antisemitismus!,Angerdreieck,2021-05-29 00:00:00,16:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
179.0,2021-05-26,SPD Ortsverein Erfurt-West,Rede des Fraktionsvorsitzenden der SPD Fraktion der Stadt Erfurt Frank Warnecke zur Politik der Stadt,Hinter der Rennbahn 2,2021-06-11 00:00:00,16:00 - 21:00 Uhr,21.0,,,,,,,,,,21.0
180.0,2021-05-26,Einzelperson,Klima - Mahnwache,Fischmarkt,28.05. - 06.06.2021,jeweils 17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
181.0,2021-05-27,JG Stadtmitte,Höcke zeigen wo der Ladig sitzt,Domplatz ggü. Landgericht,2021-06-02 00:00:00,08:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
182.0,2021-05-27,Bündnis Grenzenlose Solidarität,Keine Abschiebungen nach Afghanistan,Domplatz,2021-06-05 00:00:00,12.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
183.0,2021-05-27,Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2021-06-19 00:00:00,15:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
184.0,2018-02-15,Einzelperson,Ein christliches Zeichen setzen - Mahnwache,St. Christophorus-Straße ,"07.06., 14.06., 21.06., 28.06.",19.00 - 20.30 Uhr,21.0,,,,,,,,,,21.0
185.0,2021-05-12,The citizen is present,"Achtsamkeit, Mitgefühl, und Präsenz",Fischmarkt / Domplatz,2021-06-18 00:00:00,10:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
186.0,2021-05-12,The citizen is present,"Achtsamkeit, Mitgefühl, und Präsenz",Fischmarkt / Domplatz,2021-06-19 00:00:00,10:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
187.0,2021-06-01,Initiative für ein Queeres Zentrum für Erfurt,Gedenkveranstaltung an das Pulse-Attentat 12.06.2016 in Orlando,Regierungsstraße 73,2021-06-12 00:00:00,16:00 - 17:30 Uhr,21.0,,,,,,,,,,21.0
188.0,2021-06-02,CSD Erfurt,CSD 2021,Angerdreieck,2021-10-09 00:00:00,11.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
189.0,2021-06-03,Bündnis Solidarisches Thüringen,Neuwahlen jetzt!,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-06-17 00:00:00,16:00 - 18:00 Uhr,21.0,,,,,,,,,,21.0
190.0,2021-05-26,FKK - Freie Kulturkarawane,Kulturnot - wie Kulturrelevant ist das System?,Domplatz (Auftaktkundgebung) --> Marktstraße --> Fischmarkt --> Schlösserstraße --> Anger --> Regierungsstraße --> Staatskanzlei (Zwischenkundgebung) --> Löberstraße --> Arnstädter Straße --> Friedrich-List-Straße --> Arnstädter Straße --> Tschaikowskistraße --> Jürgen-Fuchs-Straße --> Johann-Sebastian-Bach-Straße (Zwischenkundgebung) --> Häßlerstraße --> Clara-Zetkin-Straße --> Friedrich-List-Straße --> Windhorststraße --> Schillerstraße --> Bahnhofstraße --> Willy-Brandt-Platz --> Bürgermeister-Wagner-Straße --> Juri-Gagarin-Ring --> Johannesstraße --> Magdeburger Allee --> Ilversgehovener Platz --> Magdeburger Allee --> Am Malzwerk --> Riethstraße --> Nordhäuser Straße --> Andreasstraße --> Domplatz (Abschlusskundgebung),2021-06-19 00:00:00,14:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
191.0,2021-06-05,Einzelperson,Klima - Mahnwache,Fischmarkt,07.06. - 16.-06.2021,17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
192.0,2021-06-05,Einzelperson,Solidarität mit Betroffenen rechter Gewalt! Niemand wird allein gelassen!,Aufzug: Domplatz --> Stadtgebiet --> TSK,2021-06-12 00:00:00,13.30 - 17.30 Uhr,21.0,,,,,,,,,,21.0
193.0,2021-06-06,"Offene Arbeit Erfurt, Aktionskreis für Frieden Erfurt",80 Jahre Überfall Deutschlands auf die Sowjetunion - Von deutschen Boden darf nie wieder Krieg ausgehen,Fischmarkt,2021-06-22 00:00:00,16:30 - 18:30 Uhr,21.0,,,,,,,,,,21.0
194.0,2021-06-04,Industriegewerkschaft Bauen-Agrar-Umwelt (IG BAU),Ohne uns geht nichts-Wir sind Gebäudereiniger*innen - eine Wertschätzungs- Kampagne,Gothaer Straße Fußweg ggü. P+R Haltestelle,2021-06-15 00:00:00,10:00 - 12:00 Uhr,21.0,,,,,,,,,,21.0
195.0,2021-06-05,CSD Erfurt,Christopher Street Day,Fischmarkt,2021-10-09 00:00:00,11.00 - 17.00 Uhr,21.0,,,,,,,,,,21.0
196.0,2021-06-07,Bündnis Solidarisches Thüringen,Neuwahlen,"Jürgen-Fuchs-Straße 1, 99096 Erfurt",2021-06-18 00:00:00,14.00 - 16.00 Uhr,21.0,,,,,,,,,,21.0
197.0,2021-06-07,Brennessel e.V. Zentrum gegen Gewalt an Frauen ABGESAGT !!,Christopher Street Day,Hirschgarten vor der TSK,2021-10-09 00:00:00,11.00 - 14.00 Uhr,21.0,,,,,,,,,,21.0
198.0,2021-06-08,Bündnis für Klimagerechtigkeit Erfurt,#Aufbruchsklima: Solidarische Gesundheit - Menschenleben sind wichtiger als Profite !,Aufzug: Fischmarkt --> Nordhäuser Straße,2021-06-18 00:00:00,17.30 - 20.00 Uhr,21.0,,,,,,,,,,21.0
199.0,2021-06-10,Brot für die Welt (Jugend),Aktion anlässlich des Internationalen Tages gegen Kinderarbeit,Angerdreieck,2021-06-12 00:00:00,11:00 - 13:00 Uhr,21.0,,,,,,,,,,21.0
200.0,2021-06-15,Elternsprecher TGS 2 Primarstufe,Wir wollen gehört werden (Zusammenarbeit der Schulleitung und Eltern),vom Julius-Leber-Ring 1 zum Karl-Reimann-Ring,2021-06-22 00:00:00,09:45 - 11:30 Uhr,21.0,,,,,,,,,,21.0
201.0,2021-06-15,Einzelperson,Klima - Mahnwache,Fischmarkt,17.06. - 26.06.2021,17.00 - 17.15 Uhr,21.0,,,,,,,,,,21.0
202.0,2021-06-14,Einzelperson,Aktion Kastenstände - Schweine verdienen mehr Platz,Fischmarkt,2021-06-25 00:00:00,16.00 - 18.00 Uhr,21.0,,,,,,,,,,21.0
203.0,2021-06-09,Ratschlag Thüringen / DGB Thüringen,30 Jahre Antifaschistischer und Antirassistischer Ratschlag Thüringen,Aufzug - Willy-Brandt-Platz --> Stadtgebiet --> Wiese vor dem Nordbad,2021-08-28 00:00:00,14.00 - 22.00 Uhr,21.0,,,,,,,,,,21.0
204.0,2021-06-18,ver.di Thüringen,Ohne uns kein Geschäft - Für bessere Tarife im Einzel- und Versandhandel,Angerdreieck + Aufzug Anger --> Löberwallgraben,2021-06-23 00:00:00,10.00 - 12.30 Uhr,21.0,,,,,,,,,,21.0
205.0,2021-06-18,Albert Schweitzer Stiftung für unsere Mitwelt,Protest gegen Massentierhaltung und Karnismus / für Respekt vor den Bedürfnissen von Tieren,Anger 8 bis neuer Angerbrunnen,2021-07-03 00:00:00,14:00 - 17:00 Uhr,21.0,,,,,,,,,,21.0
206.0,2021-06-21,Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in und um Erfurt","Willy-Brandt-Platz --> Kurt-Schumacher-Straße --> Trommsdorffstraße -->  Juri-Gagarin-Ring -->  Johannesstraße --> Schlüterstraße -->  Talstraße --> Bergstraße --> Nordhäuser Straße -->  Wende in Höhe Riethstraße --> Nordhäuser Straße -->  Bergstraße --> Blumenstraße --> Albrechtstraße --> Gutenbergstraße --> Blumenstraße --> Moritzwallstraße --> Schlüterstraße --> Johannesstraße --> Juri-Gagarin-Ring --> Karl-Marx-Platz
--> Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße 
--> Benaryplatz --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Lauentor --> Domplatz",2021-06-25 00:00:00,18:30 - 20:00 Uhr,21.0,,,,,,,,,,21.0
