Datum,Ort(e) der Kundgebung,"Zahl der Teilnehm er / -
innen",Thema,Unnamed: 4
2018-01-27 00:00:00,Heumarkt,400,3. Kölner Galgo-Marsch,
2018-03-31 00:00:00,Domplatte (am Römerbogen),100,Ostern und Tierschutz,
2018-03-03 00:00:00,"Waidmarkt in Höhe der Haus-
nummer 2",100,Jahrestag Archiveinsturz,
2018-07-14 00:00:00,Heumarkt,800,"Information und Aufklärung zum Thema
Landeshundegesetz",
2018-06-09 00:00:00,"Bahnhofsvorplatz,
Rudolfplatz",200,Getrennt erziehend. Kindern beide Eltern!,
2018-05-05 00:00:00,Heumarkt (Auftakt- u.Abschluß) Bahnhofsvorplatz (Zw.-Kundg.),200,"GMM16, Cannabis Legal International",
2018-03-10 00:00:00,Domplatte,100,Pflegenotstand: für eine menschenwürdige Pflege,
2018-04-14 00:00:00,,,,
2018-05-12 00:00:00,,,,
2018-06-09 00:00:00,,,,
2018-07-14 00:00:00,,,,
2018-08-11 00:00:00,,,,
2018-09-08 00:00:00,,,,
2018-10-13 00:00:00,,,,
2018-11-10 00:00:00,,,,
2018-12-08 00:00:00,,,,
2018-01-06 00:00:00,"Alter Markt
Bahnhofsvorplatz Breslauer Platz Domplatte
Kardinal-Höffner-Platz Heumarkt
Heinrich-Böll-Platz Neumarkt Ottoplatz
Roncalliplatz",200-300,Gegen Sexismus und Rassismus,
2018-01-13 00:00:00,"Alter Markt Bahnhofsvorplatz Breslauer Platz Domplatte
Kardinal-Höffner-Platz Heumarkt
Heinrich-Böll-Platz Neumarkt Ottoplatz
Roncalliplatz",,,
2018-05-01 00:00:00,Heumarkt,6000,"Maiveranstaltung der Kölner
Gewerkschaften",
2018-01-06 00:00:00,Ebertplatz,100,"Auch hier wird kein Patriot & privater
Bürgerbegleitschutz gewünscht""",
2018-01-13 00:00:00,,,,
2018-02-14 00:00:00,Wiener Platz,300- 500,"ONE BILLION RISING,
Tanz-Demo gg Gewalt an Frauen",
2018-05-26 00:00:00,Roncalliplatz,5000,"Die Situation und Zukunft der
Heilmittelbringer",
"jeden Montag Dienstag Freitag Samstag
Sonntag",Domplatte,2-10,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden in China",
2018-03-04 00:00:00,Roncalliplatz,2000,"Pulse of europe, Proeuropäische
Kundgebung",
2018-04-08 00:00:00,,,,
2018-06-17 00:00:00,Heumarkt,3000,"11. Kölner Fahrrad-Sternfahrt_ Für eine bessere Fahhradinfrastruktur, eine Verkahrswende zu Gunsten nachhaltiger Mobilität und für eine
lebenswerte Stadt",
2018-01-19 00:00:00,Wallrafplatz,30,"Mahnwache zum Jahrestag des Sprengstoffan-
schlags in der Probsteigasse 2001",
2018-02-12 00:00:00,Hans-Böckler-Platz (Start),ca. 150,Mehr Kultur in Ehrenfeld,
2018-01-20 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-01-20 00:00:00,Roncalliplatz,500,Nein zum Antisemitismus,
"jeden Montag ausser: 01.01.18
12.02.18
02.04.18
21.05.18",Domplatte (Blau-Gold-Haus),k.A.,Montagsdemonstration gegen Hartz IV und Sozialabbau und für eine lebenswerte Zukunft,
2018-01-06 00:00:00,Domplatte (Römerbogen),2-15,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden in China",
2018-01-07 00:00:00,,,,
2018-01-13 00:00:00,,,,
2018-01-14 00:00:00,,,,
2018-01-20 00:00:00,,,,
2018-01-21 00:00:00,,,,
2018-01-27 00:00:00,,,,
2018-01-28 00:00:00,,,,
2018-02-03 00:00:00,,,,
2018-02-04 00:00:00,,,,
2018-02-17 00:00:00,,,,
2018-02-18 00:00:00,,,,
2018-02-24 00:00:00,,,,
2018-02-25 00:00:00,,,,
"montags u.
samtags (Jan.-Juni)",Andreaskloster (am U-Bahn- Abgang),2-5,"Protest gegen Folter, Mord und illegale
Organentnahme an Falun Gong Praktizierneden in China",
2018-01-05 00:00:00,Wiener Platz,10,"Gegen Unmenschliche Zustände in türkischen
Gefängnissen",
2018-01-06 00:00:00,Eigelsteintorburg,40,"Gegen Unmenschliche Zustände in türkischen
Gefängnissen",
2018-01-15 00:00:00,"Messeplatz 1, vor Eingang Süd",6-10,Aufklärung Öffentlichkeit Tierleid Lederproduktion,
2018-06-07 00:00:00,Ostkampfbahn (Start u. Zeil),500,"Aufmerksam machen auf den Bedarf an Lese- u.
Lernförderung für Kinder, um die Quote der Analphabeten zu senken",
2018-01-02 00:00:00,Wallrafplatz,50-70,"Solidarität mit iranische Demo und Menschen-
rechte",
2018-01-07 00:00:00,Amsterdamer Str. 192,2,Demonstration gegen Feuerwerkskörper,
2018-01-01 00:00:00,Wallrafplatz,50,"Zustände im Iran, Tötung von Zivilsten",
2018-01-03 00:00:00,Wallrafplatz,200,Unterstützung der Landsleute im Iran,
2018-01-06 00:00:00,Rudolfplatz,150-200,"Iraner protestieren seit Tagen gegen iran.
Regierung und fordern Machtwechsel im Iran",
2018-01-13 00:00:00,Severinskirchplatz,10,Kölner Wohnungsmarkt,
2018-01-11 00:00:00,"Domplatte, vor dem Dom Hotel",30-40,"Kein Soldatengottesdienst im Kölner Dom, Keine
Auslandseinsätze der Bundeswehr",
2018-01-06 00:00:00,Roncalliplatz,bis 1000,Menschen- und Bürgerrechte im Iran,
2018-01-13 00:00:00,"Schildergasse vor Nr. 65-70
(P&C)",3-8,Tierschutz/ gegen Massentierhaltung,
2018-01-22 00:00:00,Bahnhofsvorplatz,200,Stopp aller Abschiebungen aus Köln,
montags Feb.-Nov.,"Leverkusen, Wiesdorfer Platz ggü. Nr. 11 und Wiesdorfer Platz/ Breidenbachstr.",30,Hartz IV,
2018-02-03 00:00:00,Bahnhofsvorplatz,bis 350,Massaker in katholischer Kirche im Kongo,
2018-01-06 00:00:00,Wallrafplatz,90,Solidarität mit Regimegegener im Iran,
2018-05-07 00:00:00,"öffentliche Platzfläche vor dem
Eingang des Amts-/Land- gerichts Köln, Luxemburger Straße 101
Wallrafplatz",50,"Worldwide Day of Genital Autonomy - Für das Recht auf genitale Selbstbestimmung aller Kinder weltweit unabhängig von Geschlecht, Herkunft und Religion",
"jeden 3. Sa.
pro Monat","Neusser Str. 186, vor der
gyn. Praxis",8,"Gebetswache für das Lebensrecht der
ungeborenen Kinder",
2018-01-07 00:00:00,Bahnhofsvorplatz,150,"10. Okt., internationlaer Tag gegen Hinrichtung",
2018-02-02 00:00:00,"Beginn: Uni Köln
Ende: Zülpicher Str.",k.A.,"Kwatier Latäng Zülpicher Str., Wir sind mehr als
Party- und Saufmeile",
2018-02-16 00:00:00,"Deutzer Freiheit,
Höhe Haus Nr. 65",20 - 30,"Sofortige Umsetzung des Ratsbeschlusses der
Stadt Köln",
2018-05-17 00:00:00,Alter Markt,700,"IDAHOT - International Day Against Homophobia
& Transphobia",
"10.01.2018
17.01.2018
24.01.2018
31.01.2018",Wallrafplatz,10 - 20,Hungerstreik des Nuriye Gülmen und Semih Özakca,
"25.01.2018
03.02.2018
17.02.2018","Neumarkt, Wallrafplatz (am 17.02.18)",15 - 25,Aktion von Anonymous for the Voiceless,
2018-01-20 00:00:00,"Domplatte
(am Blau-Gold-Haus)",70 - 100,Trump-Erklärung über Jerusalem,
2018-01-13 00:00:00,Bahnhofsvorplatz Wallrafplatz,100,"Gegen den iranischen Henker, Mohammad
Hashmi Shahruodi, Unterstützung des iranischen Widerstandes",
2018-04-28 00:00:00,Schildergasse (am Brunnen),15,"Internationaler Tag zur Abschaffung der
Tierversuche",
"15.01.2018
bis 17.12.2018
(jeden
Montag)",Eigelsteintorburg,3 - 5,Mahnwache gegen Krieg,
2018-02-12 00:00:00,,120,"Mir klääve net am Wachstumswahn - mer danue
us der Reih",
2018-01-17 00:00:00,"Hohe Straße/Ecke ""In der Höhle""",5,Frieden und Abrüstung,
2018-01-20 00:00:00,"Köln, Hahnenstraße",15,Gegen Pelz-Mode,
"27.01.2018
24.02.2018","Schildergasse
(Höhe P&C)",3 - 8,Tierschutz/ gegen Massentierhaltung,
2018-03-15 00:00:00,Bahnhofsvorplatz,25,Rückenfit an der frischen Luft,
2018-03-21 00:00:00,"Ebertplatz
(Unterführung)",100,"Kundgebung im Zusammenhang mit dem Jahre-
Aktionstag gegen Rassismus",
2018-01-18 00:00:00,"Gremberg
Kalk",10,Gedenktag,
2018-01-21 00:00:00,Köln (Cäsilienstraße),10,"Situation der indigenen politischen Gefangenen in
Chile",
2018-05-21 00:00:00,"Köln, Stammstr.
Köln-Neuehrenfeld",400,Mad Pride Parade,
2018-01-21 00:00:00,Domplatte,20 - 25,Für die Demokratie in Brasilien,
2018-01-21 00:00:00,Ebertplatz                    Neumarkt,600 - 1000,"Nein zu der Einheitskleidung in den türkischen
Gefängnissen",
2018-01-27 00:00:00,Domplatte (Blau-Gold-Haus),30,"Demonstration für christliche Werte in der
Gesellschaft",
2018-01-20 00:00:00,Wallrafplatz,15,Kritik an der Landwirtschaft/Massentierhaltung,
