Datum,Ort(e) der Kundgebung,"Zahl der Teilnehm er / -
innen",Thema,Unnamed: 4
2018-01-28 00:00:00,"Schildergasse -
Domplatte",200,Erinnern - Eine Brücke in die Zukunft,
2018-01-20 00:00:00,Roncalliplatz,50 - 70,"Solidarität mit iranische Demo und Menschen-
rechte",
2018-01-20 00:00:00,Rudolfplatz West,150,"Unterstützung des Widerstands im Iran/Gegen
Menschrechtsverletzungen im Iran",
2018-01-20 00:00:00,Neumarkt,50-100,Freilassung politischer Gefangener in Spanien,
2018-01-19 00:00:00,Heumarkt,50-100,Freiheit für die TV10 Journalisten,
2018-01-23 00:00:00,"Leverkusen
Overfeldweg - Rathausvorplatz",300,Gegen den Einzug der türkischen Armee in Afrin,
"23.01.2018
24.01.2018
26.01.2018","Bahnhofsvorplatz
Bahnhofsvorplatz - Neumarkt Rudolfplatz",50 - 150,Militär Invasion des Diktator Erdogan auf Afrin,
2018-01-27 00:00:00,Ebertplatz,15,Überall ist Afrin - Überall ist Widerstand!,
2018-01-27 00:00:00,Wallrafplatz,50 - 70,Stoppt die Diktatur in Venezuela,
2018-01-27 00:00:00,Domplatte - Schildergasse,20 - 30,Menschen- und Bürgerrechte im Iran,
2018-01-31 00:00:00,"Leverkusen
vor der Bayer Zentrale",25,Die Monsanto Mitgift,
2018-01-27 00:00:00,Rudolfplatz (West),5 - 10,"Rotesveranstaltung zum Thema ""Schutz des
Weddellmeeres in der Antarktis""",
2018-03-03 00:00:00,"Waidmarkt in Höhe der Haus-
nummer 2",300,"Erinnerung an den 9. Jahrestag des
Archiveinsturzes",
2018-02-19 00:00:00,"Rodenkirchen (Gymnasium) -
Rodenkirchen (Bezirksrathaus)",300,"Bauliche Situation Gymnasium Rodenkirchen,
neue Sporthalle, Erweiterungsbau",
2018-02-06 00:00:00,"Trojanstraße -
Severinstor",100,"Mieter/-innenverdrängung stoppen - Gedenken
an Irmgard Keun",
2018-04-14 00:00:00,Alter Markt,500,"Gegen das Zensurgesetz -
Netzwerkdurchsetzungsgesetz",
"29.01.2018
01.02.2018
04.02.2018","Bahnhofsvorplatz Bahnhofsvorplatz - Neumarkt
Bahnhofsvorplatz - Neumarkt",50 - 200,Militär Invasion des Diktator Erdogan auf Afrin,
2018-01-29 00:00:00,"Parkstreifen auf der
Straßenseite gegenüber der JVA Köln",8 - 10,Für den Erhalt des Hambacher Forstes,
"17.02.2018
18.02.2018","Köln-Junkersdorf
(Statthalterhofweg 70)",3 - 5,Gegen die Willkür der Fa. Bourgeli,
2018-02-03 00:00:00,Rudolfplatz - Neumarkt,60 - 100,Massentierhaltung und ihre Folgen,
2018-02-03 00:00:00,"Wallrafplatz -
Neumarkt",150,"Gegen Todesstrafe im Iran, gegen Todesstrafe
von Ramin Hosienpanahi",
2018-02-01 00:00:00,Fühlinger See - Niehler Damm,"50
(40 PKWs)",Tarifpolitischer Autokorso im Rahmen der Tarifrunde,
2018-03-15 00:00:00,Wiener Platz,"keine
Angaben","Tag des Rückens, FPZ Rückentraining (Flashmob)",
2018-02-03 00:00:00,Schildergasse (am Brunnen),10 - 20,"Klimaschutz ist kein Verbrechen - Hambacher
Forst bleibt!",
2018-02-03 00:00:00,Schildergasse (vor P&C),20,Tierquälerei in der Michkuhhaltung,
2018-03-08 00:00:00,Schildergasse (am Brunnen),20 - 25,"8. März Weltfrauentag, die Evolution der Frau
und die Flüchtlingsfrauen",
"10.03.2018
24.03.2018",Schildergasse (vor P&C),3 - 8,Tierschutz/ gegen Massentierhaltung,
2018-02-02 00:00:00,"Leverkusen
Overfeldweg - Rathausvorplatz",300,Einzug der türkischen Armee in Afrin,
2017-02-24 00:00:00,Bahnhofsvorplatz,10 - 20,Heimat und Weltfrieden,
2018-03-02 00:00:00,Wallrafplatz,100,Solikundgebung Schweizer Rundfunk,
2018-02-03 00:00:00,"Neumarkt -
Hans-Böckler-Platz",80 - 100,"Solidarität mit den Aktivistis des Hambacher
Forstes",
2018-02-09 00:00:00,"Breitestraße (am Neven-Du-
Mont Brunnen)",5 - 10,Köln für deutschen Sozialismus,
2018-02-22 00:00:00,Köln-Mülheim,80,Verkehrspolitische Themen,
2018-02-02 00:00:00,Rudolfplatz,30,"Fahrradkuriere: Mitbestimmung und gute Arbeit
jetzt!",
2018-02-07 00:00:00,Breslauer Platz,100-200,Afrin gegen Diktator Erdogan,
2018-02-24 00:00:00,Neusser Str. 5-7,6,Öffentl. Personennahverkehr,
2018-03-10 00:00:00,"Bahnhofsvorplatz (Auftaktk.)
Rudolfplatz (Abschlußk.)",50-150,Int. Tag gegen Gewalt an Frauen,
2018-05-12 00:00:00,Bahnhofsvorplatz,100-130,Mache dich auf und werde Licht.,
2018-02-25 00:00:00,"Frankenplatz (vor Hohenzollern-
brücke)",50,Gedenkmarsch für Boris Nemzow,
2018-02-08 00:00:00,Breslauer Platz,80-150,Militär Invasion des Diktator Erdogan auf Afrin,
2018-02-10 00:00:00,"Ebertplatz
Roncalliplatz",500-800,Militär Invasion des Diktator Erdogan auf Afrin,
2018-02-03 00:00:00,Rochusstr: vor JVA,,Hambacher Forst,
2018-02-17 00:00:00,"Gottesweg 19, vor der Post",200,Rettet die Zollstocker Postfiliale,
2018-02-10 00:00:00,Roncalliplatz,200,Einmarsch der Türkei im Norden Syriens/ Afrin,
2018-02-12 00:00:00,-,20-30,Für die Einheit Europas werben,
2018-02-17 00:00:00,Domplatte (Römerbogen),14,Gegen die Regierung im Irak,
2018-02-15 00:00:00,Bahnhofsvorplatz,100-200,"Freiheit für Abdullah Öcalan, Frieden in Kudistan!
Verurteilung/ Protest des Internationalen Komplotts",
2018-02-17 00:00:00,Domplatte,20,"Demonstration für christliche Werte in der
Gesellschaft",
2018-02-24 00:00:00,Wallrafplatz,15-20,"Tierrechte, vegane Ernährung u.
Lebensweise",
2018-03-02 00:00:00,,,,
2018-03-10 00:00:00,,,,
2018-02-15 00:00:00,Bahnhofsvorplatz,400,"Stoppt den Angriff auf Afrin, Freiheit für Öcalan",
2018-02-22 00:00:00,Hans-Böckler-Platz (Start),400,"Streikveranstaltung im Rahmen der Tarifrunde
Deutsche Post AG",
2018-02-19 00:00:00,Schillingstr. 37-39,5,Mahnwache Wohnungskündigungen,
2018-02-19 00:00:00,Bahnhofsvorplatz,30-100,Keine Abschiebungen in den Tod!,
2018-02-25 00:00:00,Roncalliplatz,1500,Die Einheit Europas bewahren,
2018-02-24 00:00:00,vor Bahnhof Mülheim,10-15,Aktionstag gegen Urantransporte,
2018-02-24 00:00:00,Domplatte (Blau-Gold-Haus),100-150,Gegen Meschenrechtsverletzungen im Iran,
2018-03-31 00:00:00,Domplatte (Römerbogen),80,Für die Rechte der Tiere,
2018-07-08 00:00:00,-,40,CSD 2018,
2018-07-07 00:00:00,Roncalliplatz,"2.000-
3.000",Dyke Marche Cologne,
2018-02-21 00:00:00,Schildergasse/ Zeppelinstr.,10,"Frieden und Abrüstung, Krieg um Afrin",
2018-02-22 00:00:00,"Domplatte (am Römerbogen)
zu Nr. 125",80,"Nein gegen den krieg in Kurdistan/ Solidarität
mit Afrin",
2018-02-22 00:00:00,Domplatte (am Römerbogen),80,"Nein gegen den krieg in Kurdistan/ Solidarität
mit Afrin",
2018-03-08 00:00:00,Wiener Platz,30,"Gegen Sexismus! Für die Gleichberechtigung der
Frau",
2018-03-03 00:00:00,Roncalliplatz,50,Volkstanzen zum bulgarischen Nationalfeiertag,
2018-03-03 00:00:00,Domplatte (Blau-Gold-Haus),100,"Demonstration für christliche Werte in der
Gesellschaft",
2018-03-04 00:00:00,,,,
2018-03-03 00:00:00,Domplatte (am Römerbogen),2-15,"Protest gegen Folter, Mord und illegale Organentnahme an Falun Gong Praktizierneden in China",
2018-03-04 00:00:00,,,,
2018-03-10 00:00:00,,,,
2018-03-11 00:00:00,,,,
2018-03-17 00:00:00,,,,
2018-03-18 00:00:00,,,,
2018-03-24 00:00:00,,,,
2018-03-25 00:00:00,,,,
2018-04-01 00:00:00,,,,
2018-04-07 00:00:00,,,,
2018-04-08 00:00:00,,,,
2018-04-15 00:00:00,,,,
2018-04-21 00:00:00,,,,
2018-04-22 00:00:00,,,,
2018-04-28 00:00:00,,,,
2018-04-29 00:00:00,,,,
2018-04-20 00:00:00,Domplatte (Blau-Gold-Haus),35,Demonstration für christliche Werte in unserer Gesellschaft,
2018-04-21 00:00:00,,,,
2018-04-22 00:00:00,,,,
2018-04-23 00:00:00,,,,
2018-02-24 00:00:00,Severinskirchplatz,5-10,ÖPNV verbessern- Luftverschmutzung bekämpfen,!
2018-09-26 00:00:00,Roncalliplatz,,"Belegung durch die Kirche, Domwallfahrt",
2018-09-27 00:00:00,,,,
2018-09-28 00:00:00,,,,
2018-09-29 00:00:00,,,,
2018-09-30 00:00:00,,,,
2018-03-09 00:00:00,Bahnhofsvorplatz,50-100,Tarifrunde Öffentlicher Dienst- Radshow-,
2018-02-24 00:00:00,Breslauer Platz,300-500,"Stoppt die Invasion in Afrin/Syrien-
Nein zum Krieg",
2018-03-14 00:00:00,Wallrafplatz,20-30,"Tierrechte, vegane Ernährung u.
Lebensweise",
2018-03-22 00:00:00,,,,
2018-03-31 00:00:00,,,,
2018-02-26 00:00:00,Neusser Str./ Schillingstr.,5-10,Mahnwache Wohnungskündigungen,
2018-03-05 00:00:00,,,,
2018-03-12 00:00:00,,,,
2018-03-19 00:00:00,,,,
2018-03-26 00:00:00,,,,
2018-03-17 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-03-25 00:00:00,Roncalliplatz,40-50,"Frieden, Ramstein Air Base, Drohnenpolitik",
2018-04-07 00:00:00,"Mülheim Bahnhof, Vorplatz",70-100,"Wir lassen uns nicht spalten!
Solidarität statt Hetze!",
2018-03-11 00:00:00,Bahnhofsvorplatz,150,"Nein gegen den Krieg in Kurdistan/ Solidarität
mit Afrin",
2018-03-08 00:00:00,Domplatte (Römerbogen),50,"Weltfrauentag, Verteidigung der Frauenrechte
im Iran",
2018-03-10 00:00:00,Severinskirchplatz,5-6,Menschenrechte/ Weltfrauentag (08.03.18),
2018-03-03 00:00:00,August-Haasstr./ Longericher Str.,6-10,"Infostand gegen Nazipropaganda in nördlichen
Veedeln Kölns",
2018-03-10 00:00:00,Sebastianstr./ Feldgartenstr.,6-10,"Infostand gegen Nazipropaganda in nördlichen
Veedeln Kölns",
2018-03-10 00:00:00,Domplatte (Blau-Gold-Haus),50-100,Internationaler Frauentag,
2018-03-10 00:00:00,Neusser Str. vor Haus.Nr. 55,10,"Solidarisches Miteinander im Veedel gegen
Rassismus",
2018-03-18 00:00:00,"Rochusstr. 350, vor JVA",50,Gefangenenhilfe,
2018-09-29 00:00:00,Heumarkt,2000,We say No to EU Animal Transports,
2018-03-09 00:00:00,"Appellhofplatz 1, vor dem WDR",100,"Mehr Wertschätzung für freie Mitarbeiter des
WDR",
2018-03-07 00:00:00,Wallrafplatz,50,Int. Frauentag,
2018-03-07 00:00:00,"Willi-Brandt-Platz
(vor Stadthaus)",900,Tarifrunde Öffentlicher Dienst,
2018-03-07 00:00:00,"Ottmar-Pohl-Platz
(hinter Kalk-Karree",400,Tarifrunde Öffentlicher Dienst,
2018-03-16 00:00:00,"Frankfurter Str./
Elisabeth-Breuer-Str.",30,Freiheit für die inhaftierten Journalisten,
2018-04-30 00:00:00,Wiener Platz,150,Tag der Arbeit,
2018-03-06 00:00:00,Blumenthalstr. /vor Arbeitsgericht,20-30,"Wiedereinstellung einer Ford-Arbeiterin
anlässlich Gütermin vor dem AG Köln",
2018-03-07 00:00:00,Gülichplatz 1-3 (Haus Neuerburg),80,Tarifrunde Öffentlicher Dienst,
2018-03-07 00:00:00,"Stollbergerstr. 11, vor Bauhof",100,Tarifrunde Öffentlicher Dienst,
2018-03-07 00:00:00,"Frankfurter Str. 350, vor Bauhof",80,Tarifrunde Öffentlicher Dienst,
2018-03-21 00:00:00,Wiener Platz,3000,Tarifrunde Öffentlicher Dienst,
2018-04-10 00:00:00,Heumarkt,20000,Tarifrunde Öffentlicher Dienst,
2018-03-11 00:00:00,"Rudolfplatz
Rochusstr. 350, vor JVA Köln",100,Freiheit für Hambi4,
2018-03-10 00:00:00,Zülpicher Platz,10,"Mahnwache für 7 Jahre nach Fukushima-
Atomausstieg hier und anderswo",
2018-03-16 00:00:00,Rudolfplatz- Westseite,70-100,"Erinnerung an den in der Stadt Halepce
geschehenen Völkermord im Jahr 1988",
2018-03-24 00:00:00,"Schildergasse 110, vor Nordsee",20,"Tag zur Abschaffung von Fischerei und
Aquakultur",
2018-03-08 00:00:00,"Schildergasse, Antoniterkirche",20,"Solidarität mit dem Protest der iranischen Frauen
gegen den Zwang des Kopftuchs",
2018-03-28 00:00:00,Wiener Platz,10-30,"Weg mit den Privilegien von Männern.
Gegen das Patriarchat.",
2018-04-20 00:00:00,"Deutzer Freiheit,
Höhe Haus Nr. 65",20-30,"Sofortige Umsetzung des Ratsbeschlusses der
Stadt Köln",
2018-04-11 00:00:00,"Willy-Brandt-Platz, Nordeingang Lanxess-Arena-Platz",20,Grausame Hundetrainingsmethoden,
2018-05-24 00:00:00,Wiener Platz,20-30,"Wohnungsnot, Gentrifizierung, Vertreibung, Alles für Alle, No Broders",
2018-05-25 00:00:00,,,,
2018-05-26 00:00:00,,,,
"23.05.18-
27.05.18","Grünanlage hinter Stadthalle
Mülheim",20-30,"Wohnungsnot, Gentrifizierung, Vertreibung, Alles
für Alle, No Broders",
2018-03-17 00:00:00,Heumarkt,300-500,"Der 7. Jahrestag des Beginn der syrischen
Revolution",
2018-03-21 00:00:00,"Rudolfplatz (Auftakt)
Alter Markt (Abschluss)",500,"Köln gegen den Krieg in Afrin- Keine
Unterstützung für Erdogan",
2018-06-09 00:00:00,"Alter Markt BreslauerPlatz Heinrich-Böll-Platz Heumarkt Neumarkt
Ottoplatz",1000,"Wir wehren uns! Gegen Rassismus, Antisemitismus und Sexismus!",
2018-03-09 00:00:00,Ottoplatz,100,"Wir sind es wert/ Warnstreik Tarifrunde
Öffentlicher Dienst",
2018-03-17 00:00:00,Heumarkt,150-200,Stoppt den Krieg in Syrien,
2018-03-31 00:00:00,Bahnhofsvorplatz,150-200,"Atomwaffen abschaffen; Abrüsten statt
aufrüsten; Frieden",
2018-03-13 00:00:00,"Blumenthalstr. /vor
Arbeitsgericht",50,Befristungen stoppen!,
2018-03-10 00:00:00,"August-Haasstr./ Longericher
Str.",6-10,Gegen Rechtsextreme im Kölner Norden,
2018-03-24 00:00:00,"Höninger Weg, Ecke Gottesweg",10,Öffentl. Personennahverkehr,
2018-03-24 00:00:00,"Ebertplatz
Roncalliplatz",4000-5000,"Stoppt den Völkerrechtswidrigen Angriffskrieg der
Türkei/ Erdogan!",
2018-03-12 00:00:00,Bahnhofsvorplatz,250-300,Stoppt den Aggressionen Krieg in Afrin,
2018-03-13 00:00:00,"Budengasse 10, CDU",250-300,Stoppt den Aggressionen Krieg in Afrin,
2018-03-14 00:00:00,"Luxemburger Str. 285
vor Türkischem Konsulat",50-100,Stoppt den Aggressionen Krieg in Afrin,
2018-03-23 00:00:00,"Schildergasse 57 (neben
Antoniterkirche)",20,Vegane Ostern,
2018-05-05 00:00:00,Denkmal im Hiroshima-Nagasaki Park / Aachener Weiher,80,Von Hiroshima und Nagasaki zum Atomwaffenverbot,
2018-09-29 00:00:00,Domplatte,50-100,"Tierrechte, vegane Ernährung u.
Lebensweise",
2018-03-17 00:00:00,Leo-Amann-Park,120,# tarifdeluxe-Weniger ist Wahnsinn,
2018-03-17 00:00:00,"Schildergasse 57 (neben
Antoniterkirche)",100,Die Lager der Frauen im Iran,
2018-03-21 00:00:00,Scheidtweiler Str. 4-38,1000,"Tarifrunde ""Öffentlicher Dienst""",
2018-03-21 00:00:00,Hans-Böckler-Platz,100,"Tarifrunde ""Öffentlicher Dienst""",
2018-03-21 00:00:00,"Friedrich-Ebert-Platz,
Leverkusen",250,"Tarifrunde ""Öffentlicher Dienst""",
2018-03-18 00:00:00,Albert-Magnus-Platz,10-20,Democracy under pressure,
2018-04-14 00:00:00,Rudolfplatz- Westseite,500,March for Science,
2018-03-15 00:00:00,Bahnhofsvorplatz,50-100,"Stoppt die Invasion in Afrin/Syrien-
Nein zum Krieg",
2018-03-16 00:00:00,,,,
2018-03-22 00:00:00,Bahnhofsvorplatz,50-100,"Stoppt die Diskriminierung der kurdischen
Künstlerverband",
2018-03-30 00:00:00,Keupstr./ Dünnwalder Str.,30,Gegen die Zwangssedierung an Karfreitag,
"21.03.2018
- 28.03.2018",Siegburger Str. 229 A,30,Geldzurückbehaltung,
2018-04-10 00:00:00,Ottoplatz,10000,Tarifrunde Öffentlicher Dienst,
2018-04-10 00:00:00,Alter Markt,2000,Tarifrunde Öffentlicher Dienst,
2018-04-10 00:00:00,Hans-Böckler-Platz,1500,Tarifrunde Öffentlicher Dienst,
2018-04-10 00:00:00,Willy-Brandt-Platz,1500,Tarifrunde Öffentlicher Dienst,
2018-03-19 00:00:00,Willy-Brandt-Platz,k-A.,Warnstreik,
2018-03-21 00:00:00,Rathausvorplatz- Leverkusen,300,"Kurdisches Neujahrsfest, Newroz",
2018-03-20 00:00:00,Bahnhofsvorplatz,100,AFRIN - SYR,
2018-03-19 00:00:00,Wallrafplatz,30-40,"Tierrechte, vegane Ernährung u.
Lebensweise",
2018-04-29 00:00:00,Roncalliplatz,50,Klimaschutz,
2018-03-20 00:00:00,"Rudolfplatz- Westseite,
Heumarkt",150-200,Newroz,
2018-03-21 00:00:00,Domplatte,60-80,"Gedenken an ermordete Kommunalpolitikerin
Marielle aus Rio de Janeiro…",
2018-03-23 00:00:00,"Zülpicher Platz, vor Herz-Jesu-
Kirche",160,"Gegen gewaltsame Auseinandersetzungen in der
Mottowoche",
2018-04-21 00:00:00,Bahnhofsvorplatz,10-20,Heimat und Weltfrieden,
2018-04-27 00:00:00,"Aachener Str. 746-750, vor Unitymedia GmbH",100,"""Silence Freitagsdemo"" gegen Geschäftspraktiken unitymedia",
2018-05-04 00:00:00,,,,
2018-05-11 00:00:00,,,,
2018-03-24 00:00:00,Wallrafplatz,100,"March for our lives, Afrin Libre, Für ein Leben
ohne Waffen",
2018-03-25 00:00:00,Domplatte,50,"Ostern, Was verbindet Ostern zu Menschen?",
2018-03-24 00:00:00,"Rudolfplatz- Westseite,
Heumarkt",200-300,Solidarität für Afrin,
2018-03-31 00:00:00,Rudolfplatz,5-7,"Türken und Kurden sind Brüder aber PKK ist
Terror",
2018-03-24 00:00:00,Domplatte (Blau-Gold-Haus),20,"Demonstration für christliche Werte in der
Gesellschaft",
2018-04-08 00:00:00,Domplatte (Blau-Gold-Haus),50,"Solidaritätsbekundungen mit den Paschtunen in
Afghanistan und Pakistan",
