Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-01-14 00:00:00,Alter Markt,50,Zulassung eines der teuersten Medikamente der Welt für Spinale Muskelatrophie
2023-01-15 00:00:00,Roncalliplatz,100,Solidarität mit Belarus und Ukraine: Stopp Krieg! Stopp Diktatur!
2023-01-15 00:00:00,Bahnhofsvorplatz,100,Protest gegen iranische Politik
2023-01-16 00:00:00,Charlotte Waldeck,20,Preisexplosion
2023-01-17 00:00:00,Frankenplatz 1/Bahnhofplatz 10,10,Keine Zwangsräumungen von kinderreichen Familien
2023-01-17 00:00:00,Breite Straße/Auf dem Berlich,10,Lützerath muss bleiben
2023-01-19 00:00:00,"Probsteigasse 44-46, Ecke Blumenstraße",120,Erinnerung an den rassistischen Anschlag auf den Kiosk in der Probsteigasse
2023-01-19 00:00:00,Albertus-Magnus-Platz,100,Solidarisch aus der Krise - Soziale Verbesserungen in Hochschule und Gesellschaft jetzt!
2023-01-19 00:00:00,Domßplatte,20,Mit Gottes Segen in den Kugelregen?
2023-01-19 00:00:00,"Stadthaus Deutz, Willy-Brandt-Platz",12,Schafft die Obdachlosigkeit ab!
2023-01-20 00:00:00,Rudolfplatz,10,"Freiheit für Julian Assange, Schutz der Pressefreiheit, Schutz des Asylrechts"
2023-01-20 00:00:00,Wiener Platz bis Bürgerpark Kalk,150,Gegen die Anwendung unbegründeter Staatsgewalt
2023-01-21 00:00:00,Heumarkt ,5000,Solidarität mit den Protestierenden im Iran
2023-01-21 00:00:00,Roncalliplatz,1000,Demokratie und Freiheit für den Iran
2023-01-21 00:00:00,Schildergasse/Brunnen/Nähe Kahufhof,5,Die Liebe und die Freiheit
2023-01-22 00:00:00,Merianstraße 100,20,"Freiheit für die politischen Gefangenen Özgül Emre, İhsan Cibelik und Serkan Küpeli"
2023-01-22 00:00:00,"Leverkusen, Mülheimer straße 14 (Villa Wuppermann)",25,Rechte Organisierung zerschlagen! Aufbruch Leverkusen entgegenstellen
2023-01-23 00:00:00,Alter Markt,30,Tarifrunde öffentlicher Dienst
2023-01-23 00:00:00,Theo-Burauen-Platz,50,Hilferuf von 1.600 Schüler*innen
2023-01-23 00:00:00,Domplatte (Kreuzblume),10,Evangelisation
2023-01-23 00:00:00,Universitätsstraße/Enrique-Schmidt-Cuadra-Weg,5,Weg mit den Repressionen gegen den politischen Gefangenen İhsan Cibelik
2023-01-25 00:00:00,Alter Markt,2,Keine Waffenlieferungen in Kriegsgebiete
2023-01-26 00:00:00,Schildergasse/Antoniterkirche Bahnhofsvorplatz,200,Erinnern - eine Brücke in die Zukunft
2023-01-26 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-01-27 00:00:00,Wallrafplatz,10,Tierrechte
2023-01-27 00:00:00,Bahnhofsvorplatz,20,Solidarität mit Palästina
2023-01-28 00:00:00,Bürgerhaus Stollwerck (Dreikönigenstraße)                 Heumarkt,700,8. Galgo Marsch
2023-01-28 00:00:00,Neumarkt,5000,Unterstützung des Volkes im Iran gegen die islamische Regierung
2023-01-28 00:00:00,Bahnhofsvorplatz,100,Protest gegen iranische Politik
2023-01-28 00:00:00,Wiener Platz,8,Europäischer Datenschutztag
2023-01-28 00:00:00,Wallrafplatz,15,Geschehnisse der letzten drei Jahr
2023-01-28 00:00:00,Kardinal-Frings-Straße,50,"Zeugeneinschüchterung und 
Menschenverachtung Solidarität mit Oliver Vogt (ehem. Interventionsbeauftragter) und den Sekretärinnen (Meisner / Woelki)"
2023-01-28 00:00:00,Schildergasse/Antoniterkirche ,6,Die Liebe und die Freiheit
