Datum,Unnamed: 1,erwartete TN-Zahl,Thema
2023-04-08 00:00:00,Breslauer Platz,5,"Inauguration (Einführung) des ""Millennium-Funeral-Akt""  und ""Millennium-Funeral-Dekade“ 
zur Beilegung und Beerdigung des Judenmordes als Religion, als Ethik, als Bildung, als Wissenschaft und als Rechtsstaat 
zum 2000 Jubiläumsjahr seiner Entstehung als Heilsvorstellung 2033 
"
2023-04-08 00:00:00,Liverpooler Platz,5,Der Osterhase ist blau uns sagt Danke
2023-04-08 00:00:00,Ecke Bahnhofstraße/An der Sparkasse,5,Blaue Ostern mit der AfD Porz
2023-04-08 00:00:00,Heumarkt,100,Solidarität mit Palästina
2023-04-10 00:00:00,Keupstraße/Schanzenstraße,1000,Gemeinsam gedenken wir der Opfer des Erdbebens in der Türkei und in Syrien
2023-04-10 00:00:00,Bahnhofsvorplatz,20,"Christliche Werte in Politik, Gesellschaft an Ostern"
2023-04-11 00:00:00,Domplatte Römerbogen,15,Freiheit für Julian Assange
2023-04-12 00:00:00,Kalk Post,20,Abolitionismus
2023-04-12 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-04-13 00:00:00,Schildergasse (P&C),12,Förderung von christlichen Werten
2023-04-13 00:00:00,Seidenstraße 4,12,Gegen Zwangsräumung
2023-04-15 00:00:00,Ottmar Pohl Platz bis Merheimer Heide Spielplatz,350,Kidical Mass
2023-04-15 00:00:00,Domplatte (Römerbogen),20,Palästinensische Gefangene
2023-04-15 00:00:00,"Bahnhof Mülheim
Wiener Platz",40,Solidarität mit Palästina
2023-04-15 00:00:00,Bürgerpark Ehrenfeld bis Innerer Grüngürtel,100,Schluss mit dem Staatsterror in der Türkei
2023-04-15 00:00:00,Bahnhofsvorplatz,30,Mahnwache zum Beitritt Deutschlands zum Atomwaffenverbotsvertrag und Abzug aller Atomwaffen aus Deutschland
2023-04-15 00:00:00,Rudolfplatz (Ostseite),30,Menschenrecht im Iran
2023-04-15 00:00:00,Ludwigstraße 17 / Ecke Minoritenstraße         Domplatte BGH,15,Tierrechte und Veganismus
2023-04-15 00:00:00,Rosenstraße 7-9,12,Protest gegen Leerstand
2023-04-15 00:00:00,Ecke Am Hof/Wallrafplatz,15,Geschehnisse der letzten drei Jahr
2023-04-15 00:00:00,??,30,Christliche Werte in Politik und Gesellschaft
2023-04-16 00:00:00,Domplatte (Blau-Gold-Haus),20,"Tierrechte, Veganismus"
2023-04-16 00:00:00,Wiener Platz,10,Ponykarussell stoppen
2023-04-20 00:00:00,Domplatte ,50,420 - GMM Global Marijuana March 2023
2023-04-20 00:00:00,Rudolf-Diesel-Sraße 36 (Autokino Porz),350,Einkommensentwicklung
2023-04-20 00:00:00,Schildergasse/Antoniterkirche Hohe Straße 139                    Domplatte                           Wallrafplatz,15,Pelzdemo
2023-04-20 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-04-20 00:00:00,Theo-Burauen-Platz,12,Schafft die Obdachlosigkeit ab!
2023-04-21 00:00:00,Venloerstraße 247,10,75 Jahre Nakba - Erinnerung an die Vertreibung der Palästinenser
2023-04-21 00:00:00,Börsenplatz bis Roncalliplatz,800,Rettet die LFS
2023-04-21 00:00:00,Am Rinkenpfuhl 51,50,Transphobie
2023-04-21 00:00:00,Breslauer Platz,200,Kundgebung bzw. Versammlung der Streikenden anläßlich des Warnstreiks der Eisenbahn-und Verkehrsgewerkschaft in Köln
2023-04-22 00:00:00,Breite Straße (Hanns-Hartmann-Platz9,10,Tierschutz / gegen Massentierhaltung
2023-04-22 00:00:00,Kalk Post,25,Preisexplosion
2023-04-22 00:00:00,"Dellbrücker Marktplatz, südlicher Teil (An der Kemperwiese, 51069 Köln)",50,"""Markt der Möglichkeiten""-Umgestaltung des Markplatzes"
2023-04-22 00:00:00,Heumarkt,40,Aktionstag Verkehrswende
2023-04-22 00:00:00,Wallstraße 31,40,Mahnwache - Protest gegen Behördenwillkür
2023-04-22 00:00:00,Bürgerzentrum Ehrenfeld bis Agrippinawerft,50,EU-Außengrenzen
2023-04-22 00:00:00,Schildergasse (P&C),6,Die Liebe und die Freiheit
2023-04-22 00:00:00,Schildergasse/Zeppelinstraße,30,Chrsitliche Werte in Politik und Gesellschaft
2023-04-22 00:00:00,Kalk Stadtgarten,5,Kalk: Wat willste
2023-04-22 00:00:00,"Hohe Straße 139
Wallrafplatz 1
Domplatte",15,Pelzdemo
2023-04-23 00:00:00,Parkplatz Stadthalle Mülheim / Jan-Wellem-Straße,10,Ponykarussell stoppen
2023-04-23 00:00:00,Bahnhofsvorplatz,150,Mahnwache für den Dalai Lama
2023-04-23 00:00:00,Bahnhofsvorplatz,100,Rettung der israelischen Demokratie
2023-04-23 00:00:00,Autobahnbrücke Holweide,3,Klimagerechte Mobilitätswende
2023-04-24 00:00:00,Heinrich-Boell-Platz,75,Dieser Schmerz betrifft uns alle
2023-04-24 00:00:00,Domplatte,10,Tierversuche abschaffen
2023-04-25 00:00:00,Schildergasse/Zeppelinstraße,20,Fashion Revolution Week
2023-04-26 00:00:00,Domplatte (Römerbogen),40,Lesbian Visibility Day
2023-04-26 00:00:00,Christine Teusch Platz bis Kölner Spielezirkus,200,Fahrradschulbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-04-27 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-04-27 00:00:00,Ebertplatz,20,Klimagerechtigkeit
2023-04-28 00:00:00,Lustwiese,50,"Time is Planet, geusndes Leben gibt es nur auf einer gesunden Erde"
2023-04-28 00:00:00,"Kaiser-Wilhelm-Allee 3, Leverkusen",40,Protest gegen die Bayer-Hauptversammlung 2023
2023-04-28 00:00:00,Ehrenfeldgürtel bis Innerer Grüngürtel,100,Warnstreik Lieferando Köln
2023-04-29 00:00:00,Wiener Platz (Rand der Platzfläche),15,Erhalt des Krankenhauses Holweide - Autokorso
2023-04-29 00:00:00,Geiersbergstraße 19 (S-Bhf Blumenberg),20,Verkehr- und Stadtentwicklung im Kölner Norden
2023-04-29 00:00:00,Im Hasengarten 11,8,Wir wollen unser Zuhause nicht verlieren! Bauantrag stelleund Obdachlosigkeit verhindern
2023-04-29 00:00:00,Domplatte (Blau-Gold-Haus),50,Gegen die iranische Regierung
2023-04-30 00:00:00,Heinrich-Bützler-Straße,50,Platzpark statt Parkplätze - Kalk braucht mehr Platz für Menschen statt Platz für Autos - temporäre Spielstraße
2023-05-01 00:00:00,Hans-Böckler-Platz bis Heumarkt,10000,Maiveranstaltung der Kölner Gewerkschaften / DGB-Bundesvorstand
2023-05-01 00:00:00,"Kalk Post
Taunusstraße (Parkplatz)",300,Tag der Arbeit
2023-05-01 00:00:00,Edith-Stein-Straße 10-12,40,1. Mai - Internationaler Kampftag der Arbeiterklasse
2023-05-02 00:00:00,Theo-Burauen-Platz,30,Kitas in Not
2023-05-03 00:00:00,Eckertstraße 4 - 6,35,Durchgangs-Autoverkehr raus aus der Eckertstraße
2023-05-03 00:00:00,Bahnhofsvorplatz,15,Freiheit für Julian Assange (Tag der internationalen Pressefreiheit)
2023-05-04 00:00:00,Alter Markt,100,Für den Neubau der Sportanlage Rather See in Rath/Heumar
2023-05-05 00:00:00,Mülheimer Freiheit 88-122,350,"Schulstraße: Anmahnen von sicheren 
Schulwegen und Freiräumen für Kinder und Jugendliche"
2023-05-05 00:00:00,Rosenzweigweg,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2023-05-05 00:00:00,Grüner Weg 13 bis Lindenbornstraße 15-19,150,Fahrradschulbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-05-05 00:00:00,Gilbachstraße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2023-05-05 00:00:00,"Pfarrer-Maybaum-Weg 47 Rosenmaarschule,",50,Fahrradschulbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-05-05 00:00:00,Schillplatz bis Grundschule Kretzerstraße,150,Fahrradschulbus - Anmahnen von sicherer Radinfrastruktur für Schüler*innen
2023-05-05 00:00:00,Borsigstraße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2023-05-05 00:00:00,Mommsenstraße/Kaisersescherstraße,500,Schulstraße: Sichere Schulwege und Freiräume für Kinder und Jugendliche
2023-05-05 00:00:00,Bahnhofsvorplatz,150,Solidarität mit Yesil Sol Parti - keine Stimme für Erdogan
2023-05-06 00:00:00,Heumarkt ,200,GMM - Global Marijuana March 2023
2023-05-06 00:00:00,Diepeschrather Straße,350,Kidical Mass 
2023-05-06 00:00:00,Unter der Stelzenautobahn bis Appellhofplatz,1000,Tag des Sieges über den Faschismus
2023-05-06 00:00:00,Bernhard-Letterhaus-Straße,100,Schulstraße
2023-05-06 00:00:00,Parkplatz Merianstraße bis Friedhof Kalk,100,8. Mai - Gedenktag der Opfer des 2. Weltkrieges
2023-05-06 00:00:00,Appellhofplatz/Elisenstraße,40,Keine Instrumentalisierung des antifschistischen Gedenkens durch die extreme Rechte und Putin Unterstützer:innen
2023-05-06 00:00:00,"Heumarkt
Rautenstrauch-Joest-Museum",100,"Kein Platz für Antisemitismus, Rassimus, Faschismus"
2023-05-06 00:00:00,Schildergasse (Brunnen),6,Friede und die Freiheit
2023-05-06 00:00:00,Marktplatz Holweide,15,Benachteiligte Stadtteile
2023-05-06 00:00:00,"Hohe Straße 139
Wallrafplatz 1",15,Pelzdemo
2023-05-06 00:00:00,Martinstraße/Bolzengasse,10,Mahnwache Immobilienmesse
2023-05-06 00:00:00,Bahnhofsvorplatz,10,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-05-07 00:00:00,"Leverkusen, Bergische Landstraße (St. Andreas) bis Friedrich-Ebert-Platz",250,Kidical Mass Leverkusen - Anmahnen von sicherer Radinfrastruktur und Freiräume für Kinder und Jugendliche
2023-05-07 00:00:00,Domplatte (Kreuzblume),10,Aktionstag Kölner Klinik-Clown
2023-05-07 00:00:00,Rudolfplatz bis Alte Feuerwache,2000,Kidical Mass - Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche
2023-05-07 00:00:00,Neptunplatz bis Innere Kanalstraße (Zusammenschluss KM),400,Kidical Mass - Zubringer Ehrenfeld
2023-05-07 00:00:00,Rhein Energie Stadion bis Rudolplatz,50,Kidical Mass - Zubringer Müngersdorf
2023-05-07 00:00:00,Nikolauskirchplatz bis Innere Kanalstraße,75,Kidical Mass  -Zubringer Sülz
2023-05-07 00:00:00,Wilhelmplatz über Roeckerathplatz bis Innere Kanalstraße,250,Kidcal Mass - Zubringer Nippes und Agnesviertel
2023-05-07 00:00:00,Bahnhof Mülheim bis Kalker Hauptstraße,75,Kidical Mass - Zubringer Mülheim
2023-05-07 00:00:00,"Sportpark Höhenberg, Kalk Post, Ottoplatz",350,"Kidical Mass Zubringer Höhenberg, Kalk"
2023-05-07 00:00:00,Chlodwigplatz bis Rudolfplatz,200,Kidical Mass - Zubringer Südstadt
2023-05-08 00:00:00,Roncalliplatz,500,Kundgebung gegen Konzert von Roger Waters am 09.05.2023
2023-05-08 00:00:00,Hansaplatz,100,Gedenkstunde anlässlich des Jahrestages der Befreiung vom Faschismus
2023-05-08 00:00:00,Hans-Böckler-Platz bis Schönsteinstraße (Edelweißpiraten-Denkmal),150,Erinnerung an das Kriegsende und den Tag der Befreiung
2023-05-09 00:00:00,Willy-Brandt-Platz (Eingang Südwest),50,Kein Raum für Antisemitismus und Verschwörungsideologien in Köln
2023-05-09 00:00:00,Alter Markt,100,"Tag des Sieges! Nie wieder Krieg, nie wieder Faschismus "
2023-05-09 00:00:00,Willy-Brandt-Platz,10,"Solidarität mit Roger Waters, Freiheit für Palästina, Frieden für Ukraine"
2023-05-09 00:00:00,Alter Markt,10,"Klare Kante gegen friedensbewegte Querdenker:innen, Antisemit:innen und rechte Verschwörungsideologien"
2023-05-09 00:00:00,Ottoplatz,10,Erinnerung an das Ende des 2. Weltkriegs
2023-05-10 00:00:00,Bahnhofsvorplatz,30,Politische Haft in der Türkei und im Iran
2023-05-11 00:00:00,Domplatte (BGH),4,Wir sprechen über Jesus 
2023-05-11 00:00:00,Dillenburger Straße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-05-12 00:00:00,Lindenstraße,250,"Anmahnen von sicherer Radinfrastruktur, mehr Platz für Fußverkehr und Freiräumen für Kinder und Jugendliche"
2023-05-13 00:00:00,Domplatte (Römerbogen),100,Pflegenotstand - für eine mesnchenwürdige Pflege
2023-05-13 00:00:00,Heumarkt ,100,Palästinensische Kultur nach 75 Jahren Vertreibung
2023-05-13 00:00:00,Bahnhofsvorplatz,50,Aktionstag gegen Queerfeindlichkeit
2023-05-13 00:00:00,Wiesdorfer Platz  ,12,Evangelium Verbreiten
2023-05-13 00:00:00,Friesenplatz                                 Alter Markt,50,Sicherung und Stärkung der Kindertagespflege in Köln
2023-05-13 00:00:00,"Wiese Holweider Markt
Fußweg KKH Holweide",100,Erhalt des Krankenhauses Holweide
2023-05-13 00:00:00,Kalk Post,150,Solidarität mit Palästina
2023-05-13 00:00:00,Bahnhofsvorplatz,50,Jesus Christus - Retter der Welt
2023-05-13 00:00:00,Im Hasengarten 11,10,Mahnwache beim Vermieter
2023-05-13 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",20,Wo sind die Wurzeln unserer christlichen Grundwerte?
2023-05-13 00:00:00,Roncalliplatz,250,Stopp Exekution in Iran
2023-05-13 00:00:00,"Leverkusen, Königsberger Platz",50,"Spaziergang gegen den Bau der Feuer- und Rettungswache in einem Landschaftsschutzgebiet, gegen großflächige Versiegelung, für Klima- und Naturschutz"
2023-05-13 00:00:00,An der Fuhr (Grünfläche),15,Love & Peace Tour
2023-05-14 00:00:00,Roncalliplatz,500,"Wahlkampf in der Türkei, Systemwechsel oder weiter mit Diktator Erdowahn"
2023-05-15 00:00:00,Wiener Platz,20,Teuerung & Krise
2023-05-16 00:00:00,Theo-Burauen-Platz,40,Erhalt Krankenhaus Holweide und Kinderkrankenhaus Amsterdamer Straße
2023-05-16 00:00:00,Pariser Platz,2000,Baumängel an Schulen im Kölner Norden und die damit einhergehenden Einschränkungen im Unterricht bis hin zum Ausfall
2023-05-16 00:00:00,Venloer Straße/Bahnbrücke HGK,50,Mahnwache: Sinit und Roma in Köln
2023-05-16 00:00:00,St.Martinschule bis Pariser Platz,350,Schulnotstand Köln Nord
2023-05-16 00:00:00,Alter Markt,12,Sechs Köpfe suchen ein Zuhause
2023-05-16 00:00:00,Rathausplatz,5,Verkehrswende
2023-05-16 00:00:00,Pariser Platz,50,Die baulichen Mängel an Schulen im Kölner Norden
2023-05-17 00:00:00,Bahnhofsvorplatz,250,"IDAHOBIT 2023, Internationaler Tag gegen Homo-, Bi-, Inter-, Trans- und A-sex-Feindlichkeit"
2023-05-17 00:00:00,Albertus-Magnus-Platz,50,"Nie wieder Krieg, nie wieder Faschismus"
2023-05-17 00:00:00,"Rudolfplatz
Ebertplatz",150,Ride of Silence
2023-05-18 00:00:00,Roncalliplatz,150,18. Mai Gedenkveranstaltung zum Todestag von Ibrahim Kaypakkaya
2023-05-18 00:00:00,"Leverkusen, Friedrich Ebert Platz ",3000,Freiheit für Fußballfans - Bayer 04 im Europapokal Halbfinale
2023-05-18 00:00:00,Bahnhofsvorplatz,25,Christliche Werte in Politik und Gesellschaft
2023-05-18 00:00:00,Deutzer Werft,150,32. Unabhängigkeitstag Eritrea
2023-05-18 00:00:00,Hiroshima Nagasaki Park,10,"Tierrechte, Veganismus"
2023-05-19 00:00:00,Claudiusstraße 1,300,Kölner Jugend gegen Rechts - im Rahmen der Aktionswoche verbannte und verbrannte Bücher
2023-05-19 00:00:00,Domplatte Domforum,20,"Tierrechte, Veganismus"
2023-05-19 00:00:00,Bahnhofsvorplatz,70,"Stopp die Hinrichtug, Menscenrecht im Iran"
2023-05-20 00:00:00,Domplatte Römerbogen,80,Speziesmus tötet
2023-05-20 00:00:00,Bahnhofsvorplatz,25,Freiheit-Religion
2023-05-20 00:00:00,Roncalliplatz,100,Samstagsmütter
2023-05-20 00:00:00,Schildergasse (P&C),10,Die Liebe und die Freiheit
2023-05-20 00:00:00,Schildergasse/Zeppelinstraße,20,Atomwaffenfrei jetzt! Büchel ist überall!
2023-05-20 00:00:00,Kalker Hauptstraße 247-273,5,Für Frieden und Abrüstung
2023-05-20 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",50,Christliche Demonstration
2023-05-20 00:00:00,Neumarkt (Ostseite),150,Gegen Hinrichtungen im Iran
2023-05-21 00:00:00,"EL-DE Haus (Appellhofplatz), Heumarkt, Kennedyufer",150,Gedenken zur Deportation der Sinti und Roma am 21.05.1940 
2023-05-21 00:00:00,Neptunplatz        ,500,Mad Pride - Sichtbarmachung von Menschen mit Behinderung und sozialer Benachteiligung
2023-05-22 00:00:00,Wiener Platz,8,Wir wollen unser Zuhause nicht verlieren und bleiben wie der Fuchs in seinem Bau
2023-05-24 00:00:00,Sudermanplatz,300,Stoppt den Textilmüll- Wir fordern ein Rücknahmesystem für textile Wertstoffe 
2023-05-24 00:00:00,Theo-Burauen-Platz,50,Wir sind Städte - wir kriegen nichts auf die Kette!
2023-05-24 00:00:00,Lindenstraße,1000,"Anmahnen von sicherer Radinfrastruktur, mehr Platz für Fußverkehr und Freiräumen für Kinder und Jugendliche"
2023-05-24 00:00:00,Kurt-Rossa-Platz,50,Dieser Schmerz betrifft uns alle
2023-05-24 00:00:00,"Kaiser-Wilhelm-Allee 3, Leverkusen",30,Rolle des Baer-Konzerns beim Mercusor-Abkommen
2023-05-25 00:00:00,Jakob-Zündorf-Weg (RheinEnergie Stadion),200,Demonstration für eine bessere Integration und Bildung an unseren Schulen
2023-05-25 00:00:00,Theo-Burauen-Platz,20,Schafft die Obdachlosigkeit ab!
2023-05-25 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-05-25 00:00:00,Melchiorstraße (Alte Feuerwache),200,Temporäre Spielstraße: Anmahnen von mehr Freiräumen und Sicherheit für Kinder und Jugendliche im öffentlichen Raum
2023-05-25 00:00:00,Bahnhofsvorplatz,50,Solidarität mit der Letzten Generation
2023-05-27 00:00:00,Domplatte (Blau-Gold-Haus),25,Gegen Hinrichtungen im Iran
2023-05-27 00:00:00,Kalk Kapelle bis Kalk Markt,100,Gegen Krieg und Teuerungen
2023-05-27 00:00:00,Domplatte (Kreuzblume),5,Afrin + Kobani + Serekanie + Kamichli
2023-05-27 00:00:00,JVA Ossendorf,30,Freiheit für die politischen Gefangenen Özgül Emre und Ihsan Cibelik
2023-05-27 00:00:00,Bahnhofsvorplatz,11,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-05-27 00:00:00,Ludwigstraße 7 (MaxMara),30,Pelzdemo
2023-05-28 00:00:00,Domplatte Domforum,20,"Tierrechte, Veganismus"
2023-05-29 00:00:00,Bahnhofsvorplatz,25,Freiheit - Religion
2023-05-31 00:00:00,Gummersbacher Straße 25,80,"OMZ bleibt, gegen städtische Willkür"
2023-05-31 00:00:00,"Leverkusen, Solinger Straße Baugebiet ""Auf dem Heunen""",20,Gegen den Bau der geplanten Feuerwache in Leverkusen-Opladen
2023-06-01 00:00:00,Merianstraße Köln bis Nettergasse Dormagen,30,1. Juni - Internationaler Kindertag. Erinnerung an unschuldige Kinder im 2. Weltkrieg
2023-06-01 00:00:00,Chlodwigplatz,5,moderne Sklaverei und Menschenhandel mit Fokus auf Kinderschutz im Internet anlässlich des Weltkindertages
2023-06-01 00:00:00,Palmstraße 19,40,Palmstraße ist überall! Gegen jede Zwangsräumung
2023-06-01 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-06-02 00:00:00,Grüner Weg 13 bis Lindenbornstraße 15-19,150,"Fahrradschulbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2023-06-03 00:00:00,Heumarkt ,300,Globaler Weltfrieden - wie innen so außen
2023-06-03 00:00:00,Bahnhofsvorplatz,100,Protest gegen die Iranische Politik
2023-06-03 00:00:00,Roncalliplatz,50,Stoppt die Hinrichtungen - Menschenrechte im Iran
2023-06-03 00:00:00,Nikolausstraße 55a,150,"Demonstration zum Weltfahrradtag 2023: Fahrräder für die Welt, sichere Fahrradwege für Sülz"
2023-06-03 00:00:00,"Alter Markt
Rudolfplatz",100,Gegen Hinrichtungen im Iran
2023-06-03 00:00:00,Rudolfplatz                    Willy-Brandt-Platz                 Kalk Post                           Dillenburgerstraße,400,Keine Kompromisse mit der Festung Europa - Refugees Welcome! EU Asylreform in die Tonne
2023-06-03 00:00:00,Chlodwigplatz,150,Beendigung des Krieges im Sudan
2023-06-03 00:00:00,"Rochusstraße, JVA Ossendorf",15,"Freiheit für Özgül, Ihsan, Serkan und Hasan"
2023-06-04 00:00:00,Kalscheurer Weiher,300,Spiritueller Beitrag für den Frieden
2023-06-04 00:00:00,Domplatte,40,"Glaube, Hoffnung, Liebe"
2023-06-05 00:00:00,Habsburgerring 2,7,Fleischskandal - Gegen die schlechten Tierschutzbedingungen bei Lidl
2023-06-05 00:00:00,Haltestelle Köln Vingst,15,Teuerungen und Krise
2023-06-06 00:00:00,Luxemburger Straße 101,15,Keine Instrumentalisierung des Ukraine Kriegs durch extreme Rechte und Putin Unterstützer:innen - Internationale Solidarität mit der Ukraine 
2023-06-06 00:00:00,Theo-Burauen-Platz,20,Erhalt der Kölner Kindertagespfelge
2023-06-07 00:00:00,Bahnhofsvorplatz,30,Politische Haft in der Türkei und im Iran
2023-06-09 00:00:00,Keupstraße ,150,Gedenkkundgebung am Jahrestag des Nagelbombenanschlags in der Keupstraße
2023-06-09 00:00:00,SPD Zentrale Köln - Grünenzentrale Köln,10,Reaktion der Seebrücke Köln auf Zustimmung der „Gemeinsame Europäischen Asylsystem“-Reform
2023-06-10 00:00:00,Roncalliplatz,1000,Schützt Kinder in der Ukraine – Schützt Zukunft Europas. Solidarität mit der Ukraine
2023-06-10 00:00:00,Lenauplatz,6,Protest gegen die reine Stallhaltung von Milchkühen
2023-06-10 00:00:00,Domplatte BGH,100,Gegen die schleichende Diktatur im Senegal
2023-06-10 00:00:00,Parkplatz Gut Leidenhausen,500,Tag Russlands - Tag der Einheit!
2023-06-10 00:00:00,"vor VHS Forum, Cäcilienstr. 29-33",10,Mahnwache zum Wohnprojekttag
2023-06-10 00:00:00,JVA Ossendorf,15,"Freiheit für Özgül, Ihsan, Serkan und Hasan"
2023-06-10 00:00:00,Bahnhofsvorplatz (unterhalb der Treppe),11,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-06-13 00:00:00,"Landgericht Köln, Luxemburgerstr. ",20,"Solidarität mit Georg Menne, Opfer sex. Gewatl"
2023-06-14 00:00:00,Roncalliplatz,1000,Das Maß ist voll - Die Politik ist auf dem medizinischen Auge blind 
2023-06-14 00:00:00,Domplatte (BGH),50,Solidaritätsversammlung für die streikenden Autorenkolleg*innen der Writers Guild of America (WGA)
2023-06-14 00:00:00,Theo-Burauen-Platz,20,Erhalt der Kölner Kindertagespflege
2023-06-15 00:00:00,Theo-Burauen-Platz,40,Erhalt des Krankenhauses Holweide und der Kinderklinik Amsterdamer Straße
2023-06-15 00:00:00,Zeisbuschweg,100,"Einrichtung und Nutzung eines „Pop-up-Zebrastreifens“, um die Einrichtung eines dauerhaft angelegten Zebrastreifens zu unterstützen"
2023-06-15 00:00:00,Theo-Burauen-Platz,100,Projekt Ausbau generationsübergreifendes Bürgerhaus (Mehrgenerationenhaus) in Köln-Lindweiler
2023-06-15 00:00:00,Laurenzplatz,5,"Verkehrswende Köln, Ost-West-Achse"
2023-06-15 00:00:00,Alter Markt,100,Erhalt des Kölner Großmarktes als städtischer Betrieb bzw. mit städtischer Beteiligung
2023-06-15 00:00:00,Rathausplatz (Bürgerstraße),8,Mahnwache zur Ratssitzung
2023-06-15 00:00:00,Breite Straße/Mörsergasse,20,Wie wollen den runden Tisch mit dem WDR
2023-06-17 00:00:00,Domplatte BGH,50,Kinderrechte und Klima 
2023-06-17 00:00:00,Kalk Post,300,Zum Gedenken an Sarah Hegazi und Eden: LGBTQIA+ Rechte im Nahen Osten und in Nordafrika
2023-06-17 00:00:00,Chlodwigplatz bis Ebertplatz,100,Tempo fürs Tempo! Mehr Tempo 30 für Köln - für eine echte Verkehrswende!
2023-06-17 00:00:00,Wallrafplatz,20,Tierrechtsaktivismus
2023-06-17 00:00:00,Wiener Platz,20,Friedenskundgebung. Schwerpunktmäßig Defender 2023 und NATO.
2023-06-17 00:00:00,"Leverkusen, Am Stadtpark",40,Kuba-Fakten
2023-06-17 00:00:00,Schildergasse Antoniterkirche vor P&C,8,Liebe und die Freiheit
2023-06-18 00:00:00,Aachener Weiher (ZK) bis Kennedy-Ufer,2500,Kölner Sternfahrt 2023
2023-06-18 00:00:00,"Bhf Mülheim, Kalk Kapelle",100,Kidical Mass - Zubringer Sternfahrt 2023
2023-06-18 00:00:00,Aachener Weiher bis Parkplatz Ottoplatz,1000,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2023-06-19 00:00:00,Vingst (H),20,Teuerungen
2023-06-20 00:00:00,Heumarkt ,500,Leben mit Vision – Für Christliche Werte / Soziale Gerechtigkeit in der postmodernen Gesellschaft / Gegen Menschenhass
2023-06-20 00:00:00,Wallrafplatz,30,AB-Bruch - Sichere Wege nach Europa für ALLE - Weltflüchtlingstag
2023-06-20 00:00:00,Rudolfplatz - Aachener Weiher,500,Flüchtlingstag
2023-06-20 00:00:00,Domplatte Domforum,20,Freiheit für den immer noch inhaftierten Volksvertreter Can Atalay von der Arbeiterpartei der Türkei (TIP)   
2023-06-22 00:00:00,Roncalliplatz,50,Trauerkerze 
2023-06-22 00:00:00,Roncalliplatz,20,Kein fußbreit den Faschisten und Rassisten
2023-06-22 00:00:00,Breite Straße/Mörsergasse,20,"Wir wollen den ""Runden Tisch"" mit dem WDR"
2023-06-23 00:00:00,Roncalliplatz,600,Tolerance and Diversity
2023-06-23 00:00:00,Heumarkt,250,Brücken bauen für Europa - Das Rheinland für die Uraine
2023-06-24 00:00:00,Gerhard-Wilczek-Platz bis Bartholomäus-Schink-Straße,100,Gedenkdemo für Edelweißpiraten
2023-06-24 00:00:00,Heumarkt,50,Gegen Hinrichtungen im Iran
2023-06-24 00:00:00,"Leverkusen, Neuland-Park",500,Hilfe für Erdbebenopfer in der Türkei
2023-06-24 00:00:00,Amsterdamer Straße/Kinderkrankenhaus,30,Erhalt des Kinderkrakenhauses und der Klinik Holweide
2023-06-24 00:00:00,Chlodwigplatz,50,Gegen Hinrichtungen im Iran
2023-06-24 00:00:00,Haltestelle Köln Vingst,30,Gegen Krieg und Bundeswehr
2023-06-24 00:00:00,Bahnhofsvorplatz,13,Klare Kante gegen rechtsextreme Islamophobie in Köln! 
2023-06-26 00:00:00,Alter Markt,10,Für Demokratie - gegen Verschwörungstheorien und Hass und Hetze
2023-06-28 00:00:00,Kalk Post,200,Stonewall Jahrestag
2023-06-29 00:00:00,Schildergasse,12,Kundgebung zur Förderung christlicher Werte
2023-06-29 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2023-06-29 00:00:00,Breite Straße/Auf der Ruhr,20,Wir wollen den runden Tisch mit dem ÖFR
2023-06-29 00:00:00,Domplatte (Blau-Gold-Haus),20,Bombenangriffe der Türkei auf die Selbstverwaltung
2023-06-30 00:00:00,Schildergasse (P&C),10,Speziesismus und Tierrechte
2023-06-30 00:00:00,"Leverkusen, Bahnhofstraße/Humboldstraße",25,513 Nazifrei
