"Datum
",Ort/e der Kundgebung,"erwartete TN-Zahl
",Thema
2022-03-20 00:00:00,Stadtgarten Kalk- Tunisstaße/Komödienstraße,350,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-03-20 00:00:00,Neptunplatz-Rudolfplatz,300,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-03-20 00:00:00,Oskar-Rehfeldt-Weg,50,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche - Zubringer Weiden"
2022-03-20 00:00:00,Boisseréestraße,200,Freiraum für Kunst und Kultur im Rathenauviertel. Anmahnen für Unterstützung von Kunst und Kultur
2022-03-20 00:00:00,Kalk Post,30,Nieder mit dem Krieg der Arbeiterfeinde
2022-03-21 00:00:00,Innenstadt,1850,"Menschenkette zum internationalen Tag gegen Rassismus für ein offenes Köln, für Vielfalt und Frieden"
2022-03-21 00:00:00,Heumarkt,200,Internationaler Tag gegen Rassismus
2022-03-23 00:00:00,Heinrich-von-Stephan-Straße,10,Internationale Woche gegen Rassismus
2022-03-23 00:00:00,Heumarkt,,Friedensdemonstration Benefiz-Konzert mit Ansprachen für den Frieden - gegen den Krieg in der Ukraine
2022-03-24 00:00:00,Theo-Burauen-Platz,15,Schafft die Obdachlosigkeit ab
2022-03-24 00:00:00,Königsberger Platz,20,"Grundrechte, Freiheit"
2022-03-25 00:00:00,Rheinpark,10000,Internationaler Kilmastreik
2022-03-25 00:00:00,Friedrich-Ebert-Platz bis Rheinallee,200,Klimastreik
2022-03-25 00:00:00,Rudolfplatz,10,Freiheit für Julian Assange
2022-03-25 00:00:00,Christine-Teusch-Platz,250,Fridays for Future
2022-03-25 00:00:00,Neumarkt (nur Sammelfläche),12,weniger.
2022-03-26 00:00:00,"Chlodwigplatz
Heumarkt",400,Wohnen für Menschen statt Profite
2022-03-26 00:00:00,"Neumarkt
Roncalliplatz",100,Solidarität mit Belarus und Ukraine: Stoppt Krieg! Keine Diktatur!
2022-03-26 00:00:00,"Roncalliplatz
Neumarkt",100,Nowruz Fest - Frieden in der Welt
2022-03-26 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",200,Stoppt den Krieg! Freiden und Solidarität mit den Menschen in der Ukraine
2022-03-26 00:00:00,Roncalliplatz,1000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-03-26 00:00:00,Schildergasse (P&C),20,Liebe Demut Einigkeit
2022-03-26 00:00:00,"Alter Markt
Aachener Weiher",200,Nie wieder Krieg! Nie wieder Faschismus! Stoppt den Impfzwang! Schluss mit der Spaltung!
2022-03-26 00:00:00,Schildergasse/Krebsgasse,10,Tierleid/Tierrechte/Veganismus
2022-03-27 00:00:00,Ottoplatz,60,27.03.1948 - Schwarzer Tag für Belutschistan
2022-03-28 00:00:00,Alter Markt,200,"Schulplatzverlosung für weiterführende Schulen stoppen. Schulplätze schaffen.Transparent, fair und verantwortlich handeln."
2022-03-28 00:00:00,Wiener Platz,3,Christliche Evangelisation
2022-03-28 00:00:00,Heumarkt,50,Coronamaßnahmen kritisieren JA - Mit Nazis spazieren NEIN
2022-03-28 00:00:00,Chlodwigplatz,100,Protest gegen das Gerichtsurteil Lützerath
2022-03-29 00:00:00,Chlodwigplatz-Heumarkt,1500,"Tarifverhandlungen kommunale Kitas, soziale Arbeit"
2022-03-29 00:00:00,Hans-Böckler-Platz,100,Veranstaltung im Rahmen der Tarifrunde TVöD
2022-03-29 00:00:00,Pariser Platz,50,Zukunft friedlich un gerecht gestalten
2022-03-31 00:00:00,Alter Markt,50,Maßnahmen der Stadt Köln im Hinblick auf den 2019 ausgerufenen Klimanotstand
2022-03-31 00:00:00,"Heumarkt
Chlodwigplatz",100,Trans day of visibiliry 2022
2022-03-31 00:00:00,Königsberger Platz bis Königsberger Platz,20,"Grundrechte, Freiheit"
2022-03-31 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-04-01 00:00:00,Domplatte (Römerbogen),20,Solidarität mit Palästina
2022-04-01 00:00:00,Domplatte (Domforum),20,Asyl für Kriegsverweigerer aus der Ukraine und Russland
2022-04-02 00:00:00,Roncalliplatz,120,Freiheit für politische Gefangene im Iran und Solidarität mit Regimekritikern
2022-04-02 00:00:00,Stadtgarten Kalk bis Ottmar-Pohl-Platz,500,"Kidical Mass, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-04-02 00:00:00,"Leverkusen, Fußgängerzone",80,"Gemeinsam überparteilich für unsere Grundrechte, Menschenrechte und freiheit! Leverkusen sagt Nein zu den unverhältnismäßigen Corona-Zwangsmaßnahmen und zum Ausschluss von zigtausend gesunden Ungeimpften aus dem öfentlichen Leben sowie zur Impfpflicht"
2022-04-02 00:00:00,Domplatte (Blau-Gold-Haus),15,"Tierrechte, Ernährung & Veganismus"
2022-04-02 00:00:00,Kalk Post,40,Gegen Teuerungen und Aufrüstung
2022-04-02 00:00:00,Herrmannsplätzchen,30,Friedenskundgebung zum Krieg in der Ukraine
2022-04-02 00:00:00,Heumarkt,100,Freiheit für Herrn Öcalan
2022-04-02 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,18,Wohnungen für Obdachlose und Geflüchtete
2022-04-02 00:00:00,Rudolfplatz,12,Tierleid/Tierrechte/Veganismus
2022-04-03 00:00:00,Domplatte (Blau-Gold-Haus),10,Verkündigung des Evangeliums
2022-04-03 00:00:00,Domplatte (Römerbogen),35,Jesus liebt dich
2022-04-03 00:00:00,Heumarkt,45,Grund- und Menschenrechte auch in Krisenzeiten
2022-04-03 00:00:00,Konrad-Adenauer-Ufer 80,8,Für Grundrechte und Rechtsstaat
2022-04-04 00:00:00,Godorfer Hauptstraße 150,10,Übergewinne der Mineralölkonzerne
2022-04-04 00:00:00,Albertus-Magnus-Platz,20,Schnellere Verkehrswende in Köln - Bau einer neuen Stadtbahnlinie auf der Universitätsstraße
2022-04-05 00:00:00,"Luxemburger Straße 101, Landgericht Köln",3,Illegaler Welpenhandel
2022-04-06 00:00:00,Aussichtspunkt Hohenzollernbrücke,10,Nein zum Krieg
2022-04-06 00:00:00,Bahnhofsvorplatz,30,Politische Haft in der Türkei
2022-04-06 00:00:00,"Chlodwigplatz
Theodor-Heuss-Park",250,Danke dass wir gemeinsam die Pandemie überstanden haben
2022-04-06 00:00:00,Chlodwigplatz,50,Coronamaßnahmen kritisieren JA - Mit Nazis spazieren NEIN
2022-04-07 00:00:00,"Leverkusen, Königsberger Platz ",15,"Grundrechte, Freiheit"
2022-04-07 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-04-08 00:00:00,Christine-Teusch-Platz bis Christine-Teusch-Platz,200,"Kidical Mass; Fahrradbus, Anmahnen von sicherer Radinfrastruktur für Schüler*innen"
2022-04-08 00:00:00,"Heumarkt
Roncalliplatz",1000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-04-08 00:00:00,Marzellenstraße (Generalvikariat),5,Das Millionengrab des Erzbistums - Finanzskandal
2022-04-09 00:00:00,Domplatte (Blau-Gold-Haus),7,Freiheit - Religion
2022-04-09 00:00:00,Hohe Straße/Am Hof,10,Tierrechte
2022-04-09 00:00:00,Heumarkt,50,Diskussion zu Gestaltungsmöglichkeiten des innerstädtischen Raumes am konkreten Beispiel Heumarkt
2022-04-09 00:00:00,in Kooperation,30,Christliche Werte in Politik und Gesellschaft
2022-04-09 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,18,Wohnungen für Obdachlose und Geflüchtete
2022-04-10 00:00:00,Alter Markt,45,Gegen die korrupte und gescheiterte Regieung Sri Lankas
2022-04-11 00:00:00,Domplatte (Blau-Gold-Haus),10,"Freiheit für Julian Assange, Sondermahnwache"
2022-04-11 00:00:00,"Flughafen Köln/Bonn, Foyer",10,Züge statt Flüge - gegen Kurzstreckenflüge
2022-04-11 00:00:00,Wiener Platz,4,Christliche Evangelisation
2022-04-12 00:00:00,Neptunplatz,150,"Demontration für Frieden, Zusammenhalt und Freiheit."
2022-04-13 00:00:00,Bahnhofsvorplatz,20,Mitgefühl zu Ostern
2022-04-13 00:00:00,"Severinskirchplatz
Heumarkt
Theodor-Heuss-Park",250,Danke dass wir gemeinsam die Pandemie überstanden haben
2022-04-13 00:00:00,Domplatte (Römerbogen),20,Nein zum Krieg
2022-04-13 00:00:00,Chlodwigplatz,50,Coronamaßnahmen kritisieren JA - Mit Nazis spazieren NEIN
2022-04-14 00:00:00,Domplatte (Blau-Gold-Haus),30,"Tierrechte, Veganismus"
2022-04-14 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-04-16 00:00:00,"Apellhofplatz, Roncalliplatz ",400,"Ostermarsch ""Eskalationsspirale durchbrechen!"""
2022-04-16 00:00:00,"Kalk Kapelle
Kalk Markt",40,"Als Klasse gemeinsam kämpfen gegen Krieg, Krise und Kapitalismus"
2022-04-16 00:00:00,Schildergasse/Krebsgasse,12,Tierleid/Tierrechte/Veganismus
2022-04-16 00:00:00,Domplatte (Blau-Gold-Haus),100,Putin in 2 prison - Demonstration für die Ukraine
2022-04-16 00:00:00,Ecke Berrenrather Str./Friedrich-Engels-Str.,18,Wohnungen für Obdachlose und Geflüchtete
2022-04-16 00:00:00,Heumarkt,10,Für Zivilstaat und gegen das repressive Verhalten des algerischen Systems
2022-04-17 00:00:00,Hans-Böckler-Platz   Bürgerzentrum Ehrenfeld,200,"Demo und Kundgebung für diejenigen, die im Kampf gegen den Faschismus in der Türkei gestorben sind"
2022-04-18 00:00:00,Roncalliplatz,180,Ostern ein Fest der Freude? Ostern und Jesus Christus? Was hat Ostern mit uns heute zu tun?
2022-04-20 00:00:00,Roncalliplatz,50,420-GMM Global Marihuana March 2022
2022-04-20 00:00:00,Rudolfplatz,10,Freiheit für Juian Assange
2022-04-21 00:00:00,Schildergasse (Antoniterkirche),12,Kundgebung zur Förderung christlicher Werte
2022-04-21 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-04-22 00:00:00,Domplatte,10,Menschenrechtsverletzungen in Xinjiang gegen die Uiguren
2022-04-22 00:00:00,"Wiener Platz
Elisabeth-Breuer-Platz",50,Gegen Femizide und patriarchale Gewalt
2022-04-23 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,18,Wohnungen für Obdachlose und Geflüchtete
2022-04-24 00:00:00,Heinrich-Böll-Platz,75,Dieser Schmerz betrifft uns alle
2022-04-24 00:00:00,Domplatte (Blau-Gold-Haus),15,"Tierrechte, Ernährung & Veganismus"
2022-04-24 00:00:00,Mauenheimer Str. 139,50,Mahnwache für Zeynep- Opfer des Femizides in Köln Nippes
2022-04-24 00:00:00,Alter Markt,50,Für eine militärische Intervention in der Ukraine gegen Russland. Gegen die SPD und Olaf Scholz.
2022-04-25 00:00:00,Bahnhofsvorplatz,20,Don't forget Afghanistan
2022-04-25 00:00:00,Alphons-Silbermann-Weg (vor Mensa.Eingang),20,Mobilisierung 1. Mai
2022-04-25 00:00:00,Wiener Platz,4,Christliche Evangelisation
2022-04-25 00:00:00,Domplatte (Römerbogen),100,"Türkei hat eine militärische Invasion in Kurdistan begonnen, dabei wird Giftgas eingesetzt"
2022-04-26 00:00:00,Kalk Post ,8,Aktion zur Abhängigkeit von Atomindustrie und Atomwaffen
2022-04-26 00:00:00,Alter Markt ,50,Wählen für Alle - doppelte Staatsbürgerschaft
2022-04-27 00:00:00,Bürgerpark Kalk  ,20,Mobilisierung 1. Mai
2022-04-28 00:00:00,"Hans-Böckler-Platz
Ottoplatz
Heumarkt",4000,"Tarifverhandlungen kommunale Kitas, soziale Arbeit"
2022-04-28 00:00:00,Rudolfplatz,30,Gegen die RWE Hauptversammlung
2022-04-28 00:00:00,Theo-Burauen-Platz,10,Verkehrswende
2022-04-28 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-04-29 00:00:00,Chlodwigplatz,30,Baustelle Bildung
2022-04-29 00:00:00,Berliner Straße 33-37,25,Park(ing) Day
2022-04-29 00:00:00,Neusser Platz/Roeckerathplatz,500,Informations- und Diskussionversanstaltung zur geplanten Sperrung der Neusser Strasse zwischen Balthasarstrasse und Neusser Wall
2022-04-29 00:00:00,Friedrich-Ebert-Platz - Kaiser-Wilhem-Allee,150,FFF- Demonstration zur Aktionärsversammlung des BAYER-Konzerns
2022-04-29 00:00:00,Kaiser-Wilhelm-Allee 3,150,Protest gegen die BAYER-Hautpversammlung
2022-04-29 00:00:00,Roncalliplatz,100,Weltfrieden
2022-04-30 00:00:00,Domplatte (Römerbogen),50,Pflegenotstand
2022-04-30 00:00:00,"Roncalliplatzl, Marien-Hospital, Ebertplatz",700,Nein zur Pflegekammer NRW
2022-04-30 00:00:00,Friesenplatz ,30,Bürgerinnenversammlung
2022-04-30 00:00:00,Rudolfplatz,20,Die Liebe und die Freiheit
2022-04-30 00:00:00,Heumarkt,25,EU-Handelspolitik: CETA-Abkommen mit Kanada
2022-04-30 00:00:00,Leverkusen Quartiersplatz,50,Das System zum Tanzen bringen
2022-04-30 00:00:00,Domplatte (Blau-Gold-Haus),12,Evangelium verbreiten
2022-04-30 00:00:00,Roncalliplatz,300,Wahlrecht und politische Patizipation für Menschen ohne deutsche Staatsbürgerschaft
2022-04-30 00:00:00,Ecke Berrenrather Str./Friedrich-Engels-Str.,18,Wohnungen für Obdachlose und Geflüchtete
2022-04-30 00:00:00,Innerer Grüngürtel (zwischen Venloer und Subbelrather) bis Schmalbeinstraße - Innere Kanalstraße,200,Bäumfällungen am Venloer Wall verhindern und Alternativstandorte für Interimsschulbau prüfen
2022-04-30 00:00:00,Sudermannplatz ,40,Platz für Sorge
2022-05-01 00:00:00,"Hans-Böckler-Platz, Heumarkt",250,Es lebe der revolutionäre 1. Mai
2022-05-01 00:00:00,Hans-Böckler-Platz                         Heumarkt,6000,Maiveranstaltung der Kölner Gewerkschaften
2022-05-01 00:00:00,Roncalliplatz,500,Demokratie in Europa
2022-05-01 00:00:00,"Wiener Platz
Kalk Post",150,Tag der Arbeit
2022-05-02 00:00:00,Hohenzollernring/Ecke Ehrenstraße,30,"Corona-Maßnahmen kritisieren JA, mit Nazis spazieren NEIN"
2022-05-02 00:00:00,Wiener Platz,4,Christliche Evangelisation
2022-05-04 00:00:00,Ebertplatz,200,Pflegestreik
2022-05-04 00:00:00,Bahnhofsvorplatz,50,Politische Haft in der Türkei
2022-05-04 00:00:00, Albertus-Magnus-Platz ,600,"Tarifbewegung Entlastung, Demo zur Urabstimmung"
2022-05-04 00:00:00,Wiener Platz,50,Solidarität mit allen Opfern rassistischer Polizeigewalt
2022-05-05 00:00:00,RheinEnergie-Stadion - Jakob-Zündorf-Straße,200,Demonstration für Bildung und Leseförderung
2022-05-05 00:00:00,Ottoplatz,75,Branchenstreiktag Behindertenhilfe
2022-05-05 00:00:00,Theo-Burauen-Platz,10,Verkehrswende
2022-05-05 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-05-05 00:00:00,in Kooperation,50,Real Schließung Köln Porz
2022-05-06 00:00:00,Sieversstraße Kalk,100,Mehr Spiel- und Freiflächen für Kinder und Jugendliche im Stadtteil Kalk
2022-05-06 00:00:00,Chlodwigplatz - Maternusplatz,400,Fahr)Raddemo für bessere Radwege und gegen neue Autobahnbrücken im Kölner Süden
2022-05-06 00:00:00,Rudolfplatz,10,Freiheit für Julian Assange
2022-05-06 00:00:00,Alter Markt,200,Protest gegen die aktuelle Klimapolitik der Landesregierung
2022-05-06 00:00:00,Lindenbornstraße,200,Schulstraße: Anmahnen von sicheren Schulwegen und Freiräumen für Kinder und Jugendliche
2022-05-06 00:00:00,Schildergasse (P&C),20,Stoppt den Krieg
2022-05-07 00:00:00,Heumarkt,200,GMM Global Marihuana March 2022
2022-05-07 00:00:00,Luxemburger Straße - Alter Markt,90,Worldwide Day of Genital Autonomy - Für das Recht auf genitale Selbstbestimmung aller Kinder 
2022-05-07 00:00:00,Kalk Post,30,Stoppt den Krieg!  
2022-05-07 00:00:00,Heumarkt,2000,Politische Versammlung Die Grünen
2022-05-07 00:00:00,Bahnhofsvorplatz,50,Gegen Hinrichtungen der politischen Gefangenen im Iran
2022-05-07 00:00:00,Roncalliplatz,300,Keine Unterzeichnung des WHO-Pandemievertrags
2022-05-07 00:00:00,Breslauer Platz,50,Solidarität an die Kriegsflüchtlinge aus der Ukraine
2022-05-07 00:00:00,Alter Markt,35,Coronamaßnahmen kritisieren JA - Mit Nazis spazieren NEIN
2022-05-07 00:00:00,Hanns-Hartmann-Platz,10,Tierrechte
2022-05-07 00:00:00,"Domplatte, Alter Markt, Schildergasse/Gürzenichstraße",50,Prottesttag der Aktion Mensch
2022-05-07 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,18,Wohnungen für Obdachlose und Geflüchtete
2022-05-07 00:00:00,Kalk Kapelle,10,Straftatsamstag -  Begrenzung der kriminellen Kalker Machenschaften auf den Samstag Nachmittag
2022-05-08 00:00:00,"Fühlinger See P2
Gremberger Wäldchen",1000,Erinnerung an die Opfer des Krieges
2022-05-08 00:00:00,"Friedhof Kalk
Westfriedhof",150,Gedenktag der Opfer des 2. Weltkriegs
2022-05-08 00:00:00,"Deutzer Werft
Heumarkt",10000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-05-08 00:00:00,"Leverkusen, Friedrich-Ebert-Platz 1 (vor Rathaus)",30,Mahnwache gegen Russophobie in Deutschland vor dem Leverkusener Rathaus - für Frieden mit Russland und gegen die neuerliche Spaltung unserer Gesellschaft
2022-05-08 00:00:00,Roncalliplatz,2000,Energieembargo für den Frieden
2022-05-08 00:00:00,"Wiener Platz
Kalk Kapelle",200,Muttertag für Mutter Erde
2022-05-08 00:00:00,Hansaplatz,50,"Nie wieder Faschismus, nie wieder Krieg"
2022-05-08 00:00:00,"Wiesdorfer Platz, Leverkusen",200,"Frieden und Freiheit in der Ukraine - Mahnwache und Kundgebung gegen die Demonstration ""Frieden in Russland"" von Aufbruch Leverkusen"
2022-05-08 00:00:00,Deutzer Brücke,350,blau-gelbe Lichterkette für die Ukraine
2022-05-08 00:00:00,Schildergasse/Zeppelinstr.,15,8. Mai. Tag der Befreiung
2022-05-09 00:00:00,"Rudolfplatz
Ebertplatz",500,Demonstration zum Europatag - für Frieden und Zusammenhalt in Europa
2022-05-09 00:00:00,Mediapark bis Alter Markt,1500,"Streik kommunale Kitas, soziale Arbeit, Behindertenhilfe"
2022-05-09 00:00:00,Hohenzollernring/Ecke Ehrenstraße,30,"Corona-Maßnahmen kritisieren JA, mit Nazis spazieren NEIN"
2022-05-10 00:00:00,Hans-Böckler-Platz                       Alter Markt,1500,"Tarifverhandlungen kommunale Kitas, soziale Arbeit, Behindertenhilfe"
2022-05-10 00:00:00,Joseph-Stelzmann-Straße            Lutherkirche,300,Streiktag der Uniklinik Köln
2022-05-11 00:00:00,Alter Markt,20,Raumsituation an der Pestalozzischule / Diskriminierung der Kinder mit Behinderun
2022-05-12 00:00:00,Heumarkt,50,Tag der Pflegenden
2022-05-12 00:00:00,Theo-Burauen-Platz,18,Wohnraum für alle
2022-05-12 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-05-13 00:00:00,Roncalliplatz,1500,Wahlkampfkundgebung SPD
2022-05-13 00:00:00,Heumarkt,2000,Politische Versammlung Die Grünen
2022-05-13 00:00:00,Kalker Hauptstraße 145,5,Aktion gegen Union Busting
2022-05-13 00:00:00,"Aldi Severinskirchplatz Severinstraße 33 (V1), Aldi Sülzburgstraße 44-46 (V2)",30,Freie Betriebsratswahlen bei Aldi
2022-05-13 00:00:00,Neusser Platz,20,Keine Stimme für Faschisten
2022-05-13 00:00:00,"Luxemburger Straße 93
Friesenplatz",100,Das ist unser Haus - gegen den Polzeiangriff auf das AZ Köln
2022-05-14 00:00:00,Rudolfplatz bis Venloerstraße (Park am Bürgerzentrum),1000,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Heumarkt,400,Wahlkampfkundgebung FDP
2022-05-14 00:00:00,"Albertus-Magnus-Platz, Hans-Böckler-Platz",150,Lernfabriken…Meutern! Für ein besseres und gerechteres Bildungssystem
2022-05-14 00:00:00,"Ebertplatz
Schönsteinstraße",150,Wir wählen die Straße
2022-05-14 00:00:00,Neptunplatz,200,Politische Versammlung Die Grünen
2022-05-14 00:00:00,Domplatte (Blau-Gold-Haus),70,"Freude, Friede, Hoffnung, Liebe"
2022-05-14 00:00:00,Oscar-Rehfeldt-Weg bis Aachener Weiher,50,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Stadtgarten Kalk                    Ottoplatz                        Aachener Weiher,400,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Schillplatz                                  Neusser Platz,250,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Neptunplatz,450,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Wiener Platz (Kundenzentrum),150,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Auerbachplatz,80,"Kidical Mass Köln, Anmahnen von sicherer Radinfrastruktur und Freiräumen für Kinder und Jugendliche"
2022-05-14 00:00:00,Domplatte (Blau-Gold-Haus),40,Unterstützung der politischen Gefangenen im Iran
2022-05-14 00:00:00,Berrenrather Straße/Friedrich-Engels-Straße,18,Wohnungen für Obdachlose und Geflüchtete
2022-05-14 00:00:00,Venloer Str./Klarastraße,30,"Demokraten sehen wir gern, Schwurbler und Nazis halten wir fern"
2022-05-14 00:00:00,nur Aufzug,40,Mehr Futur II wagen: für eine vollendete Zukunft
2022-05-15 00:00:00,Chlodwigplatz,50,Solidarität mit der Ukraine
2022-05-15 00:00:00,Domplatte,40,Bidlerausstellung um den Opfern der Bürgerkrieges in Sri Lanka zu gedenken bzw zu erinnern
2022-05-15 00:00:00,Roncalliplatz,300,Demo für Palästina
2022-05-15 00:00:00,Breniger Straße 18,90,Gegen die Schließung der Melanchton Kita in Zollstock
2022-05-16 00:00:00,Gedenktafel Messegelände/Rheinufer,70,Gedenkveranstaltung anlässlich der ersten Deportation von Sinti und Roma von Köln nach Polen
2022-05-16 00:00:00,Gedenktafel Bahnbrücke der HGK Venloer STr./Math.-Brüggen-Str. ,50,Sinti und Roma in Köln Mahn- und Gedenkkundgebung
2022-05-16 00:00:00,Theo-Burauen-Platz,200,Baumfällungen am Venloer Wall verhindern und Alternativstandorte für Interimsschulbau prüfen
2022-05-16 00:00:00,Akademische Lustwiese (Mensa Zülpi),15,Public Climate School der Students for Future 
2022-05-16 00:00:00,Wiener Platz,25,Nein zum Krieg
2022-05-17 00:00:00,Roncalliplatz,200,IDAHOBIT
2022-05-19 00:00:00,Theo-Burauen-Platz,30,Maßnahmen der Stadt Köln im Hinblick auf den 2019 ausgerufenen Klimanotstand
2022-05-19 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-05-20 00:00:00,Domplatte (Blau-Gold-Haus),12,Tierversuche
2022-05-20 00:00:00,Neusser Platz                                 Kempener Straße                                          IK/Subbelrather Straße                                                     IK/Universitätsstraße                              Klettenberggürtel/Luxemburger Straße                                    Volksgarten,300,Ride of Silence Köln
2022-05-20 00:00:00,Lenauplatz,10,Freiheit für Julian Assange
2022-05-20 00:00:00,Alter Markt,1200,"Streik kommunale Kitas, soziale Arbeit, Behindertenhilfe"
2022-05-20 00:00:00,Neusser Platz                                 Kempener Straße                                          IK/Subbelrather Straße                                                     IK/Universitätsstraße                              Klettenberggürtel/Luxemburger Straße                                    Volksgarten,300,Ride of Silence Köln
2022-05-21 00:00:00,"Breslauer Platz, Deutzer Werft ",90,Gegen Hinrichtung im Iran und Andenken an di ebereits Hingerichteten.
2022-05-21 00:00:00,"Roncalliplatz
Deutzer Werft",1000,Für einen sozial-ökologischen Wandel
2022-05-21 00:00:00,Ostermannarena - Stelzenautobahn,500,"Wehret den Anfängen: „Gegen ‚Leverkusen‘ und was daraus folgt..."""
2022-05-21 00:00:00,Chlodwigplatz,10,Forderung eines Moratorium/Verbot für Biospritbeimischung
2022-05-21 00:00:00,Alter Markt ,50,Kundgebung anlässlich der Aktionswoche der Verschwunden-Gelassenen
2022-05-21 00:00:00,Roncalliplatz,300,Seenotrettung/Iuvetna-Prozessauftakt
2022-05-21 00:00:00,Ottoplatz,150,Protest gegen Staatsgewalt im Iran
2022-05-21 00:00:00,Barthonia Forum,20,"Defend ""Roe vs Wade"" - Abtreibungsrechte weltweit verteidigen und erkämpfen!"
2022-05-21 00:00:00,Karl-Korn-Straße 4,8,Gemeinsam gegen Verdrängung und Mietenwahnsinn
2022-05-23 00:00:00,Vierscheibenhaus WDR - Mörsergasse,60,Verdi Kundgebung zum öffentlichen Rundfunkt
2022-05-23 00:00:00,Wiener Platz,4,Christliche Evangelisation
2022-05-24 00:00:00,Albertus-Magnus-Platz,15,"Klimagerechtigkeit, Braunkohleabbau, Lützerath"
2022-05-24 00:00:00,Heinrich-Böll-Platz (Reiterstandbild),50,Dieser Schmerz betrifft uns alle
2022-05-24 00:00:00,L.-Fritz-Gruber-Platz,100,Gute Arbeit - Gutes Leben
2022-05-25 00:00:00,Zeughausstraße (BezReg)     Alter Markt,150,Schulstreik. Die Kreuzgasse soll endlich renoviert werden.
2022-05-25 00:00:00,Joseph-Stelzmann-Straße ,310,Tarifverhandlung: Emtlastung und mehr Personal
2022-05-26 00:00:00,Deutzer Werft,150,31. Unabhängigkeitsjahrestag - unserer Heimat Eritrea
2022-05-27 00:00:00,Wallrafplatz,10,Tierrechte
2022-05-28 00:00:00,Roncalliplatz,80,Evangelisation
2022-05-28 00:00:00,Roncalliplatz,70,Menschenrechte im Iran
2022-05-28 00:00:00,Neumarkt,10,Für mehr Demokratie in Algerien
2022-05-28 00:00:00,Breslauer Platz,20,Solidarität mit den kämpfenden Menschen im Iran
2022-05-30 00:00:00,Theo-Burauen-Platz,60,Rettet die Bäume
2022-05-30 00:00:00,Bahnhofsvorplatz,25,Afghanistan not safe
2022-05-30 00:00:00,Am Hof                            Alter Markt                   Martinstraße/Augustiner Straße                                              Friesenplatz                                             Neumarkt  ,30,"Demokraten sehen wir gern, Schwurbler und Nazis halten wir fern!"
2022-05-31 00:00:00,Albertus-Magnus-Platz,15,"Klimagerechtigkeit, Braunkohleabbau, Lützerath"
2022-05-31 00:00:00,Breite Straße        Zeughausstraße,100,NS-Vergleich des Bundeskanzlers und der mediale Umgang damit
2022-06-01 00:00:00,Bahnhofsvorplatz,25,Politische Haft in der Türkei
2022-06-01 00:00:00,Wiener Platz,50,Kundgebung gegen die Angriffe auf Südkurdistan
2022-06-01 00:00:00,Kerpener Straße bis Heumarkt,1000,Tarifverhandlung Entlastung
2022-06-01 00:00:00,Merianstraße Köln bis Nettergasse Dormagen,20,1. Juni - Internationaler Kindertag. Erinnerung an unschuldige getötete Kinder im 2. Weltkrieg
2022-06-01 00:00:00,Rudolfplatz-Heumarkt,100,"100 Milliarden für eine erfreuliche Zukunft - Für Klima und Soziales statt Aufrüstung, Sondervermögen der Bundeswehr stoppen"
2022-06-02 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
