"Datum
",Ort/e der Kundgebung,"erwartete TN-Zahl
",Thema
2022-02-21 00:00:00,Neumarkt,300,Köln ist solidarisch
2022-02-21 00:00:00,Friedrich-Ebert-Platz ,150,"Freiheit, Demokratie, Menschenrechte, freie Gesellschaft"
2022-02-23 00:00:00,"Rathausvorplatz, Leverkusen",10,Gegen die Kriegsgefahr
2022-02-24 00:00:00,Sudermannplatz bis Breslauer Platz,100,"Frieden, Freiheit, Selbstbestimmung - Überwindung der Spaltung"
2022-02-24 00:00:00,Pützdelle-Pützdelle,30,"Grundrechte, Freiheit"
2022-02-24 00:00:00,Dillenburgerstraße 25,10,Entzug der Aufenthalte mehrerer Personen
2022-02-24 00:00:00,Neumarkt,1000,Frieden für Europa! Solidarität mit der Ukraine jetzt!
2022-02-24 00:00:00,Bahnhofsvorplatz,50,Einmarsch Russland in Ukraine
2022-02-25 00:00:00,Wallrafplatz,5,Tierrechte
2022-02-25 00:00:00,Rudolfplatz,10,Freiheit für Julian Assange
2022-02-25 00:00:00,Kalk Post,30,Nein zum Krieg in der Ukraine
2022-02-25 00:00:00,Wiener Platz,50,Situation der politischen Gefangenen
2022-02-25 00:00:00,"Leverkusen, Friedrich-Ebert-Platz",30,Solidarität mit Ukraine
2022-02-26 00:00:00,Bahnhofsvorplatz,80,Solidarität mit Menschen im Iran die im Gefängnis sitzen
2022-02-26 00:00:00,Domplatte,60,Gegen Menschenrechtsverletzungen in Sri Lanka
2022-02-26 00:00:00,"Offenbachplatz
Rudolfplatz",400,Nie wieder Faschismus! Stoppt den Impfzwang! Schluss mit der Spaltung der Gesellschaft!
2022-02-26 00:00:00,Porz Markt,30,"Stopp den gefährlichen Impfungen, viel zu viele Nebenwirkungen und Langzeit-Gefahren!"
2022-02-26 00:00:00,Friesenplatz bis Jean-Claude-Letist-Platz,150,"Freigeister-Demo für Gemeinsam für Frieden, Freiheit für alle, körperliche FEIER-Selbstbestimmung  - Mut tut gut"
2022-02-26 00:00:00,Kalk Post,10,Wir bleiben entlassen werden die Kapitalisten
2022-02-26 00:00:00,Kulturkirche Nippes,8,Frieden-Selbstbestimmung
2022-02-26 00:00:00,Hanns-Hartmann-Platz,25,"Köln ist solidarisch - Gegen Hetze, Holocaust-Relativiverung und Verschwörungsideologien"
