Datum;Thema;Teilnehmende (Angemeldet);Teilnehmende (tatsächlich);Kategorie;Stichwörter
05.06.2018;Jeder hat das Recht auf Palliativ-Versorgung, besonders Kinder!!!;6;;Bürgerrechte;Gesundheit
05.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
05.06.2018;Tierrechte in die Parlamente;10;3;Tiere;
05.06.2018;Wir pfeifen auf Stuttgart 21 (vom 03.04. bis 26.06.2018 - jeweils Di.);10;3;Umwelt;
05.06.2018;Übergabe einer Petition die Bundespensionen fossilfrei zu machen;30;20;Umwelt;
05.06.2018;Fahrrad-Demonstration - Protest wegen der geringen Vergütung von Heilmittelerbringer;1500;1500;Verkehr;
06.06.2018;... Schluss mit den Angriffen gegen die russische Föderation... (vom 21.03. bis 07.06.2018 - jeweils Mi.,Do.,Fr.);20;;Ausland;
06.06.2018;Solidarität mit Gülaferit;10;5;Ausland;
06.06.2018;Solidarität mit Musa Eroglu und Erdagl Gökoglu;10;9;Ausland;
06.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
06.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;3;Ausland;
06.06.2018;Freiheit für Journalisten in der Türkei;25;25;Ausland;
06.06.2018;Demonstration für christliche Werte in unserer Gesellschaft;35;;Bürgerrechte;
06.06.2018;Jeder hat das Recht auf Palliativ-Versorgung, besonders Kinder!!!;20;20;Bürgerrechte;Gesundheit
06.06.2018;Protest für die Reform des PsychThG - Anlass ist die Übergabe einer Petition;25;30;Bürgerrechte;Gesundheit
06.06.2018;Antikriegsmahnwache (vom 04.04. bis 27.06.2018);15;6;Frieden;
06.06.2018;Stolpersteinverlegung - 8 Stück;40;50;Gedenken;
06.06.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;50;rechts;
06.06.2018;Merkel-muss-weg-Mittwoch (vom 17.01. bis 19.12.2018 - jeweils Mi.);50;50;rechts;
06.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
06.06.2018;Stoppt die weltweiten Streunertötungen;10;20;Tiere;
06.06.2018;Klima retten! Kohle stoppen!;40;40;Umwelt;
06.06.2018;Uber Nein Danke!;80;;Verkehr;
07.06.2018;Gegen die Menschenrechtsverletzungen in Nordkorea ... (vom 19.04. bis 19.07.2018 - jeweils Do.);15;5;Ausland;
07.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
07.06.2018;Uiguren müssen aus den Umerziehungslager befreit werden.;20;25;Ausland;
07.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;3;Ausland;
07.06.2018;Mit Menschenleben spielt man nicht! Familienleben für Alle!;30;6;Bürgerrechte;
07.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
07.06.2018;Stoppt die Privatisierung unserer Schulen - Gegen den Ausverkauf Berlins;30;3;Stadtpolitik;
07.06.2018;Weltklasse! Bildung ist mehr wert;50;50;Stadtpolitik;
07.06.2018;Video Aktion zur Aufklärung über die Tierindustrie;30;20;Tiere;
07.06.2018;Das Leid der Tierindustrie sichtbar machen;4;;Tiere;
07.06.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gaus im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 19.03. bis 13.09.2018 - jeweils Mo.,Do.);20;;Umwelt;
07.06.2018;Mahnwache für getötete Radfahrerin;500;150;Verkehr;
08.06.2018;Gegen die Abschiebung von Palästinensern aus dem Libanon nach Spanien;20;20;Ausland;
08.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
08.06.2018;Interreligiöses Gebet + interkulturelle Begegnung;50;8;Frieden;
08.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
08.06.2018;Kundgebung gegen geplante Schulprivatisierungen;30;10;Stadtpolitik;Bildung
08.06.2018;Protest gegen die Berliner Schulbauoffensive;40;40;Stadtpolitik;Bildung
09.06.2018;Rechte von ArbeitsmigrantInnen in Süd Europa;15;8;Arbeit und Sozialpolitik;
09.06.2018;Verfolgung von Falun Gong-Praktizierenden in China sofort beenden. (vom 28.04. bis 24.11.2018 - jeweils Sa.);15;5;Ausland;
09.06.2018;Demonstration anlässlich des Qudstages;2000;300;Ausland;
09.06.2018;Solidarität mit den Opfern der iranischen Menschenrechtsverletzungen durch die iranische Politik und Polizei;50;;Ausland;
09.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
09.06.2018;Unterstützungsaktion Grup Yorum;0;;Ausland;
09.06.2018;Protest gegen antisemitischen Quds-Tag - Solidarität mit Israel;1000;350;Ausland;
09.06.2018;Solidarität mit Bürgerprotesten und den Streiks im Iran / Stopp der Gewaltanwendung gegen Demonstranten;100;;Ausland;
09.06.2018;Festigung der Demokratie durch öffentliches Schreiben des Art. 20 GG in Holz (vom 02.06. bis 30.06.2018 - jeweils Sa.);20;;Bürgerrechte;
09.06.2018;Kein Al-Quds-Tag - Protest gegen den Al-Quds-Marsch;100;1600;Bürgerrechte;
09.06.2018;SozialdemokratInnen für Toleranz und Vielfalt;50;4;Bürgerrechte;
09.06.2018;Frauenmarsch zum Kanzleramt. Gegen die Freiheitsberaubung/ Vergewaltigungen/ Morde der Frauen in Deutschland wegen falscher Asylpolitik;1200;400;Bürgerrechte;
09.06.2018;Nicht in unserem Namen - für Frauenrechte ohne Rassismus;50;300;Bürgerrechte;
09.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
09.06.2018;Video Aktion zur Aufklärung über die Tierindustrie;30;20;Tiere;
09.06.2018;Biene Maja Demo - gegen das Aussterben der Bienen;120;7;Tiere;
09.06.2018;Tierversuche in Berlin - Aufklärung zur Langen Nacht der Wissenschaften;25;15;Tiere;
09.06.2018;Naturschutz - Erhalt der Bäume schützen;180;;Umwelt;
09.06.2018;Berlin Bikini & Badehose Bicycle Ride;100;150;Verkehr;
10.06.2018;Gegen die Unterdrückung Homosexueller in der Russischen Föderation;100;35;Ausland;
10.06.2018;Solidarität mit Nicaragua;70;200;Ausland;
10.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;1;Ausland;
10.06.2018;Meditation für inneren und äußeren Frieden. Wir wollen darauf aufmerksam machen, dass Frieden immer in einem Selbst beginnt.;20;15;Frieden;
10.06.2018;Rudi?Wunderlich?Gedenkfahrt;100;15;Gedenken;
10.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
10.06.2018;Die fehlende Gesetzgebung der EU in der Kaninchenmast;20;;Tiere;
10.06.2018;Da wächst was – für den Erhalt der Kleingärten in Berlin;35;30;Umwelt;
10.06.2018;Da wächst was – für den Erhalt der Kleingärten in Berlin;35;;Umwelt;
11.06.2018;Kein Bock auf Nazis in Berlin-Mitte und auch sonst nirgendwo (vom 04.06. bis 25.06.2018 - jeweils Mo.);50;;Antifa und Antira;
11.06.2018;Nein zum Rassismus (vom 05.03. bis 19.12.2018 - jeweils Mo.);100;16;Antifa und Antira;
11.06.2018;Aktive Mittagspause - im Rahmen der Auseinandersetzung des Marburger Bundes Landesverband Berlin/Brandenburg mit der Politik am HELIOS Klinikum Buch GmbH;30;40;Arbeit und Sozialpolitik;
11.06.2018;Auch Konzerne müssen Steuern zahlen!;25;20;Arbeit und Sozialpolitik;
11.06.2018;Hartz Gesetze ? Agenda 2010 ?? Aktuelles (vom 08.01. bis 17.12.2018 - jeweils Mo.);70;12;Arbeit und Sozialpolitik;
11.06.2018;Geflüchtete mit subsidiärem Schutz laden zur Sachverständigenanhörung zum Thema Familiennachzug auf der Straße ein;30;15;Asyl;
11.06.2018;Freilassung der Ukrainische Gefangenen in Russland;30;;Ausland;
11.06.2018;Solidarität mit Gülaferit;10;3;Ausland;
11.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
11.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;2;Ausland;
11.06.2018;Menschenrechtsverteidiger_Innen in der Türkei, Inhaftierung von Taner Kiliç;20;10;Ausland;
11.06.2018;Demonstration für christliche Werte in unserer Gesellschaft;35;20;Bürgerrechte;
11.06.2018;Mahnwache für Frieden und Menschenrechte (vom 09.04. bis 25.06.2018 - jeweils Mo.);12;30;Bürgerrechte;
11.06.2018;Frieden! Wie seit fast 200 Wochen. Lieben Dank für alles! (vom 01.01. bis 31.12.2018 - jeweils Mo.);100;30;Frieden;
11.06.2018;178. BÄRGIDA - Berliner Patrioten gegen die Islamisierung des Abendlandes (vom 15.01. bis 25.06.2018 - jeweils Mo.);50;33;rechts;
11.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
11.06.2018;... gegen den falschen Standort BER ... (vom 04.06. bis 24.09.2018 - jeweils Mo.);100;15;Stadtpolitik;
11.06.2018;Kundgebung Aktive Mittagspause im Rahmen der Auseinandersetzung des Marburger Bundes Landesverband Berlin/ Brandenburg mit der Poliklinik am Helios Klinikum Buch GmbH;30;40;Stadtpolitik;
11.06.2018;SESB - die Zukunft gehört uns!;100;80;Stadtpolitik;
11.06.2018;Wir pfeifen auf Stuttgart 21;30;20;Umwelt;
11.06.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gaus im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 19.03. bis 13.09.2018 - jeweils Mo.,Do.);20;3;Umwelt;
12.06.2018;Öffnung der Häfen für Flüchtlingsschiffe;8;8;Asyl;
12.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
12.06.2018;Pressefreiheit in Russland;20;40;Ausland;
12.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
12.06.2018;Eilversammlung zur Wohnungsnot in Berlin;5;;Stadtpolitik;Mieten
12.06.2018;Wir pfeifen auf Stuttgart 21 (vom 03.04. bis 26.06.2018 - jeweils Di.);10;4;Umwelt;
12.06.2018;Botschaften zur Neuausrichtung der Grünen;15;10;Umwelt;
13.06.2018;Solidarität mit einem BVG-Kollegen vor Gericht ...;20;20;Arbeit und Sozialpolitik;
13.06.2018;Streik der studentischen Beschäftigten;800;570;Arbeit und Sozialpolitik;
13.06.2018;Gedenken an die Verfolgten der Aktion  ?Arbeitsscheu Reich ? 1938;20;6;Arbeit und Sozialpolitik;
13.06.2018;Kundgebung im Rahmen der Tarifauseinandersetzung der Firma Alba Metall Nord GmbH;10;17;Arbeit und Sozialpolitik;
13.06.2018;Solidarität mit Gülaferit;10;3;Ausland;
13.06.2018;Solidarität mit Musa Eroglu und Erdagl Gökoglu;10;4;Ausland;
13.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;5;Ausland;
13.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;2;Ausland;
13.06.2018;Mahnwache und Gebet von Christen aus ganz Deutschland aufgrund jüngster antisemitischer Ausschreitungen mit Aufrufen zu Terror und Mord auf deutschem Boden;50;5;Bürgerrechte;
13.06.2018;Marsch gegen Transporte in den Tod;20;18;Bürgerrechte;
13.06.2018;Antikriegsmahnwache (vom 04.04. bis 27.06.2018);15;8;Frieden;
13.06.2018;Bewaffnungsfähige Drohnen für Deutschland nicht in meinem Namen;50;35;Frieden;
13.06.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;20;rechts;
13.06.2018;Merkel-muss-weg-Mittwoch (vom 17.01. bis 19.12.2018 - jeweils Mi.);50;20;rechts;
13.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
13.06.2018;Temporäre Spielstraße im Graefekiez;500;200;Stadtpolitik;
13.06.2018;Video Aktion zur Aufklärung über die Tierindustrie;30;8;Tiere;
14.06.2018;Streik bei der Notdienst Berlin e. V. für einen Tarifvertrag;55;50;Arbeit und Sozialpolitik;
14.06.2018;Gegen die Menschenrechtsverletzungen in Nordkorea ... (vom 19.04. bis 19.07.2018 - jeweils Do.);15;12;Ausland;
14.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
14.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;3;Ausland;
14.06.2018;Boykott der WM 2018 in Russland;20;20;Ausland;
14.06.2018;Anerkennung der Rentenansprüche, der in der DDR geschiedenen Frauen;100;20;Bürgerrechte;
14.06.2018;Freiheit für Ursula Haverbeck;4;13;rechts;
14.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
14.06.2018;Protest gegen den geplanten Google Campus - Kick Google aus dem Kiez;200;150;Stadtpolitik;
14.06.2018;Das Leid der Tierindustrie sichtbar machen;5;;Tiere;
14.06.2018;Atomkraftwerke abschalten! AKW Doel und AKW Tihange müssen vom Netz!;20;8;Umwelt;
14.06.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gaus im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 19.03. bis 13.09.2018 - jeweils Mo.,Do.);20;4;Umwelt;
14.06.2018;#VisionZero (Motto) - Fahrraddemonstration zum Gedenken an tödlich verunglückte Radfahrende;200;50;Verkehr;
14.06.2018;Trauerkundgebung für tödlich verunglücktes Mädchen in Rummelsburg;400;75;Verkehr;
15.06.2018;70 Jahre Soziale Marktwirtschaft;20;14;Arbeit und Sozialpolitik;
15.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
15.06.2018;Mit Menschenleben spielt man nicht!;10;9;Bürgerrechte;
15.06.2018;Mit Menschenleben spielt man nicht!;10;9;Bürgerrechte;
15.06.2018;Gedenkveranstaltung anlässlich des Volksaufstandes vom 17. Juni 1953;30;5;Gedenken;
15.06.2018;Gedenkveranstaltung anlässlich des Volksaufstandes vom 17. Juni 1953;30;30;Gedenken;
15.06.2018;Wir fordern den Rücktritt von Merkel und der Bundesregierung;20;20;rechts;
15.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
15.06.2018;Durchhalten Herr Seehofer;2;2;Sonstige;
15.06.2018;Protest gegen Mietpolitik der Deutschen Wohnen SE und gegen modernisierungsbedingte Mietsteigerungen, die bei der Nachrüstung der Wohnungen mit ineffizienten und teuren Dämmplatten u.a. entstehen.;150;120;Stadtpolitik;
15.06.2018;Mahnwache für getöteten Rad fahrenden Jungen;0;300;Verkehr;
15.06.2018;Zum Gedenken an tödlich verunglückte Radfahrende;200;100;Verkehr;
16.06.2018;Verfolgung von Falun Gong-Praktizierenden in China sofort beenden. (vom 28.04. bis 24.11.2018 - jeweils Sa.);15;10;Ausland;
16.06.2018;Autokorso für Demokratie in der Türkei;50;67;Ausland;
16.06.2018;Die Wahlen (wählen) in der Türkei (Wahlkampagne für Demokratische Partei der Völker -HDP) ->Autokorso;50;60;Ausland;
16.06.2018;Wahlen in der Türkei;100;;Ausland;
16.06.2018;Festigung der Demokratie durch öffentliches Schreiben des Art. 20 GG in Holz (vom 02.06. bis 30.06.2018 - jeweils Sa.);20;;Bürgerrechte;
16.06.2018;Picknick für den Weltfrieden (Druschba);40;40;Frieden;
16.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
16.06.2018;Video Aktion zur Aufklärung über die Tierindustrie;25;15;Tiere;
16.06.2018;Geschützter Radstreifen Jetzt!;15;10;Verkehr;
16.06.2018;Protest am Tag der Verkehrssicherheit hinsichtlich der jährlich hohen Zahl an Verkehrstoten in Deutschland;700;310;Verkehr;
16.06.2018;Tag der Verkehrssicherheit - Aufmerksam mach auf verkehrspolitische Probleme;500;75;Verkehr;
17.06.2018;80 Jahre Kindertransporte nach Großbritannien - mit Zeitzeugen von Berlin nach London;100;65;Antifa und Antira;
17.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
17.06.2018;Rechte von LGBT-Personen in Russland;50;40;Ausland;
17.06.2018;2. Neuköllner Kippa-Flashmob;20;20;Bürgerrechte;
17.06.2018;Gedenkstunde anlässlich des 17. Juni ;30;;Gedenken;
17.06.2018;Kranzniederlegung*;40;20;Gedenken;
17.06.2018;Kranzniederlegung zum Gedenken an die Opfer des Volksaufstandes vom 17.06.1953;20;25;Gedenken;
17.06.2018;Tag der Patrioten - Sonderveranstaltung des  ?Merkel-muss-weg-Mittwochs ?;50;100;rechts;
17.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;20;rechts;Reichsbürger
17.06.2018;Murach (Dorfplatz Rigaer Str. / Liebigstr.);50;;Stadtpolitik;
17.06.2018;Air France schickt Affen in den Tod;6;9;Tiere;
18.06.2018;Hupen gegen Nazis;15;;Antifa und Antira;
18.06.2018;Kein Bock auf Rassismus;50;17;Antifa und Antira;
18.06.2018;Nein zum Rassismus (vom 05.03. bis 19.12.2018 - jeweils Mo.);50;;Antifa und Antira;
18.06.2018;Gedenken an die Opfer der Naziaktion Arbeitsscheu Reich vor 80 Jahren;40;16;Arbeit und Sozialpolitik;
18.06.2018;Hartz Gesetze ? Agenda 2010 ?? Aktuelles (vom 08.01. bis 17.12.2018 - jeweils Mo.);70;6;Arbeit und Sozialpolitik;
18.06.2018;Solidarität mit Gülaferit;10;3;Ausland;
18.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;3;Ausland;
18.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;4;Ausland;
18.06.2018;Minderheitswerdung;50;70;Bürgerrechte;
18.06.2018;Wikipedia schützen - Leistungsschutzrecht verhindern;10;8;Bürgerrechte;
18.06.2018;Mahnwache für Frieden und Menschenrechte (vom 09.04. bis 25.06.2018 - jeweils Mo.);12;3;Bürgerrechte;
18.06.2018;Frieden! Wie seit fast 200 Wochen. Lieben Dank für alles! (vom 01.01. bis 31.12.2018 - jeweils Mo.);100;20;Frieden;
18.06.2018;Gedenken an die Opfer des NS-Regimes. Schutz der Shoa-Gedenktafel mit einer schweigenden Menschenkette vor der erneuten Relativierung der Shoa.;25;60;Gedenken;
18.06.2018;BÄRGIDA - Berliner Patrioten gegen die Islamisierung des Abendlandes (vom 15.01. bis 25.06.2018 - jeweils Mo.);50;19;rechts;
18.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
18.06.2018;... gegen den falschen Standort BER ... (vom 04.06. bis 24.09.2018 - jeweils Mo.);100;25;Stadtpolitik;
18.06.2018;Kohleausstieg statt Klimakrise!;20;20;Umwelt;
18.06.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gaus im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 19.03. bis 13.09.2018 - jeweils Mo.,Do.);20;3;Umwelt;
19.06.2018;Volksentscheid gegen Pflegenotstand und Übergabe von Unterschriftenlisten;30;25;Arbeit und Sozialpolitik;
19.06.2018;Hartz IV macht mundtot - Zwangsbewerbungen bei Zeitarbeitsfirmen;10;8;Arbeit und Sozialpolitik;
19.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
19.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
19.06.2018;Tierschutz: Gegen Massentierhaltung;7;;Tiere;
19.06.2018;Wir pfeifen auf Stuttgart 21 (vom 03.04. bis 26.06.2018 - jeweils Di.);10;2;Umwelt;
19.06.2018;Video Aktion zur Aufklärung über die Lebensmittelindustrie;30;50;Umwelt;
19.06.2018;Klimaschutz / Petersberger Klimadialog;10;10;Umwelt;
20.06.2018;Angst um den Abbau von Arbeitsplätzen bei Siemens Mobility;200;70;Arbeit und Sozialpolitik;
20.06.2018;Asylpolitik und Großer Koalitionsvertrag;300;100;Asyl;
20.06.2018;Solidarität mit Gülaferit;10;9;Ausland;
20.06.2018;Solidarität mit Musa Eroglu und Erdagl Gökoglu;10;2;Ausland;
20.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;4;Ausland;
20.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;3;Ausland;
20.06.2018;Antikriegsmahnwache (vom 04.04. bis 27.06.2018);15;10;Frieden;
20.06.2018;80. Jahrestag der Hinrichtung von Liselotte Herrmann;30;30;Gedenken;
20.06.2018;Merkel muss weg (vom 22.11.2017 bis 21.11.2018 - jeweils Mi.);50;4;rechts;
20.06.2018;Merkel-muss-weg-Mittwoch (vom 17.01. bis 19.12.2018 - jeweils Mi.);50;45;rechts;
20.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
20.06.2018;Bizim Kiez - Versammlung der Nachbarschaft zur Rücknahme von Kündigung und Räumungsklage gegen Familie in der Lübbener Str.22, 10997 Berlin. Nachbarschaft gegen Verdrängung.;100;100;Stadtpolitik;Mieten
20.06.2018;Wir fordern unbefristete und tarifgerechte Beschäftigungsverhältnisse und eine dauerhafte und ausreichende Finanzierung von Bildungsarbeit...;15;;Stadtpolitik;
20.06.2018;Mahnwache für nach Unfall verstorbenen Radfahrer;300;50;Verkehr;
20.06.2018;Zum Gedenken an tödlich verunglückte Radfahrende;200;60;Verkehr;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;50;70;Antifa und Antira;
21.06.2018;... Schluss mit den Angriffen gegen die russische Föderation...;20;5;Ausland;
21.06.2018;Aufklärung über die Brutalität des Blutbads in Yulin, klares Zeichen gegen Gewalt setzen;70;80;Ausland;
21.06.2018;Gegen die Menschenrechtsverletzungen in Nordkorea ... (vom 19.04. bis 19.07.2018 - jeweils Do.);15;7;Ausland;
21.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
21.06.2018;Verfolgung von Falun Gong ... (vom 30.04. bis 28.06.2018 - jeweils Mo.,Mi.,Do.);5;4;Ausland;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;3;10;Gedenken;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;3;10;Gedenken;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;3;10;Gedenken;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;3;10;Gedenken;
21.06.2018;85. Jahrestag der Köpenicker Blutwoche;3;50;Gedenken;
21.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
21.06.2018;Musik braucht Freiräume;300;75;Sonstige;Kultur
21.06.2018;Mileuschutz;20;15;Stadtpolitik;Mieten
21.06.2018;Demonstration gegen die Schulprivatisierung;1000;220;Stadtpolitik;Bildung
21.06.2018;Artensterben Insekten;80;80;Umwelt;
21.06.2018;Düngegesetz und Nitratbelastungen im Grundwasser;30;30;Umwelt;
21.06.2018;Fusion von Bayer und Monsanto-Konzernmacht beschränken;15;10;Umwelt;
21.06.2018;Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gaus im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit (vom 19.03. bis 13.09.2018 - jeweils Mo.,Do.);20;3;Umwelt;
22.06.2018;Familien gehören zusammen - gegen Familientrennung an der US-Mexiko Grenze;20;40;Ausland;
22.06.2018;Stoppt die Verfolgung von Falun Gong-Praktizierenden! (vom 10.04. bis 10.07.2018 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.);10;2;Ausland;
22.06.2018;Unterstützung der Versammlungen in Spanien gegen die heutige (21.06.2018) Entscheidung des Gerichtshofs, die Mitglieder von La Manada, die wegen sexuellen Missbrauch angeklagt wurden, freizulassen, sieben Jahre früher als geplant;20;60;Ausland;
22.06.2018;Hetze gegen Russland - nicht in meinem Namen;500;100;Ausland;
22.06.2018;Demonstration für christliche Werte in der Gesellschaft;45;20;Bürgerrechte;
22.06.2018;Keine Bundeswehr auf der Jugendmesse YOU!;25;12;Frieden;
22.06.2018;staatenlos.info-Mahnwache für Heimat und Weltfrieden GG 139 GG 146 (vom 01.04. bis 30.06.2018 - täglich);10;;rechts;Reichsbürger
22.06.2018;Spandau hält zusammen! Gegen Rassismus und Gewalt !;200;500;Stadtpolitik;
23.06.2018;Kiezspaziergang gegen rechte Gewalt;100;180;Antifa und Antira;
23.06.2018;Stoppt die Diffamierung von Andersdenkenden als Nazis und Rassisten;30;6;Antifa und Antira;
23.06.2018;Verfolgung von Falun Gong-Praktizierenden in China sofort beenden. (vom 28.04. bis 24.11.2018 - jeweils Sa.);15;10;Ausland;
