2022 bis einschließlich Juli,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Datum Versammlung,Versammlungsbeginn,Versammlungsende,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2022-01-12 00:00:00,18:00:00,20:30:00,"Marienplatz, Odeonsplatz, Marienplatz, Stachus, Odeonsplatz",sfV,,"Für Wissenschaft, gegen Geschwurbel.",20
2022-01-12 00:00:00,18:00:00,20:30:00,"Geschwister Scholl Platz, Ludwigstraße, Von-der-Tann-Straße, Prinzregentenstraße, Wagmüllerstraße, Thierschstraße, Maximilianstraße,
Max-Planck-Straße, Maximilianstraße, Hofgraben, Bergstraße, Marienplatz, Weinstraße, Theaterstraße, Odeonsplatz",sfV,,Free Assange!,20
2022-01-12 00:00:00,18:00:00,20:00:00,"Marienplatz, Odeonsplatz, Marienplatz, Stachus, Sendlinger Tor, Marienplatz, Stachus, Marienplatz",sfV,,Für freies Shoppen,5
2022-01-12 00:00:00,17:45:00,20:30:00,"Münchner Freiheit, Leopoldstraße, Hohenzollernstraße, Kurfürstenplatz, Hohenzollernplatz",sfV,,"Für Wissenschaft, gegen Geschwurbel.",20
2022-01-12 00:00:00,18:00:00,20:30:00,Münchner Freiheit,Stationär,,"Für Wissenschaft, gegen Geschwurbel.",20
2022-01-12 00:00:00,18:00:00,20:00:00,"Geschwister-Scholl-Platz, Ludwigstr., Odeonsplatz",sfV,,Für den Rücktritt von Finanzminister Lindner,10
2022-01-12 00:00:00,18:30:00,20:00:00,"Leopoldstr. 23, Sendlinger Torplatz",sfV,,Gegen Einschränkungen des Versammlungsrechts durch die Stadt München,9
2022-01-12 00:00:00,18:00:00,20:30:00,Odeonsplatz,Stationär,,Bewegung(s-Freiheit) für Deutschland – JETZT,20
2022-01-12 00:00:00,18:00:00,20:30:00,"Sendlinger Tor, Karlsplatz, Marienplatz, Dienerstr., Residenzstr., Odeonsplatz",sfV,,IT fürs RKI - Mehr Digitalisierung in unseren Behörden,20
2022-01-12 00:00:00,18:00:00,21:00:00,U-Bahn Station Giselastr. - Leopoldstr. - Ludwigstr. - Oskar-v-Miller-Ring - Platz der Opfer des Nationalsozialismus - Maximiliansplatz - Lenbachplatz - Karlsplatz - Neuhauserstr. - Kaufingerstr. - Marienplatz - Dienerstr. - Residenzstr. - Hofgartenstr. -,sfV,,Für die Freie Impfentscheidung und freien wissenschaftlichen Diskurs,6
