2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,,
Datum Versammlung,Örtlichkeit (ink. AKG + SKG),Stationär / sfv,Organisation,Thema,TN-Zahl
2018-01-27 00:00:00,Marienplatz,stationär,Verein zu Förderung ethnischer Minderheiten e.V.,Einmarsch der Türkei in Syrien,100
2018-01-27 00:00:00,Sendlinger Str. 8,stationär,Greenpeace e.V.,Antarktis,10
2018-01-27 00:00:00,Marienplatz,stationär,,christliche Werte (Diskussionsanregung),60
2018-01-27 00:00:00,Richard-Strauß-Str. ggüber rumänischen Konsulat,stationär,,Alles für die Justiz,50
2018-01-28 00:00:00,Marsstraße 43,stationär,,gegen Circus Krone,20
2018-01-30 00:00:00,Marienplatz,stationär,,Unterstützung Carles Puigdemont,20
2018-01-30 00:00:00,Karlsplatz,stationär,,Hände weg von Afrin – Solidarität ist unsere Sache,15
2018-01-31 00:00:00,Lillian-Board-Weg ggü. Kleine Olympiahalle,stationär,Ökumenisches Büro für Frieden und Gerechtigkeit,Siemens Hauptversammlung,15-20
2018-01-31 00:00:00,Europaplatz,stationär,Amnesty International,Menschenrechte in Russland,6
2018-01-31 00:00:00,Olympiagelände,stationär,IG Metall München,Protest gegen Siemens,300
2018-01-31 00:00:00,Dachhauer Straße 667,stationär,IG Metall München,Warnstreik,1000
2018-01-31 00:00:00,Marienplatz,stationär,,Hände weg von Afrin – Solidarität ist unsere Sache,15
2018-02-01 00:00:00,Marienplatz,stationär,,Hände weg von Afrin – Solidarität ist unsere Sache,15
2018-02-02 00:00:00,Karlsplatz,stationär,,Hände weg von Afrin – Solidarität ist unsere Sache,15
2018-02-02 00:00:00,Marienplatz,stationär,DFG-VK,Stoppt den Waffenhandel,50
2018-02-02 00:00:00,Dostlerstr. 3 BMW,stationär,IG Metall München,Warnstreik,1000
2018-02-03 00:00:00,Karlsplatz – Odeonsplatz,sfv,,Hände weg von Afrin – Solidarität ist unsere Sache,200
2018-02-03 00:00:00,Neuhauser Str. 8,stationär,,Frieden,8
2018-02-03 00:00:00,Marienplatz,stationär,Ariwa – Animal Rights Watch e.V.,Tierschutz,10
2018-02-03 00:00:00,Rotkreuzplatz 2a,stationär,DKP,Protest wegen PESCO,20
2018-02-03 00:00:00,Neuhauser Str. 8,stationär,,Protest gegen die Todesstrafe im Iran,10
2018-02-03 00:00:00,Schützenstraße 5,stationär,,gefallene Opfer in Asrin,50-70
2018-02-03 00:00:00,Max-Joseph-Platz,stationär,Koreanischer Verein München e.V.,Zugehörigkeit der Dok-Do Inseln zu Südkorea,100
2018-02-03 00:00:00,Professor-Huber-Platz,stationär,Greenpeace e.V.,Lidl lässt Schweine leiden,25
2018-02-03 00:00:00,Karlsplatz,stationär,Projekt Information – Münchner Positiven,10 Jahre EKAF,50
2018-02-03 00:00:00,Sendlinger Str. 8,stationär,Anonymous for the Voiceless,Anonymous for the Voiceless,8-20
2018-02-05 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-05 00:00:00,Marienplatz,stationär,,Weg mit Hartz IV,30-40
2018-02-05 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,Ostturkistanische Union in Europa,Menschenrechtsverletzungen in China,25
2018-02-05 00:00:00,Hermann-Lingg-Str. 3,stationär,GEW München,Entgeltordnung für kommunal angestellte Lehrkräfte,50
2018-02-06 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-06 00:00:00,Voelderndorffstraße,stationär,,Für mehr Geld für Bildung,5
2018-02-07 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-07 00:00:00,Marienplatz,stationär,,Überall ist Afrin,15
2018-02-08 00:00:00,Sendlinger Str. 8,stationär,,Überall ist Afrin,15
2018-02-08 00:00:00,Europaplatz,stationär,,Freiheit für Ojub Titiev,10
2018-02-09 00:00:00,Sendlinger Str. 8,stationär,,Überall ist Afrin,15
2018-02-09 00:00:00,Zenettistraße 10,stationär,,Mahnwache für die Tiere,10
2018-02-09 00:00:00,Rindermarkt,stationär,,Anonymous for the Voiceless,8-20
2018-02-09 00:00:00,Obere Grasstr. 1,stationär,HeimatGiesing,Mahnwache gegen den illegalen Abriss,20-30
2018-02-09 00:00:00,Sendlinger Str. 8,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2018-02-10 00:00:00,Rindermarkt,stationär,,Überall ist Afrin,100
2018-02-10 00:00:00,Rindermarkt – Lenbachplatz,sfv,,Gegen die erneuten türkischen Luftangriffe auf Afrin,100
2018-02-10 00:00:00,Schleißheimer Str. 506,stationär,DKP,Protest wegen PESCO,20
2018-02-10 00:00:00,Sendlinger Str. 8,stationär,PETA,gegen Pelz,15
2018-02-11 00:00:00,Königsplatz,stationär,Verein der Makedonier in München,Friedliche Lösung im Namensstreit zwischen Griechenland und EVROM,200
2018-02-12 00:00:00,Irmonherstraße 1,stationär,,gegen Sea World,30-40
14.02.-25.03.18,Hans-Stützle-Straße 20,stationär,EuroProLife e.V. ,40 Tage für das Leben,2-80
2018-02-14 00:00:00,Marsstraße 43,stationär,,Tierhaltung,2
2018-02-14 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-14 00:00:00,Marienplatz,stationär,One Billion Rising (Vorverein),One Billion Rising,300
2018-02-15 00:00:00,Prielmeyerstraße 7,stationär,,gegen Stopfleber,20
2018-02-15 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-15 00:00:00,Viktualienmarkt 3,stationär,PETA,Sea World,2-8
2018-02-16 00:00:00,Marienplatz,stationär,Nationaler Widerstandsrat Iran,Protest gegen die Teilnahme vom Außenminister des iran. Regims an der MSC,100
2018-02-16 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,Falun Gong Gruppe München,Stopp Verfolgung von Falun Gong,10
2018-02-16 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,wechselnd
2018-02-16 00:00:00,Europaplatz,stationär,Amnesty International,Menschenrechte in Russland; aktueller Anlass Ost Ghuta,2
2018-02-17 00:00:00,Professor-Huber-Platz,stationär,Anonymous for the Voiceless,Anonymous for the Voiceless,8-20
2018-02-17 00:00:00,Karlsplatz,stationär,,Politische Situation in Bahrain,25
2018-02-17 00:00:00,Max-Joseph-Platz,stationär,,Delivering a message of Peace and Solidarity,50
2018-02-17 00:00:00,Sendlinger Str. 8,stationär,Initiative Grundeinkommen,Das bedingungslose Grundeinkommen,3-7
2018-02-17 00:00:00,Lenbachplatz – Odeonsplatz und zurück,sfv,Baloch Republican Party,Protest gegen Pakistan,20-60
2018-02-17 00:00:00,Lenbachplatz,stationär,,Afghanistan,400
2018-02-17 00:00:00,Karlsplatz – Marienplatz (sfv),sfv,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,4000
2018-02-17 00:00:00,Karlsplatz – Marienplatz (Menschenkette),sfv,Aktionsbündnis gegen die NATO-Sicherheitskonferenz,Demonstration gegen die NATO-Kriegstagung in München im Jahr 2018,500
2018-02-18 00:00:00,Lenbachplatz,stationär,,Politische Situation in Bahrain,25
2018-02-19 00:00:00,Neuhauser Str. 8,stationär,,Weg mit Hartz IV,30-40
2018-02-19 00:00:00,Karlsplatz,stationär,Münchner Mahnwache,Mahnwache für die Liebe – für den Frieden,10-50
2018-02-19 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-02-20 00:00:00,Karlsplatz (Stachus),stationär,,Gerechtigkeit und sauberer Fußball,10-20
2018-02-20 00:00:00,Marienplatz – Odeonsplatz (Reiterdenkmal),sfv,Bayerischer Flüchtlingsrat,Keine Abschiebungen nach Afghanistan,200
2018-02-20 00:00:00,Max-Joseph-Platz,stationär,Koreanischer Verein München e.V.,Zugehörigkeit der Dok-Do Inseln zu Südkorea,100
2018-02-20 00:00:00,Marsstraße 43,stationär,,gegen Circus Krone,6
2018-02-20 00:00:00,Marsstraße 43,stationär,,Tierhaltung,2
2018-02-20 00:00:00,Karlsplatz,stationär,Radio Gong,Wir fordern 10.000 neue Organspender für München,10
2018-02-21 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-02-22 00:00:00,Schwanthalerstr. 80 – Marienplatz,sfv,,"Gegen Massaker, Stimmrecht für Diaspora",200-400
2018-02-22 00:00:00,Marienplatz,stationär,,Wir bringen die europäische Unionsflagge wieder zurück nach Rumänien,50
2018-02-22 00:00:00,Schwanthalerstr. 64,stationär,Verdi,Tarifrunde Post,150
2018-02-23 00:00:00,Lenbachplatz,stationär,,Geothe,26
2018-02-23 00:00:00,Sendlinger Str. 8,stationär,Anonymous for the Voiceless,Anonymous for the Voiceless,8-20
2018-02-23 00:00:00,Karlsplatz,stationär,,Für einen gerechten Frieden im Nahen Osten,10-15
2018-02-23 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,,Beendigung der Verfolgung FalunGong,2-10
2018-02-23 00:00:00,Nymphenburger Str. 16 vor dem Gericht,stationär,,Solidarität mit AtiK Gefangenen/Politischen Gefangenen,100
2018-02-23 00:00:00,Menzinger Straße 3,stationär,,Hände weg von Afrin,20
2018-02-23 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,10-15
2018-02-23 00:00:00,Europaplatz,stationär,,Blockade Russlands zur Waffenstillstands-Resolution,2
2018-02-24 00:00:00,Neuhauser Str. 8,stationär,,"Hör auf, Zivilisten zu beschießen in Syrien",100
2018-02-24 00:00:00,Richard-Strauss-Brunnen,stationär,,tierfreier Zirkus,10
2018-02-24 00:00:00,Bayerstraße bis Odeonsplatz,sfv,,gegen Präsident Kabila im Kongo,150
2018-02-24 00:00:00,Max-Joseph-Platz – Oberanger 36,sfv,Pulse of Europe e.V.,Pulse of Europe,150-200
2018-02-24 00:00:00,Karlsplatz,stationär,,gegen Mc Donalds,50
2018-02-24 00:00:00,Georg-Freundorfer-Platz,sfv,,8. März – Frauen die kämpfen sind Frauen die Leben,100
2018-02-26 00:00:00,Marienplatz,stationär,,Gedenken an russ. Politiker Boris Nemzov,15
2018-02-26 00:00:00,Marienplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-02-28 00:00:00,Erhardstr. - Bob-van-Bentheim-Platz,stationär,IGEPA München,Keine Abschaffung des Beamtenstatus (Europ. Patentamt),2500
2018-02-28 00:00:00,Hauptbahnhof Querhalle Gleis 16/17,stationär,Bürgerrechtsbewegung Solidarität,Europas Zukunft mit der Neuen Seidenstraße statt neuer Kalter Krieg,2-6
2018-02-28 00:00:00,Karlsplatz,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-01 00:00:00,Lenbachplatz,stationär,,Geothe,26
2018-03-01 00:00:00,Marienplatz,stationär,Bündnis 90 / Die Grünen Landtagsfraktion,100 Jahre Frauenwahlrecht,5
2018-03-01 00:00:00,Krauss-Maffei-Str. 2,stationär,,Aufruf gegen illegalen Waffenexporte der Krauss-Maffei Group,5
2018-03-01 00:00:00,Odeonsplatz,stationär,AKM Musavat Europa,politische Gefangenenrechte in Aserbaidschan,40-50
2018-03-01 00:00:00,Marsstraße 43,stationär,,Tierhaltung im Zirkus Krone,2
2018-03-01 00:00:00,Hauptbahnhof Querhalle Gleis 16/17,stationär,Bürgerrechtsbewegung Solidarität,Europas Zukunft mit der Neuen Seidenstraße statt neuer Kalter Krieg,2-6
2018-03-02 00:00:00,Marienplatz,stationär,Migrationsbeirat,Eklat im Migrationsbeirat mit Presseerklärung,100
2018-03-02 00:00:00,Marienplatz,stationär,,Anonymous for the Voiceless,8-20
2018-03-02 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-02 00:00:00,"BMW, Lerchenauer Str. 04.45 Uhr bis 06.15 Uhr",stationär,,Revolutionären Aktionstage 2018,15-20
2018-03-02 00:00:00,Pranckhstr./Deroystraße,stationär,,Revolutionären Aktionstage 2018,15-20
2018-03-02 00:00:00,"BMW, Lerchenauer Str. 13.30 Uhr bis 15.15 Uhr",stationär,,Revolutionären Aktionstage 2018,15-20
2018-03-02 00:00:00,"Zug durch Milbersthofen, Lerchenauerstr. bis Keferloher Str.",sfv,,Revolutionären Aktionstage 2018,15-20
2018-03-02 00:00:00,"Romanstr. 107, ggüber Chinesischen Konsulat",stationär,,Beendigung der Verfolgung FalunGong,2-10
2018-03-03 00:00:00,Geschwister-Scholl-Platz - Marsstraße vor Circus Krone,sfv,Animals United,Protest gegen (Wild-)Tiere im Zirkus,400
2018-03-03 00:00:00,Richard-Strauss-Brunnen,stationär,,gegen Tierausbeutung,6
2018-03-03 00:00:00,Neuhauser Str. 8 (Infostandplatz),stationär,Initiative Grundeinkommen,Das bedingungslose Grundeinkommen,3-6
2018-03-03 00:00:00,"Zug durch das Westend, Tulbeckstr. bis Ligsalz/Tulbeckstr.",sfv,,Revolutionären Aktionstage 2018,15-20
2018-03-04 00:00:00,Max-Joseph-Platz,stationär,Pulse of Europe e.V.,Pulse of Europe,150-300
2018-03-04 00:00:00,Schellingstr. 33 bis Hofgarten Eingang,sfv,,Gedenken an verstorbene Frauen,15-20
2018-03-04 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-05 00:00:00,Hermann-Lingg-Str. 3,stationär,GEW München,Lehrkräfte-Entgeltordnung,80
2018-03-05 00:00:00,Odeonsplatz (Fläche vor der Feldherrnhalle),stationär,Cannabis Verband Bayern,Cannabis als Medizin,20-30
2018-03-05 00:00:00,Neuhauser Str. 8,stationär,Pegida München e.V.,Islamkritik,10-15
2018-03-05 00:00:00,Marienplatz,stationär,,Weg mit Hartz IV,30-40
