Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2023-01-02,"Parkplatz an der Lingnerallee, Lennestraße, straßburger Platz, Grunaer Str, Pinaischer Platz, Schlossstraße, Treppen vor den Brühöschen Terrassen","Montagspaziergang - Dresden vereint, das Original - für Frieden, Freiheit, Tradition",750
2023-01-06,Auftaktkundgebung Theaterplatz (ca. 5-10min)Theaterplatz - Sophienstr. - Postplatz - Wallstr. -Zwischenkundgebung Vorplatz Altmarktgalerie am Dr. Külz-Ring (10 bis 20min) -Seestraße - Altmarkt - Wilsdruffer Str. -Zwischenkundgebung Vorplatz Kulturpalast (10 bis 20min) -Schloßstraße -  Schloßplatz - Sophienstraße - Theaterplatz -Abschlusskundgebung Theaterplatz (ca. 5-10min),"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen.Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",
2023-01-06,kleiner Willy-Brandt-Platz (an der östlichen Seite bei den Bäumen),Mahnwache: FFF ist wieder hier!,20
2023-01-06,Oberlandkreuzung Südseite,"Kritik staatlicher Maßnahmen (Corona, Energiepolotik)",20
2023-01-06,Markt Strecke gemäß Absprache Polizei - Markt,Spaziergang Coronamaßnahmen & Frieden weltweit sowie Freundschaft mit allen Völkern der Welt,50
2023-01-06,Theaterplatz - Sophienstraße - Postplatz - Wallstraße - Gehweg des Dr.-Külz-Ring - Dippoldiswalder Platz - Waisenhausstraße - Georgplatz - St. Petersbur-ger Straße - Pirnaischer Platz - Wilsdruffer Straße - Schloßstraße - Schloßplatz - Sophienstraße - Theaterplatz,Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen. […]“,500
2023-01-06,Rollschuhbahn Kriebetal,Freie Sachsen unterstützen den Protest,10
2023-01-06,Kriebstein auf dem Parkplatz der Rollsportanlage,Kriebstein sagt nein zum UMA - Heim,100
2023-01-07,"Augustusplatz, Opernseite (Sammlung&Auftakt) - Grimmaische Straße - Reichsstraße - Brühl - Katharinenstraße - Markt (Zwischenkundgebung á 10 Minuten) - Petersstraße - Schillerstraße - Neumarkt - Grimmaische Straße - Augustusplatz, Opernseite ",Für Frieden und eine freie Impfentscheidung für Alle,100
2023-01-07,"Augustusplatz, vor der Oper (rechte Hälfte) - Roßplatz - Martin-Luther-Ring - Karl-Tauchnitz-Straße - [Friedrich-Ebert-Straße] - Käthe-Kollwitz-Straße - Goerdelerring - Georgiring - Augustusplatz, vor der Oper (rechte Hälfte)","Macht die Grenzen dicht!""",50
2023-01-07,"Augustusplatz, Opernseite",Hoch die antinationale Solidarität,100
2023-01-08,"B96, Zittau, Dresdener Str. zwischen v. Ossietzkystraße und Rathenaustr.",Wahrung unserer Grundrechte,30
2023-01-08,B 107 Bereich Kreisverkehr am schwarzen Netto,Stiller Protest,50
2023-01-08,"an der B6 in Görlitz, zwischen Wiesbadener Straße und dem Abzweig Flugplatz (am Radweg)","Für Frieden, Freiheit, Grund- und Menschenrechte!",50
2023-01-08,Bushaltestelle an der B 96,Stiller Protest gegen Coronamaßnahmen,100
2023-01-08,Am Marktplatz,Freie Sachsen unterstützen den Protest,10
2023-01-08,"Start Markt, Lutherplatz, Chemnitzer Straße, Tauschaer Weg, Meischnerstraße, Pestalozzistraße, Tauschaer Weg, Jahnstraße, Feldstraße, Waldstraße, Mozartstraße, Postbergstraße, Reitzenhainer Straße, Querweg (ohne Name) zur Chemnitzer Straße (Pflegeheim), Chemnitzer Straße, Mandelgasse, Ankunft Markt","Energiekrise, Medienkrise, Coronakrise, Kundgebung mit offenem Mikro für alle, die sich die Sorgen von der Seele reden wollen",100
2023-01-09,Kormarkt - Reichenstr. - Hauptmarkt - Goschwitzstr. - Postplatz - Karl-Marx-Str. - Kornmarkt,"Mahnwache für Frieden, Freiheit, Selbstbestimmung, Souveränität / für die Überwindung der Spaltung in der Gesellschaft / für eine diskriminierungsfreie Gesellschaft",2000
2023-01-09,Hauptmarkt-Marienplatz-Hauptmarkt,Grundrechte sind nicht Verhandelbar,300
2023-01-09,Hauptmarkt,Wir müssen reden! - offener Diskurs,250
2023-01-09,Altmarkt-Lange Str-Rudolf-Breitscheid-Str-Waldkirchner Str-Am Gräbl-Mozartstr-Rober-Koch-Str-Beethovenstr-Lessingstr-Heinrich-Heine-Str-Bleichweg-Rudolf-Breitscheid-Str-Langestr-Altmarkt-Langestr-Altmarkt,"Wer keine Energie hat, kann keinen Energiekrieg führen!",100
2023-01-09,"Markt - Bautzner Straße - Breite Straße - Uferstraße - Fichtestraße - Hohe Straße - Oststraße -
Bahnhofstraße - Bönischplatz - Pulsnitzer Straße - Rosa-Luxemburg-Straße - Markt",Spaziergang Kamenz,800
2023-01-09,Markt à Bahnhofstraße à Angerstraße à Sachsenallee à LeipzigerStraße à Heinrichstraße à Reichssteinweg à Reichsstraße à Markt,Frieden / Freiheit / Souveränität,200
2023-01-09,Schauburg (Ottokarplatz) - Stadtring entgegen der Fahrtrichtung (auf Fußweg) - Ludwigstraße . Albertstraße - Reichenberger Straße - Rathausplatz - Markt,Diskussion über den Zustand der Gesellschaft und Aufruf zum gesellschaftlichem Zusammenhalt,400
2023-01-09,"Augustusplatz, Gewandhausseite, Mendebrunnen (Sammlung & Auftakt) - Augustusplatz (Mittelfahrbahn) - Augustusplatz (Innenring) - Roßplatz (Innenring) - Martin-Luther-Ring (Innenring) - Dittrichring (Innenring) - Goerdelerring (Innenring) - Tröndlinring (Innenring) - Willy-Brandt-Platz (Innenring) - Goethestraße (Innenring) - Augustusplatz (Mittelfahrbahn) - Augustusplatz, Gewandhausseite, Mendebrunnen (Abschluss & Beendigung)","LEIPZIG STEHT AUF für Frieden, Freiheit und Demokratie! Sofort Nord Stream 2 öffnen!“",3000
2023-01-09,"Augustusplatz, Gewandhausseite - Innenstadtring (Innenring) im Uhrzeigersinn - Goethestraße - Augustusplatz, Gewandhausseite ",Frieden und Freiheit für Alle,200
2023-01-09,Markt - Unterer Kirchplatz - Große Kirchgasse - Lindenstr. - Wolkensteiner Straße,"Demokratie, Grundrechte und Freiheit",300
2023-01-09,Marktplatz Untere Hauptstrasse - Kammerad Beck Str. - Alte Staatsstraße Am Förstersteig - Bärensteig -Fuchsteig - Am Förstersteig - Geschwister Scholl Str.- Innere Neuwieser Str. -Albert Funk Schacht Str.  - Markt,"Demo für Freiheit, Grundrechte und wahre Demokratie, Freies Mikrofon",500
2023-01-09,Marktplatz - Schillerstraße - Lessingstraße - Markt,"Corona-Maßnahmen, Energiepolitik, Asylpolitik, Sanktionen gegen Russland, Frieden und Selbstbestimmung, steigende Inflation, Gasumlage, Treibbstoffpreise, Gesundheitswesen",150
2023-01-09,Altmarkt – Rathaus – Göltzschtalstraße – Schloß – Altmarkt,"Frieden, Freiheit und Gerechtigkeit! Gegen die Energiekosten der Politik",500
2023-01-09,Route um Zinsendorfplatz,Gegen Schikane und politische Willkür der Regierung,150
2023-01-09,Markt Strecke gemäß Absprache Polizei - Markt,Spaziergang Coronamaßnahmen & Frieden weltweit sowie Freundschaft mit allen Völkern der Welt,50
2023-01-09,Markt,Einwanderung stoppen – Unser Land ZUERST Energiewende beenden,10
2023-01-09,kleiner Willy-Brandt-Platz,"""Tag des Widerstands - für eine lebenswerte Zukunft international! Aktiv gegen die Weltkriegsgefahr - wir zahlen nicht für eure Kriege!""",10
2023-01-09,Start Rathausplatz > Hauptstraße > Melzerstraße > Schindlerstraße > Reichsstraße > Melanchtonstraße > Poststraße > Großenhainer Straße > Döringstraße > Niederauer Straße > Meißner Straße > Hauptstraße > Ende Rathausplatz ,Spaziergang für die Freiheit,250
2023-01-09,"Parkplatz an der Lingnerallee, Lennestraße, straßburger Platz, Grunaer Str, Pinaischer Platz, Schlossstraße, Treppen vor den Brühöschen Terrassen","Montagspaziergang - Dresden vereint, das Original - für Frieden, Freiheit, Tradition",750
2023-01-09,"Freiberger Straße - Friedhofstraße - Erlenweg - Freiberger
Straße - Landbergweg - Gezinge - Nossener Straße","Frieden, Wahrheit, Ehrlichkeit",50
2023-01-09,Straße - Landbergweg - Gezinge - Nossener Straße,Gegen Diskriminierung und Hass in Deutschland,50
2023-01-09,"Neumarkt. - Sporerstr. - Altmarkt -Lutherstr. - Bahnhofstr. - Friedensstr. - Windhuk - Praschwitzer Weg - Goethestr. - Schillerstr. - Friedensstr. - B6 - Brüderstr. - Altmarkt
Sporerstr. - Markt
","„Frieden, Freiheit, Selbstbestimmung“",150
2023-01-09,"Marktplatz, Großenhainer Str., Großenhainer Platz, Großenhainer Str., Rödergraben, Meißner Berg, Am Meißner Berg, Meißner Str., Marktplatz","Für ein Ende aller Corona-Zwangsmaßnahmen für unabhängige statt lobbyfinanzierte Forschung, für Wahrheitssuche ohne Denkverbote, gegen grüne Misswirtschaft bei Energie, Mobilität und Nahrungsmitteln, gegen Waffenexporte und Sanktionspolitik, für Solidarität mit Ukrainern und Russen durch Verhandeln auf Augenhöhe",600
2023-01-09,"Schloss Belgershain - Schloßstraße - Rohrbacher Straße - Hauptstraße 
- Feldstraße - Siedlung A - Bahnhofstraße - Hauptstraße - Schloss Belgershain
","Schluss mit Regierungsfehlentscheidungen in der Gesundheits-,Wirtschafts- und Energiepolitik sowie Außenpolitik (hier Frieden in der Ukraine schaffen - ohne Waffen) + sofortige bedingungslose vollständigeWiederherstellung aller Grund- und Menschenrechte",50
2023-01-09,"Bahnhofstraße, Dresdner Straße, Kantstraße – Hausnummer 3 Zwischenkundgebung –
weiter auf Kantstraße, Rathausstraße, Friedensstraße, Dr. Otto Nuschke Straße, Käthe Kollwitz
Straße, Fußweg zum Markt,",Regierungsrücktritt jetzt!,100
2023-01-09,"Parkplatz Parksäle - Weißeritzstraße - Große Mühlstraße - Brauhofstraße - Obertorplatz
- B170 - Alte Altenberger Straße - Freiberger Straße -
Bahnhofstraße - Karl-Marx-Platz - Kirchplatz - Markt",Politische Irrwege und deren Folgen für die Bevölkerung ,600
