Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2021-01-11,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",200
2021-01-18,Altmarkt,Nationalismus ist keine Alternative!,200
2021-01-18,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-01-24,Markt Nossen - Landtag,Schluß mit dem Lockdown,unbekannt
2021-01-25,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-01-25,Kreuzkirche,Nationalismus ist keine Alternative!,200
2021-02-01,Kramergasse,"Die sind so doof, so wahnsinnig doof, mein Gott, wie
kann man nur so doof sein ?!
",25
2021-02-01,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-02-06,Messe ,Raum für Wahlen - Raum für die Demokratie,7
2021-02-06,Messering,"Für Corona-Schutzmaßnahmen, gegen Massenpräsenzveranstaltungen",10
2021-02-06,Messering,Nie wieder AFD,50
2021-02-07,Wettiner Platz - Synagoge,Mahngang Täterspuren,40
2021-02-08,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-02-08,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-02-08,Altmarkt,Geradedenken,25
2021-02-13,Rathausplatz,Tu was gegen rechts - Demokratie stärken,5
2021-02-13,Wiener Platz,"Vergesst niemals Dresden!
Feierstunde zu Ehren der Dresdner Luftkriegstoten des 13. Februar 1945.
Dresden-Gedenken 2021
",300
2021-02-13,Altmarkt,Gedenkveranstaltung anlässlich der Bebombung Dresdens,100
2021-02-13,Altmarkt,Für Frieden und Völkerverständigung - Gegen den Missbrauch des Datum 13. Februar durch rechtsextrem Kreise,100
2021-02-13,Altmarkt,Gedenken 13. Februar,100
2021-02-13,Lingnerallee,Nazis raus aus der Innenstadt,200
2021-02-13,Bahnhof Mitte,Nazis raus,300
2021-02-13,Münchner Platz – Altmarkt - Theaterplatz - Schlesischen Platz,Für eine kritische Erinnerungspolitik - Gegen Geschichtsrevisionismus und Rechtsextremismus,1000
2021-02-13,Neumarkt,"Nie wieder Faschismus, nie wieder Krieg",10
2021-02-13,Altmarkt,Mahnwache ,3
2021-02-13,Seestraße,Mahnwache,3
2021-02-13,Wiener Platz,13. Februar nazifrei - No Pasaran,200
2021-02-13,Altmarkt,Stilles Gedenken,10
2021-02-13,Neumarkt,Stilles Gedenken vor der Frauenkirche Dresden - wahrhaftig erinnern - versöhnt leben´,300
2021-02-13,Altnickern,"Kein Platz für Nazis, weg mit dem Opfermythos!",20
2021-02-13,Friedrich-List-Platz,Maske auf - Nazi raus,50
2021-02-15,Altmarkt,Geradedenken,25
2021-02-15,Kreuzkirche,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",100
2021-02-15,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-02-16,Landtag,Gedenkveranstaltung,100
2021-02-18,Altmarkt,Protest der Friseure und Kosmetiker,500
2021-02-19,Landtag,Kundgebung von Fahrschulen aus Sachsen,250
2021-02-19,Jorge-Gomondai-Platz,Wir klagen an! Ein Jahr nach dem rassistischen Terroranschlag in Hanau,600
2021-02-20,Pieschener Allee,Für eine lautstarke Aufklärung der Bevölkerung - Autokorso,400
2021-02-22,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-02-22,Altmarkt,GERADEDENKEN,25
2021-02-22,Altmarkt,Grundgesetz und Demokratie schützen,350
2021-02-22,Altmarkt,"Jetzt erst Recht, Querdenker*innen und Rassisten*innen entgegen treten",400
2021-02-22,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-02-27,Jorge-Gomondai-Platz,Die Zeit ist reif - Freiheit für Öcalan,200
2021-02-27,Hauptallee,Verhältnismässigkeit der Corona-Maßnahmen,30
2021-02-28,Külz-Ring/Ostra-Allee/Lindenau-Platz/Archivstraße/treu-Platz,Denk ich an Deutschland in der Nacht... (Unternehmer stellen Fragen),30
2021-03-01,Altmarkt,GERADEDENKEN,25
2021-03-01,Neumarkt,"Initiative Leere
Stühle",700
2021-03-01,Altmarkt,"Demokratie, Grundrechte und Frieden in Zeiten von Corona",500
2021-03-01,Neumarkt,Kein Platz für Rassist*innen im Stadtzentrum ,200
2021-03-03,Bernhard-von-Lindenau-Platz,Lockdown beenden,2
2021-03-06,Dresden - Leipzig,Gemainsam für Demokratie usw.,500
2021-03-08,Königsufer,Feministischer Streikposten,100
