Versammlungsgeschehen in Dresden März bis Dezember 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
 Datum ,Ort,Thema,Teilnehmerzahl Anmeldung
2023-05-08 00:00:00,Dresden,"Bürgerprotest gegen Kriegsbeteiligung, für bezahlbare Energie und transparente Politik ",100
2023-05-08 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" für Frieden und Freiheit",500
2023-05-08 00:00:00,Dresden,Für die menschenwürdige Unterbringung von Geflüchteten,50
2023-05-09 00:00:00,Dresden,Coronapandemie und deren Aufarbeitung,16
2023-05-10 00:00:00,Dresden,Klimakollaps verhindern - Grundrechte bewahren,50
2023-05-11 00:00:00,Dresden,Wir sc(hauen) dem Dresdner Stadtrat auf die Finger – wählt weise,600
2023-05-11 00:00:00,Dresden,Gesicht zeigen für Menschlichkeit und Demokratie,150
2023-05-11 00:00:00,Dresden,Nein zu den Container-Asylunterkünften - ,50
2023-05-11 00:00:00,Dresden,"„Refugees welcome! Für eine menschenwürdige, dezentrale Unterbringung!“",75
2023-05-12 00:00:00,Dresden,Profite pflegen keine Menschen Demonstration zum Tag der Pflege,300
2023-05-13 00:00:00,Dresden,Tolerade 2023,
2023-05-15 00:00:00,Dresden,"Montagsdemonstration ´Dresden vereint - Das Original´ für Frieden, Freiheit, Tradition",500
2023-05-17 00:00:00,Dresden,"vom Kriegsgebiet
aufs Minenfeld",200
2023-05-19 00:00:00,Dresden,"Kohleausstieg Ost - sozialgerechter Strukturwandel jetzt! 1,5 Grad bedeutet nicht mehr als 205 Mio t Kohle in der Lausitz zu verbrennen.",150
2023-05-22 00:00:00,Dresden,"Montagsdemonstration ´Dresden vereint - Das Original´ an der  Torwirtschaft für Frieden, Freiheit, Tradition",500
2023-05-24 00:00:00,Dresden,Solidarität mit der Letzten Generation – Klimaaktivismus ist kein Verbrechen,50
2023-05-29 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-05-31 00:00:00,Dresden,Unsere Solidarität gegen staatliche Repression - Antifaschismus lässt sich nicht verbieten,200
2023-05-31 00:00:00,Dresden,Nein zum Heim! Wir fordern einen Bürgerentscheid!,200
2023-05-31 00:00:00,Dresden ,Freiheit für alle Antifaschist*innen!,100
2023-06-01 00:00:00,Dresden,Energie- und Klimaschutzprogramm,50
2023-06-02 00:00:00,Dresden,"""Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen.
Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog.""
",n.b.
2023-06-05 00:00:00,Dresden,"Montagsdemonstration ""Dresden vereint - Das Original"" an der Torwirtschaft für Frieden, Fr iheit, Tradition",500
2023-06-07 00:00:00,Dresden,Nein zum Heim! Wir fordern einen Bürgerentscheid!,200
2023-06-07 00:00:00,Dresden,Nein zum Heim - wir fordern einen Volksentscheid!,200
2023-06-08 00:00:00,Dresden,"Stoppt den fossilen Wahnsinn! Mit der Aktion fordern wir, dass keine neuen fossilen Projekte vom Staat genehmigt oder finanziert werden.",25
2023-06-09 00:00:00,Dresden,Internationale Solidarität gegen rechte Hetze,80
2023-06-12 00:00:00,Dresden,"Grundrechte verteidigen, Polizeiwillkür stoppen",50
2023-06-12 00:00:00,Dresden,"Grundrechte verteidigen, Polizeiwillkür stoppen!",50
2023-06-12 00:00:00,Dresden,Nein zum AIR DEFENDER 23,100
