Versammlungsgeschehen in Dresden März bis Dezember 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
 Datum ,Ort,Thema,Teilnehmerzahl Anmeldung
2023-10-28 00:00:00,Dresden,"Gegen Rassismus, Antisemitismus, Verschwörunserzählungen - für Wissenschaft, Vielfalt und Toleranz",500
2023-10-30 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-10-31 00:00:00,Dresden,Interreligiöses Friedensgebet,150
2023-11-01 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-11-03 00:00:00,Dresden,"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen. Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",2 Fahrzeuge
2023-11-03 00:00:00,Dresden,Aufarbeitung der Coronazeit und -maßnahmen,20
2023-11-04 00:00:00,Dresden,Freiheit für Palästina. Freiheit für Gaza.,700
2023-11-06 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-11-06 00:00:00,Dresden,Gegen Glaubenskriege auf deutschem Boden,1000
2023-11-06 00:00:00,Dresden,Björn Höcke ist ein Nazi ,30
2023-11-06 00:00:00,Dresden,Kein Fußbreit dem Quergida-Faschismus!,500
2023-11-06 00:00:00,Dresden,Schutz der Zukunft unserer Kinder,20
2023-11-06 00:00:00,Dresden,"Gegen Rassismus, Antisemitismus und Verschwörungserzählungen – für Wissenschaft, Vielfalt und Toleranz“",500
2023-11-06 00:00:00,Dresden,"Freie Sachsen und Stefan Trautmann unterstützen den Montagsprotest am Kulturpalast!""",20
2023-11-07 00:00:00,Dresden,Freiheit für Gaza. Internationale Solidarität mit Palästina,200
2023-11-08 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-11-09 00:00:00,Dresden,Denkorte: Erinnerung und Mahnung ,50
2023-11-09 00:00:00,Dresden ,Gedenkweg Pogromnacht 1938,50
2023-11-13 00:00:00,Dresden ,Der Kohleausstieg ist Nicht Verhandelbar! Klimaschutz auch in Deutschland!,20
2023-11-13 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung“,300
2023-11-13 00:00:00,Dresden,"Freiheit für Palästina, Freiheit für Gaza",400
2023-11-15 00:00:00,Dresden,"Letzte Generation - ""weg von Fossil hin zu gerecht"" Für ein Ende fossiler Subventionen + eine verfassungsgemäße sozial gerechte Klimapolitik",20
2023-11-15 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-11-18 00:00:00,Dresden,Kerzenlichtmahnwache für den Frieden in Gaza,30
2023-11-20 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung“,300
2023-11-20 00:00:00,Dresden,Der EU-Spitzenkandidat der AfD ist ein Frauen und queere Menschen verachtender rechter Hetzer!,100
2023-11-22 00:00:00,Dresden,Gemeinsam gegen Gewalt an Frauen,
2023-11-22 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-11-22 00:00:00,Dresden,"Solidarisch gegen rechte Hetze
",20
2023-11-22 00:00:00,Dresden,"Ja zum Heim, nein zum Hetze!",50
2023-11-25 00:00:00,Dresden,Aktionstag gegen patriarchale Gewalt,100
2023-11-25 00:00:00,Dresden,Gedenken der Opfer des Holodomor (Hungersnot) in der Ukraine,200
2023-11-25 00:00:00,Dresden,Aktionstag gegen patriarchale Gewalt,100
2023-11-25 00:00:00,Dresden,"Freiheit für Palästina, Freiheit für Gaza",500
2023-11-26 00:00:00,Dresden,Nein zur GEAS Reform ,100
2023-11-27 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-11-29 00:00:00,Dresden,Kundgebung anlässlich des Apothekenprotesttages,2000
2023-11-29 00:00:00,Dresden,"""weg von fossil, hin zu gerecht"" - für eine sozial gerechte und das Leben schützende klimapolitik gemäß Art. 20a Grundgesetz und damit für den Ausstieg aus allen fossilen und anderen umweltschädlichen Subventionen",25
2023-11-29 00:00:00,Dresden,"Letzte Generation - ""weg von Fossil hin zu gerecht"" ",25
2023-11-29 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-12-01 00:00:00,Dresden,"Das Gesundheitswesen steht auf - für eine gesunde Zukunft. Missstände und Personalmangel im Gesundheitswesen aufzeigen und beseitigen. Gegen gesellschaftliche Spaltung, für einen friedlichen Dialog",300
2023-12-01 00:00:00,Dresden,Schwurbeln gefährdet das Gesundheitswesen! Echsenmenschen für Aufklärung.,10
2023-12-01 00:00:00,Dresden,Schwurbeln gefährdet das Gesundheitswesen! Echsenmenschen für Aufklärung.,10
2023-12-02 00:00:00,Dresden,Freiheit für Palästina,250
2023-12-04 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-12-06 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-12-06 00:00:00,Dresden,"Nachbarschaft leben, Schutzbedürftige willkommen heißen!",30
2023-12-10 00:00:00,Dresden ,"Gegen die Entrechtung der Geflüchteten - Für ein Europa, das Brücken baut",400
2023-12-11 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-12-11 00:00:00,Dresden,Gegen Antisemitismus und rechte Hetze auf dem Schlossplatz an Chanukka,50
2023-12-13 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-12-13 00:00:00,Dresden,Am 13. Februar Nazis stoppen,25
2023-12-13 00:00:00,Dresden,"Letzte Generation - weg von fossil, hin zu gerecht - für eine sozial gerechte und das Lebens chützende Klimapolitik gemäß Art. 20a Grundgesetz und damit für den Ausstieg aus allen fossilen und anderen umwelt- und gesundheitsschädlichen Subventionen",20
2023-12-13 00:00:00,Dresden,Kein Platz für Brandstifter*innen in Klotzsche! Friedlich und solidarisch miteinander gegen Rechts!,80
2023-12-14 00:00:00,Dresden,"DRESDEN sagt NEIN zum Heim, JA zur Heimat!",200
2023-12-14 00:00:00,Dresden,"Mahnwache - Dresden bleibt sicherer Hafen und hat Platz und Möglichkeiten, seinen Verpflichtungen nachzukommen.",30
2023-12-15 00:00:00,Dresden,Freiheit für Palästina. Freiheit für Gaza!,200
2023-12-16 00:00:00,Dresden / Wilsdruff / Bannewitz ,"Autokorso gegen LKW Maut, CO2 Steuer und Mehrwertsteuererhöhung",300
2023-12-16 00:00:00,Dresden,Solidarisch wie noch nie - Antiautoritäte Perspektiven erkämpfen,200
2023-12-16 00:00:00,Dresden,Autonomer Morgensport,80
2023-12-18 00:00:00,Dresden,Gegen Glaubenskriege auf deutschem Boden,1000
2023-12-18 00:00:00,Dresden,Für Demokratie und Menschenrechte ,1500
2023-12-18 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-12-18 00:00:00,Dresden,"FREIE SACHSEN unterstützen PEGIDA und den Dresdner Montagsprotest - mit Michael Brück für Frieden, Freundschaft und Zusammenhalt.",20
2023-12-18 00:00:00,Dresden,Herz statt Hetze ,500
2023-12-18 00:00:00,Dresden,Wer schweigt stimmt zu - Zeit für Bürgerverantwortung,300
2023-12-18 00:00:00,Dresden,"Für Frieden, Asyl-Lüge beenden",30
2023-12-18 00:00:00,Dresden,Kein Fußbreit dem Quergida-Faschismus!,500
2023-12-18 00:00:00,Dresden,Solidarisch gegegn Rassismus,100
2023-12-18 00:00:00,Dresden,"Gegen jeden Antisemitismus und rassistische, neonazistische Hetze",50
2023-12-18 00:00:00,Dresden,"Gegen jeden Antisemitismus und rassistische, neonazistische Hetze",
2023-12-19 00:00:00,Dresden,Klimaschutz ist kein Verbrechen,20
2023-12-20 00:00:00,Dresden,"Nein zum Heim, Ja zur Heimat!",200
2023-12-29 00:00:00,Dresden,Nationalismus raus aus den Köpfen!,800
2023-12-30 00:00:00,Dresden,Freiheit für Palästina. Freiheit für Gaza,200
2023-12-31 00:00:00,Dresden,Solidarität zu Silvester - das Knastsystem überwinden,40
