Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2022-01-01,Neumarkt,Wir sprechen alle Menschen an - Befürworter und Kritiker der aktuellen Coronapolitik,10
2022-01-03,Rathausplatz,Dresden zum sicheren Hafen! Gemeinsam für sichere Fluchtwege,10
2022-01-03,Pieschener Allee - B6 - Bautzen,Autokorso - Impfaufklärung,150
2022-01-06,Neumarkt,"Lichter für die Freiheit; Für
Versammlungsfreiheit und Selbstbestimmung",100
2022-01-08,Neumarkt,Mit Anstand und Abstand optimistisch ins Neue Jahr,10
2022-01-09,HbF - Schillerplatz,Wir lassen uns nicht spalten,300
2022-01-10,Rathaus ,Am 13.02. Täter*innenspuren suchen statt Opfermythen pflegen ,10
2022-01-10,Pieschener Allee - Dresdner Straße,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-12,Wigardstraße,Lage der geschlossenen Kosmetikstudios und die erschwer ten Bedingungen durch 2G in den Salons,10
2022-01-17,Leipziger/ Lommatzscher Str.,Gegen Querdenker_innen und Verschwörungsideolog_innen,30
2022-01-17,Pieschener Allee - Tierpark Meißen,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-20,Vorplatz am Alten Leipziger Bahnhof,Kundgebung anlässlich des 80. Jahrestages des Beginns der Deportation Dresdner Juden in die Vernichtungslager der Nazis,1000
2022-01-24,Schillerplatz,Mahnwache für Vernunft und Solidarität,200
2022-01-24,Pieschener Allee - Radeberg - Flughafen Dresden,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-27,Messering,Versorgungsnotstand abwenden! Nein zur Impfpflicht,50
2022-01-31,Kieler Straße ,Mit Vernunft und Solidarität gemeinsam aus der Krise ,30
2022-01-31,Pieschener Allee - Freital - Weißeritzstr.,Autokorso für eine lautstarke Impfaufklärung und gegen die 2G-Apartheit,150
2022-01-31,Mickten,"Demonstratio für Frieden, Freiheit & Demokratie",300
2022-01-31,Wiener Platz,Ihr klaut uns unsere Jugend - Corona Maßnamen beenden,20
2022-01-31,Albertplatz,Zusammen trotz Covid,30
2022-02-01,Wilder Mann,Trachau braucht keine Querdenker!,30
2022-02-02,Albertplatz - Alaunpark - Albertplatz,"Stoppt den Bombenkrieg der Türkei! Den Chemiewaffeneinsatz aufklären und ächten! Hände weg von Rojava, Sengal und Mexmur!",50
2022-02-04,Altmarkt - Hauptstraße - Altmarkt,Gesundheitswesen zeigt Gesicht für eine  Freie Impfentscheidung,900
2022-02-05,Kronstädter Platz - Leubener Str.,Laubegast demokratisch bunt,100
