Datum von,Ort (ausschließlich Dresden),Thema,Teilnehmerzahl Anmeldung
2020-09-21,Wienerplatz,Meinungsfreiheit,30
2020-09-28,Neumarkt,Gemeinsam für Bürgerrechte,600
2020-09-28,Altmarkt,Nationalismus raus aus den Köpfen,250
2020-09-28,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-09-28,Neumarkt,Nationalismus raus den Köpfen,300
2020-09-28,Wienerplatz,Meinungsfreiheit,30
2020-09-28,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen entgegen treten",150
2020-09-28,Neumarkt,Aufklärung über den Politischen Islam,50
2020-10-03,Friedrich-Wieck-Straße  ,"30 Jahre Deutsche Einheit, Demokratie stärken",50
2020-10-03,Blaues Wunder,30 Jahre ein Maskenball in Lug und Trug,unbekannt
2020-10-03,Neumarkt,"30 Jahre Deutsche Einheit, Europa trifft Dresden",500
2020-10-03,Schillerplatz,Brücken bauen für Weltoffenheit und Toleranz,100
2020-10-05,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-10-05,Neumarkt,Nationalismus raus den Köpfen,300
2020-10-05,Wienerplatz,Meinungsfreiheit,30
2020-10-12,Neumarkt,Gemeinsam für Bürgerrechte,600
2020-10-12,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-10-12,Neumarkt,Nationalismus raus den Köpfen,300
2020-10-12,Alaunplatz - Neumarkt,"Jetzt erst Recht, Rassisten*innen ",150
2020-10-12,Wienerplatz,Meinungsfreiheit,30
2020-10-19,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-10-19,Neumarkt,Nationalismus raus den Köpfen,300
2020-10-19,Wienerplatz,Meinungsfreiheit,30
2020-10-24,Theaterplatz,Solidarität mit Arzach - Sanktionen gegen die Türkei,300
2020-10-25,Theatherplatz,Für Weltoffenheit und ein solidarisches Miteinander,2000
2020-10-25,Neumarkt,Herz statt Hetze ,2000
2020-10-25,Postplatz,Herz statt Hetze ,1000
2020-10-25,Altmarkt,Demokratie braucht Rückgrat,2000
2020-10-25,Jorge-Joao-Gomondhai-Platz - Neumarkt,"Für ein soziales Dresden statt rassistischer Spaltung: Für gute Pflege, bezahlbaren Wohnraum und Freiräume für alle",500
2020-10-25,Alaunplatz - Neumarkt,Empower Diversity - Gleiche Rechte für alle,1000
2020-10-25,Nürnberger Ei - Neumarkt,"Gegendemo zu Pegida unter dem Motto ""Hoch die internationale Solidarität",100
2020-10-25,Fritz-Förster-Platz - Neumarkt,Gemeinsam. Aktiv. Bunt.,2000
2020-10-25,Friedrich-Wieck-Straße,Feministische Lesung gegen rechts,50
2020-10-26,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-10-26,Neumarkt,Nationalismus raus den Köpfen,300
2020-10-26,Neumarkt,Gemeinsam für Bürgerrechte,600
2020-10-26,Wienerplatz,Meinungsfreiheit,30
2020-10-26,Altmarkt,PEGIBirthday 2.0 - Ein Herz für Hetzer oder Drei Hakenkreuze für Lutz Bachmann,40
2020-10-26,Altmarkt,Für ein tollerantes Dresden ohne Rechtsextremismus und Rassismus,500
2020-10-26,Alaunplatz - Görlitzer Straße - Louisenstraße - Alaunstraße - Albertplatz - Albertstraße -Carolaplatz - Carolabrücke - Rathhausplatz - Akademiestraße - Schießgasse - Wilsdruffer Straße - Altmarkt ,"Jetzt erst Recht, Rassisten*innen entgegen treten. ",400
2020-10-27,Wiener Platz,"""Nationalismus raus aus den Köpfen"" ",100
2020-10-27,Wiener Platz,Gemeinsam für Bürgerrechte,100
2020-10-28,Prager Straße,Gemeinsam für Bürgerrechte,100
2020-10-28,Prager Straße,"""Nationalismus raus aus den Köpfen"" ",100
2020-10-29,Prager Straße,Wie gefährlich ist Corona?,20
2020-10-31,Theaterplatz,"Frieden, Freiheit und Demokratie in Zeiten von Corona",1000
2020-10-31,Altmarkt,Islam gegen Terrorismus,60
2020-11-02,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-11-02,Neumarkt,Nationalismus raus den Köpfen,300
2020-11-02,Wienerplatz,Meinungsfreiheit,30
2020-11-08,Neumarkt,Aufklärung zum Thema Corona Fakten,500
2020-11-09,Neumarkt,Gemeinsam für Bürgerrechte,600
2020-11-09,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-11-09,Neumarkt,Nationalismus raus den Köpfen,300
2020-11-09,Wienerplatz,Meinungsfreiheit,30
2020-11-09,Neuamrkt,Der 09. November 1938 - Mahnung und Verantwortung ,400
2020-11-09,Theaterplatz,Der 09. November 1938 - Mahnung und Verantwortung ,400
2020-11-09,Akademiestraße,Mahnwache gegen Rassismus - in Gedenken an die Novemberprgrome 1938,8
2020-11-16,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-11-16,Neumarkt,Nationalismus raus den Köpfen,300
2020-11-16,Wienerplatz,Meinungsfreiheit,30
2020-11-20,Bremer Straße - Hammerweg,"Solidarität mit Geflüchteten & Gefangenen - Lager evakuieren, Knäste räumen",50
2020-11-21,Neumarkt,Dresden zum sicheren Hafen,200
2020-11-22,Theaterplatz,Gegen Diskriminierung und für Menschenrechte!,1000
2020-11-22,Theaterplatz,Gegen Schwurbler und Rassisten,100
2020-11-22,Theaterplatz,Wir brechen das Schweigen - Lesung aus der sächsischen Landesverfassung und dem Grundgesetz,500
2020-11-23,Theatherplatz,Gemeinsam für Bürgerrechte,1000
2020-11-23,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-11-23,Neumarkt,Nationalismus raus den Köpfen,300
2020-11-23,Theaterplatz,Gemeinsam für Bürgerrechte,600
2020-11-23,Wienerplatz,Meinungsfreiheit,30
2020-11-23,Terrassenufer,Abschaffung jeglicher Coronamaßnahmen speziell für Kinder,20
2020-11-29,,Dresden kein sicherer Hafen ,100
2020-11-29,Theaterplatz,Dresden Liest,1000
2020-11-30,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-11-30,Neumarkt,Nationalismus raus den Köpfen,300
2020-11-30,Wienerplatz,Meinungsfreiheit,30
2020-11-30,Wigardstraße,"Land schafft Verbindung - Wir rufen zu Tisch, Gemeinsam mit dem Sächsischen Landesbauernverband muss die Sächsische Düngerverordnung zur Chefsache gemacht werden",600
2020-12-05,Theaterplatz,Grundrechte schützen!,500
2020-12-06,Theaterplatz,Dresden singt,1000
2020-12-07,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-12-07,Neumarkt,Nationalismus raus den Köpfen,300
2020-12-07,Wienerplatz,Meinungsfreiheit,30
2020-12-07,Neumarkt,Wahrung der Grundrechte,100
2020-12-12,Cockerwiese,"Frieden, Freiheit und Demokratie in Zeiten von Corona sowie gegen die Unverhältnismäßigkeit der Corona-Maßnahmen",4000
2020-12-12,Neumarkt,Lebendiger Advent,500
2020-12-12,Güntzstr. - Lennestraße,Die Liebe zieht durch Dresden,100
2020-12-12,Skaterpark Lingnerallee,"Abstand zu Nazis, Verschwörungstheoretiker*innen und Antisemit*innen",400
2020-12-12,Neumarkt,Solidarisch gegen die Pandemie - Verantwortung zeigen statt querdenken!,400
2020-12-12,Herkulesallee,Querstellen statt Querdenken ,1000
2020-12-12,Theaterplatz,Hochkultur und Freie Szene in Dresden krisenfest machen,15
2020-12-12,Hauptstraße/Theatherplatz/Alaunpark/Neumarkt/George-Gomondai-Platz/Wiener Platz/Prager Straße/Cockerwiese,reptiloide weltrevolution statt rechter querfront! antiverschwurbelte aktion #drECHSden,4400
2020-12-12,Cockerwiese,Kundgebung auf der Cockerwiese,50
2020-12-13,Theaterplatz,Weihnachten wie aus 1000 und 1 Nacht,1000
2020-12-14,1.Altmarkt,1. Gemeinsam für Bürgerrechte ,200
2020-12-14,Theaterplatz,Prokrastinierende Elitedemonstrant*innen greifen ihr Demogeld ab (Gegen rassistische Umtriebe in Sachsen),800
2020-12-14,Neumarkt,Antifaschistisches Weihnachtsliedersingen,650
2020-12-14,Neumarkt,Nationalismus raus den Köpfen,300
2020-12-14,Wienerplatz,Meinungsfreiheit,30
2020-12-14,Altmarkt,"Corona-Protestler - Wie soll eine Gesellschaft mit diesen kognitiv Schwachen umgehen?""",400
2020-12-14,Wilsdruffer Straße ,Nach den Rechten schauen,1000
2020-12-20,Theaterplatz,Dresdner Bescherung,1000
2020-12-21,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-12-21,Neumarkt,Nationalismus raus den Köpfen,300
2020-12-21,Wienerplatz,Meinungsfreiheit,30
2020-12-28,Neumarkt,Alle zusammen gegen den Faschismus,1000
2020-12-28,Neumarkt,Nationalismus raus den Köpfen,300
2020-12-28,Wienerplatz,Meinungsfreiheit,30
