Lfd. Nr. ,Datum der Vers,Thema,Unnamed: 3,Unnamed: 4
,,,TN angemeldet,TN anwesend
241.0,2023-09-04 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,3
242.0,2023-09-09 00:00:00,Solidaritätskundgebung für den syrischen Aufstand gegen das Assad-Regime,50,45
243.0,2023-09-23 00:00:00,Autokorso - WHO Vertrag stoppen!,300,74
244.0,2023-09-01 00:00:00,Solikampagne am Antikriegstag,,21
245.0,2023-09-20 00:00:00,Kinder für Kinderrechte,200,200
246.0,2023-09-30 00:00:00,Schluss mit Mogel-Milch,5,
247.0,2023-10-11 00:00:00,Gegen neue Gasförderprojekte und für den Schutz der Meere,5,5
248.0,2023-09-11 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,3
249.0,2023-09-18 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,0
250.0,2023-09-25 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,9
251.0,2023-09-15 00:00:00,Internationaler Parking Day,20,
252.0,2023-09-15 00:00:00,"Parking Day, Beispielhafte Umgestaltung von öff. Parkraum",100,
253.0,2023-09-15 00:00:00,Verdi Tarifverhandlungen Einzelhandel,110,90
254.0,2023-09-27 00:00:00,Erinnerung und Gedenken an Farid Boukhit,50,21
255.0,2023-09-18 00:00:00,Recht auf Leben und Selbstbestimmung,300,70
256.0,2023-09-25 00:00:00,Recht auf Leben und Selbstbestimmung,300,72
257.0,2023-10-02 00:00:00,Recht auf Leben und Selbstbestimmung,300,58
258.0,2023-09-16 00:00:00,Gegenhalten - Stoppt die AfD,,10
259.0,2023-09-16 00:00:00,Gegenveranstaltung V1,,6
260.0,2023-10-05 00:00:00,"Trauergang für Betroffene von ME/CFS, Long Covid und PostVac",100,35
261.0,2023-09-26 00:00:00,Streik im Großhandel und im Einzelhandel,200,
262.0,2023-09-25 00:00:00,Streik im Einzelhandel,150,
263.0,2023-09-30 00:00:00,Freiheit für Papa,80,3
264.0,2023-10-14 00:00:00,Moderne Sklaverei bekämpfen,4,
265.0,2023-09-28 00:00:00,Tarifverhandlungen Einzelhandel,150,100
266.0,2023-10-02 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,4
267.0,2023-10-03 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,8
268.0,2023-10-09 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,12
269.0,2023-10-16 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,8
270.0,2023-10-23 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,15
271.0,2023-10-30 00:00:00,Protest gegen die Kriegspolitik der Bundesregierung,6,7
272.0,2023-10-03 00:00:00,Kunstprojekt für unsere Demokratie,15,14
273.0,2023-10-04 00:00:00,Kinderrechte (Bildung),10,
274.0,2023-10-14 00:00:00,"Subkultur stärken, Freiräume schaffen!",200,230
275.0,2023-10-13 00:00:00,#PrioritätJugendJetzt - Keine Jugend(bildungs)arbeit auf Sparflamme!,100,50
276.0,2023-10-09 00:00:00,Recht auf Leben und Selbstbestimmung,300,70
277.0,2023-10-12 00:00:00,Forderung nacheinem Sozialfons für die Stadt Magdeburg,50,25
