Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
23.0,2015-01-16 00:00:00,09.00-17.00,Magdeburg,Zur Erinnerung an Krieg und Vernichtung,2014-12-04
24.0,2015-01-16 00:00:00,09.00-17.00,Magdeburg,Zur Erinnerung an Krieg und Vernichtung,2014-12-04
25.0,2015-01-16 00:00:00,09.00-17.00,Magdeburg,Zur Erinnerung an Krieg und Vernichtung,2015-12-04
26.0,2015-01-16 00:00:00,09.00-17.00,Magdeburg,Zur Erinnerung an Krieg und Vernichtung,2015-12-04
27.0,2015-01-16 00:00:00,15.30-19.15,Magdeburg,Auf den Spuren der Täter: Gedenkrundgang zur Meile der Demokratie 2015,2014-12-15
28.0,2015-01-17 00:00:00,13.15-17.00,Magdeburg,Auf den Spuren der Täter: Gedenkrundgang zur Meile der Demokratie 2015,2014-12-15
29.0,Jan 2015,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2014-12-22
30.0,2015-01-16 00:00:00,21.00-00.00,Magdeburg,Magdeburg einheizen!,2015-12-03
31.0,2015-01-17 00:00:00,11.00-18.00,Magdeburg,Meilenstein anlässlich des Naziaufmarschs,2014-12-23
32.0,Jan-Dez 2015,18.00-20.00,Magdeburg,Montagsdemonstrationen,2015-01-02
33.0,2015-01-17 00:00:00,12.00-22.00,Magdeburg,Gemeinsam gegen rechte Mobilisierung,2015-01-07
34.0,2015-01-19 00:00:00,18.30-20.30,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-08
35.0,2015-01-26 00:00:00,18.30-20.30,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-08
36.0,2015-02-02 00:00:00,18.30-20.30,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-08
37.0,2015-02-09 00:00:00,18.30-20.30,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-08
38.0,2015-01-12 00:00:00,16.00-18.00,Magdeburg,Probesitzen gegen menschenverachtende Einstellungen,2015-01-09
39.0,2015-01-17 00:00:00,12.00-17.00,Magdeburg,Kein Platz für Extremisten in Sudenburg,2015-01-09
40.0,19.01.2015 26.01.2015 02.02.2015 ,18.00-21.00,Magdeburg,Tomgida,2015-01-09
41.0,19.01.2015 26.01.2015 02.02.2015,18.30-21.00,Magdeburg,Tomgida,2015-01-09
42.0,19.01.2015 26.01.2015 02.02.2015,19.00-21.00,Magdeburg,Tomgida,2015-01-09
43.0,09.02.2015  bis        21.12.2015,18.30-21.00,Magdeburg,Tomgida,2015-01-09
44.0,09.02.2015  bis        21.12.2015,18.30-21.00,Magdeburg,Tomgida,2015-01-09
45.0,19.01.2015 26.01.2015 02.02.2015,18.30-21.00,Magdeburg,Magdeburg für Vielfalt und Respekt,2015-01-09
46.0,19.01.2015  bis        23.02.2015,18.30-21.00,Magdeburg,Für ein weltoffenes und demokratisches Magdebug,2015-01-09
47.0,2015-01-17 00:00:00,11.00-20.00,Magdeburg,Meilenstein,2015-01-08
48.0,2015-01-17 00:00:00,11.00-15.00,Magdeburg,Mahnwache für ein friedliches Miteinander,2015-01-12
49.0,2015-02-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-01-12
50.0,2015-01-19 00:00:00,18.00-21.00,Magdeburg,Magdeburg für Vielfalt und Respekt,2015-01-12
51.0,2015-01-19 00:00:00,18.00-21.00,Magdeburg,Gemeinsam gegen MAGIDA,2015-01-13
52.0,2015-01-16 00:00:00,18.00-24.00,Magdeburg,Ehrenhaftes Gedenken statt Anpassung an den Zeitgeist,2015-01-14
53.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
54.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
55.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
56.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
57.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
58.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
59.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
60.0,2015-01-16 00:00:00,21.00-22.00,Magdeburg,Buckau gegen das Vergessen,2015-01-14
61.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Refugees Welcome - Das Problem heißt Rassismus!,2015-01-14
62.0,2015-01-16 00:00:00,17.00-22.00,Magdeburg,Meilenstein anlässlich des Naziaufmarschs,2015-01-14
63.0,2015-01-16 00:00:00,16.00-22.00,Magdeburg,Mahnwache zum Gedenken der Opfer des Nationalsozialismus,2015-01-15
64.0,2015-01-16 00:00:00,16.00-22.00,Magdeburg,Ostelbien ist bunt statt braun,2015-01-15
65.0,2015-01-16 00:00:00,16:00-23:30,Magdeburg,Gemeinsam gegen Nazis und Geschichtsrevisionismus,2015-01-15
66.0,2015-01-16 00:00:00,18.00-20.00,Magdeburg,Mahnhwache für ein tolerantes und weltoffenes Magdeburg,2015-01-15
67.0,2015-01-26 00:00:00,17:00-22:00,Magdeburg,Gemeinsam gegen Magida,2015-01-23
68.0,2015-01-26 00:00:00,17:00-22:00,Magdeburg,Magida Wegbassen,2015-01-24
69.0,2015-01-30 00:00:00,13.00-15.00,Magdeburg,"Ausgliederung von Unternehmensteilen, Lohndumping, Tarifeinheit",2015-01-26
70.0,2015-02-02 00:00:00,16.30-19.00,Magdeburg,Kundgebung für Weltoffenheit und Toleranz,2015-01-29
71.0,2015-02-16 00:00:00,19.00-21.00,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-29
72.0,2015-02-23 00:00:00,19.00-21.00,Magdeburg,Gegen Islamisierung des deutschen Abendlandes,2015-01-29
73.0,18.02.2015,10.00-11.30,Magdeburg,Tarifverhandlungen für die Metallindustrie Sachsen-Anhalt,2015-01-23
74.0,2015-02-02 00:00:00,16.30-?,Magdeburg,Magida wegbassen!,2015-01-30
75.0,02.02.2015  bis 31.12.2015,18.30-21.00,Magdeburg,Ausländer willkommen; Demonstration der Besonnenheit,2015-01-30
76.0,2015-02-02 00:00:00,17.00-22.00,Magdeburg,Gegen das Vergessen - Stolpersteine für Magdeburg,2015-01-30
77.0,2015-02-08 00:00:00,16.00-17.00,Magdeburg,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2015-02-02
78.0,2015-02-09 00:00:00,14.00-16.00,Magdeburg,"Tarifrunde der Länder, Aktion ""roter Teppich""",2015-02-04
79.0,2015-02-09 00:00:00,18.30-20.00,Magdeburg,Für ein weltoffenes Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-02-06
80.0,2015-02-09 00:00:00,16.00-21.30,Magdeburg,Magida wegbassen,2015-02-06
81.0,2015-02-09 00:00:00,18.00-?,Magdeburg,Gemeinsam gegen MAGIDA!,2015-02-06
82.0,02.03.2015   bis 31.12.2015,19.00-22.00,Magdeburg,Magdeburg gegen die Islamisierung des Abendlandes,2015-02-11
83.0,2015-03-11 00:00:00,10.00-13.00,Magdeburg,Tarif- und Besoldungsrunde 2015 im öffentlichen Dienst der Länder,2015-02-12
84.0,2015-02-16 00:00:00,16.00-21.30,Magdeburg,Magida wegbassen,2015-02-13
85.0,2015-02-13 00:00:00,19.30-20.30,Magdeburg,Wir gedenken den Bombenopfern von Dresden,2015-02-13
86.0,2015-04-06 00:00:00,07.15-?,MD / BK / SAW,Ostermarsch,2015-02-10
87.0,2015-03-04 00:00:00,12.15-12.45,Magdeburg,Tarif- und Besoldungsrunde 2015 im öffentlichen Dienst der Länder,2015-02-17
88.0,2015-02-23 00:00:00,17.00-18.00,Magdeburg,Alternativer Rundgang für eine reflektierte Erinnerungskultur,2015-02-18
89.0,2015-02-23 00:00:00,16.00-21.30,Magdeburg,Magida wegbassen,2015-02-18
90.0,2015-02-23 00:00:00,18.00-19.00,Magdeburg,Für ein weltoffenens Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-02-19
91.0,2015-03-01 00:00:00,10.00-11.00,Magdeburg,Gedenken an die ermordeten Sinti und Roma,2015-02-19
92.0,2014-03-11 00:00:00,10.00-11.00,Magdeburg,Tarif- und Besoldungsrunde 2015 im öffentlichen Dienst der Länder,2015-02-24
93.0,2015-03-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-02-24
94.0,2015-03-06 00:00:00,19.00-22.00,Magdeburg,1. Spaziertanz - REGINA,2015-02-27
95.0,2015-03-11 00:00:00,16.00-18.00,Magdeburg,Jahrestag der Nuklearkatastrophe in Fukushima,2015-03-06
96.0,2015-03-11 00:00:00,16.00-18.00,Magdeburg,Gedenktag im Hinblick auf die Reaktorkatastrophe in Fukushima,2015-03-09
97.0,2015-03-23 00:00:00,18.00-20.00,Magdeburg,Für ein weltoffenens Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-03-18
98.0,2015-03-23 00:00:00,18.00-22.00,Magdeburg,Für ein plurales Magdeburg,2015-03-20
99.0,2015-03-23 00:00:00,19.00-21.00,Magdeburg,Für ein weltoffenens Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-03-20
100.0,2015-03-23 00:00:00,19.00-23.00,Magdeburg,Magdeburg ist bunt und vielfältig,2015-03-20
101.0,2015-04-18 00:00:00,11.00-14.00,Magdeburg,"Globaler Aktionstag gegen TTIP, CETA und TISA",2015-03-22
102.0,2015-04-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-03-24
103.0,2015-03-23 00:00:00,17.30-19.00,Magdeburg,Schüler*innen gegen Rassismus und Ausgrenzung - Für ein weltoffenes und solidarisches Magdeburg,2015-03-25
104.0,2015-04-18 00:00:00,10.00-20.00,Magdeburg,Asylgesetzgebungsverfahren,2015-03-24
105.0,2015-03-30 00:00:00,19.00-23.00,Magdeburg,Magdeburg ist bunt und vielfältig,2015-03-27
106.0,2015-04-01 00:00:00,06.30-14.00,Magdeburg,Tarifforderung nach einem Bemessungstarifvertrag,2015-03-30
107.0,2015-03-30 00:00:00,18.30-22.00,Magdeburg,NoMAGIDA!!!,2015-03-30
108.0,2015-04-06 00:00:00,15.00-22.00,Magdeburg,NoMAGIDA!!!,2015-04-02
109.0,2015-04-06 00:00:00,15.00-20.00,Magdeburg,Magida wegbassen,2015-04-04
110.0,2015-04-13 00:00:00,10.00-13.00,Magdeburg,Dank an die Landesregierung,2015-04-08
111.0,2015-06-20 00:00:00,10.00-12.30,Magdeburg,5. FahrRad-Aktionstag,2015-04-09
112.0,2015-04-13 00:00:00,18.30-20.00,Magdeburg,Für ein weltoffenes Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-04-09
113.0,2015-04-13 00:00:00,12.00-17.00,Magdeburg,"Die letzte Etappe. Ein Aktionstag im Gedenken an die Opfer von Todesmarsch und Massaker im Stadion ""Neue Welt""",2015-04-09
114.0,2015-04-13 00:00:00,18.30-22.00,Magdeburg,NoMAGIDA!!!,2015-04-10
115.0,2015-05-02 00:00:00,10.00-16.00,Magdeburg,Tuner gegen Rasen - Wir setzen ein Zeichen! In Gedenken an Paul Walker,2015-04-15
116.0,2015-05-01 00:00:00,11.00-11.30,Magdeburg,"Maikundgebung ""Die Arbeit der Zukunft gestalten wir!""",2015-04-16
117.0,2015-04-21 00:00:00,18.00-21.00,Magdeburg,"Mahnwache in Trauer, Wut und Gedenken an die an den Außengrenzen Europas Gestorbenen - Stoppt das Massensterben im Mittelmeer!",2015-04-20
118.0,2015-04-25 00:00:00,15.00-18.00,Magdeburg,"Kunst trifft Natur - Musikalische Kunstgebung für Bäume zu Ehren der ""Hölzernen Zeitzeugen""",2015-04-22
119.0,2015-05-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-04-27
120.0,2015-05-09 00:00:00,16.00-17.00,Magdeburg,"Gedenken an Torsten Lamprecht anlässlich des Jahrestages des Angriffs auf die ""Elbterassen""",2015-04-27
121.0,2015-05-01 00:00:00,13.00-?,Magdeburg,Solidarität aufbauen! Klassenkämpfe entwickeln!,2015-04-29
122.0,2015-05-02 00:00:00,13.30-15.00,Magdeburg,2. Antirassistische Schüler*Innen Demonstration gegen rassistische Hetze und die Asylverschärfung,2015-04-29
123.0,2015-05-11 00:00:00,18.30-21.30,Magdeburg,Für ein weltoffenes Magdeburg - Gegen Rassismus und Islamfeindlichkeit,2015-05-05
124.0,2015-05-08 00:00:00,16.00-16.30,Magdeburg,Kranzniederlegung zum 08. Mai,2015-05-05
125.0,2015-05-11 00:00:00,18.00-22.00,Magdeburg,Euer Lauf baut auf!,2015-05-06
126.0,2015-05-08 00:00:00,17.00-22.00,Magdeburg,2. REGINA Spaziertanz,2015-05-06
127.0,2015-05-11 00:00:00,18.00-22.00,Magdeburg,NoMAGIDA,2015-05-06
128.0,2015-05-11 00:00:00,18.00-22.00,Magdeburg,NoMAGIDA,2015-05-06
129.0,2015-05-11 00:00:00,18.00-23.00,Magdeburg,Magdeburg ist bunt und vielfältig,2015-05-07
130.0,2015-05-11 00:00:00,18.00-23.00,Magdeburg,Vielfalt tut gut.,2015-05-07
131.0,2015-05-12 00:00:00,15.00-17.00,Magdeburg,"Situation in Eritrea und in Gedenken an die Menschen, die im Mittelmeer ertrunken sind",2015-05-07
132.0,2015-05-11 00:00:00,18.00-22.00,Magdeburg,Weltoffenheit und Toleranz,2015-05-08
133.0,2015-05-11 00:00:00,18.00-22.00,Magdeburg,Weltoffenheit und Toleranz,2015-05-08
134.0,2015-05-18 00:00:00,18.00-19.00,Magdeburg,Mahnwache für den Frieden,2015-05-13
135.0,2015-05-19 00:00:00,09.30-11.00,Magdeburg,Warnstreik bei der Deutschen Post AG,2015-05-13
136.0,2015-06-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-05-21
137.0,29.07.2015    -    31.07.2015,,BK / SAW / SDL,Tour de Natur,2015-05-15
138.0,2015-06-01 00:00:00,18:00 - 19:00,Magdeburg,Mahnwache für den Frieden,2015-05-13
139.0,2015-06-01 00:00:00,18.30-22.00,Magdeburg,NoMAGIDA,2015-05-28
140.0,2015-06-04 00:00:00,16.00-18.00,Magdeburg,"Gemeinsam gegen TTIP, CETA und Fracking ",2015-05-28
141.0,2015-06-13 00:00:00,12.00-15.00,Magdeburg,Wir erinnern an die nach einer Impfung geschädigten und verstorbenen Kinder und fordern Transparenz und Aufklärung.,2015-06-03
142.0,2015-06-01 00:00:00,18.00-19.00,Magdeburg,Mahnwache für den Frieden,2015-06-04
143.0,2015-06-07 00:00:00,13.30-18.00,Magdeburg,NoMAGIDA,2015-06-05
144.0,2015-06-15 00:00:00,18.30-23.00,Magdeburg,NoMAGIDA,2015-06-10
145.0,2015-06-15 00:00:00,08.00-11.00,Magdeburg,Streik bei der Deutschen Post AG,2015-06-12
146.0,2015-06-17 00:00:00,08.00-11.00,Magdeburg,Streik bei der Deutschen Post AG,2015-06-16
147.0,2015-07-01 00:00:00,18.00-19.00,Magdeburg,Mahnwache für den Frieden,2015-06-18
148.0,2015-06-26 00:00:00,15.00-18.00,Magdeburg,Freiheit für den unschuldig inhaftierten inidanischen Bürgerrechtler Leonard Peltier zum 40. Jahrestag der Schießerei von Oglala/Süddakota,2015-06-22
149.0,2015-06-23 00:00:00,17.00-22.00,Magdeburg,Stoppt das Sterben - Für eine humane Flüchtlingspolitik!,2015-06-22
150.0,2015-06-23 00:00:00,16.00-22.00,Magdeburg,Magdeburg gegen die Islamisierung des Abendlandes,2015-06-22
151.0,2015-06-24 00:00:00,16.00-17.00,Magdeburg,Tarifverträge in der IT- und Dienstleistungsbranche,2015-06-24
152.0,2015-06-26 00:00:00,10.00-11.00,Magdeburg,Streik bei der Deutschen Post AG / Tarifrunde im Einzelhandel,2015-06-24
153.0,2015-07-02 00:00:00,15.00-17.00,Magdeburg,Asyl- und Flüchtlingspolitik,2015-06-25
154.0,2015-06-29 00:00:00,13.00-18.00,Magdeburg,Asylrechtsverschärfung 2015,2015-06-26
155.0,2015-06-29 00:00:00,16.30-21.00,Magdeburg,Asylrechtsverschärfung stoppen,2015-06-26
156.0,2015-08-16 00:00:00,16.00-17.00,Magdeburg,Gedenken an Rick L. /Opfer rechter Gewalt in Sachsen-Anhalt,2015-06-25
157.0,2015-06-29 00:00:00,11.00-15.30,Magdeburg,Asylrechtspolitik,2015-06-26
158.0,30.06.2015      -    03.07.2015,08.00-10.30,Magdeburg,Streik bei der Deutschen Post AG / Tarifrunde im Einzelhandel,2015-06-29
159.0,2015-07-06 00:00:00,08.00-10.00,Magdeburg,Streik bei der Deutschen Post AG,2015-07-03
160.0,2015-07-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-07-03
161.0,2015-10-15 00:00:00,15.00-17.30,Magdeburg,Alle gemeinsam: Bildung ist unsere Zukunkft,2015-07-07
162.0,2015-07-27 00:00:00,10.00-18.00,Magdeburg,Krieg beginnt bei uns - Erinnerung an Dietrich Bonhoeffer,2015-07-10
163.0,Jul / Aug 2015,18.00-19.00,Magdeburg,Mahnwache für den Frieden,2015-07-13
164.0,2015-07-18 00:00:00,12.00-15.00,Magdeburg,Asylflut stoppen,2015-07-15
165.0,2015-07-18 00:00:00,10.00-16.00,Magdeburg,Ausländer willkommen - Kein Mensch ist illegal,2015-07-17
166.0,2015-08-28 00:00:00,,LK JL / BAB2,"Gemeinsam fahren, gemeinsam kämpfen für unsere Rechte",2015-07-10
167.0,2015-08-22 00:00:00,13.00-15.00,Magdeburg,Demonstrationsparade zum Christopher Street Day,2015-07-29
168.0,2015-08-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-08-03
169.0,2015-08-07 00:00:00,18.30-22.30,Magdeburg,Asylflut stoppen,2015-08-03
170.0,2015-09-01 00:00:00,18.30-21.30,Magdeburg,Gemeinsam für Frieden,2015-08-03
171.0,2015-08-08 00:00:00,15.00-18.00,Magdeburg,Demo gegen Tierhaltungszustände im Zoo,2015-08-03
172.0,2015-08-26 00:00:00,12.00-15.00,Magdeburg,Die Lage auf dem Milchmarkt wir immer brenzliger.,2015-08-04
173.0,2015-08-07 00:00:00,18.00-23.00,Magdeburg,Refugees Welcome ,2015-08-06
174.0,2015-08-07 00:00:00,17.30-21.30,Magdeburg,Mach es wie Till - sei nicht still!,2015-08-06
175.0,2015-08-13 00:00:00,12.00-16.00,Magdeburg,TIPP,2015-08-11
176.0,2015-08-31 00:00:00,17.00-21.00,Magdeburg,"Frieden, Ukraine-Krieg, Politik",2015-08-13
177.0,2015-08-24 00:00:00,10.00-12.00,Magdeburg,Demonstration für höhere Wertschätzung von Lebensmitteln,2015-08-18
178.0,2015-08-25 00:00:00,17.00-18.30,Magdeburg,Protest gegen die Kleingartenkonzeption,2015-08-21
179.0,2015-08-25 00:00:00,16.00-20.00,Magdeburg,"Talkrunde zur Halbzeitbilanz der Großen Koalition unter Leitung des Innenpolitischen Sprechers der SPD-Fraktion, MdB Burkhard Lischka, mit Beteiligung des Bundesinnenministers Dr. Thomas de Maizière sowie des SPD-Fraktionsvorsitzenden MdB Thomas Oppermann ",2015-08-21
180.0,2015-08-25 00:00:00,15.00-20.00,Magdeburg,March against racist asylum laws,2015-08-21
181.0,2015-09-18 00:00:00,15.00-19.00,Magdeburg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2015-08-24
182.0,2015-08-31 00:00:00,18.45-21.30,Magdeburg,Für ein weltoffenes Magdeburg - Gegen Rassismus!,2015-08-27
183.0,2015-09-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-09-03
184.0,2015-09-19 00:00:00,12.00-14.00,Magdeburg,"Gemeinsam gegen TTIP, CETA und Fracking ",2015-09-07
185.0,2015-09-13 00:00:00,14.00-16.00,Magdeburg,Demo gegen Tierhaltungszustände im Zirkus,2015-09-07
186.0,2015-09-13 00:00:00,10.00-11.00,Magdeburg,"Tag der Erinnerung, Mahnung und Begegnung",2015-09-04
187.0,2015-09-18 00:00:00,15.00-19.00,Magdeburg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2015-09-10
188.0,2015-09-18 00:00:00,15.00-20.00,Magdeburg,Mehr Freiräume statt Parkplätze,2015-09-12
189.0,2015-09-18 00:00:00,15.00-20.00,Magdeburg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2015-09-14
190.0,2015-09-18 00:00:00,15.00-20.00,Magdeburg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2015-09-14
191.0,2015-09-18 00:00:00,15.00-19.00,Magdeburg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2015-09-15
192.0,2015-10-03 00:00:00,16:00:00,Magdeburg,"Kein Tag ohne (soziale) Freiräume - Mieten runter, Löhne hoch!",2015-09-21
193.0,2015-09-29 00:00:00,11:00-13:00,Magdeburg,Bedingungsloses Grundeinkommen,2015-09-22
194.0,2015-09-27 00:00:00,16:15:00,Magdeburg,ZASt im Herrenkrug,2015-09-25
195.0,2015-10-04 00:00:00,15:00-17:30,Magdeburg,PEGIDA und Sorgen der Magdeburger,2015-09-28
196.0,2015-10-02 00:00:00,17:45-20:00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-10-01
197.0,2015-10-02 00:00:00,17.00-21.00,Magdeburg,Refugees Welcome ,2015-10-01
198.0,2015-10-06 00:00:00,13.45-14.45,Magdeburg,Erleben was verschwindet. Gegen die Ausbildungsplatzkürzung bei der Telekom AG,2015-10-01
199.0,2015-10-14 00:00:00,18.30-20.15,Magdeburg,Asylchaos stoppen,2015-10-05
200.0,2015-10-14 00:00:00,17.00-24.00,Magdeburg,Für ein weltoffenes und demokratisches Magdebug,2015-10-08
201.0,2015-10-14 00:00:00,18.00-20.00,Magdeburg,"Bunt statt braun, tolerant und weltoffen",2015-10-09
202.0,2015-10-14 00:00:00,18.00-20.00,Magdeburg,"Bunt statt braun, tolerant und weltoffen",2015-10-09
203.0,2015-10-14 00:00:00,18.30-21.00,Magdeburg,Magdeburg ist bunt und vielfältig,2015-10-09
204.0,2015-10-14 00:00:00,18.30-20.30,Magdeburg,Buntes Magdeburg!,2015-10-09
205.0,2015-10-13 00:00:00,10.00-15.30,Magdeburg,Mit Vollgas in den Landtag - NPD wählen,2015-10-09
206.0,2015-10-14 00:00:00,19.00-22.00,Magdeburg,Stoppt TTIP,2015-10-12
207.0,2015-10-14 00:00:00,18.30-22.00,Magdeburg,Gemeinsam für ein friedliches Miteinander,2015-10-12
208.0,2015-10-14 00:00:00,17.00-20.00,Magdeburg,Besorgte Bürger wegbassen!,2015-10-12
209.0,2015-10-14 00:00:00,18.00-18.30,Magdeburg,Gemeinsam zum Domplatz,2015-10-13
210.0,2015-10-24 00:00:00,10.00-15.00,Magdeburg,Perspektiven schaffen,2015-10-18
211.0,2015-11-01 00:00:00,13:00-17:00,Magdeburg,Jahrestag der Vertreibung von ISIS aus Kobane,2015-10-30
212.0,2015-12-17 00:00:00,18:00-21:00,Magdeburg,Magdeburg wacht auf,2015-10-28
213.0,2015-11-09 00:00:00,18:00-19:30,Magdeburg,Pogromgedenken,2015-10-30
214.0,2015-11-01 00:00:00,17.45-20.00,Magdeburg,Gemeinsam für eine bessere Zukunft,2015-10-29
215.0,2015-11-14 00:00:00,14.00-22.00,Magdeburg,Deutsche Opfer - Fremde Täter,2015-11-04
216.0,2015-12-02 00:00:00,18.00,Magdeburg,Beitragsservice,2015-10-28
217.0,2015-11-18 00:00:00,19.30-22.00,Magdeburg,Demonstration gegen Politikversagen,2015-11-05
218.0,2015-11-09 00:00:00,18.00-21.00,Magdeburg,Videokundgebung zum Progromgedenken,2015-11-06
219.0,2015-11-18 00:00:00,17.00-20.00,Magdeburg,Menschenwürde ist unantastbar,2015-11-10
220.0,2015-11-18 00:00:00,17.00-20.00,Magdeburg,Menschenwürde ist unantastbar,2015-11-10
221.0,2015-11-18 00:00:00,19.00-22.00,Magdeburg,Demo zur Landtagswahl 2016,2015-11-11
222.0,2015-11-18 00:00:00,19.00-22.00,Magdeburg,Demo gegen TTIP,2015-11-11
223.0,2015-11-18 00:00:00,19.00-22.00,Magdeburg,Demo zur Landtagswahl 2016,2015-11-11
224.0,2015-11-18 00:00:00,19.00-22.00,Magdeburg,Demo gegen Politikversagen,2015-11-11
225.0,2015-11-16 00:00:00,16.00-19.30,Magdeburg,Students for a future without racism,2015-11-16
226.0,2015-11-18 00:00:00,17.30-20.00,Magdeburg,Refugees welcome,2015-11-16
