Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meile der Demokratie 2014,2014-01-27
2.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Eichenweiler,2014-01-27
3.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Herrenkrug,2014-01-27
4.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Neustadt,2014-01-27
5.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Sudenburg,2014-01-27
6.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Buckau,2014-01-27
7.0,2015-01-17 00:00:00,12.00-18.00,Magdeburg,Meilenstein - Bahnhof Südost,2014-01-27
8.0,2015-01-17 00:00:00,09.00-19.00,Magdeburg,Vielfalt statt Einfalt - Jüdisches Leben in Magdeburg bewahren,2014-09-24
9.0,2015-01-17 00:00:00,10.00-16.00,Magdeburg,Meilenstein der Demokratie,2014-10-22
10.0,2015-01-17 00:00:00,09.00-18.00,Magdeburg,Studierende gegen Rechts,2014-10-24
11.0,2015-01-17 00:00:00,09.00-20.00,Magdeburg,Meilenstein für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung,2014-11-06
12.0,2015-01-17 00:00:00,08.00-21.00,Magdeburg,Artist´s Corner - Kunst gegen das Vergessen,2014-11-10
13.0,2015-01-10 00:00:00,09.00-19.00,Magdeburg,Vielfalt statt Einfalt - Jüdisches Leben in Magdeburg bewahren,2014-11-11
14.0,2015-01-17 00:00:00,10.00-18.00,Magdeburg,Meilenstein: Deine Stimme und Hand für Demokratie - Kein Tag für Nazis!,2014-11-17
15.0,2015-01-17 00:00:00,11.00-18.00,Magdeburg,Magdeburg - weltoffen und solidarisch,2015-11-20
16.0,2015-01-10 00:00:00,10.00-20.00,Magdeburg,Naziaufmarsch um die Hochschule? Nicht mit uns!,2015-11-27
17.0,2015-01-17 00:00:00,10.00-20.00,Magdeburg,Naziaufmarsch um die Hochschule? Nicht mit uns!,2015-11-27
18.0,2015-01-16 00:00:00,18.00-20.00,Magdeburg,Entschlossenen Antifaschismus durchsetzen,2014-12-03
19.0,2015-01-21 00:00:00,11.00-13.00,Magdeburg,Solidarität und Mitbestimmung bei Enercon,2014-12-16
20.0,2015-01-10 00:00:00,10.00-17.00,Magdeburg,Zwangsarbeiterlager in Magdeburg-Südost,2014-12-09
21.0,2015-01-17 00:00:00,10.00-17.00,Magdeburg,Zwangsarbeiterlager in Magdeburg-Südost,2014-12-09
22.0,2015-01-16 00:00:00,15.00-15.45,Magdeburg,Gedenken zum 70. Jahrestag der Zerstörung Magdeburgs,2014-12-17
